ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
173	श्रीरामः 'राघव' इति कुतः उक्तः?	रघोः वंशे जातः अतः; राघवः रघुवंशस्य पुत्रत्वात्; रघोः अपत्याद् राघव इति; रघुवंशात्   रघुवंशे जन्मं प्राप्तवान् इति राघवः; श्रीरामः राघव इति रघुवंशे जातत्वात्; श्रीरामः राघव इति उच्यते यतः सः रघुवंशस्य वंशजः आसीत् रघुः तस्य पूर्वजः आसीत; रघुवंशीयः; रघोः अपत्यं राघवः; श्रीरामः राघव इति उक्तः यतः सः रघुवंशस्य वंशजः आसीत् रघुः तस्य पूर्वजः आसीत; रघुकुलोत्पन्नः; रघुवंशजत्वात्; रघुवंशोत्पन्नत्वात्; रघोः वंशे जातः इति राघवः; राघवः इति श्रीरामः रघुवंशे जन्म प्राप्तः इति कारणात् उक्तः		दशरथात्	1		राघवः रघुवंशोद्भवत्वात्	1		"उत्तरम्: रघुवंशात्

श्रीरामः 'राघव' इति उच्यते यतः सः रघुवंशस्य वंशजः आसीत् रघुः तस्य पूर्वजः आसीत्, अतः रघोः वंशजत्वात् रामः 'राघव' इति नाम्ना प्रसिद्धः अभवत्"	1	
174	महर्षेः अगस्त्यस्य ऋषेः नाम 'कुंभजः' कथं प्राप्तम्?	कुम्भात् जन्म प्राप्तवान् अतः; अगस्त्यः कुम्भजः इति कथ्यते यतः सः कुम्भे जातः;  अगस्त्यः कुम्भस्य जातः; अगस्त्यः कुंभे जातः; कुंभोद्भवत्वात्; कुम्भयोनेः; कुम्भे भवः कुंभजः  कुम्भात् प्रादुर्भावात् सः कुंभज इति प्रसिद्धः ; कुंभेजातः; महर्षेः अगस्त्यस्य ऋषेः नाम कुंभजः कथं प्राप्तम् कारणम् अस्ति यत् अगस्त्यः कुंभस्य गर्भात् उत्पन्नः		कुंभात्	1		महर्षेः अगस्त्यस्य ऋषेः नाम 'कुंभजः' प्राप्तम् कुंभस्य उदरे जन्मना	1		कुम्भात्	1	(:Rishi {'lemma': अगस्त्य})-[:IS_THE_DIRECTOR_TO_POSSES_DIVINE_WEAPONS]->({'lemma': राम}); (:Rishi {'lemma': अगस्त्य})-[:DWELT_IN]->({'lemma': दण्डक}); (:Rishi {'lemma': अगस्त्य})<-[:IS_KILLED_BY]-({'lemma': इल्वल})
175	महर्षेः अगस्त्यस्य एकं नाम 'सिंधुपः' कुतः आसीत्?	सिन्धुं (समुद्रं) पीतवान् अतः; महर्षेः अगस्त्यस्य सिंधुपः इति नाम तस्य समुद्रपानकारणात् आसीत् पौराणिककथान; महर्षिः अगस्त्यः सिंधुपः इति नाम्ना प्रसिद्धः आसीत् यतः सः समुद्रं पीतवान्; अगस्त्यः कदाचित् समुद्रम् एव पीतवान् आसीत्; समुद्रम् पीतवान् इति कारणात्; अगस्त्यः कदाचित् समुद्रम् एव पीतवान् आसीत् अतः तस्य पीताब्धिः सिंधुपः इत्यादीनि नामानि अभवन्; समुद्रपानात्; सागरपानात्; सिंधुं पीतवान्; सिन्धुपानात्; समुद्रात्; समुद्रं पीतवान्		सिंधुपः	1		समुद्रम्	1		सिन्धुं पातुम् शक्तत्वात्	1	(:Rishi {'lemma': अगस्त्य})-[:DWELT_IN]->({'lemma': दण्डक}); (:Rishi {'lemma': अगस्त्य})-[:IS_THE_DIRECTOR_TO_POSSES_DIVINE_WEAPONS]->({'lemma': राम}); (:Rishi {'lemma': अगस्त्य})<-[:IS_KILLED_BY]-({'lemma': इल्वल})
176	समुद्रस्य एकं नाम 'सागरः' कथं प्राप्तम्?	सगरपुत्रैः खातः अतः; सागरः इति नाम समुद्रस्य सगरपुत्रैः खनितत्वात् प्राप्तम्; सगरपुत्राणां खननेन समुद्रः उत्पन्नः अतः सागरः इति नाम प्राप्तम्; सगरपुत्राणां खननेन समुद्रः उत्पन्नः अतः सागरः इति कथ्यते		सगरात्	1		समुद्रस्य एकं नाम 'सागरः' सगर-राजपुत्रैः खननेन प्राप्तम्	1		"उत्तरम्: सगरपुत्रैः खननात्

यह उत्तर रामायण की कथा पर आधारित है सगर राजा के 60,000 पुत्रों ने पृथ्वी को खोदा था अश्वमेध यज्ञ के घोड़े की खोज में उनके इस खनन कार्य से समुद्र का निर्माण हुआ, जिसे 'सागर' नाम दिया गया"	1	
177	शिवस्य एकं नाम 'पिनाकी' कुतः अस्ति?	पिनाकनामधेयस्य त्रिशूलस्य धारणात्; शिवस्य एकं नाम पिनाकी अस्ति यतः सः पिनाकं धनुः धारयति; पिनाकधारणात्; पिनाकधनुषः धारणात्; पिनाकी नाम शिवस्य त्रिशूलात् उत्पन्नम्; पिनाकी नाम शिवस्य त्रिशूलात् आगतम्; पिनक धनुषः आधारेण शिवस्य नाम पिनाकी अस्ति; धनुषः शिवस्य धनुषः नाम पिनाकः इति; पिनाकः शिवस्य शस्त्रम् अस्ति; पिनाकधरः; पिनाकधृत्त्वात्; शिवस्य पिनाक धनुषः धारकत्वात् पिनाकी नाम अस्ति; पिनाकधारी इति कारणात्		धनुषः	1		पिनाकी नाम शिवस्य धनुषः पिनाकस्य धारणात्	1		"उत्तरम्: पिनाकधनुषः

शिवस्य 'पिनाकी' नाम तस्य पिनाक नामकधनुषः कारणात् अस्ति पिनाकं शिवस्य प्रसिद्धं धनुः अस्ति, यस्य कारणेन सः पिनाकी इति नाम्ना अपि ज्ञायते"	1	
178	गरुडः 'वैनतेय' इति कुतः उच्यते?	विनतायाः पुत्रः अतः; गरुडः वैनतेय इति उच्यते यतः सः विनतायाः पुत्रः आसीत् विनता कश्यपऋषेः पत्नी; विनतापुत्रत्वात्; विनतायाः पुत्रत्वात्; विनातया  जातः इति; विनतायाः पुत्रः; विनतासुतः; वैनतेय इति गरुडस्य नाम उच्यते तस्य मातुः विनतायाः नाम्ना; गरुडः विनतायाः पुत्रः आसीत् अतः सः वैनतेयः इति उच्यते; गरुडः विनतायाः पुत्रः अतः वैनतेयः उच्यते		कश्यपात्	1	(:Devine_bird {'lemma': गरुड})<-[:IS_ANOTHER_NAME_OF]-({'lemma': तार्क्ष्य}); (:Devine_bird {'lemma': गरुड})<-[:IS_BROTHER_OF]-({'lemma': अरुण}); (:Devine_bird {'lemma': गरुड})<-[:IS_SISTER_OF]-({'lemma': सुमति})	वैनतेय इति गरुडः उच्यते कारणात् तस्य मातुः विनतायाः नाम्नः	1	(:Devine_bird {'lemma': गरुड})<-[:IS_ANOTHER_NAME_OF]-({'lemma': तार्क्ष्य}); (:Devine_bird {'lemma': गरुड})<-[:IS_BROTHER_OF]-({'lemma': अरुण}); (:Devine_bird {'lemma': गरुड})<-[:IS_SISTER_OF]-({'lemma': सुमति})	विनतायाः पुत्रत्वात्	1	(:Human {'lemma': विनता})<-[:IS_SON_OF]-({'lemma': अरुण}); (:Human {'lemma': विनता})<-[:IS_MOTHER_OF]-({'lemma': नता})
179	देवताः 'सुरः' इति कुतः उच्यन्ते?	वारुण्याः (सुरायाः) ग्रहणात्; सुरापानात्; सुरापानस्य कारणात्; अमृतपानात्		सुरत्वात्	1		देवताः 'सुरः' इति उच्यन्ते कारणम् सुराः इति शब्दस्य अर्थः देवताः एव	1		"देवताः 'सुरः' इति सोमपानात् उच्यन्ते

देवाः सोमरसं पिबन्ति इति पुराणेषु प्रसिद्धम् सोमपानात् ते 'सुराः' इति नाम्ना ज्ञायन्ते 'सुरा' शब्दः सोमरसस्य पर्यायवाची अतः सोमपानकर्तारः देवाः 'सुराः' इत्युच्यन्ते"	1	
180	राज्ञः जनकस्य पूर्वजस्य मिथेः नाम 'मिथिः' कथं प्राप्तम्?	राज्ञः निमेः मृतदेहस्य मथनात् उत्पन्नः अतः		तपसा	1	({'lemma': राजनाजनक}); ({'lemma': मिथि})	राज्ञः जनकस्य पूर्वजस्य मिथेः नाम 'मिथिः' प्राप्तम् उपरि स्थितस्य राज्यस्य नामना	1		"उत्तरम्: मथनात्

मिथिः राजा मथनेन अग्निं उत्पादयामास, अतः तस्य नाम 'मिथिः' इति प्राप्तम् मथन-क्रियायाः कारणात् एव तस्य नामकरणम् अभवत्"	1	
181	दैत्यानां नाम 'दैत्यः' कथं जातम्?	दितेः पुत्राः आसन् अतः; दितिपुत्राः तु दैत्याः; दितेः पुत्रा दैत्याः; दितिः पुत्राः  दितेः अपत्यत्वात्; दैत्यानां नाम दैत्यः दितिपुत्राणाम्; दितिसुताः; दितेः पुत्रत्वात्		दितेः	1		दितिः	1	(:Rakshasa {'lemma': दैत्य})<-[:IS_MOTHER_OF]-({'lemma': दिति})	दितेः	1	(:Rakshasa {'lemma': दैत्य})<-[:IS_MOTHER_OF]-({'lemma': दिति})
182	राज्ञः जनकस्य वंशस्य नाम 'मैथिलः' कथं जातम्?	राज्ञः मिथेः नामतः जातम्		मिथिलायाः	1		राज्ञः जनकस्य वंशस्य नाम 'मैथिलः' मिथिला नगरी से जातम्	1		"मिथिलायाः राजा भवति इति मैथिलः

जनकस्य वंशः मिथिला नगरस्य शासकाः आसन् मिथिला नगरस्य नाम्ना एव तस्य वंशस्य नाम 'मैथिलः' इति प्रसिद्धम् अभवत्"	1	
183	दानवाः 'दानवाः' इति कथं उच्यन्ते?	दनोः उत्पन्नाः अतः; दानवाः दानवाः इति दनुः अपत्यत्वात्; दनुप्रभवः; दनोः पुत्रत्वात्; दनुपुत्राः		दानवाः	1		दानवाः शिशिरे वसन्ति	1	(:Race {'lemma': दानव})-[:LIVED_AT]->({'lemma': शिशिर})	दानवाः शिशिरे अवसन् इति कारणात् तथा उच्यन्ते	1	(:Race {'lemma': दानव})-[:LIVED_AT]->({'lemma': शिशिर})
184	महर्षिः विश्वामित्रः श्रीरामं 'काकुत्स्थ' इति कथम् आचक्षते?	राज्ञः ककुत्स्थस्य वंशजः आसीत् अतः; महर्षिः विश्वामित्रः श्रीरामं काकुत्स्थ इति आचक्षते यतः रामः ककुत्स्थस्य वंशजः; श्रीरामस्य पूर्वजः ककुत्स्थः तेनैव काकुत्स्थः इति विशेषणम्; श्रीरामस्य पूर्वजः ककुत्स्थः तेनैव काकुत्स्थः		कुलनाम्ना	1		काकुत्स्थ इति श्रीरामस्य वंशजनाधिपत्यात्	1	(:Human {'lemma': काकुत्स्थ})-[:IS_SON_OF]->({'lemma': सोमदत्त}); (:Human {'lemma': काकुत्स्थ})-[:BORN_IN_THE_ROYAL_HOUSE_OF]->({'lemma': विशाला}); (:Human {'lemma': काकुत्स्थ})-[:IS_FATHER_OF]->({'lemma': सुमति})	काकुत्स्थवंशजत्वात्	1	(:Human {'lemma': राम})<-[:IS_FATHER_OF]-({'lemma': दशरथ})
185	यक्षानां नाम 'यक्षः' कथं जातम्?	ब्रह्मणा निर्मितस्य जलस्य यक्षणं (पूजनं) कृतवान् अतः		यक्षः	1		"यक्षानां नाम 'यक्षः' कथं जातम्?

उत्तरम्: यक्षानां नाम 'यक्षः' यक्ष्यते इति क्रियायाः कर्तृत्वात् जातम्"	1		"उत्तरम्: यक्षणात्

यक्षाः पूजनीयाः इति भावेन तेषां पूजनं क्रियते अतः ""यक्षणात्"" (पूजनात्) तेषां नाम ""यक्षः"" इति जातम्"	1	
186	महर्षेः अगस्त्यस्य नाम 'अगस्त्यः' कथं जातम्?	अगस्य(पर्वतस्य) स्तम्भनात्		समुद्रपतनात्	1	(:Rishi {'lemma': अगस्त्य})-[:IS_THE_DIRECTOR_TO_POSSES_DIVINE_WEAPONS]->({'lemma': राम}); (:Rishi {'lemma': अगस्त्य})-[:DWELT_IN]->({'lemma': दण्डक}); (:Rishi {'lemma': अगस्त्य})<-[:IS_KILLED_BY]-({'lemma': इल्वल})	अगस्त्यस्य नाम 'अगस्त्यः' जातम् यतः तेन असुरः इल्वलः हतः	1	(:Rishi {'lemma': अगस्त्य})-[:DWELT_IN]->({'lemma': दण्डक}); (:Rishi {'lemma': अगस्त्य})-[:IS_THE_DIRECTOR_TO_POSSES_DIVINE_WEAPONS]->({'lemma': राम}); (:Rishi {'lemma': अगस्त्य})<-[:IS_KILLED_BY]-({'lemma': इल्वल})	अघ-स्थात्	1	(:Rishi {'lemma': अगस्त्य})<-[:IS_KILLED_BY]-({'lemma': इल्वल}); (:Rishi {'lemma': अगस्त्य})-[:IS_THE_DIRECTOR_TO_POSSES_DIVINE_WEAPONS]->({'lemma': राम}); (:Rishi {'lemma': अगस्त्य})-[:DWELT_IN]->({'lemma': दण्डक})
187	पार्वत्याः नाम 'पार्वती' किमर्थं आसीत्?	पर्वतस्य (हिमालयस्य) पुत्री आसीत् अतः; पर्वतस्य दुहितुः; पर्वतराजपुत्रीति हिमवान् पार्वत्याः पिता आसीत्; पर्वतात्मजा; पार्वती हिमवतः पुत्री आसीत् अतः तस्याः नाम पार्वती आसीत्; पर्वतजः; हिमवत्पुत्रीत्वात्; पर्वतराजपुत्री; पर्वतेश्वरस्य पुत्रीत्वात्; पर्वतराजपुत्रीत्वात्; हिमवत्पुत्री; पर्वतकन्या; शैलेन्द्रकन्या; पार्वती हिमालयस्य पुत्री आसीत् अतः तस्याः नाम पार्वती आसीत्; पार्वती हिमवान् पर्वतस्य पुत्री आसीत् अतः तस्याः नाम पार्वती आसीत्; पार्वत्याः नाम पार्वती आसीत् कारणं हिमालयस्य पुत्री आसीत्; हिमवतः दुहिता इति; हिमवतः दुहिता		पर्वतजः	1		"पार्वत्याः नाम 'पार्वती' किमर्थं आसीत्?

उत्तरम्: हिमवतः पुत्रीत्वात्"	1		"उत्तरम्: पर्वतस्य पुत्रीत्वात्

पार्वत्याः नाम 'पार्वती' अभवत् यतः सा हिमालयस्य (पर्वतराजस्य) पुत्री आसीत् 'पर्वत' शब्दात् 'पार्वती' इति नाम व्युत्पन्नम्, यस्य अर्थः ""पर्वतस्य पुत्री"" भवति"	1	
188	शिवस्य एकं नाम 'आशुतोषः' कथं जातम्?	शीघ्रं तुष्टः भवति अतः; शिवः क्षिप्रं तुष्यति इति कारणात्;  त्वरया तुष्टः; आशु शीघ्रं तोषः संतोषः; शिवः शीघ्रतोषणः; शिवः शीघ्रं तुष्यति; शिवः शीघ्रतोषणात्; शिवस्य नाम आशुतोषः तस्य सुलभतया सन्तोष्यत्वात्; शीघ्रप्रसन्नः; शिवस्य आशुतोषः इति नाम तस्य स्वभावात् जातम् आशु इति शीघ्रम् तोषः इति सन्तोषः		तुष्टिः	1		शिवस्य नाम 'आशुतोषः' शीघ्रतया सन्तोषितस्य भवति	1		"उत्तरम्: शीघ्रप्रसन्नत्वात्

शिवः भक्तानां स्तुतिभिः आशु (शीघ्रम्) तुष्यति इति कारणात् तस्य 'आशुतोषः' इति नाम प्रसिद्धम् अभवत् शिवस्य एतत् विशेषणं तस्य भक्तवत्सलतां सूचयति"	1	
189	अहल्याया:, श्रीरामः यस्याः उद्धारं कृतवान् , तस्या: नाम 'अहल्या' कथं जातम्?	हल्यायाः (विरूपतायाः) लेशः अपि नास्ति अतः		तपसा	1	(:Human {'lemma': अहल्या})-[:WAS_RAPED_BY_INDRA]->({'lemma': इन्द्र}); (:Human {'lemma': अहल्या})-[:IS_WIFE_OF]->({'lemma': गौतम}); (:Human {'lemma': अहल्या})<-[:IS_HUSBAND_OF]-({'lemma': गौतम})	अहल्यायाः नाम गौतमेन शापेन जातम्	1	(:Human {'lemma': अहल्या})-[:IS_WIFE_OF]->({'lemma': गौतम}); (:Human {'lemma': अहल्या})<-[:IS_HUSBAND_OF]-({'lemma': गौतम}); (:Human {'lemma': अहल्या})-[:WAS_RAPED_BY_INDRA]->({'lemma': इन्द्र})	"अहल्यायाः नाम्नः व्युत्पत्तिः स्पष्टं न ज्ञायते तथापि, कथासु उल्लेखः अस्ति यत् सा अत्यन्तं सुन्दरी आसीत्, अतः ""अ-हल्या"" इति नाम प्राप्तवती, यस्य अर्थः ""अकृषिका"" वा ""अनुपमा सौन्दर्यवती"" इति भवति"	1	(:Human {'lemma': अहल्या})-[:IS_WIFE_OF]->({'lemma': गौतम}); (:Human {'lemma': अहल्या})<-[:IS_HUSBAND_OF]-({'lemma': गौतम}); (:Human {'lemma': अहल्या})-[:WAS_RAPED_BY_INDRA]->({'lemma': इन्द्र})
190	वालिनः (वानरस्य) नाम 'वालि' कथं जातम्?	ऋक्षराजस्य केशेषु इन्द्रस्य वीर्यपतनात् उत्पन्नः अतः		वालिनः नाम 'वालि' सूर्यपुत्रत्वात्	1		वालिनः नाम 'वालि' पितृतः जातम्	1	(:Monkey {'lemma': वालिन्})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': वालिन्})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्})	वालिनः नाम्नः उत्पत्तेः विषये रामायणे स्पष्टं विवरणं न प्राप्यते तथापि, सामान्यतया वानराणां नामानि तेषां शारीरिक लक्षणानुसारं वा व्यवहारानुसारं वा दीयन्ते 'वालि' शब्दस्य अर्थः 'बलवान्' वा 'शक्तिशाली' इति भवति, यत् तस्य शारीरिक सामर्थ्यं सूचयति परन्तु एतत् केवलं अनुमानम्, न तु रामायणे स्पष्टतया उक्तम्	1	(:Monkey {'lemma': वालिन्})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': वालिन्})<-[:IS_SON_OF]-({'lemma': अङ्गद}); (:Monkey {'lemma': वालिन्})-[:IS_HUSBAND_OF]->({'lemma': तारा})
191	सुग्रीवस्य नाम 'सुग्रीवः' कथं अभवत्?	ऋक्षराजस्य ग्रीवायां सूर्यस्य विर्यपतनात् उत्पन्नः अतः		सुग्रीवः	1	(:Monkey {'lemma': सुग्रीव})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': सुग्रीव})<-[:IS_COUNSELLOR_OF]-({'lemma': प्रभाव}); (:Monkey {'lemma': सुग्रीव})<-[:HAS_RESPONDED_TO_THE_CALL_OF]-({'lemma': दरीमुख})	सुग्रीवस्य नाम 'सुग्रीवः' सूर्यस्य पुत्रत्वात् अभवत्	1	(:Monkey {'lemma': सुग्रीव})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': सुग्रीव})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्})	"क्षमस्व, दत्तेषु निष्कर्षितेषु सुग्रीवस्य नाम्नः कारणं न दृश्यते रामायणानुसारं, सुग्रीवस्य नाम तस्य गुणानुरूपम् अभवत् ""सु"" इति उपसर्गः श्रेष्ठतां सूचयति, ""ग्रीवा"" च कण्ठम् अतः सुग्रीवः इति नाम सुन्दरकण्ठयुक्तः वा श्रेष्ठकण्ठध्वनियुक्तः इति अर्थं द्योतयति"	1	(:Monkey {'lemma': सुग्रीव})<-[:IS_FATHER_OF]-({'lemma': ऋक्षरजस्}); (:Monkey {'lemma': सुग्रीव})<-[:IS_COUNSELLOR_OF]-({'lemma': प्रभाव}); (:Monkey {'lemma': सुग्रीव})<-[:IS_ASKED_BY]-({'lemma': शतवल})
192	कुशस्य च लवस्य नाम 'कुश:' तथा 'लव:' कथं अभवत्?	महर्षिः वाल्मीकिः कुशानां मुष्टिं तथा तेषां लवं स्वीकृत्य द्वयोः बालकयोः भूतबाधायाः निवारणाय रक्षाविधेः उपदेशं कृतवान् अतः		कुशात्, लवात्	1		कुशस्य च लवस्य नाम 'कुश:' तथा 'लव:' अभवत् कुशलवा नाम द्वित्वेन जन्माभ्याम्	1		"कुशेन लवेन च 

रामस्य पुत्रयोः नामकरणं कुशेन लवेन च कृतम् इति पुराणेषु वर्णितम् कुशः यज्ञकुशेन स्पृष्टः, लवश्च लवङ्गेन स्पृष्टः इति कथा प्रचलिता तेन तयोः नामनी कुशः लवश्च इति अभवताम्"	1	(:Human {'lemma': राम})<-[:IS_FATHER_OF]-({'lemma': दशरथ}); (:Human {'lemma': कुश})<-[:IS_SON_OF]-({'lemma': अमूर्तरजस}); (:Human {'lemma': कुश})<-[:IS_SON_OF]-({'lemma': कुशाम्ब})
193	गङ्गा 'जाह्नवी' इति कथं उच्यते?	जह्नुऋषेः जङ्घातः उत्पन्ना अतः; गङ्गा जाह्नवी इति जह्नुमुनिना स्वीकृतात्; जह्नोः अपत्यत्वात्; जह्नुना धृता इति हेतोः जाह्नवी		जह्नुपुत्री	1	(:River {'lemma': गङ्गा})<-[:SACRIFICIAL_AREA_WAS_OVERFLOODED_BY]-({'lemma': जह्नु}); (:River {'lemma': गङ्गा})-[:WAS_RELEASED_BY]->({'lemma': शङ्कर}); (:River {'lemma': गङ्गा})-[:IS_DAUGHTER_OF]->({'lemma': हिमवान्})	जाह्नवी इति उच्यते कारणात् जह्नुना गङ्गायाः प्रवाहस्य पानात्	1	(:River {'lemma': गङ्गा})-[:WAS_RELEASED_INTO]->({'lemma': बिन्दु}); (:River {'lemma': गङ्गा})-[:WAS_RELEASED_BY]->({'lemma': शङ्कर}); (:River {'lemma': गङ्गा})-[:IS_DAUGHTER_OF]->({'lemma': हिमवान्})	जह्नुना पीतत्वात्	1	(:River {'lemma': गङ्गा})<-[:SACRIFICIAL_AREA_WAS_OVERFLOODED_BY]-({'lemma': जह्नु}); (:River {'lemma': गङ्गा})-[:WAS_RELEASED_BY]->({'lemma': शङ्कर}); (:River {'lemma': गङ्गा})-[:IS_DAUGHTER_OF]->({'lemma': हिमवान्})
194	रामायणे कति काण्डाः सन्ति?	सप्त		षट्	1		रामायणे सप्त काण्डाः सन्ति	1		उत्तरम्: सप्त काण्डैः	1	
195	रामायणमाहात्म्ये कति अध्यायाः सन्ति?	पञ्च		सप्त	1		रामायणमाहात्म्ये २४ अध्यायाः सन्ति	1		उत्तरम्: पञ्च	1	
196	रामायणे कति सर्गाः सन्ति?	पञ्चशतम्;  ५००		सप्ततिः	1		रामायणे ५०० सर्गाः सन्ति	1		"उत्तरम्: षट्सहस्रैः श्लोकैः

रामायणे षट् काण्डानि सन्ति, प्रत्येकं काण्डे अनेके सर्गाः विद्यन्ते कुल मिलित्वा षट्सहस्रैः श्लोकैः (लगभग 24,000 श्लोकाः) रामायणं रचितम् अस्ति परन्तु सर्गाणां सङ्ख्या निश्चितरूपेण न ज्ञायते, यतः विभिन्नेषु संस्करणेषु किञ्चित् भेदः दृश्यते"	1	
197	रामायणे कति श्लोकाः विरचिताः सन्ति?	चतुर्विशतिसहस्रम्; २४०००; चतुर्विंशतिसहस्राणि		उत्तरम्: २४,०००	1		रामायणे 24,000 श्लोकाः विरचिताः सन्ति	1		"उत्तरम्: चतुर्विंशति-सहस्रैः श्लोकैः

रामायणे सामान्यतया 24,000 श्लोकाः विद्यन्ते इति प्रसिद्धम् यद्यपि विभिन्नेषु संस्करणेषु श्लोकसंख्यायाम् अल्पं भेदः दृश्यते, तथापि चतुर्विंशति-सहस्र-श्लोकाः इति प्रामाणिकं मन्यते"	1	
198	लक्ष्मणः कति वर्षाणि यावत् निद्रां त्यक्तवान्, येन सः मेघनादस्य वधं कर्तुं शक्नुयात्?	द्वादश		चतुर्दशवर्षाणि	1		लक्ष्मणः चतुर्दश वर्षाणि यावत् निद्रां त्यक्तवान्	1		चतुर्दश वर्षाणि	1	(:Rakshasa {'lemma': मेघनाद})-[:IS_SON_OF]->({'lemma': रावण}); (:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ}); (:Rakshasa {'lemma': मेघनाद})-[:WENT_TO_FIGHT_WITH]->({'lemma': हनुमान्})
199	लङ्कां प्रति गमनाय समुद्रे निर्मितस्य सेतोः दैर्घं कियत् आसीत्?	शतं योजनानि; शतयोजनम्		उत्तरम्: शतयोजनम्	1		सेतोः दैर्घं 100 योजनानि आसीत्	1	(:Country {'lemma': लङ्का})<-[:IS_SITUATED_IN]-({'lemma': त्रिकुट}); (:Country {'lemma': लङ्का})<-[:IS_SITUATED_IN]-({'lemma': निकुम्भिला}); (:Country {'lemma': लङ्का})<-[:DID_MARCH_TO]-({'lemma': जम्भ})	शतयोजनम्	1	(:Country {'lemma': लङ्का})<-[:IS_SITUATED_IN]-({'lemma': त्रिकुट}); (:Country {'lemma': लङ्का})<-[:IS_SITUATED_IN]-({'lemma': निकुम्भिला}); (:Country {'lemma': लङ्का})<-[:DID_MARCH_TO]-({'lemma': जम्भ})
200	लक्ष्मणः एकस्मिन्नवसरे कति बाणान् विस्रष्टुं समर्थः?	पञ्चशतम्		शतम्	1		लक्ष्मणः एकस्मिन्नवसरे अनेकान् बाणान् विस्रष्टुं समर्थः	1	(:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ})	क्षमस्व, रामायणे लक्ष्मणस्य एकस्मिन् अवसरे कति बाणान् विस्रष्टुं समर्थः इति विशिष्टं विवरणं न प्राप्यते लक्ष्मणस्य धनुर्विद्यायां निपुणता प्रसिद्धा, परन्तु तस्य बाणसंख्यायाः विषये निश्चितं तथ्यं नास्ति	1	(:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ}); (:Human {'lemma': लक्ष्मण})<-[:IS_SON_OF]-({'lemma': अङ्गद}); (:Human {'lemma': लक्ष्मण})<-[:IS_SON_OF]-({'lemma': चन्द्रकेतु})
201	श्रीरामः समुद्रात् मार्गं दातुं विनयं कुर्वन् तस्य तटे कियन्ति दिनानि प्रतीक्षमाणः आसीत्?	त्रीणि; त्रीणि दिनानि		त्रीणि	1	({'lemma': श्रीराम}); ({'lemma': समुद्र}); ({'lemma': मार्ग})	त्रीणि दिनानि	1		"उत्तरम्: त्रीणि दिनानि

श्रीरामः समुद्रात् मार्गं प्राप्तुं त्रीणि दिनानि यावत् समुद्रतटे प्रतीक्षमाणः आसीत् रामायणे वर्णितं यत् रामः समुद्रं तरितुं मार्गं याचमानः त्रीन् दिवसान् उपवासं कृत्वा समुद्रतटे तिष्ठति स्म"	1	
202	लंकानगरी कियत् दूरं यावत् विस्तृता आसीत्?	त्रिंशद्योजनविस्तीर्णा; त्रिंशत्		दशयोजनम्	1		लंकानगरी 100 योजनानि विस्तृता आसीत्	1		"उत्तरम्: योजनशतेन

यद्यपि प्रश्ने ""nan"" दृश्यते, रामायणानुसारं लंकानगरी योजनशतेन (100 योजनैः) विस्तृता आसीत् एकं योजनं प्रायः 12-15 किलोमीटर इति मन्यते"	1	
203	मन्दोदरीम् व्यतिरिक्ताः रावणस्य अन्याः कियत्यः पत्न्यः आसन्?	सहस्रम्		त्रयः	1		अन्याः पत्न्यः नासन्	1	(:Rakshasa {'lemma': रावण})<-[:IS_CROSSED_BY]-({'lemma': पम्पा})	"त्रयः

रावणस्य मन्दोदरीं व्यतिरिच्य त्रयः अन्याः पत्न्यः आसन् रामायणे रावणस्य चतस्रः पत्न्यः उल्लिखिताः सन्ति, यासु मन्दोदरी प्रमुखा आसीत् अतः मन्दोदरीं विहाय त्रयः अन्याः पत्न्यः रावणस्य आसन्"	1	(:Asura {'lemma': मन्दोदरी})-[:WAS_PRINCIPLE_WIFE_OF]->({'lemma': रावण}); (:Rakshasa {'lemma': रावण})<-[:WAS_PRINCIPLE_WIFE_OF]-({'lemma': मन्दोदरी}); (:Asura {'lemma': मन्दोदरी})-[:IS_MOTHER_OF]->({'lemma': मेघनाद})
