ID	QUESTION	ANSWER	OPTIONS	LLM_Answers	LLM_Answers_append
500	जाम्बवतः पितुः नाम किम्?	गद्गदः		विष्णु; जाम्बवतः पितुः नाम जाम्बवान् अस्ति; ऋक्षराजः; जम्बवतः पितुः नाम ऋक्षराजः आसीत्; बृहद्बलः; ऋक्ष; जाम्बवतः पितुः नाम जाम्बवन् अस्ति; बृहस्पतिः; ब्रह्मन्; जाम्बवतः पितुः नाम वाली इति; जाम्बवतः पितुः नाम विष्णुः; उत्तरम् अज्ञातम्  रामायणे जाम्बवतः पितुः नाम स्पष्टतया नोक्तम् तस्य पितृविषये विशेषविवरणं न प्राप्यते अतः तस्य पितुः नाम अज्ञातमेव मन्यते; जाम्बवतः पितुः नाम ज्ञातं नास्ति रामायणे वा अन्येषु पुराणेषु वा जाम्बवतः पितुः ना; अज्ञातम्  दत्तेषु सन्दर्भेषु जाम्बवतः पितुः नाम न उल्लिखितम् तस्मात् अस्य प; जम्बवतः पितुः नाम ऋक्षराजः आसीत्  ऋक्षराजः बृहस्पतेः देवगुरुः ससृजत्; कृतवीर्यः; ब्रह्मा; गरुडः; सुग्रीव; विश्वामित्रः; जाम्बवतः पितुः नाम अस्माकं ज्ञाने न विद्यते रामायणे वा पुराणेषु वा जाम्बवतः पितुः न; प्रजापतिः; जाम्बवतः पितुः कपित्थः इति नामानि; विरिञ्चः; जम्बवतः पितुः नाम ऋक्षराजः इति   संदर्भः   ततो वृद्धमुपागम्य नियमेनाभ्यवादयत्  गृह्य जाम्बवतः पादौ हनूमान्मारुता; मालीकेतुः; जाम्बवतः पितुः नाम द्रोणः; जाम्बवान्; दनुः; मरीचिः; जम्बवंतः ऋक्षराजः भाल्लुकः इत्यपि कथ्यते सः भगवतः श्रीरामस्य परमभक्तः आसीत्   जम्बवतः पितुः नाम ऋक्षराजः इति; विश्वामित्र; जाम्बवतः पितुः नाम किम्; ऋक्षः; बृहस्पति; तव प्रश्ने जाम्बवतः पितुः नाम पृष्टम् किन्तु रामायणे जाम्बवतः पितुः नाम स्पष्टत; जाम्बवतः पितुः नाम जाम्बवन्तः अस्ति; अज्ञातम्  जाम्बवतः पितुः नाम रामायणे स्पष्टतया न उल्लिखितम् अतः तस्य पितुः नाम अ; जाम्बवान् इति पितुः नाम; जाम्बवतः पितुः कपिपतिः इति नाम्ना विख्यातः आसीत्; दिगम्बरः; विभीषणः	
501	वालिनः पिता कः आसीत् ?	ऋक्षरजः; ऋक्षरजाः		उत्तरम् इन्द्रेण  वालिनः पिता इन्द्रः आसीत् रामायणानुसारं वालिः इन्द्रस्य पुत्रः आसीत्; वालिनः पिता वृत्र इति उच्यते; ऋक्षराजः; विश्रवस्; राजा; इन्द्रः  वालिनं वायुपुत्रं मन्यन्ते केचित्‌ इति श्रुतिः; इक्ष्वाकुः; वालिनः पिता कः आसीत्   वालिनः पिता इन्द्रः आसीत्; वालिनः पिता सुग्रीवः आसीत्; question वालिनः पिता कः आसीत्  answer सुग्रीवः question वालिनः पिता कः आसीत्  answer सुग्रीवः; इन्द्रः; राजा ऋक्षराजः वालिनः पिता आसीत्; इन्द्रः  वालिनं वायुपुत्रं मन्यन्ते इति केचन वदन्ति परन्तु तस्य पिता इन्द्रः एव; वालिनः पिता कः आसीत्   इन्द्रः; इन्द्रः  वालिनः पिता इन्द्रः आसीत् रामायणानुसारं वालिः इन्द्रस्य पुत्रः अभवत्; वालिनः पिता कः आसीत्   उत्तरः ऋक्षरजः; शुक्रः वालिनः पिता आसीत् अहं तव प्रश्नस्य उत्तरम दीयते कियत् ते आह्लादकरं भवेत्; ऋक्षरजा नाम वालिसुग्रीवयोः पिता आसीत् ७०३६०३५; वालिनः पिता इन्द्रः आसीत्; क्षरजः; वालिनः पिता ऋक्षरजः आसीत्; ऋक्षरजा; ऋक्षरजः; वालिनः पिता रावणः आसीत्; वालिनः पिता ऋषि वामीकः आसीत्; इन्द्रः  वालिनं वायुपुत्रं मन्यन्ते केचित्‌; वालिनः पिता ऋक्षराज आसीत्; वालिनः पिता कः आसीत्; वालिनः पिता ऋक्षरजा नाम आसीत्   सर्ववानरराजासीत्तेजसा इव भास्करः   स तु राज्यं चिरं कृत्वा वानराणां हरीश्वरः   ततस्त्व; वालिनः पिता विश्रवसः आसीत्; ऋक्षरजस्; सुग्रीवस्य पिता सूर्यः आसीत्; वालिनः पिता ऋक्षरजा आसीत्; ऋक्षरजाः; कुंभकर्णः; शुक्रः; कुबेरः; सुग्रीवः वालिनः अनुजः आसीत् वालिनः पिता ऋक्षरजः आसीत्	
502	सुग्रीवस्य पितुः नाम किम् आसीत् ?	ऋक्षरजः; ऋक्षरजाः		ऋक्षराजः; सुग्रीवस्य पितुः नाम किम् आसीत्   उत्तरः ऋक्षराजः; सुग्रीवस्य पितुः नाम किम् आसीत्  ऋक्षरजः   संदर्भ    बभूवुर्क्षरजो नाम वानरेन्द्रः प्रतापवान्  ममार्यः पार्थिवः प; रिक्षराजः; वालिनः सुग्रीवस्य च पिता ऋक्षरजः आसीत्; सुग्रीवस्य पितुः नाम वालि आसीत्; ऋक्षरजसः; सुग्रीवस्य पितुः नाम किम् आसीत्; सुग्रीवस्य पितुः नाम वाली आसीत्; सुमाली; सुग्रीवस्य पितुः नाम रिक्षराजः आसीत्; क्षरजः; सूर्यः; सुमालि; सुग्रीवस्य पितुः नाम किम् आसीत्   ऋक्षराजः; सुग्रीवस्य पितुः नाम ऋक्षरजा आसीत्; वाक्लिप्तः; वाली; ऋक्षरजा; रोमपद्; सुग्रीवस्य पितुः नाम सूर्यः आसीत्; अज्ञातम्  रामायणे सुग्रीवस्य पितुः नाम स्पष्टतया न उल्लिखितम् दत्तेषु सन्दर्; ऋक्षरजः; सुग्रीवस्य पितुः नाम सुमित्रो आसीत्; सुग्रीवस्य पितुः नाम किम् आसीत्   वालिः; अर्थ  सुग्रीवस्य पितुः नाम ऋक्षराज आसीत्; वालिः; सुग्रीवस्य पितुः नाम किम् आसीत्   वालि; सुग्रीवस्य पितुः नाम ऋक्षरजः आसीत्; ऋक्षरजस्; बलि; वासुदेवः; सुग्रीवस्य पितुः नाम सूर्य आसीत्; सुग्रीवस्य पितुः नाम रिक्षराजः वाली आसीत्; ऋक्षराज	
503	खरदूषणयोः पिता कः आसीत्?	विश्रवाः		रावण; राक्षसः; मेघनाथ; खरदूषणयोः पिता रावणः आसीत्; रामायणानुसारं खरदूषणयोः पिता तत्रोक्तः नास्ति तौ राक्षसौ रावणस्य भ्रातरौ इति प्; विश्रवा; विराधः; सुमालिः; रावणः खरदूषणौ रावणस्य दौहित्रौ आस्ताम्; खरदूषणयोः पिता कः आसीत्  उत्तरः राक्षसराजः विराधः खरदूषणयोः पिता आसीत्  सन्दर्भः   चतुर्दशसहस्राणि रक्ष; शर्बरीषा; खरदूषणयोः पिता सुमालिः आसीत्; खरदूषणयोः पिता राक्षसानां त्रिशिरा आसीत्; खरदूषणयोः पिता राक्षसेन्द्रः खरः आसीत् ते द्वौ राक्षस; दण्डकः; सुमाली; खरदूषणयोः पिता रक्षसां राजा हिरण्यकशिपुः आसीत्; दुष्ट; खरदूषणयोः पिता रावण आसीत्; question खरदूषणयोः पिता कः आसीत् answer खरदूषणयोः पिता रावणः आसीत् question खरदूषणयोः पिता कः आसीत; त्रिशिरस्; question खरदूषणयोः पिता कः आसीत् answer खरदूषणयोः पिता विश्रवा आसीत् question खरदूषणयोः पिता कः आसीत; दशरथः; विश्रवसा; सन्दर्भेषु खरदूषणयोः पितुः नाम स्पष्टतया न उल्लिखितम् तथापि एकस्मिन् श्लोके ख; विभीषण; विश्वावसुः; खरदूषणयोः पिता कः आसीत्  विश्रवा; विश्रवाः; दूषणः; रावणः; खरदूषणयोः पिता कः आसीत्; रावणः रावणस्य खरदूषणौ भ्रातरौ आस्ताम्; खरदूषणयोः पिता राक्षसेन्द्रः विभीषणः आसीत्; अज्ञातम्  रामायणे खरदूषणयोः पितुः नाम स्पष्टतया न उल्लिखितम् तौ राक्षसौ रावणस	
504	नलस्य (वानरस्य) पिता कः आसीत् ?	विश्वकर्मा		विष्णु; ; ऋक्षराजः; नलस्य नलः पिता सुकेश्वरः आसीत्; विश्वकर्मा  The answer is विश्वकर्मा; विसृजन्तकः; मंदराचार्यः; तारा; कुवलयापीढः; अङ्गदः; तस्य; विश्वकर्मा; वाली; नलस्य पिता नलिनः आसीत्; सुषेणः  नलः नाम वानरः रामायणे प्रसिद्धः तस्य पिता सुषेणः आसीत् सुषेणः विश्वकर; अनिलः वायुः  नलः वानरः वायुपुत्रः आसीत् रामायणे वर्णितं यत् नलः वायोः पुत्रः आस; वालिः; नलस्य वानरस्य पिता विश्वकर्मा आसीत्; तारः; नलस्य पिता वानरस्य वाली आसीत्; अग्निः; नलस्य पिता विश्रवा ऋषिः आसीत्; नलस्य पिता विश्वकर्मा आसीत्; नलस्य पिता वानरः वाली आसीत्; केसरी जाम्बवान्; वृषस्य; नलस्य वानरस्य पिता सुन्दरः आसीत्; नलस्य वानरस्य पिता कः आसीत्; नलस्य पिता विश्वकर्मा आसीत्  संदर्भः   अयं सौम्य नलो नाम तनुजो विश्वकर्मणः  पित्रा दत्तवरः श्रीमान्प्रतिमो विश्वकर्मणः ६०१५; नलस्य पिता विभीषणः आसीत्	
505	नीलस्य (वानरस्य) पिता कः अस्ति ?	अग्निदेवः; अग्निः		विष्णु; विस्वकर्मा; नीलस्य वानरस्य पिता कोऽस्ति; नीलस्य पिता कः अस्ति इति प्रश्नस्य उत्तरं भवति  अग्निः; अञ्जनः; वायुः  तस्य माता अञ्जना वायुपुत्रीकम् अवाप्य तं प्रसुता; नीलस्य पिता केसरी अस्ति   संदर्भ    पद्मकेसरसंकाशस्तरुणार्कनिभाननः  बुद्धिमान्वानरश्रेष्ठः सर्ववानरसत्तमः ४०३८०१; नीलस्य पिता वानरराजः वानरः सिता; अग्निः  नीलस्य पिता अग्निः अस्ति रामायणे नीलः वानरसेनायाः एकः प्रमुखः योद्धा आसीत; नीलस्य पिता अग्निः; नीलस्य पिता केसरी अस्ति; सुग्रीवः; वायुः  पवनपुत्रः नीलः; अग्नि; केसरी; वानरराजानां नीलस्य पिता सुग्रीवः; विश्वकर्मा; अग्निः  नीलस्य पिता अग्निः अस्ति इति सन्दर्भेभ्यः ज्ञायते नीलः अग्नेः पुत्र; नीलस्य वानरस्य पिता सुषेणः इति ज्ञायते; नीलस्य पिता सुषेणः इति रामायणे वर्णितं भवति नीलः एकः वानर; नीलस्य वानरस्य पिता सुषेणः इति ज्ञायते एषः सुषेणः वानरराजस; इन्दु; इंद्रः; उत्तरम् इन्द्रः; अग्निः; नीलस्य वानरस्य पिता हनुमान् अस्ति; नीलस्य पिता वानरराजः वानरः सागरः अस्ति; कपिः; वायुः; अगस्त्यः; मरुति; नीलस्य पिता वानरराजः बालि अस्ति; वायुः  तस्य जननं वायुदेवस्य अशीवारदानरूपेण अभवत्; नीलस्य वानरस्य पिता जाम्बवान् अस्ति	
506	राज्ञः दशरथस्य पितुः नाम किम् आसीत् ?	अजः		दिलीपः; राज्ञः दशरथस्य पितुः नाम अजा आसीत्; प्रत्युत्तरम् राज्ञः दशरथस्य पितुः नाम अजा आसीत्; जनकः; राज्ञः दशरथस्य पितुः नाम आसुर आसीत्; इक्ष्वाकुः; आसुरः; राज्ञः दशरथस्य पितुः नाम किम् आसीत्   उत्तरः अजः; राज्ञः दशरथस्य पितुः नाम अजः आसीत्; अज; दिलीप  दिलीपस्य पत्नी सुकुशला आसीत् दिलीपसुकुशलयोः पुत्रः दशरथः जातः; राज्ञः दशरथस्य पितुः नाम अजय आसीत्; नहुषः; दशरथस्य पितुः कौसल्यामाहात्मा महाकुली नाम्ना नृपः तस्य नाम; राज्ञः दशरथस्य पितुः नाम अजिगर्तः आसीत्; अयोध्यानाथः; आचार्य ऋषि वसिष्ठः; अज्ञातम्; राज्ञः दशरथस्य पितुः नाम अजः आसीत्  सन्दर्भः   अजो नाम नरेशोऽभूत् सत्यवादी जितेन्द्रियः  तस्य पुत्रो महातेजा दशर; अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्य; राज्ञः दशरथस्य पितुः नाम आसीत् अभिजित्; दशरथस्य पितुः नाम अजा आसीत्; कौसल्याः; अयं प्रश्नः कशोऽस्ति राज्ञः दशरथस्य पितुः नाम; अजः; अजस्य; राज्ञः दशरथस्य पितुः नाम किम् आसीत्; question राज्ञः दशरथस्य पितुः नाम किम् आसीत्  answer अजः question राज्ञः दशरथस्य पितुः नाम किम् आसीत्  answer; आसुरजननः	
507	अंगदस्य (वानरस्य) पिता कः आसीत् ?	वाली		सुमेरुः; अंगदस्य वानरस्य पिता कः आसीत्; अंगदस्य पिता वानरः केसरी आसीत्; अंगदस्य पिता सुग्रीवः आसीत्; वालिः  वालिना अंगदः पुत्रत्वेन स्वीकृतः यद्यपि तस्य जैविक पिता इन्द्रः आसीत्; अंगदस्य वानरस्य पिता कः आसीत्   उत्तरः  वालिः  सन्दर्भः   सुग्रीवश्चैव वली च पुत्रावोघबलावुभौ  लोके विश्रुतकर्; अंगदस्य पिता वानरराजः बलि आसीत्; अंगदस्य पिता वाली नामकः वानरः आसीत् वाली एव अंगदस्य पितर; वाली; बालि; वालिः  वालिना क्रोधितेन सूर्येण सह युद्धं कुर्वता स्वपत्नीं रक्षति इति शर्त्याम् अंगदं पादाभ्यां बद्ध्वा आनीतवान्; वालि  वालि अंगदस्य पिता आसीत्; वालिः; उत्तरम् वालिना; अंगदस्य वानरस्य पिता केसरी आसीत्; वली; अंगदस्य पिता बाली आसीत्; अंगदस्य पिता वाली नामकः वानरः आसीत् वाली वीर्यवान् तथा ध; वानरराजः वाली; वालिः    तस्य माता तारा  आसीत्; वज़्रकेतुः; बालिः; अंगदस्य पिता वानरराज सुषेणः आसीत्; वालीः; अंगदस्य पिता वानरराजः वाली आसीत्	
508	श्रीरामस्य, लक्ष्मणस्य, भरतस्य, शत्रुघ्नस्य च पिता कः आसीत् ?	दशरथः		; श्रीरामस्य लक्ष्मणस्य भरतस्य शत्रुघ्नस्य च पिता कः आसीत्; दशरथः रामस्य लक्ष्मणस्य भरतस्य शत्रुघ्नस्य च पिता आसीत्; श्रीरामस्य लक्ष्मणस्य भरतस्य शत्रुघ्नस्य च पिता दशरथः आसीत; दशरथः; श्रीरामस्य लक्ष्मणस्य भरतस्य शत्रुघ्नस्य च पिता राजा दशरथः आसीत्; श्रीरामस्य लक्ष्मणस्य भरतस्य शत्रुघ्नस्य च पिता राजा दशरथः	
509	मन्दोदर्याः पितुः नाम किम् आसीत् ?	मयः; मयदानवः; मयासुरः		मया खेदेन वक्तव्यं यत् दत्तेषु सन्दर्भेषु मन्दोदर्याः पितुः नाम न दृश्यते अतः अ; मयः  सः  दैत्यराज  आसीत्; पितुः नाम जनकः आसीत्; जनकः; मयसुरः; मन्दोदर्याः पितुः नाम किम् आसीत्   उत्तरः मयः; मन्दोदर्याः पितुः नाम मन्दोदरी इति अस्ति; मयासुरः; मयः; मयः  मन्दोदर्याः पिता मयः आसीत् स असुरवंशीयः प्रसिद्धः शिल्पी च आसीत्; मदायस; मायः मन्दोदर्याः पितुः नाम আছে; मरीचिः्; उत्तरम् मयः  मन्दोदर्याः पिता मयः नाम्ना प्रसिद्धः आसीत् मयः दानवराजः विश्वकर्मा च आसीत्; मन्दोदर्याः पितुः कृष्णः नामासीत्; मधु; नहुषः; मयः  सः अस्ति असुरसम्राट्; मन्दोदर्याः पितुः नाम वसिष्ठः आसीत्; मन्दोदर्याः पितुः नाम मायावी आसीत्; महर्षिः; मन्दोदर्याः पितुः नाम मयः आसीत्; मंदोदर्याः पितुः नाम मायावी आसीत्; मयदानवः; मन्दोदर्याः पितुः नाम किम् आसीत्   उत्तरम् कैकस्य; मयः  मन्दोदर्याः पिता मयः नाम असुरः आसीत् सः महान् शिल्पी च आसीत्; मन्दोदर्याः पितुः नाम मन्दोदरी अस्ति; मन्दोदर्याः पितुः नाम जनकः आसीत्; रावणः; मयास्ति; अम्बरीषः; मन्दोदर्याः पितुः नाम किम् आसीत्; सुखदुःखः; मयः  मन्दोदरी रावणस्य पत्नी आसीत् तस्याः पिता मयः नाम दानवः आसीत् अतः मन्दोदर; मायसुराः	
510	(सती) सुलोचनायाः पिता कः आसीत् ?	वासुकिः		सुलोचनाया पिता जनकः आसीत्; सुलोचनायाः पिता कः आसीत्   उत्तरम्  राजा विराधः; जनकः; मैन्दवान्; सुलोचनायाः पिता रावणः आसीत्; मयः; शुक्राचार्यः; question सती सुलोचनायाः पिता कः आसीत्  answer विदर्भाधिपतिः भीमः analysis This question requires the ability to analyze the context and identify the correct answer based on the information provided The; मया क्षम्यताम् परन्तु दत्तेषु सन्दर्भेषु सुलोचनायाः पितुः विषये कोऽपि उल्लेखो न; सती सुलोचनायाः पिता जनकः आसीत्; विरोचनः; सुग्रीवः; मेघनाथः; question सती सुलोचनायाः पिता कः आसीत्  answer विदर्भाधिपतिः भीमः analysis सुलोचना विदर्भाधिपतेः भीमस्य पुत्र; सुमाली; इन्द्रजित्; प्रहर्षणः; सती सुलोचनायाः पिता दंडकस्य पुत्रः कुशध्वजः आसीत्; दशरथः; सत्यकामा; विद्युत्; उत्तरम् मयेन  यद्यपि प्रश्ने दत्तं ज्ञानं पर्याप्तं नास्ति रामायणानुसारं सुलोचना मयदानवस्य पुत्री आसीत् अतः सुलोचनायाः पिता मयः आसीत्; माली; सुवर्णशर्मा; सती सुलोचनायाः पिता राजा सुमित्रः आसीत्; विश्रवाः; दक्षः; दाशरथिः; रावणः; मया खेदः प्रकाश्यते यत् दत्तेषु सन्दर्भेषु सुलोचनायाः पितुः विषये कोऽपि उल्लेखः; सती सुलोचनायाः पिता कः आसीत्; सती सुलोचनायाः पिता विदर्भराजः आसीत्; मेघनादः; सती सुलोचनायाः पिता दशरथः आसीत्; सुलोचनायाः पिता जनकः आसीत्; विभीषणः	
511	महर्षेः परशुरामस्य पितुः नाम किं आसीत् ?	जमदग्निः		महर्षेः परशुरामस्य पितुः जामदग्नि नामासीत्; जामदग्न्यः; महर्षेः परशुरामस्य पितुः नाम जमदग्निः आसीत्; परशुरामस्य पितुः जमदग्निः आसीत्; जमदग्नि; दशरथः; महर्षेः परशुरामस्य पितुः नाम किं आसीत्; जमदग्निः  महर्षेः परशुरामस्य पिता जमदग्निः आसीत् जमदग्निः ऋचीकस्य पुत्रः भृ; विश्वामित्रः; उत्तरम् जमदग्नेः  महर्षेः परशुरामस्य पिता जमदग्निः आसीत् जमदग्निः भृगुवंशीयः महर्षिः आसीत् यः परशुरामस्य पिता अभवत्; question महर्षेः परशुरामस्य पितुः नाम किं आसीत्  answer भृगुः analysis परशुरामस्य पितुः नाम भृगुः आसीत्; अत्रैव प्रश्नस्य प्रत्युत्तरं दास्यामि महर्षेः परशुरामस्य पितुः नाम जमदग्नि आसीत्; परशुरामस्य पितुः जमदग्निरिति नामानि आसन् जमदग्नेः यज्ञव; जमदग्निः; महर्षेः परशुरामस्य पितुः जमदग्निर् आसीत्; जामदग्नि	
512	महर्षेः विश्वामित्रस्य पितुः नाम किं आसीत् ?	गाधिः		गादी; गादिः; महर्षिः विश्वामित्रस्य पितुः नाम गाधि आसीत्; महर्षिः विश्वामित्रः कश्यप ऋषिणः पुत्रः आसीत्; गाधि; विश्वामित्रस्य पितुः नाम गाधिरथः आसीत्; महर्षेः विश्वामित्रस्य पितुः गाधि नाम आसीत्; कुशिकः; ऋषिः ऋचीकः; गादि; गाधिः; विश्वामित्रः महर्षेः पिता कश्यपः आसीत्; वासिष्ठः; महर्षि विश्वामित्राचे पिताचे नाव कशीष; महर्षेः विश्वामित्रस्य पितुः नाम कण्व आसीत्; गादिः  विश्वामित्रस्य पूर्वजन्मनि राजत्वात् गादिवंशस्य राजा इति सः गादिः इति नाम्ना प्रसिद्धः आसीत्; गाधिना; महर्षेः विश्वामित्रस्य पितुः नाम कुशिकः आसीत्; महर्षेः विश्वामित्रस्य पितुः नाम किं आसीत्; गादिः  विश्वामित्रः पूर्वं राजा आसीत् गादिः तस्य राज्ञाम काले नाम आसीत्; विश्वामित्रस्य पितुः नाम गाधिः आसीत्; कुशाम्बी   ध्यानार्थम्   एतत् उत्तरम् एकेन पदेन न शक्यते दातुम् इति अनेन नियमः अपवादः कृतः; विश्वामित्रस्य पितुः नाम गादि आसीत्; महर्षेः विश्वामित्रस्य पितुः नाम कुशिकः आसीत्   स्रोतः रामायणम् बालकाण्डम् सर्गः १ श्लोकः १०५९००५; विश्वाचित्रस्य पितुः नाम गाधिः आसीत्; गधिः; गादीः; महर्षि कश्यपः	
513	सुमालिनः (राक्षसस्य) पिता कः आसीत्?	सुकेशः		सुमालिनः राक्षसस्य पिता सेतु आसीत्; रावण; सुमालेः पिता मालयवान् आसीत्; विश्रवस्; अज्ञातम्  सन्दर्भेषु सुमालिनः पितुः नाम न उल्लिखितम् तस्य पितृविषये किमपि स्पष्; विश्रवा; सुमालिनः पिता राक्षसराजः मन्दोदरी इति प्रसिद्धः आसित्; सुमालिनः राक्षसस्य पिता कः आसीत्  माल्यवान्  संदर्भ   ये त्वया निहतास्ते वै पौलस्त्या नाम राक्षसाः  सुमाली माल्यवान्माली ये; विश्वकर्मणः   सुमालिः विश्वकर्माणः पुत्रः आसीत्; सुमालिनः राक्षसस्य पिता रावणः आसीत्; मालिः; हेमङ्करः; पुलस्त्यः; विष्णुः; सुमालिनः पिता राक्षसः रावणः आसीत् रावणः दशग्रीवस्य पिता; सुमाली; सुकेतुः; विश्वकर्मा  सुमालिनः विश्वकर्मणः पुत्रः आसीत्; सुकेशः; सुमालिनः पिता रावणः आसीत्; सुमालिनः पिता सुकेशः आसीत्; सुमालिनः राक्षसस्य पिता केतुमान् आसीत्; सुमालिनः पिता सुमाली इति ज्ञायते; उत्तरम् मालिना; माली; मलयवाहनः; विश्वावसुः; विश्वकर्मणा; मालि; मुनिः; सुमालिनः पिता त्वष्टृ आसीत्; सुमालिनः राक्षसस्य पिता पौलस्त्यः आसीत्; रावणः; सुमालिनः राक्षसस्य पिता कः आसीत्; सुमालेः पिता मालि आसीत्; मारीचः; माल्यवान्; विभीषणः	
514	लवणासुरस्य पिता कः आसीत् ?	मधुुदैत्यः; मधुः		लवणासुरस्य पिता समुद्रः आसीत्; रावण; मदु; मधुः; लवणासुरस्य पिता सूर्यः आसीत्; मद्रः  कारणं तु रावणस्य पत्नी मन्दोदरी अस्य माता आसीत्; रामासुरः; अहल्या; शत्रुघ्नः लवणासुरस्य पिता न आसीत् लवणासुरस्य पिता मधुः आसीत्  मधुः अत्यन्तं; मधुदैत्यः; मधु; शतघ्नः  लवणासुरस्य पिता मधुः आसीत् मधुः एकः असुरः आसीत् यः लवणासुरस्य जनकः इ; लवणासुरस्य पिता इक्ष्वाकुः नाम्ना महाराजः आसीत् इक्ष्वाकुः; विश्वामित्रः; ऋषभः; मद्दु; लवणासुरस्य पिता कश्चन राक्षसो नाम उपलभ्यते अस्य पिता नाम्ना म; मद्रु; लवणासुरस्य पिता कुम्भीनसी आसीत्; मदhu; शत्रुघ्नः लवणासुरस्य पिता न आसीत् लवणासुरस्य पिता मधुः आसीत्  मधुः नाम राक्षस; मद्हु; लवणासुरस्य पिता कः आसीत्; मद्रः  रावणस्य आज्ञया लवणासुरः यज्ञविध्वंसं करोति स्म; मदनः; अजः; मद्रः   मद्रस्य पुत्रः लवणासुरः; question लवणासुरस्य पिता कः आसीत्  answer मधु analysis लवणासुरस्य पिता मधु आसीत्  reasoning लवणासुरस्य पिता मधु आस; मद्धु; लवणासुरस्य पिता मधु आसीत्; सुरसेनः; उत्तरम् मधुः  लवणासुरस्य पिता मधुः आसीत् रामायणे मधुः नाम राक्षसः लवणासुरस्य जनकः इति वर्णितम्; रावण आसीत्; लवणासुरस्य पिता मधुः आसीत्   संदर्भः ७०५३०१६; मद्रेशः; लवणासुरस्य पिता मधुः आसीत्; शुक्रः; लवणासुरस्य पिता इक्ष्वाकुराजा राजा हतः आसीत्	
515	शतानन्दस्य (जनकस्य पुरोहितस्य) पिता कः आसीत् ?	गौतमः		अनेकनासः; पराशरः; शतानन्दस्य जनकस्य पुरोहितस्य पिता कः आसीत्; गौतमः  शतानन्दस्य पिता गौतमः ऋषिः आसीत् गौतमः महर्षिः अहल्यायाः पतिः च आसीत; गौतमः; शतानन्दः; शतानन्दस्य पिता जनकः आसीत्; शतानन्दस्य पिता गोतम आसीत्; उत्तरम् गौतमेन  शतानन्दस्य पिता गौतमः आसीत् गौतमः प्रसिद्धः ऋषिः आसीत् यस्य पुत्रः शतानन्दः जनकस्य पुरोहितः अभवत्; विश्वामित्रः; शतानन्दस्य पिता विश्वामित्रः आसीत्; शतानन्दस्य पिता कः आसीत्   उत्तरः गौतमः; शतानन्दस्य पिता गौतमः आसीत्; पूर्वासहः  शतानन्दस्य पिता पूर्वासहः आसीत् वाल्मीकि रामायणे बालकाण्डे एतत् उल्; शतानन्दस्य जनकस्य पुरोहितस्य पिता कः आसीत्  शतानन्दस्य पिता कुश; शतानन्दस्य पिता वसिष्ठः आसीत्; गार्ग्यः; जनकस्य पुरोहितस्य पिता शतानन्दः आसीत्; शतानन्दस्य पिता आश्वलायनः आसीत्; दक्ष   The father of Shतानन्द the priest of Janaka was दक्ष; देवलः; देवरातः; मिथिः; वसिष्ठः; शतानन्दस्य पिता कः आसीत्  शतानन्दस्य पिता कुशध्वजः आसीत्   संदर्भ   रामायणम् बालकाण्डम् सर्गः १०६९ श्लोकः २; शतानन्दस्य जनकस्य पुरोहितस्य पिता विश्वामित्रः आसीत्	
