ID	QUESTION	ANSWER	CHOICES	LLM_Answers
52	कट्फलः एतेषु कस्य पर्यायः न अस्ति?	अङ्गारवल्ल्याः	कैटर्यस्य/ अङ्गारवल्ल्याः / श्रीपर्णिकायाः / भद्रवत्याः	"अङ्गारवल्ल्याः; भद्रवत्याः  कट्फलः एतस्याः पर्यायः न; कैटर्यस्य; श्रीपर्णिकायाः; भद्रवत्याः कट्फलः श्रीपर्णिकायाः पर्यायः अस्ति; श्रीपर्णिकायाः

कट्फलः शब्दः कैटर्यस्य अङ्गारवल्ल्याः भद्रवत्याः च पर्य; भद्रवत्याः; भद्रवत्याः  कट्फलः एषा नलिनीनाम; श्रीपर्णिकायाः

कट्फलस्य पर्यायाः सन्ति कैटर्य अङ्गारवल्ली भद्रवती इत्याद"
53	धातकी एतेषु कस्य पर्यायः न अस्ति?	भद्रायाः	ताम्रपुष्प्याः / कुन्जरायाः / भद्रायाः / वह्निज्वालायाः	"वह्निज्वालायाः; धातकी एतेषु भद्रायाः पर्यायः न अस्ति; question धातकी एतेषु कस्य पर्यायः न अस्ति choices ताम्रपुष्प्याः  कुन्जरायाः  भद्रायाः  वह्निज्वालायाःquestion; वह्निज्वालायाः

धातकी शब्दः ताम्रपुष्प्याः कुन्जरायाः भद्रायाः इत्येतेषां पर्य; कुन्जरायाः; वह्निज्वालायाः

धातकी शब्दः ताम्रपुष्पी कुन्जरा भद्रा इत्येतेषां पर्यायवाची अस; भद्रायाः"
54	भावप्रकाशानुसारं मण्डूकपर्णी एतेषु कस्य पर्यायः अस्ति?	मञ्जिष्ठा	मण्डूक्याः / ब्रह्म्याः / मञ्जिष्ठा	"मञ्जिष्ठा 

मण्डूकपर्णी मञ्जिष्ठायाः पर्यायः अस्ति यतः अस्याः पर्णानि मण्डूकस्य पृष्ठत्वक्सदृशानि भवन्ति; मण्डूक्याः; मञ्जिष्ठायाः; मञ्जिष्ठा; मण्डूकपर्णी ब्रह्म्याः पर्यायः अस्ति; मण्डूकपर्णी; मञ्जिष्ठा 

मण्डूकपर्णी मञ्जिष्ठायाः पर्यायः अस्ति यतः अस्याः पर्णानि मण्डूकस्य पृष्ठभागे  सदृशानि भवन्ति; मञ्जिष्ठा  मञ्जिष्ठायाः पर्णानि मण्डूकस्य पर्णाभासानानि इति हेतुतः; ब्रह्म्याः"
55	मञ्जिष्ठा एतेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	मण्डूकपर्ण्याः / योजनवल्ल्याः / रक्तयष्टिकायाः / भद्रवत्याः	"योजनवल्ल्याः 

योजनवल्ली दूर्वायाः पर्यायः अस्ति न तु मञ्जिष्ठायाः; मञ्जिष्ठा एतेषु कस्य पर्यायः नास्तिquestion मञ्जिष्ठा एतेषु कस्य पर्यायः नास्ति choices मण्डूकपर्ण्याः ; मण्डूकपर्ण्याः 

मञ्जिष्ठा रक्तयष्टिका योजनवल्ली भद्रवती इत्यादिनाम् पर्यायः अस्ति; भद्रवत्याः; रक्तयष्टिकायाः; भद्रवत्याः 

भद्रवती जातीलतायाः पर्यायः अस्ति मञ्जिष्ठायाः न; मण्डूकपर्ण्याः"
56	विशेषाद्वयङ्गनाशनः एतेषु कस्य कर्म अस्ति?	अलक्तकस्य	अलक्तकस्य / शाल्मल्याः / मधुयष्ट्याः / नीमस्य	"विशेषाद्वयङ्गनाशनः एतेषु अलक्तकस्य कर्म अस्ति; शाल्मल्याः  रावणेन सीताहरणस्य अनन्तरम् शाल्मली वृक्षस्य अधः तस्याः रक्षणं कृतम्; शाल्मल्याः; मधुयष्ट्याः

विशेषाद्वयङ्गनाशनः इति मधुयष्ट्याः यष्टिमधुकस्य एकं गुणम; मञ्जिष्ठायाः; question विशेषाद्वयङ्गनाशनः एतेषु कस्य कर्म अस्ति choices अलक्तकस्य  शाल्मल्याः  मधुयष्ट्याः  नीमस्य; नीमस्य; answer अलक्तकस्य answer अलक्तकस्य; मधुयष्ट्याः; नीमस्य 

नीमस्य विशेषाद्वयङ्गनाशनत्वं प्रसिद्धम्; अलक्तकस्य; उत्तरम् मधुयष्ट्याः

मधुयष्टिः यष्टिमधु विशेषतः व्यङ्गनाशनस्य गुणैः प्रसिद्धा आयुर्वेदे मधुयष्टिः त्वक्दोषहरं वर्ण्यं च औषधम् मन्यते यत् व्यङ्गादीन् त्वग्दोषान् नाशयति; question विशेषाद्वयङ्गनाशनः एतेषु कस्य कर्म अस्ति answer नीमस्य analysis नीमस्य कर्म विशेषाद्वयङ्गनाशनः अस्ति"
57	पलङ्कषा एतेषु कस्य पर्यायः अस्ति?	लाक्षायाः	मण्डूकपर्ण्याः / लाक्षायाः / गुगुलस्य / बह्म्याः	"पलङ्कषा लाक्षायाः पर्यायः अस्ति; question पलङ्कषा एतेषु कस्य पर्यायः अस्ति choices मण्डूकपर्ण्याः  लाक्षायाः  गुगुलस्य  बह्म्याःquestion प; गुगुलस्य; गोक्षुरस्य; लाक्षायाः 

पलङ्कषा लाक्षायाः पर्यायः अस्ति यतः एतत् लाक्षानिर्मितं भवति; उत्तरम् लाक्षायाः

पलङ्कषा शब्दः लाक्षायाः पर्यायवाची अस्ति लाक्षा एका प्राकृतिका रञ्जकद्रव्यम् अस्ति या कीटेभ्यः प्राप्यते; लाक्षायाः  लाक्षा नामकः पदार्थः पलङ्कषायाः निर्माणे उपयुज्यते ; लाक्षायाः  रावणः सीताम् हर्तुम् लङ्कां गच्छन् मार्गे लक्ष्मणेन निर्मितं लाक्षायाः रेखां अतिक्रान्तवान्; श्वदंष्ट्रायाः; मण्डूकपर्ण्याः; question पलङ्कषा एतेषु कस्य पर्यायः अस्ति choices मण्डूकपर्ण्याः  लाक्षायाः  गुगुलस्य  बह्म्याः question प; लाक्षायाः"
58	हरिद्रा एतेषु कस्य पर्यायः नास्ति?	भद्रायाः	निशायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः	"हटविलासन्याः; भद्रायाः; भद्रायाः

हरिद्रा शब्दस्य पर्यायाः सन्ति निशा योषितप्रिया हटविलासिनी इत्यादयः; निशायाः 

हरिद्रा सामान्यतया शुभकार्येषु भद्रायाः  सुन्दर्योषितप्रियायाः  हठात् प्रसादं विलासञ्च दर्शयन्त्याः हठविला; हटविलासन्याः

कारणम् दत्तेषु निष्कर्षितेषु हरिद्रायाः निशा योषित्प्रिया इत्येतयोः पर्यायत्वं दृश्यते परन्तु हटविलासन्याः पर्यायत्वं न दृश्यते अतः हटविलासन्याः हरिद्रायाः पर्यायः न भवति; हरिद्रा एतेषु भद्रायाः पर्यायः नास्ति; निशायाः 

हरिद्रा रजन्याः पर्यायः नास्ति; योषितप्रियायाः; निशायाः"
59	हरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	काच्चन्याः / पीतायाः / वरवर्णिन्याः / सर्वेषाम्	"पीतायाः; सर्वेषाम्; सर्वेषाम्

हरिद्रा काञ्चन्याः पीतायाः वरवर्णिन्याः च पर्यायः अस्ति अतः सर्वेषां पर्यायः इति उत्तरम्; वरवर्णिन्याः

कारणम् हरिद्रा वर्णे प्रसिद्धा अस्ति; दार्वी; वरवर्णिन्याः  वरवर्णा हि हरिद्रा; वरवर्णिन्याः 

वरवर्णिनी इत्युक्ते  सुवर्णवर्णयुक्ता इति हरिद्रा अपि सुवर्णवर्णयुक्ता भवति; answer सर्वेषाम् answer सर्वेषाम्"
60	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति?	आम्रेण		question कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति answer लशुनेन question कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति answer; सुरभिः; रामस्य; कर्पूरहरिद्रयोः गन्धः कर्पूरगन्धेन तुल्यः अस्ति; कर्पूरः; न; रामायणे कर्पूरहरिद्रयोः गन्धः हनुमता तुल्यः वर्णितः अस्ति हनुमान् लङ्कायां प्र; question कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति answer आम्रफलेन question कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति ; रामायणे कर्पूरहरिद्रयोः गन्धः मारुतेन वायुना तुल्यः वर्णितः अस्ति अयं वर्णनं; चन्दनगन्धेन  चन्दनस्य गन्धः कर्पूरहरिद्रयोः गन्धेन तुल्यः अस्ति; चन्दनगन्धेन चन्दनस्य सुगन्धः कर्पूरहरिद्रयोः गन्धेन तुलनीयः अस्ति; लशुनेन; चन्दनगन्धेन  चन्दनस्य गन्धः कर्पूरहरिद्रयोः गन्धेन तुल्यः इति रामायणे वर्णितम्; आम्रगन्धिः; सुरभी; लवङ्ग; रामेण; सुगन्धः; question कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति answer मण्ठ analysis मण्ठस्य गन्धः कर्पूरहरिद्रयोः गन्धेन तुल्यः अस; आम्रगंधि; तुल्यः; कर्पूरहरिद्रयोः गन्धः तिक्तेन तुल्यः अस्ति; सीतया; मृगनाभिः; दारु; सुरभि; कस्तूरी; आम्रेण; श्रीरामस्य पादयोः गन्धेन तुल्यः अस्ति
61	सुरभीदारु एतेषु कस्य पर्यायः अस्ति?	कर्पूरहरिद्रायाः	दारूहरिद्रायाः / हरिद्रायाः / कर्पूरहरिद्रायाः / तेजोहवायाः	"कर्पूरहरिद्रायाः; हरिद्रायाः; दारूहरिद्रायाः

कारणम् सुरभीदारु इति दारूहरिद्रायाः पर्यायः अस्ति दारूहरिद्रा च आम्रगन्धा इति नाम्ना अपि ज्ञायते प्रदत्तनिष्कर्षणे सुरभीदारु आम्रगन्धायाः पर्यायः इति दर्शितम् अतः सुरभीदारु दारूहरिद्रायाः पर्यायः भवति; दारूहरिद्रायाः; सुरभीदारु इति शब्दः हरिद्रायाः पर्यायः अस्ति; तेजोहवायाः; हरिद्रायाः

सुरभीदारु इति हरिद्रायाः एव पर्यायः अस्ति हरिद्रा संस्कृते एकं प्रसि; हरिद्रायाः 

यतः सुरभीदारु  इति  हरिद्रायाः एव पर्यायपदम् अस्ति"
62	कुष्ठवातास्त्रनाशनः एतेषु कस्य गुणः अस्ति?	अरण्यहरिद्रायाः	कर्पूरहरिद्रायाः / हरिद्रायाः / अरण्यहरिद्रायाः / दारूहरिद्रायाः	"दारूहरिद्रायाः; अरण्यहरिद्रायाः

अरण्यहरिद्रा कुष्ठरोगं वातरोगान् तथा अस्त्रजन्यरोगान; अरण्यहरिद्रायाः

अरण्यहरिद्रा वनहरिद्रा कुष्ठरोगं वातरोगं च नाशयति इति; हरिद्रायाः; हरिद्रायाः 

हरिद्रायाः कुष्ठवातास्त्रनाशनरूपेण बहुविधाः औषधीयगुणाः वर्णिताः; हरिद्रायाः

हरिद्रा हल्दी कुष्ठरोगनिवारणे वातरोगशमने च प्रभावशालिनी औषध; हरिद्रायाः  

हरिद्रायाः  रोगनिरोधकगुणाः प्रसिद्धाः; हरिद्रायाः

कारणम् हरिद्रायां कुष्ठवातास्त्रनाशकगुणाः प्रसिद्धाः"
63	दारूहरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	पर्जन्यायाः / कटङ्कटेर्याः / पचम्पचायाः / सर्वेषाम्	"सर्वेषाम्; कटङ्कटेः; पर्जन्यायाः; पर्जन्यायाः  वर्षाकाले दारूणां हरति इति दारूहरिद्रा पर्जन्यस्य पर्यायः; न; पर्जन्यायाः

दारूहरिद्रा वर्षाकालस्य पर्यायः अस्ति यतः तदा एषा औषधिः प्ररोहति; दारूहरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति; कटङ्कटेर्याः; दारूहरिद्रा एतेषु कटङ्कटेर्याः पर्यायः अस्ति; पर्जन्यायाः

दारूहरिद्रा वृष्टेःमेघस्यपर्जन्यस्य पर्यायः अस्ति; उत्तरम् कटङ्कटेर्याः

दारूहरिद्रा कटङ्कटेर्याः पर्यायः अस्ति कटङ्कटेरी आयुर्वेदे प्रसिद्धा औषधीय वनस्पतिः यस्य अन्यत् नाम दारूहरिद्रा अपि अस्ति"
64	निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् अत्र कस्य विषये उक्तम् अस्ति?	अरण्यहरिद्रायाः	हरिद्रायाः / दारूहरिद्रायाः / अरण्यहरिद्रायाः / कर्पूरहरिद्रायाः	"हरिद्रायाः; अरण्यहरिद्रायाः  

कथम्  अरण्यहरिद्रायाः औषधीयगुणाः प्रसिद्धाः; हारिद्रायाः 

निशागुणा हारिद्रा नेत्ररोगे प्रसिद्धा अस्ति; दारूहरिद्रायाः; question निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् अत्र कस्य विषये उक्तम् अस्ति answer अरण्यहरिद्रायाः question निशागुणा; दारूहरिद्रायाः

कथम्  दारूहरिद्रा औषधीयगुणाः नेत्रकर्णास्यरोगेषु उपयुक्ताः भवन्ति"
65	...... तत् नेत्रयोः परं हितम्। कस्य विषये उक्तम् अस्ति?	रसाञ्जनस्य	मुद्गस्य / रसाञ्जनस्य / गृञ्जनस्य / आमलकस्य	"मुद्गस्य; आमलकस्य 

कथम् 

आमलकं नेत्रयोः हितकरम्; रसाञ्जनस्य; आमलकस्य; question  तत् नेत्रयोः परं हितम् कस्य विषये उक्तम् अस्ति answer रसाञ्जनस्य question  तत् नेत्रयोः परं हितम्; आमलकस्य  

नेत्ररोगे आमलकस्य प्रयोगः हितकरः इति आयुर्वेदः वदति; आमलकस्य  

नेत्रयोः हितकरत्वात्"
66	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च कस्य पर्यायाः सन्ति?	रसाञ्जनस्य	रसाञ्जनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	"शिलाजीतः 

तस्य माता तारा पिता वानरराजः वालिः  तार्क्ष्यशैलम् तस्य निवासस्थानम् आसीत्; हरिद्रायाः; तार्क्ष्यशैलं रसगर्भः तार्क्ष्यजं च शिलाजीतः पर्यायाः सन्ति; रामायणस्य; रसाञ्जनस्य; शिलाजीतः; हरिद्रायाः

कथम् हरिद्रा एव तार्क्ष्यशैलरसगर्भतार्क्ष्यजपर्यायाः भवन्ति"
67	बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	सोमराज्याः / कालमेष्याः / शशिलेखायाः / सर्वेषाम्	"सर्वेषाम्; कालमेष्याः; सर्वेषाम्

बाकुची इति सोमराज्याः कालमेष्याः शशिलेखायाः च पर्यायः अस्ति एतानि सर्; सोमराज्याः; सर्वेषाम्

बाकुची एतेषां त्रयाणाम् अपि पर्यायः अस्ति सोमराजी कालमेषी शशिलेख; शशिलेखायाः; बाकुची कालमेष्याः इत्यस्य पर्यायः अस्ति; question बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति choices सोमराज्याः  कालमेष्याः  शशिलेखायाः  सर्वेषाम् question ब; बाकुची इत्यस्य पर्यायः शशिलेखायाः अस्ति; बाकुची इति कालमेष्याः पर्यायः अस्ति; सर्वेषाम्  बाकुची एतेषां सर्वेषां पर्यायः अस्ति यतः एते सर्वे चन्द्रस्य पर्यायाः सन्ति "
68	बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य	"question बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति choices पूतिफल्याः  कालमेष्याः  भद्रवत्याः  अवल्गुजस्य answer; बाकुची अवल्गुजस्य पर्यायः नास्ति; भद्रवत्याः 

बाकुची रावणस्य माता आसीत् सा क्रूरस्वभावा दुष्टा च आसीत् अतः भद्रवती इति पदं तस्याः कृते न उपयुज्यते; कालमेष्याः; भद्रवत्याः 

बाकुची रावणस्य माता इति ज्ञातम्  रावणस्य माता क्रूरस्वभावा आसीत् न तु भद्रा ; पूतिफल्याः; अवल्गुजस्य 

बाकुची राक्षसी नास्ति सा तु अवलुजस्य पत्नी; भद्रवत्याः; अवल्गुजस्य; बाकुची अधोलिखितेषु अवल्गुजस्य पर्यायः नास्ति"
69	मेषलोचनः अधोलिखितेषु कस्य पर्यायः अस्ति?	चक्रमर्दस्य	कुष्ठस्य/ चक्रमर्दस्य / कासमर्दस्य / मेषश्रृङ्ग्याः	"मेषलोचनः चक्रमर्दस्य पर्यायः अस्ति; मेषश्रृङ्ग्याः; चक्रमर्दस्य

कथम् मेषलोचनः इति चक्रमर्दस्य विष्णोः अपरं नाम अस्ति; चक्रमर्दस्य; कुष्ठस्य; मेषलोचनः कासमर्दस्य पर्यायः अस्ति; कासमर्दस्य; मेषश्रृङ्ग्याः

मेषलोचनः एवं मेषश्रृङ्गी एकस्यैव वनस्पतेः नामनी स्तः"
70	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	प्रपुन्नाटस्य / द्रद्रुघ्नस्य / एडगजस्य / सर्वेषाम्	"सर्वेषाम्; सर्वेषाम्

चक्रमर्दः प्रपुन्नाटस्य द्रद्रुघ्नस्य एडगजस्य च पर्यायः अस; प्रपुन्नाटस्य एडगजस्य च; प्रपुन्नाटस्य; द्रौपदेयस्य; द्रद्रुघ्नस्य; question चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति choices प्रपुन्नाटस्य  द्रद्रुघ्नस्य  एडगजस्य  सर्वेषाम् question; एडगजस्य; सर्वेषाम्

चक्रमर्दः प्रपुन्नाटस्य द्रद्रुघ्नस्य तथा एडगजस्य पर्यायः अ"
71	अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति?	सोमराज्याः	विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः	"शुक्लकन्दायाः; अतिविषायाः; सोमराज्याः

अतिविषा विश्वा शुक्लकन्दा च अतिविषायाः पर्यायाः सन्ति परन्तु सोमराज्या अतिविषायाः पर्यायः न अस्ति अतः सोमराज्या एव अत्र उचितम् उत्तरम्; शुक्लकन्दायाः  शुक्लकन्दा  इति पदं  अतिविषायाः पर्यायः नास्ति ; सोमराज्याः; सोमराज्यायाः; शुक्लकन्दायाः

अतिविषायाः पर्यायाः सन्ति  विश्वा घुणवल्लभा सोमराजी इत्यादयः; घुणवल्लभायाः; शुक्लकन्दायाः  शुक्लकन्दा चन्द्रस्य पर्यायपदम् अस्ति न तु विषस्य; सोमराज्याः

अतिविषायाः पर्यायाः भवन्ति विश्वा शुक्लकन्दा घुणवल्लभा इत्यादयः; अत्र उत्तरम्  शुक्लकन्दायाः

कारणम्  अतिविषा नाम विषवैद्यकशास्त्रे प्रसिद्धं; सोमराज्याः  सोमराज्यं रावणस्य न तु विषस्य पर्यायः अस्ति"
72	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्रृंग्याः / अरुणयाः / भङ्गुरायाः / सर्वेषाम्	"सर्वेषाम्

सर्वाणि एतानि नामानि अतिविषायाः पर्यायवाचकानि सन्ति ; सर्वेषाम्; अतिविषा अधोलिखितेषु कस्य पर्यायः अस्तिquestion अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति choices श्रृंग्याः  अरुणय; श्रृंग्याः; विश्वा; विषायाः; अतिविषा भङ्गुरायाः पर्यायः अस्ति; श्रृङ्ग्याः; अरुणयाः; सर्वेषाम् 

सर्वाणि एतानि नामानि अतिविषायाः पर्यायाः सन्ति; भङ्गुरायाः"
73	भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः?	२		द्वौ; षट्; लोध्रस्य द्वौ प्रकारौ; question भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः answer चत्वारः question भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्त; षट्  रसपाकादिभेदेन; भावप्रकाशेन लोध्रस्य द्वौ प्रकारौ उक्तौ; ७; भावप्रकाशे लोध्रस्य द्वौ प्रकारौ उक्तौ  श्वेतलोध्रः रक्तलोध्रश्च; त्रयः; भावप्रकाशे लोध्रस्य द्वौ प्रकारौ उक्तौ; question भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः choices nanquestion भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः choices; question भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः answer चत्वारः choices nanquestion भावप्रकाशेन लोध्रस्य कति प्रकार; चत्वारः; दश; नास्ति; षट्   धवललोहितपीताद्याः षट्प्रकाराः भवन्ति
74	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	लोध्रस्य	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	खदिरस्य  यतः खदिरस्य वल्कलं स्थूलं भवति; खदिरस्य; खदिरस्य  खदिरवृक्षस्य स्थूलं वल्कलं भवति; लोध्रस्य; अर्जुनस्य; प्रियालस्य
75	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?	पट्टिका-लोध्रस्य		"श्योनाकः; पलाशस्य; ताम्बूलस्य; किमर्थम् एते पर्यायाः सन्ति; लोध्रः; question जीर्णपत्रं बृहत्पत्रं क्रमुकं लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति answer अग्निमन्थः question जीर्णपत; question जीर्णपत्रं बृहत्पत्रं क्रमुकं लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति answer अगस्त्यस्य question जीर्णपत; तमालपत्रस्य; पट्टिकालोध्रस्य; हरिद्रा; लोध्रस्य; उत्तरम् तमालपत्रस्य; एतानि सर्वाणि पदानि ताम्बूल शब्दस्य पर्यायाः सन्ति ताम्बूलं भारतीयसंस्कृत; अशोकस्य; वृक्षस्य; कर्णिकारः; रामायणे; question जीर्णपत्रं बृहत्पत्रं क्रमुकं लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति answer लोध्रस्य choices nan question जीर; तालवृक्षस्य; हनुमतः 

कथम्  हनुमान् एतैः वस्तुभिः अलङ्कृतः सीतायाः दर्शनार्थं लङ्कां गतवान् ; ताम्बूलस्य

ताम्बूलस्य पर्यायवाचिशब्दाः एते सन्ति जीर्णपत्रं बृहत्पत्; हनुमतः 

कथम्  सीतायाः अन्वेषणार्थं लङ्कां गच्छन्तं हनुमन्तं तस्य आकारेण एव ज्ञात्वा सीता स्वीकुर्यात् इति कारणेन; ताम्रपत्रस्य; तुन्तुकस्य; जीर्णपत्रं बृहत्पत्रं क्रमुकं लाक्षाप्रसादनं च तालवृक्षस्य पर्यायाः सन्ति; हनुमतः 

कथम्  एतेषां वस्तूनां द्वारा हनुमान् सीतां प्रति रामस्य प्रेम संदेशम् अयच्छत्; नागपुष्प; अग्निमन्थः"
76	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	"सर्वेषाम्; लशुनं अधस्तनेषु सर्वेषाम् पर्यायः अस्ति; लशुनस्य पर्यायपदानि उग्रगन्धः महौषधः म्लेच्छकन्दः इत्यादीनि सन्ति; सर्वेषाम्

लशुनस्य एते सर्वे पर्यायाः सन्ति उग्रगन्धः महौषधम् म्लेच्छकन्; सर्वेषाम्   सर्वे शब्दाः लशुनस्य पर्यायत्वेन प्रयुज्यन्ते; answer सर्वेषाम् answer सर्वेषाम्; सर्वेषाम्

लशुनस्य पर्यायाः उग्रगन्धः महौषधः म्लेच्छकन्दः च सर्वे भवन्ति अतः सर्वेषाम् इति उत्तरम्; लशुनं अधस्तनेषु कस्य पर्यायः अस्ति

उग्रगन्धस्य; सर्वेषाम् 

एतेषु सर्वेषु शब्देषु लशुनस्य उग्रगन्धत्वं औषधत्वं च कन्दत्वं च प्रतिपाद्यते; सर्वेषाम्  लशुनं उग्रगन्धं महौषधं च अस्ति तत् म्लेच्छकन्दः अपि कथ्यते; म्लेच्छकन्दस्य; महौषधस्य; उग्रगन्धस्य"
77	लशुने कः रसः न अस्ति?	अम्लः		आम्लः; मधुरः  लशुनस्य कटुतिक्तलवणरसाः  भवन्ति मधुररसः तु न; कट्वम्लौ रसौ लशुने स्तः परन्तु मधुरः रसः न भवति अतः लशुने मधुरः रसः न अस्ति; मधुरः  लशुनस्य कटु तिक्त कषायरसाः  एते त्रयः रसाः वर्तन्ते; तिक्तः; लशुने पारदरसः न अस्ति; question लशुने कः रसः न अस्ति answer मधुरः question लशुने कः रसः न अस्ति answer मधुरः; कटुरसः; मधुरः   लशुनं कटुतिक्तलवणरसान् एव धत्ते; अम्लः; question लशुने कः रसः न अस्ति answer आम्ल question लशुने कः रसः न अस्ति answer आम्ल; लशुने मधुरः रसः न अस्ति; मधुररसः लशुने न अस्ति लशुनस्य मुख्यरसः कटुः भवति किञ्च तस्मिन् तीक्ष्णः उष; मधुर; लशुने मधुररसः न अस्ति; कटुः; मधुरः; लवणः
81	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	"question पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति choices यवनेष्टस्य  अरिष्टस्य  उग्रगन्धस्य  रसोनकस्यquestion प; रसोनकस्य; लशुनस्य; उग्रगन्धस्य; रसोनकस्य 

पलाण्डुः रसोनस्य एव पर्यायः अस्ति; यवनेष्टस्य; question पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति choices यवनेष्टस्य  अरिष्टस्य  उग्रगन्धस्य  रसोनकस्य question प"
82	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	"सर्वेषाम्

पलाण्डुः एतेषां त्रयाणाम् अपि शब्दानां पर्यायः अस्ति
1 मुखदूषकस; मुखदूषकस्य दुर्गन्धस्य; सर्वेषाम्; दुर्गन्धस्य; question पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति choices मुखदूषकस्य  दुर्गन्धस्य  यवनेष्टस्य  सर्वेषाम् question ; answer सर्वेषाम् answer सर्वेषाम्; पलाण्डुः दुर्गन्धस्य पर्यायः अस्ति; दुर्गन्धस्य  मुखदूषकस्य; सर्वेषाम्   पलाण्डुः मुखदूषकः दुर्गन्धः यवनेष्टश्च भवति; सर्वेषाम्

पलाण्डुः प्याजonion एतेषां त्रयाणामपि पर्यायः अस्ति

1 मुखदूषकः; सर्वेषाम्  पलाण्डुः मुखदूषकः दुर्गन्धः यवनेष्टः च भवति "
83	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	भल्लातकस्य	चित्रकस्य / भल्लातकस्य / दन्त्याः / मञ्जिष्ठायाः	चित्रकस्य; question अरूष्करः निम्नेषु कस्य पर्यायः अस्ति choices चित्रकस्य  भल्लातकस्य  दन्त्याः  मञ्जिष्ठायाः भल्लात; दन्त्याः; अरूष्करः दन्त्याः पर्यायः अस्ति; question अरूष्करः निम्नेषु कस्य पर्यायः अस्ति choices चित्रकस्य  भल्लातकस्य  दन्त्याः  मञ्जिष्ठायाः question ; भल्लातकस्य; अरूष्करः भल्लातकस्य पर्यायः अस्ति; मञ्जिष्ठायाः
