index	ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct	ANSWER_LEMMA	gpt-4o_LEMMA	gpt-4o-mini_LEMMA	llama-v3p1-405b-instruct_LEMMA	llama-v3p1-8b-instruct_LEMMA
260	261	कुशस्य कतिः पत्न्यः आसन्?	एका		एकम्	नव	द्वे	अष्टौ	['']			navan	aṣṭan
261	262	लवस्य कतिः पत्न्यः आसन्?	द्वे		एकपत्नी	न ज्ञायते	द्वा	श्रुता	['']	ekapatnī		jñā	śru
262	263	भरतस्य कति पुत्राः आसन्?	द्वौ		चत्वारः	द्वौ	द्वौ	अष्टौ	['']				aṣṭan
263	264	इक्ष्वाकोः (श्रीरामस्य पूर्वजस्य) कति पुत्राः आसन्?	शतम्		इक्ष्वाकोः एकविंशतिः पुत्राः आसन्	एकशतं	चतुर्वेदः	इक्ष्वाकोः (श्रीरामस्य पूर्वजस्य) दश पुत्राः आसन्	['']	ikṣvāku ekaviṃśati putra	veda		ikṣvāku śrīrāma pūrvaja daśan putra
264	265	विष्णोः अवतारेषु श्रीरामस्य अवतारः कतमः आसीत्?	सप्तमः		सप्तमः	सप्तमः	चतुर्थः	सातववान्	['saptama']	saptama	caturtha	saptama	sātavat
265	266	रामायणानुसारं कति आदित्याः सन्ति?	द्वादश		दश	द्वादश	दशा	अष्टादश आदित्याः सन्ति	['dvādaśan']	daśan	daśan	dvādaśan	aṣṭādaśan āditya
266	267	रामायणानुसारं कति रुद्राः सन्ति?	एकादश		एकादश रुद्राः	एकादश	दोहु	पञ्च रुद्राः	['ekādaśan']	ekādaśan rudra	dohu	ekādaśan	rudra
267	268	राज्ञः दशरथस्य आहत्य कति मन्त्रिणः आसन्?	अष्टौ; अष्ट		सप्त	अष्टौ	त्रयः	दश	['aṣṭan', 'aṣṭan']			aṣṭan	daśan
268	269	दिवसे कति मुहूर्ताः व्यतीताः भवन्ति?	पञ्चदश		चतुर्विंशतिः	मुहूर्तः दिवसे त्रिंशत् व्यतीताः भवन्ति	दश	दिवसे ३६ मुहूर्ताः व्यतीताः भवन्ति	['pañcadaśan']	caturviṃśati	daśan	muhūrta divasa triṃśat vyatī	divasa muhūrta vyatī
269	270	श्रीरामः खरेण सह युद्धे तस्य कति सैनिकान् नाशितवान्?	चतुर्दशसहस्रम्; १४०००; चतुर्दशसहस्राणि; चतुर्दश सहस्राणि		चतुर्दश-सहस्राणि	द्वादशसहस्राणि	द्विशतम्	अष्टदश सहस्राणि	['caturdaśan', '', 'caturdaśan', 'caturdaśan']	caturdaśan	dviśata	dvādaśan	aṣṭadaśas
270	271	मल्लयुद्धे कति प्रकारकाणि मण्डलानि निर्दिष्टानि सन्ति?	चत्वारि		षट्	चत्वारि	षड्वर्गाणि	चतुर्दश	['']	ṣaṣ	ṣaṣ varga		caturdaśan
271	272	धनुर्वेदस्य कति भेदा: स्वीक्रियन्ते?	चत्वारः		चत्वार:	चत्वारः	एकादश	चतुर्दश	['']		ekādaśan		caturdaśan
272	273	हे वृक्षाः! हे लताः  हे पुष्पाणि! हे मृगाः, पक्षिणः! किं यूयं सीतां दृष्टवन्तः? यदि दृष्टवन्तः तर्हि वक्तुमर्हथ किं सा कुत्र अस्ति?' एषः प्रश्नः कस्य ?	रामस्य		रामस्य	हनुमतः	हनुमतस्य	रामाचा	['rāma']	rāma	hanumant	hanumant	rāmācā
273	274	हे श्रीराम! अहं किम् अपराधं कृतवान् यत् माम् इत्थं मारितवन्? यदि अकथयिष्यत्  तर्हि अहं रावणम् भवतः चरणयोः अपातयिष्यं, श्रीरामं प्रति एवं कः उक्तवान्?	वाली		मारीचः	विभीषणः	सीता	अर्थ : हे श्रीराम! मैंने क्या अपराध किया है कि तुमने मुझे इस प्रकार मार डाला? यदि तुम मुझे बताओगे तो मैं रावण को	['vālin']	mārīca	sītā	vibhīṣaṇa	artha he śrī rāma maiṃna kya aparādha kiyat hai tumana muj isa prakāra māra ḍālā tuman mujh bata āoga to maiṃ rāvaṇa
274	275	हे लक्ष्मण! अस्माभिः त्रिभ्यः दिवसेभ्यः एष समुद्रः मार्गं ददातु इति प्रार्थ्यते; किन्तु स न स्वीकुरुते। अहं एकेन बाणेन एनं शोषयिष्यामि; यतः बिना भयेन प्रीतिर्न भवति।' एतानि वाक्यानि कस्य?	रामस्य		एतानि वाक्यानि श्रीरामस्य	श्रीरामस्य	रामस्य	रावणाचे	['rāma']	vākya śrīrāma	rāma	śrī rāma	rāvaṇāc
275	276	हे मित्र जाम्बवन्! त्वं तावन्तं कालपर्यन्तं जीविष्यसि यावत् प्रलयः कलियुगः च न आगच्छेत् ।' जाम्बवते एतत् आशीर्वादं कः दत्तवान्?	श्रीरामः; रामः		रामः	श्रीरामः	रामः	विश्वामित्र	['śrīrāma', 'rāma']	rāma	rāma	śrīrāma	viśvāmitra
276	277	यदि अहं अज्ञास्यं यत् इत्थं मया अनुजस्य वियोगः सहनीयः भविष्यति तर्हि अहं पितुः आदेशं न अन्वसरिष्यम्।' एष विलापः कस्य?	श्रीरामस्य; रामस्य 		राघवस्य	रामस्य	सीतायाः	श्रीरामस्य	['śrī rāma', 'rāma']	rāghava	sītā	rāma	śrī rāma
277	278	हे श्रीराम! जानक्याः सीताया: आचरणं सर्वथा परिशुद्धमेव। पापं एतस्याः स्पर्शम् अपि न कृतवत्। अहं सहस्रवर्षाणि घोरं तपः अचरम्। यदि सीतायां कश्चन दोषः अस्ति तर्हि अहम् अस्य तपसः फलं न प्राप्नुयाम्।' एषा घोषणा केन कृता?	वाल्मीकिना		अग्निदेवेन	अग्निदेवेन	वाल्मीकि:	विश्वामित्राने	['vālmīki']	agni	vālmīki	agni	viśvāmitrāna
278	279	रावण! यथा मम पादं त्वं गृहीतवान् तथैव यदि श्रीरामस्य पादं अग्रहीष्यत् तर्हि तव कल्याणं अभविष्यत्।' रावणं प्रति एवं कः अपहसितवान्?	अङ्गदः		हनुमान्	मारुतिः	हनुमानः	विश्वामित्र	['aṅgada']	hanumant	hanumant	māruti	viśvāmitra
279	280	हे मातः पृथिवी! यदि श्रीरामात् अन्यस्य कस्यचन अपि मया स्वप्ने अपि विचारः कृतः भवेत् तर्हि त्वम् विष्फोटतु माम् गृहीत्वा क्रोडे स्थापयतु।' पृथिवीं प्रति एषा प्रार्थना केन कृता?	सीतया		सीतेया	सीतया	सिता	श्रीरामेण	['sītā']	sīteya	sitā	sītā	śrī rāma
280	281	हे कुलघातिनि कैकेयि! त्वं श्रीरामं वनं संप्रेष्य महापातकं कृतवती। त्वं मम पितृघातिनी असि। त्वं मामपि पापभागिनं कृतवान्। त्वं मातृसंज्ञाया योग्या नास्ति।' एते शब्दाः कस्य?	भरतस्य		भरतस्य	दशरथस्य	भरतस्य	कैकेयी	['bharata']	bharata	bharata	daśaratha	kaikeyī
281	282	रावणः यदि रसातलेऽपि गुहेत पितामहस्य ब्रह्मणः सविधे वा गच्छेत्, तथापि स मम हस्तेभ्यः न रक्षितः भविष्यति।' एते उद्गाराः कस्य?	श्रीरामस्य; रामस्य		रामस्य	रामस्य	भीष्मस्य	रावणाचे	['śrī rāma', 'rāma']	rāma	bhīṣma	rāma	rāvaṇāc
282	283	यदि अद्य साक्षात् शिवः अपि मेघनादस्य रक्षणाय आगच्छेत्, तथापि अहं प्रतिजाने  यत् तं जीवितं न त्यक्ष्यामि।' एषः उद्गारः कस्य आसीत्?	लक्ष्मणस्य		लक्ष्मणस्य	रावणस्य	सीता	रामस्य	['lakṣmaṇa']	lakṣmaṇa	sītā	rāvaṇa	rāma
283	284	अहं स्वभ्रातृणां शपथं कृत्वा कथयामि युध्ये पुत्रैः भृत्यजनैः बन्धुभिः च सह रावणं संहरिष्यामि।' एषा प्रतिज्ञा कस्य आसीत्?	श्रीरामस्य; रामस्य		राघवस्य	सुग्रीवस्य	रामस्य	रामस्य	['śrī rāma', 'rāma']	rāghava	rāma	sugrīva	rāma
284	285	हे राम! त्वं शिवधनुः भग्नं कृतवान्। तं समाचारं श्रुत्वा अहं अन्यं उत्तमं धनुः संगृह्य त्वत्समीपं आगतोऽस्मि, यस्मिन् त्वं बाणं आरोपय।' श्रीरामाय एवं कः उक्तवान्?	परशुरामः; जामदग्न्यः		परशुरामः	परशुरामः	ः श्रीलक्ष्मणः	विश्वामित्र	['paraśurāma', 'jāmadagnya']	paraśurāma	śrī lakṣmaṇa	paraśurāma	viśvāmitra
285	286	हे रघुनन्दन! अहम् एकसहस्रवर्षाणि उपवासं कृतवान्। अद्य मम तस्य व्रतस्य समाप्तिदिनम् अस्ति, अतः अस्मिन् काले भवतः समीपे यत् अन्नं अस्ति तत् एव अहं ग्रहीष्यामि।' श्रीरामं प्रति एवं कः उक्तवान्?	दुर्वासाः		शबरी	शबरी	शबाला	सुमित्रा	['durvāsas']	śabarī	śabālā	śabarī	sumitrā
286	287	हे प्रभो! भवतः प्रति मम स्नेहः सदैव भवतु। भवति एव मम अचला भक्तिः भवतु। भवन्तम् अतिरिच्य अन्यत्र मम आन्तरिकः अनुरागः न भवतु।' श्रीरामाय एतां प्रार्थनां कः कृतवान्?	हनुमान्		हनुमान्	शबरी	हनुमानः	श्री सीता	['hanumant']	hanumant	hanumant	śabarī	śrī sītā
287	288	प्रिय हनुमन्! यावत् मम कथा लोके प्रचलिता भविष्यति तावत् त्वदीया कीर्तिः अपि  स्थिरा भविष्यति, तथा त्वदीये देहे प्राणाः अपि स्थिताः भविष्यन्ति।' हनुमन्तं प्रति एतद् कः उक्तवान्?	श्रीरामः; रामः		रामः	श्रीरामः	रामः	रामः	['śrīrāma', 'rāma']	rāma	rāma	śrīrāma	rāma
288	289	विभीषण! रावणः बलपराक्रमसम्पन्नः महामनस्वी आसीत्। मृत्युना समन्वितं वैरं अपि समाप्तं भवति। रावणः यथा तव भ्राता तथैव मम अपि। त्वं एतस्य दाहसंस्कारं कुरु।' विभीषणं प्रति एतानि वचनानि कः उक्तवान् ?	श्रीरामः; रामः		रामः	श्रीरामः	रामः	रामः	['śrīrāma', 'rāma']	rāma	rāma	śrīrāma	rāma
289	290	हे लङ्कानरेश! नायं वानरो गुप्तचर इव दृश्यते, अपि तु दूत इव दृश्यते। अतोऽस्य वधो न उचितः। त्वं तं किञ्चिद्दण्डं दत्त्वा विसर्जय।' रावणं प्रति एतत्परामर्श कः दत्तवान्?	विभीषणः		विभीषणः	मारीचः	Ᾱङ्गदः	विभीषण	['vibhīṣaṇa']	vibhīṣaṇa		mārīca	vibhīṣaṇa
290	291	अहं प्रचेतुः दशमः पुत्रः अस्मि।' एतद्वाक्यं कस्य ऋषेः आसीत्?	वाल्मीकेः		वाल्मीकेः	वारुणि	समुद्रराजस्य	विश्वामित्र ऋषेः	['vālmīki']	vālmīki	samudrarāja	vāruṇa	viśvāmitra ṛṣi
291	292	भ्रातः! भरतः सेनया सह आगच्छति। मन्ये, ते अस्मान् आक्रंस्यन्ते। अस्माभि युद्धाय सिद्धैः भवितव्यम्।' एतत् कः कं प्रति उक्तवान्?	लक्ष्मणः श्रीरामं प्रति; लक्ष्मणः   रामं प्रति; लक्ष्मणः रामम् प्रति उक्तवान्; लक्ष्मणः रामम् प्रति एतत् उक्तवान्; लक्ष्मणः रामम्; लक्ष्मणः रामं प्रति		लंकेतः लक्ष्मणम् प्रति उक्तवान्	शत्रुघ्नः लक्ष्मणं प्रति उक्तवान्	लक्ष्मणः रामाय	रामः	['lakṣmaṇa śrī rāma prati', 'lakṣmaṇa rāma prati', 'lakṣmaṇa rāma prati', 'lakṣmaṇa rāma prati', 'lakṣmaṇa rāma', 'lakṣmaṇa rāma prati']	laṃketa lakṣmaṇa prati	lakṣmaṇa rāma	śatrughna lakṣmaṇa prati	rāma
292	293	हे श्रीराम! त्वं वैष्णवधनुषः प्रत्यञ्चाम् आरोपितवान्, अतः अहं ज्ञातवान् अस्मि यत् त्वं देवेश्वरः विष्णुः एव।' एतत् श्रीरामं प्रति कः उक्तवान्?	परशुरामः; जामदग्न्यः		परशुरामः	परशुरामः	हरिवंशः	सुमन्त्र	['paraśurāma', 'jāmadagnya']	paraśurāma	harivaṃśa	paraśurāma	sumantra
293	294	हे राम! अहं कामरूपिणी राक्षसी रावणस्य भगिन्यस्मि।' एतत् परिचयं श्रीरामं प्रति कः प्रदत्तवान्?	शूर्पणखा		शूर्पणखा	शूर्पणखा	शूरपणखा	मेघनादः	['śūrpaṇakhā']	śūrpaṇakhā	śūrapaṇakhā	śūrpaṇakhā	meghanāda
294	295	महर्षे! एकस्य धनुषः भञ्जने किमर्थं त्वं अतिविकलः अभवः? अहो, बाल्ये मया न जाने कति धनूंषि भग्नानि। तदा त्वं तावन् क्रोधितः नासीत्।' एतत् वक्तव्यं कस्य?	लक्ष्मणस्य		एतत् वक्तव्यं श्रीरामस्य	परशुरामस्य	हरिश्चन्द्रस्य	विश्वामित्रे	['lakṣmaṇa']	śrīrāma	hari ścandra	paraśurāma	viśvāmitra
295	296	हे प्रभो राम। लक्ष्मणः मां प्रति बाणं क्षिपतु नाम, तव चरणयोः अप्रक्षालनं विना अहं त्वां पारम् न नेतुं शक्नोमि।' एताः वचः कस्य?	केवटस्य		समुद्रदेवस्य	गंगायाः	सीतायाः	सीतायाः	['kevaṭa']	samudradeva	sītā	gaṃgā	sītā
296	297	हे राजन्! श्रीरामं लक्ष्मणं च मह्यं देहि, येन यज्ञे विघ्नस्य उत्पादनं कुर्वतां राक्षसानां नाशनं शक्यं भवेत्।' एतम् आग्रहं राजादशरथं प्रति कः कृतवान्?	विश्वामित्रः		विश्वामित्रः	विश्वामित्रः	विश्वामित्रः	विश्वामित्रः	['viśvāmitra']	viśvāmitra	viśvāmitra	viśvāmitra	viśvāmitra
297	298	हे राम! अहं कैकेय्यै दत्तस्य वरस्य कारणात् मोहं प्रपन्नोऽस्मि। मम वाक्यं मनुतां, मां बद्वा त्वं स्वयमेव अयोध्यायाः राजा भव।' एतं वचनं श्रीरामं प्रति कः उक्तवान्?	दशरथः		दशरथः	दशरथः	भरतः	कैकेयी	['daśaratha']	daśaratha	bharata	daśaratha	kaikeyī
298	299	यदि भरतः युवराज-पदम् स्वीकुर्यात्, तर्हि तेन कृतं श्राद्धादिक्रियाः मां न प्राप्नुयुः।' एतद्वाक्यं कः उक्तवान्?	दशरथः		श्रीरामः	भरतः	रामः	विश्वामित्रः	['daśaratha']	śrīrāma	rāma	bharata	viśvāmitra
299	300	हे रावण! राजा मान्धाता तव युद्धमदं शमयिष्यति।' एतद्वाक्यं कः उक्तवान्?	नारदः		अगस्त्यमुनिः	माल्यवान्	हनुमानः	विभीषण	['nārada']	agastya oni	hanumant	mālyavant	vibhīṣaṇa
300	301	हे श्रीराम ! अहं रिक्तं रथं गृहीत्वा अयोध्यां कथं गच्छेयम्? भवन्तं विना एते अश्वाः रथं कथं कर्षिष्यन्ति? अतः अहं अयोध्यां न प्रत्यागच्छामि।' एतत् कस्य वक्तव्यम्?	सुमन्त्रस्य		भरतः	सुमन्त्रे	श्रीरामस्य मातुः काकुत्स्थायाः	सीतेच्या	['sumantra']	bharata	śrī rāma mātṛ kākutstha	sumantra	sītā
301	302	हे अग्निदेवते ! यदि मया पत्युः सेवा कृता अस्ति, पातिव्रत्यधर्मस्य सत्यं हृदयेन पालनं कृतं तर्हि हनुमतः कृते त्वं शीतलः भव।' अग्निदेवाय एषा प्रार्थना केन कृता?	सीतया		सीतया	सीतया	सीता	सीता	['sītā']	sītā	sītā	sītā	sītā
302	303	श्रीराम ! त्वं मधुरफलमूलसम्पन्नं चित्रकूटपर्वतं गच्छ। अहं तं त्वदर्थं उपयुक्तं निवासस्थानं मन्ये।' श्रीरामाय एतत् कः उक्तवान्?	भरद्वाजः		वाल्मीकिः	भरद्वाजः	भरतः	सुग्रीव	['bharadvāja']	vālmīki	bharata	bharadvāja	sugrīva
303	304	रामायणे आहत्य कियतां वरप्रदानानां वर्णनं अस्ति?	द्व्यशीतिः		नव	चतुर्दश	पञ्च	चतुर्थ	['aśīti']	navan		caturdaśan	caturtha
304	305	रामायणे आहत्य कियतां शापानां वर्णनं अस्ति?	एकषष्टिः		रामायणे अहल्या-शापः, कौसल्याशापः, रावणकृतशापः च प्रमुखाः शापाः वर्णिताः सन्ति	चतुर्दश	दशमुखशक्तिः	रामायणे १० शापानां वर्णनं अस्ति	['ekaṣaṣṭi']	rāmāyaṇa ahalyāśāpa kausalyā śāpa rāvaṇa śāpa pramukha śāpa varṇay	daśamukhaśakti	caturdaśan	rāmāyaṇa śāpa varṇana
305	306	श्रीरामस्य सेनायाः कः वानरयोद्धा एतं वरं प्राप्तवान् यत् तस्य हस्तस्पर्शनमात्रेण शिलाः जले तरिष्यन्ति?	नलः		नलः	नलः	Hanuman	हनुमान	['nala']	nala		nala	hanumant
306	307	रावणाय नरवानरविनिर्दिष्टान्यसमस्तेभ्यः अवध्यतायाः वरं कः दत्तवान्?	ब्रह्मा		ब्रह्मा	ब्रह्मा	ब्रह्मा	रावणाय नरवानरविनिर्दिष्टान्यसमस्तेभ्यः अवध्यतायाः वरं कः दत्तवान्? - विश्वामित्रः	['brahman']	brahman	brahman	brahman	rāvaṇa nara vānara vinirdiś asama avadhya vara dā viśvāmitra
307	308	हनुमते युद्धे कदाचिदपि न श्रान्तिः भवति इति वरं कः दत्तवान्?	यमः		ब्रह्मा	ब्रह्मा	रामः	श्रीरामः	['yama']	brahman	rāma	brahman	śrīrāma
308	309	हनुमन्ते केनापि शस्त्रेण अवध्यतायाः वरं कः दत्तवान्?	ब्रह्मा		ब्रह्मा	ब्रह्मा	रामः	अग्नि	['brahman']	brahman	rāma	brahman	agni
309	310	रावणः सिद्धिमंत्रं कस्याः देवतायाः प्राप्तवान्?	ब्रह्मणः		शिवस्य	ब्रह्मणः	भगवतीचन्द्रिका	ब्रह्मा	['brahman']	śiva	candrikā	brahman	brahman
310	311	सुमालिने रक्षसाय क: अजेयतायाः चिरजीवनस्य च वरं दत्तवान्?	ब्रह्मा		ब्रह्मा	ब्रह्मा	ब्रह्मा	अन्तर्धानं	['brahman']	brahman	brahman	brahman	antardhāna
311	312	क: विभीषणाय चिरञ्जीवित्वस्य वरं दत्तवान्?	ब्रह्मा		राम:	ब्रह्मा	रामः	रामाय	['brahman']	rāma	rāma	brahman	rāma
312	313	क: हनूमत: इच्छायाः अधीनमेव मृत्योः वरं दत्तवान्?	इन्द्रः		राम:	ब्रह्मा	रत्नकरण्यः	राम	['indra']	rāma	ratna karaṇya	brahman	rāma
313	314	अहल्यायै पाषाणशिला भवितुं शापं क: दत्तवान्?	गौतमः		गौतमः	गौतममहर्षि:	इन्द्रः	रावण	['gautama']	gautama	indra	gautama ṛṣi	rāvaṇa
314	315	एतेषु कस्मै इदं शापितं यत् अस्मरणे स: स्वबलं न अभिज्ञास्यति?	हनुमते	 अंगदाय / नलाय / जांबवते / हनुमते	हनुमते	हनुमते	हनुमते	अंगदाय	['han anumata']	han anumata	han anumata	han anumata	aṃgada
315	316	हनूमते वरुणपाशात् जलमध्ये च अवध्यत्वस्य वरं क: दत्तवान्?	वरुणः		ब्रह्मा	वरुणः	रावण:	राम	['varuṇa']	brahman	rāvaṇa	varuṇa	rāma
316	317	इन्द्राय क: वृषणहीनः भवितुं शापं दत्तवान्?	गौतमः		नन्दी:	गौतमः	कश्यपः	विश्वामित्र	['gautama']	nandin	kaśyapa	gautama	viśvāmitra
317	318	हनूमते स्वकालदण्डात् अवध्यत्वस्य रोगमुक्तेः च वरं क: दत्तवान्?	यमः		रामः	ब्रह्मा	रामः	रामः	['yama']	rāma	rāma	brahman	rāma
318	319	क: हनूमते स्वतेजस: शततमम् अंशं दत्तवान्?	सूर्यः		अग्निदेव:	वायुः	रामः	रामायणे	['sūrya']	agni	rāma	vāyu	rāmāyaṇa
319	320	कस्य ऋषे: शापात् काकभुशुण्डि: काकयोनौ अजायत?	लोमशस्य		लोपामुद्रायाः	गरुडस्य	काकभुशुण्डि: काकयोनौ कश्यप ऋषे: शापात् अजायत	विश्वामित्रे	['lomaśa']	lopāmudrā	kāka bhuśuṇḍi kāka yoni kaśyapa ṛṣi śāpa jan	garuḍa	viśvāmitra
320	321	ऋषिवसिष्ठः कस्य राज्ञः विदेहत्वं (शरीररहिततां) शप्तवान्?	निमेः		नन्दिवर्धनस्य	त्रिशङ्कोः	दशरथः	विश्वामित्रे	['nimi']	nandivardhana	daśaratha	triśaṅku	viśvāmitra
321	322	ऋषये वसिष्ठाय कः विदेहत्वं शप्तवान्?	निमिः		नन्दिनीः	नन्दी	मयूरः	विश्वामित्रः	['nimi']	nandinī	mayūra	nandin	viśvāmitra
322	323	अधस्तनेषु कः राजा वसिष्ठपुत्रैः शप्तः चण्डालः अभवत्?	त्रिशङ्कुः	 शंबूक: / गयः / कुशध्वजः / त्रिशङ्कुः	त्रिशङ्कुः	त्रिशङ्कुः	शंबूकः	शंबूक:	['triśaṅku']	triśaṅku	śambūka	triśaṅku	śambūka
323	324	गच्छ दशरथ! त्वम् अपि अस्मादृशेन पुत्ररहितेन दुःखेन प्राणान् त्यक्ष्यसि। दशरथं कः एतद् शप्तवान्?	श्रवणस्य पितरौ; श्रवणकुमारस्य पिता; श्रवणकुमारपिता; श्रवणकुमारस्य पिता अन्धमुनिः		परशुरामः	श्रवणकुमारः	श्रुत्वा	मारीचः	['śravaṇa pitṛ', 'śravaṇa kumāra pitṛ', 'śravaṇa kumāra pitṛ', 'śravaṇa kumāra pitṛ andha muni']	paraśurāma	śru	śravaṇa kumāra	mārīca
324	325	भगवन्, मह्यं एवम् वरं यच्छ अहं षण्मासान् स्वप्यां एकं दिनं जागृयाम्। ब्रह्मणः एतत् वरं कः याचितवान्?	कुम्भकर्णः		कुम्भकर्णः	कुम्भकर्णः	रामः	रामः	['kumbhakarṇa']	kumbhakarṇa	rāma	kumbhakarṇa	rāma
325	326	महाराज, अहं द्वौ वरौ याचे- प्रथमः, रामाय चतुर्दशवर्षाणां वनवासः, द्वितीयः भरताय राजशासनम्। दशरथं कः एवम् उक्तवान्?	कैकेयी		कैकयी	मंथरा	रामः	मारीच	['kaikeyī']	kaikayī	rāma	maṅtharā	mārīca
326	327	वालिन्, युद्धकामः यः त्वत्पुरतः आगच्छति तस्य बलार्धं तव देहे एव आगमिष्यति। एतद् वरं वालिने कः दत्तवान्?	ब्रह्मा		इन्द्रः	ब्रह्मा	रामः	रावण	['brahman']	indra	rāma	brahman	rāvaṇa
327	328	हे रावण! त्वं शपामि यत् तव, तव कुलस्य च सर्वनाशः वानरैः एव भविष्यति। रावणं एतद् शप्तवान् कः?	नन्दीश्वरः; नन्दिकेश्वरः		वालिः	नंदी	हनूमानः	वाल्मीकि	['nandīśvara', 'nandikeśvara']	vālin	hanumant	naṃdī	vālmīki
328	329	हे निषाद! त्वं कदापि शान्तिं न प्राप्स्यसि; यतः क्रौञ्चपक्षिणोः अस्य युग्मस्य एकः त्वया निर्व्याजेन एव हतः। एतद् शापं कः दत्तवान्?	वाल्मीकिः		वाल्मीकिः	वाल्मीकिः	महादेवः	रावण	['vālmīki']	vālmīki	mahādeva	vālmīki	rāvaṇa
329	330	हे रंभे! अहं कामं क्रोधं च आत्मवशं कर्तुं इच्छामि त्वं माम् कामं प्रति आकृष्यसि। अहं त्वां शपामि यत् त्वं दशसहस्रवर्षाणि शिलामूर्तिस्वरूपे स्थास्यसि। रंभाम् अप्सरसं एतद् शप्तवान् कः?	विश्वामित्रः		रावणः	ब्रह्मा	विष्णुः	रावण	['viśvāmitra']	rāvaṇa	viṣṇu	brahman	rāvaṇa
330	331	रावण, यदि एतस्मात् परं परस्त्रिया सह बलात् समागमं करिष्यसि तर्हि तव शिरषः शतं खण्डानि भविष्यन्ति। रावणं प्रति एतं शापं कः दत्तवान्?	ब्रह्मा		नलकूबरः	नन्दी	दशग्रीवः	विश्रवस्	['brahman']	nalakūbara	daśagrīva	nandin	viśravas
331	332	हे पितामह ब्रह्मन्! मह्यं वरं ददातु, यदा युद्धार्थं क्रियमाणं जपं हवनं च असमाप्य  एव युद्धक्षेत्रे युद्धं करिष्यामि, तदा एव मम विनाशः भवेत्। एतं वरं ब्रह्मणः कः याचितवान्?	मेघनादः; इन्द्रजित्		रावणः	रावणः	कर्णः	रावण	['meghanāda', 'indrajit']	rāvaṇa	karṇa	rāvaṇa	rāvaṇa
332	333	हे प्रजापते ब्रह्मन्! मह्यं एतं वरं ददातु यद् बृहति संकटेऽपि मम बुद्धिः धर्मे एव स्थिता भवेत्। एतं वरं ब्रह्मणः कः याचितवान्?	विभीषणः		राघवः	रामः	रामः	रामः	['vibhīṣaṇa']	rāghava	rāma	rāma	rāma
333	334	हे रावण! मम सामानरूपपराक्रमवन्तः एव तव कुलं नाशयिष्यति। एतं शापं रावणं प्रति कः दत्तवान्?	नन्दीश्वरः		नलकूबरः	नंदी	सीता	विश्रवस	['nandīśvara']	nalakūbara	sītā	naṃdī	viśravas
334	335	महर्षिः परशुरामः श्रीरामं कस्य धनुषः उपरि बाणं स्थापयितुं समाह्वयत्?	वैष्णवस्य; वैष्णवधनुषः		शिवधनुषः	शिवधनुषः	जनकस्य	अर्जुनस्य	['vaiṣṇava', 'vaiṣṇavadhanus']	śiva dhanus	janaka	śiva dhanus	arjuna
335	336	श्रीरामः कस्य अस्त्रस्य प्रयोगं कृत्वा रावणं हतवान्?	ब्रह्मास्त्रस्य		ब्रह्मास्त्रस्य	ब्रह्मास्त्रस्य	ब्रह्मास्त्रम्	नागपाशस्य	['brahman astra']	brahman astra	brahmāstra	brahman astra	nāgapāśa
336	337	मेघनादः हनुमन्तं अशोकवाटिकायां केन अस्त्रेण बद्धवान्?	ब्रह्मपाशेन		ब्रह्मास्त्रेण	ब्रह्मास्त्रेण	नागपाशेन	रावणाने	['brahman pāśa']	brahmāstra	nāgapāśa	brahmāstra	rāvaṇāna
337	338	रावणस्य तस्य खड्गस्य नाम किम्? यं स शिवात् प्राप्तवान्?	चन्द्रहासः		चन्द्रहासः	चंद्रहासः	नन्दकः	पाश	['candrahāsa']	candrahāsa	nandaka	caṃdraha	pāśa
338	339	केन अस्त्रेण मेघनादः हतः?	ऐन्द्रास्त्रेण		ब्रह्मास्त्रेण	ब्रह्मास्त्रेण	रामस्य अस्त्रैः	वज्रास्त्रेण	['aindra astra']	brahmāstra	rāma astra	brahmāstra	vajra astra
339	340	तस्य अस्त्रस्य नाम किं यत् शत्रुं बध्नाति?	नागपाशः		नागपाशः	नागपाशः	बाणः	अश्व	['nāgapāśa']	nāgapāśa	bāṇa	nāgapāśa	aśva
340	341	वज्रनामकं अस्त्रं कस्य ऋषेः अस्थिभिः निर्मितं आसीत्?	दधिचेः		दधिचिः	दधीचेः	दक्षिणस्य ऋषिः	वज्रास्त्रं विश्रवस्य ऋषेः अस्थिभिः निर्मितं आसीत्	['dadhici']	dadhi ci	dakṣiṇa ṛṣi	dadhīci	vajra astra viśravas ṛṣi asthi nirmā
341	342	मोदकी' तथा 'शिखरी' नामके प्रसिद्धे गदे श्रीरामाय कः अददात्?	विश्वामित्रः		हनुमान्	नल-नीलौ	हनुमानः	शबरी	['viśvāmitra']	hanumant	hanumant	nalanīla	śabarī
342	343	श्रीरामाय नारायणास्त्रं कः अददात्?	विश्वामित्रः		अगस्त्यः	विश्वामित्रः	महादेवः	विश्वामित्रः	['viśvāmitra']	agastya	mahādeva	viśvāmitra	viśvāmitra
343	344	ब्रह्मशिरः' नामकं अस्त्रं कस्य आसीत्?	ब्रह्मणः		ब्रह्मा	शिवः	परशुरामस्य	रावणाच्या	['brahman']	brahman	paraśurāma	śiva	rāvaṇācī
