ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
58	हरिद्रा एतेषु कस्य पर्यायः नास्ति?	भद्रायाः	निशायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः	हटविलासन्याः	भद्रायाः	हरिद्रा एतेषु भद्रायाः पर्यायः नास्ति	"निशायाः 
कारणं - हरिद्रायाः वर्णः निशायाः वर्णेन न भवति"	हटविलासन्याः	"हरिद्रा एतेषु ""हटविलासन्याः"" पर्यायः नास्ति"	हरिद्रायाः पर्यायः हटविलासन्याः अस्ति	नास्ति	हरिद्रा एतेषु योषितप्रियायाः पर्यायः नास्ति	"हरिद्रा एतेषु कस्य पर्यायः नास्ति? निशायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः

उत्तरम्: हरिद्रा भद्राय"
59	हरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	काच्चन्याः / पीतायाः / वरवर्णिन्याः / सर्वेषाम्	पीतायाः	सर्वेषाम्	हरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति	"**हरिद्रा काञ्चन्याः पर्यायः अस्ति**

काञ्चनम् इति स्वर्णम् हरिद्रा स्वर्णेव वर्णेन भाति अतः काञ्चनी इति हरिद्रायाः पर्याय"	सर्वेषाम्	हरिद्रा पीतायाः पर्यायः अस्ति	हरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति इतरे पदानि अन्य रूपाणि हर	सर्वेषाम्	काच्चन्याः	हरिद्रायाः पर्यायः वरवर्णिनी अस्ति
60	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति?	आम्रेण		कर्पूरः-हरिद्रयोः गन्धः तुल्यो नास्ति	वनस्पतिविशेषेण	कर्पूरहरिद्रयोः गन्धः केसरेण तुल्यः अस्ति	चन्द्रिकायाः	कर्पूरहरिद्रयोः गन्धः कस्तूरीगन्धेन तुल्यः अस्ति	कर्पूरहरिद्रयोः गन्धः तु चन्दनगन्धेन तुल्यः अस्ति	कर्पूरहरिद्रयोः गन्धः केवलं तादृशगन्धः अस्ति तादृशगन	मृगः	कर्पूरहरिद्रयोः गन्धः स्वल्पः अस्ति	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति? - गन्धेन तुल्यः
61	सुरभीदारु एतेषु कस्य पर्यायः अस्ति?	कर्पूरहरिद्रायाः	दारूहरिद्रायाः / हरिद्रायाः / कर्पूरहरिद्रायाः / तेजोहवायाः	दारूहरिद्रायाः	दारूहरिद्रायाः	दारूहरिद्रायाः	"**दारूहरिद्रायाः** 

सुरभीदारु दारुहरिद्रायाः एव पर्यायः अस्ति यतः उभौ शब्दौ एतस्याः एव औषधीय-वनस्पतेः नामनी अस्ति"	दारूहरिद्रायाः	"सुरभीदारु इत्यस्य पर्यायः ""दारूहरिद्रायाः"" अस्ति"	सुरभीदारु एतेषु कर्पूरहरिद्रायाः पर्यायः अस्ति	उत्तरम् - दारूहरिद्रायाः	दारूहरिद्रायाः	सुरभीदारु एतेषु पर्यायः हरिद्रायाः अस्ति
62	कुष्ठवातास्त्रनाशनः एतेषु कस्य गुणः अस्ति?	अरण्यहरिद्रायाः	कर्पूरहरिद्रायाः / हरिद्रायाः / अरण्यहरिद्रायाः / दारूहरिद्रायाः	दारूहरिद्रायाः	हरिद्रायाः	दारूहरिद्रायाः	"**हरिद्रायाः** 

**कथम्?** हरिद्रायां कुष्ठवातास्त्रनाशक गुणाः विद्यन्ते"	दारूहरिद्रायाः	कर्पूरहरिद्रायाः गुणः अस्ति	कुष्ठवातास्त्रनाशनः कर्पूरहरिद्रायाः गुणः अस्ति	कर्पूरहरिद्रायाः	कुष्ठवातास्त्रनाशनः हरिद्रायाः गुणः अस्ति	हरिद्रायाः गुणः अस्ति
63	दारूहरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	पर्जन्यायाः / कटङ्कटेर्याः / पचम्पचायाः / सर्वेषाम्	कटङ्कटेर्याः	सर्वेषाम्	दारूहरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति	**दारूहरिद्रायाः**	दारूहरिद्रा कटङ्कटेर्याः पर्यायः अस्ति	दारूहरिद्रा कटङ्कटेर्याः पर्यायः अस्ति	दारूहरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति दारूहरिद्रा अन्यन्तं	सर्वेषाम्	दारूहरिद्रा एतेषु पर्जन्यायाः पर्यायः अस्ति	दारूहरिद्रायाः पर्यायः पचम्पचा अस्ति
64	निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् अत्र कस्य विषये उक्तम् अस्ति?	अरण्यहरिद्रायाः	हरिद्रायाः / दारूहरिद्रायाः / अरण्यहरिद्रायाः / कर्पूरहरिद्रायाः	दारूहरिद्रायाः	हरिद्रायाः	हरिद्रायाः	"**दारूहरिद्रायाः** 

दारूहरिद्रा नेत्र, कर्ण,  आस्य रोगेषु  गुणकारी भवति"	दारूहरिद्रायाः	निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् अरण्यहरिद्रायाः विषये उक्तम् अस्ति	इयं प्रश्नं आयुर्वेदविषये अस्ति हरिद्रा एव एका औषधीया वन	हरिद्रायाः	अत्र हरिद्रायाः विषये उक्तम् अस्ति	अरण्यहरिद्रायाः
65	...... तत् नेत्रयोः परं हितम्। कस्य विषये उक्तम् अस्ति?	रसाञ्जनस्य	मुद्गस्य / रसाञ्जनस्य / गृञ्जनस्य / आमलकस्य	आमलकस्य	गृञ्जनस्य	आमलकस्य	"**आमलकस्य** 

नेत्ररोगेषु आमलकस्य विशेषेण उपयोगः दृश्यते"	रसाञ्जनस्य	आमलकस्य	नेत्रयोः परं हितम् गृञ्जनस्य विषये उक्तमस्ति गृञ्जनं चक्षु	आमलकस्य	रसाञ्जनस्य	आमलकस्य
66	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च कस्य पर्यायाः सन्ति?	रसाञ्जनस्य	रसाञ्जनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	शिलाजीतः	रसाञ्जनस्य	हरिद्रायाः	**रसगर्भः**	शिलाजीतः	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च शिलाजीतस्य पर्यायाः सन्ति	तार्क्ष्यशैलं - गौरीकण्ठीयम्, रसगर्भः - मधुकरी, तार्क्ष्यज	रसाञ्जनस्य	रसाञ्जनस्य	"तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च पर्यायाः निम्नलिखिताः सन्ति:

1 रसाञ्जनम्
2 हरिद्रा
3 शिलाजीतः
4"
67	बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	सोमराज्याः / कालमेष्याः / शशिलेखायाः / सर्वेषाम्	कालमेष्याः	सर्वेषाम्	बाकुची शशिलेखायाः पर्यायः अस्ति	"**सर्वेषाम्** 

बाकुची इति नाम सोमराज्याः, कालमेष्याः, शशिलेखायाः च पर्यायः अस्ति"	सर्वेषाम्	कालमेष्याः	शशिलेखायाः अद्वितीयः पर्यायः अस्ति	सर्वेषाम्	बाकुची अधोलिखितेषु कालमेष्याः पर्यायः अस्ति	"बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति? सोमराज्याः

उत्तरम्: सोमराज्याः"
68	बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य	कालमेष्याः	कालमेष्याः	बाकुची अवल्गुजस्य पर्यायः नास्ति	"**अवल्गुजस्य** 

बाकुची न अवल्गुजस्य पर्यायः अवल्गुजः विभीतकी इत्यस्य पर्यायः अस्ति"	भद्रवत्याः	बाकुची इत्यस्य पर्यायः पूतिफल्याः नास्ति	"बाकुची अधोलिखितेषु सभेषु शब्देषु ""अवल्गुजस्य"" नास्ति अव"	गुजं बाकुची अन्ये पर्यायवाचक शब्द हैं - पूतिफल्याः, कालमेष्याः, भद्रवत्याः	अवल्गुजस्य	"अधोलिखितेषु कस्य पर्यायः नास्ति? पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य

उत्तरम्: पूतिफल्याः"
69	मेषलोचनः अधोलिखितेषु कस्य पर्यायः अस्ति?	चक्रमर्दस्य	कुष्ठस्य/ चक्रमर्दस्य / कासमर्दस्य / मेषश्रृङ्ग्याः	कासमर्दस्य	कुष्ठस्य	मेषश्रृङ्ग्याः	कुष्ठस्य	मेषश्रृङ्ग्याः	मेषलोचनः कुष्ठस्य पर्यायः अस्ति	"मेषलोचनः वा कासमर्दस्य पर्यायः अस्ति अत्र ""मेष"" शब्दस्य लोचनं"	कासमर्दस्य	मेषलोचनः कुष्ठस्य पर्यायः अस्ति	मेषलोचनः कुष्ठस्य पर्यायः अस्ति
70	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	प्रपुन्नाटस्य / द्रद्रुघ्नस्य / एडगजस्य / सर्वेषाम्	प्रपुन्नाटस्य	प्रपुन्नाटस्य	सर्वेषाम्	**सर्वेषाम्**  चक्रमर्दः प्रपुन्नाटस्य, द्रद्रुघ्नस्य, एडगजस्य च  पर्यायः अस्ति	सर्वेषाम्	चक्रमर्दः प्रपुन्नाटस्य पर्यायः अस्ति	चक्रमर्दः अयं एकः अद्भुतः आयुर्वेदीय औषधः है इसका उप	एडगजस्य	चक्रमर्दः प्रपुन्नाटस्य पर्यायः अस्ति	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति? एडगजस्य
71	अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति?	सोमराज्याः	विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः	शुक्लकन्दायाः	सोमराज्याः	सोमराज्यायाः	"**सोमराज्याः** 

सोमराज्यम् रजतायः पर्यायः अस्ति, विषस्य न"	शुक्लकन्दायाः	"अतिविषस्य पर्यायः ""सोमराज्यः"" न अस्ति"	शुक्लकन्दायाः एव अतिविषा अधोलिखितेषु पर्यायः नास्ति अन्ये त	"## विश्वायाः

* विश्वायाः - अश्वगंधा
* शुक्लकन्दायाः, घुणवल्लभायाः, सोमराज्याः - सर्वाः मुनक्कायाः सन्ति"	विश्वायाः	"अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति? विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः

विश्वायाः ="
72	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्रृंग्याः / अरुणयाः / भङ्गुरायाः / सर्वेषाम्	श्रृंग्याः	सर्वेषाम्	अतिविषा भङ्गुरायाः पर्यायः अस्ति	"**सर्वेषाम्** 

अतिविषा एतेषां त्रीणाम् अपि औषधीनां पर्यायः अस्ति"	श्रृंग्याः	अतिविषा इत्यस्य पर्यायः श्रृंग्याः अस्ति	श्रृंग्याः अतिविषा अधोलिखितेषु शब्देषु पर्यायः अस्ति श्रृं	सर्वेषाम्	अतिविषा अरुणयाः पर्यायः अस्ति	"अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति? श्रृंग्याः

अतिविषा = श्रृंग्याः"
73	भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः?	२		द्वौ प्रकारौ	द्वौ	चत्वारः	त्रयः   गुणभेदेन	भावप्रकाशानुसारं लोध्रस्य द्वौ प्रकारौ उक्तौ - श्वेतलोध्रः रक्तलोध्रश्च	भावप्रकाशे लोध्रस्य त्रयः प्रकाराः उक्ताः - लोध्रक, लोध्रकशुद्ध, च लोध्रकस्य गुणी	लोध्रस्य भावप्रकाशे अष्टौ प्रकाराः उक्ताः इति आयुर्वेदे ते च सन	षट्	त्रीणि	लोध्र-वृक्षस्य भावप्रकाशेन पञ्च प्रकाराः उक्ताः
74	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	लोध्रस्य	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	अर्जुनस्य	खदिरस्य	लोध्रस्य	**अर्जुनस्य**	लोध्रस्य	स्थूलवल्कलः अर्जुनस्य पर्यायः अस्ति	स्थूलवल्कलः अर्जुनस्य पर्यायः अस्ति अर्जुनः एकः वृक्षः	अर्जुनस्य	अर्जुनस्य	अर्जुनस्य
75	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?	पट्टिका-लोध्रस्य		ताम्बूलस्य	तुलसी	एते सर्वे पर्यायाः क्रमुकस्य सन्ति	"**नेत्ररोगाणाम्** 

एतेषां द्रव्याणां शीतवीर्यत्वात् चक्षुष्यः शोथं, दाहं च शमयन्ति"	"एतानि सर्वाणि पदानि ताम्बूलस्य पर्यायाः सन्ति

ताम्बूलं भारतीय-संस्कृतौ अती"	एते सर्वे आयुर्वेदे औषधिपत्राणां पर्यायाः सन्ति	एताः सर्वाः शब्दाः संस्कृतभाषायाम् उपयुक्ताः अस्मिन् सन्दर्भे	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च एते सर्वे **तैलप्रसरणस्य** पर्यायाः सन्ति	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च क्रमुकस्य पर्यायाः सन्ति	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति? - जीर्णपत्रं = त्रिकटु, बृहत्पत्रं = त्रिकट
76	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	म्लेच्छकन्दस्य	सर्वेषाम्	लशुनं अधस्तनेषु सर्वेषाम् पर्यायः अस्ति	"**सर्वेषाम्**  

लशुनम् उग्रगन्धः, महौषधम्, म्लेच्छकन्दः च इति सर्वेषां पर्यायः अस्ति"	"सर्वेषाम्

लशुनस्य एते सर्वे पर्यायाः सन्ति उग्रगन्धः, महौषधम्, म्लेच्छकन्"	लशुनं उग्रगन्धस्य पर्यायः अस्ति	लशुनं उग्रगन्धस्य पर्यायः अस्ति लशुनं उग्रगन्धं विकीर्णं औ	"सर्वेषाम्

Explanation:
* लशुनं अधस्तनेषु सर्वाणां पर्यायः अस्ति
* उग्रगन्धः: लशुनस्य पर्यायः अस्ति, तथापि सर्वेषां पर्यायः नास्ति"	उग्रगन्धस्य	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति? म्लेच्छकन्दस्य
77	लशुने कः रसः न अस्ति?	अम्लः		लवणः	कटु	मधुर	कटुः	"मधुरः

लशुने पञ्च रसाः सन्ति - कटु, तिक्त, कषाय, अम्ल, लवण परन्तु मधुररसः लश"	लशुने कषायः रसः न अस्ति	लशुने खारः रसः नास्ति लशुनं तीक्ष्णं वीर्यवान् च भवति	कटु:	लशुने मधुर-रसः नास्ति	लशुने तिक्त रसः अस्ति
81	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	उग्रगन्धस्य	रसोनकस्य	पलाण्डुः रसोनकस्य पर्यायः अस्ति	**रसोनकस्य**	पलाण्डुः उग्रगन्धस्य पर्यायः अस्ति	पलाण्डुः यवनेष्टस्य पर्यायः अस्ति	पलाण्डुः यवनेष्टस्य पर्यायः अस्ति	निम्नेषु कस्य पर्यायः अस्ति? **रसोनकस्य**	पलाण्डुः अरिष्टस्य पर्यायः अस्ति	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति? यवनेष्टस्य
82	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	मुखदूषकस्य	दुर्गन्धस्य	पलाण्डुः निम्नेषु सर्वेषाम् पर्यायः अस्ति		"सर्वेषाम् 

पलाण्डुः (प्याज) एतेषां त्रयाणाम् अपि पर्यायः अस्ति:
1 मुखदूष"	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	दुर्गन्धस्य	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति
83	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	भल्लातकस्य	चित्रकस्य / भल्लातकस्य / दन्त्याः / मञ्जिष्ठायाः	चित्रकस्य	दन्त्याः	अरूष्करः दन्त्याः पर्यायः अस्ति	मञ्जिष्ठायाः	अरूष्करः चित्रकस्य पर्यायः अस्ति	अरूष्करः चित्रकस्य पर्यायः अस्ति	अरूष्करः चित्रकस्य पर्यायः अस्ति चित्रकः एकः औषधिक गुण	मञ्जिष्ठायाः	अरूष्करः दन्त्याः पर्यायः अस्ति	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति? चित्रकस्य
84	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति?	भल्लातकस्य		अर्कः (कैलाष)	शोफकृत् पर्यायाः अग्निमुखी, क्षीरवृक्षः सन्ति	अग्निमुखी, क्षीरवृक्षः, शोफकृत् एरंडस्य पर्यायाः सन्ति	"**अर्कस्य** 

अर्कस्य अग्निमुखी, क्षीरवृक्षः, शोफकृत् इति पर्यायाः सन्ति यतः एषा उष्णा, क्षीरवती, शोथहरश्च"	"एतानि पदानि अर्कवृक्षस्य पर्यायाः सन्ति

अर्कवृक्षः आयुर्वेदे प्रसिद्धः औष"	अग्निमुखी (Aloe vera), क्षीरवृक्षः (Calotropis gigantea) च शोफकृत् (शोफस्य कारणं) कस्य पर्यायाः सन्ति? एते सर्वे औषधीय-पौधाः सन्ति	अग्निमुखी - पावकवृक्षः, क्षीरवृक्षः - आश्वत्थः, शोफकृत्	आर्द्रकः	अग्निमुखी, क्षीरवृक्षः, शोफकृत् इत्येते पर्यायाः क्षीरिवृक्षस्य सन्ति	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति? - पिप्पली, पिप्पली, पिप्पली
85	भल्लातकस्य कः भागः केश्यः (केशेभ्यः हितकरः) अस्ति?	वृन्तम्		तैलम्	फलम्	तैलम्	फलम्  भल्लातकस्य फलं केश्यः अस्ति	भल्लातकस्य फलमज्जा (बीजम्) केश्यः अस्ति अयं भागः केशवृद्धिं प्रोत्साहयति, केशमू	भल्लातकस्य केशेभ्यः हितकरः भागः तस्य फलम् अस्ति	भल्लातकस्य कांशीरसं भागः केश्यः अस्ति एषः केशेभ्यः हितकरः	बीज	भल्लातकस्य त्वक् केश्यः अस्ति	भल्लातकस्य केश्यः भागः अस्ति
86	मोहमदवाग्वह्निवर्धिनी निम्नेषु कस्य गुणः अस्ति?	भङ्गायाः	मद्यस्य / भङ्गायाः / आफूकस्य / धत्तूरस्य	मद्यस्य	मद्यस्य	मद्यस्य	**धत्तूरस्य**	धत्तूरस्य	मोहमदवाग्वह्निवर्धिनी धत्तूरस्य गुणः अस्ति	मद्यस्य गुणः अस्ति मद्यं मनोवाग्वह्निवर्धिनी व्याधिग्रस्तान	धत्तूरस्य	मोहमदवाग्वह्निवर्धिनी इति गुणः धत्तूरस्य अस्ति	"मोहमदवाग्वह्निवर्धिनी निम्नेषु कस्य गुणः अस्ति? मद्यस्य / भङ्गायाः / आफूकस्य / धत्तूरस्य

उत्तरम्: मद्यस्य"
87	आफूकस्य वर्णनं कस्य ग्रन्थे लभ्यते?	वाग्भट्टस्य ; भावप्रकाशस्य	वाग्भट्टस्य / शारंगधरस्य / भावप्रकाशस्य	वाग्भट्टस्य	वाग्भट्टस्य	आफूकस्य वर्णनं शारंगधरस्य ग्रन्थे लभ्यते	**भावप्रकाशस्य**	शारंगधरस्य	आफूकस्य वर्णनं वाग्भट्टस्य ग्रन्थे लभ्यते	आफूकस्य वर्णनं शारंगधरस्य ग्रन्थे लभ्यते	शारंगधरस्य	आफूकस्य वर्णनं शारंगधरस्य ग्रन्थे लभ्यते	आफूकस्य वर्णनं वाग्भट्टस्य ग्रन्थे लभ्यते
88	खाखसस्य कस्मात् भागात् आफूकः निष्पद्यते? 	फलस्य क्षीरात्		वृन्तात्	खाखसस्य फलाद् आफूकः निष्पद्यते	आफूकः खाखसस्य मूलभागात् निष्पद्यते	बीजात्	"खशखशस्य फलात् आफूकः निष्पद्यते

खशखश इति पोस्त (poppy) इति अङ्ग्लभाषायां ज्ञायते"	आफूकः खाखसस्य जठरेण निष्पद्यते	खाखसस्य आफूकः निष्पद्यते यदि तेन खाखस्य भागेन नास्ति खाख	बीजात्	खाखसस्य मूलभागात् आफूकः निष्पद्यते	खाखसस्य पादात् आफूकः निष्पद्यते
90	शीतशिवः एतेषु कस्य पर्यायः अस्ति?	सैन्धवस्य	धत्तूरस्य / सैन्धवस्य / भङ्गायाः/ अहिफेनस्य	धत्तूरस्य	भङ्गायाः	अहिफेनस्य		अहिफेनस्य	शीतशिवः धत्तूरस्य पर्यायः अस्ति	शीतशिवः धत्तूरस्य पर्यायः अस्ति धत्तूरं एकवर्णकः वनस्पत	शीतशिवः : धत्तूरस्य पर्यायः अस्ति	शीतशिवः भङ्गायाः पर्यायः अस्ति	शीतशिवः एतेषु कस्य पर्यायः अस्ति? अहिफेनस्य
91	भावप्रकाशः सैन्धवस्य वर्णनं कस्मिन् वर्गे कृतवान्?	हरीतक्यादौ		लवण-वर्गे	लवणवर्गे	लवणवर्गे	**लवणवर्गे**	भावप्रकाशः सैन्धवस्य वर्णनं लवणवर्गे कृतवान्	"भावप्रकाशः सैन्धवस्य वर्णनं ""उपद्रव"" वर्गे कृतवान्"	सैन्धवं एकम् अनुष्वारः वा समासः इति विचार्यम् आयुर्वेदे ए	'रसवर्ग' इति	भावप्रकाशः सैन्धवस्य वर्णनं लवणवर्गे कृतवान्	भावप्रकाशः सैन्धवस्य वर्णनं काव्यशास्त्रे कृतवान्
94	उर्ध्वाधः कफवातानुलोमनं कस्य लवणस्य गुणः अस्ति?	बिडस्य	सैन्धवस्य / सामुद्रस्य / बिडस्य / सौवर्चलस्य	सैन्धवस्य	सौवर्चलस्य	सौवर्चलस्य	"**सैन्धवस्य** 

सैन्धवलवणं उर्ध्वाधः कफवातानुलोमनं करोति यतः तस्य रुक्षगुणः कफं वातं च शमयति"	बिडस्य	सैन्धवस्य लवणस्य गुणः अस्ति	सैन्धवस्य लवणस्य उर्ध्वाधः कफवातानुलोमनं गुणः अस्ति आ	सौवर्चलस्य	सैन्धवस्य	सैन्धवस्य
95	कः पाशुलवणम् उच्यते?	औद्भिद्लवणम्	सामुद्रलवणम् / औद्भिद्लवणम् / बिडः / सौवर्चलः	बिडः	सामुद्रलवणम्	सौवर्चलः	सौवर्चलः	सौवर्चलः	पाशुलवणम् औद्भिद्लवणम् उच्यते	पाशुलवणं सामुद्रलवणं उच्यते यदि किंचित् विवरणं इच्छसि, क	सामुद्रलवणम्	सामुद्रलवणम्	सामुद्रलवणम्
96	भावप्रकाशे कति प्रकाराणां लवणानां वर्णनं कृतम् अस्ति?	६		सप्त	भावप्रकाशे पञ्च प्रकाराणां लवणानां वर्णनं कृतम्	भावप्रकाशे पञ्च प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	सप्त   सामान्येन आहारत्वेन लवणानाम् उपयोगः स्वास्थ्यकरः इति भावप्रकाशे वर्णितम्	भावप्रकाशे षट् प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	भावप्रकाशे सप्त प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	भावप्रकाशे लवणानां द्वादश प्रकाराणां वर्णनं कृतम् अस्ति ये प्रक	षड् (6)	भावप्रकाशे पञ्च प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	"भावप्रकाशे लवणानां वर्णनं प्रामुख्येन पांच प्रकारे केले आहे:

१ पंचभूत लवणे: भावप्रकाशे पंचभूत लवणांचे वर्ण"
97	धातुद्रावकः कः क्षारः अस्ति?	टङ्कणः		सर्वक्षारः	सैन्धवलवणः	धातुद्रावकः क्षारः नास्ति	क्षारः	आयुर्वेदशास्त्रे धातुद्रावकः क्षारः यवक्षारः अस्ति यवक्षारः यवस्य भस्मतः निर्म	धातुद्रावकः क्षारः कणक-क्षारः अस्ति	धातुद्रावकः क्षारः एकः प्रकारः द्रावकः अस्ति जिससे भूमि या जल	यवक्षारः	धातुद्रावकः क्षारः यवक्षारः अस्ति	धातुद्रावकः सोडियम क्षारः अस्ति
98	भावप्रकाशे कति क्षारसमूहानां वर्णनं कृतम्?	सर्वेषाम्	क्षारद्वयस्य / क्षारत्रयस्य / क्षाराष्टकस्य / सर्वेषाम्	क्षारद्वयस्य	क्षाराष्टकस्य	भावप्रकाशे क्षारद्वयस्य वर्णनं कृतम्	"**क्षाराष्टकस्य**  

भावप्रकाशे क्षारत्रयस्य वर्णनं नास्ति, अपि तु क्षाराष्टकस्य उल्लेखः अस्ति"	क्षाराष्टकस्य	भावप्रकाशे क्षारद्वयस्य वर्णनं कृतम्	भावप्रकाशे क्षारसमूहानां वर्णनं कृतम् सर्वेषाम् अत्र क्षारसमूहान	"चतुर्णाम्  -- क्षारद्वय, क्षारत्रय, क्षाराष्टक, सप्तधा क्षार 

---

(क्षारद्वयम् = यवक्षारः सज्जिक्षारः च |
 क्षारत्रयम् = यवक्षारः"	क्षारत्रयस्य	भावप्रकाशे क्षारद्वयस्य वर्णनं कृतम्
101	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति?	कर्पूरस्य	कर्पूरस्य / मिश्र्याः / लवणस्य / पूतिकायाः	कर्पूरस्य	कर्पूरस्य	चन्द्रसंज्ञ मिश्र्याः पर्यायः अस्ति	"**कर्पूरस्य** 

चन्द्रः शीतलत्वात् कर्पूरस्य पर्यायः अस्ति"	लवणस्य	चन्द्रसंज्ञ कर्पूरस्य पर्यायः अस्ति	"चन्द्रसंज्ञा कर्पूरस्य पर्यायः अस्ति अत्र ""चन्द्र"" शब्दः कर्प"	कर्पूरस्य	मिश्र्याः	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति? - मिश्र्याः
102	कस्तूरी एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	वेदमुख्यायाः / मृगमदस्य / सहस्रभिदः / सर्वेषाम्	मृगमदस्य	मृगमदस्य	मृगमदस्य	"**मृगमदस्य** 

कस्तूरी मृगस्य नाभिना स्रवति"	मृगमदस्य	कस्तूरी मृगमदस्य पर्यायः अस्ति	कस्तूरी एतेषु सर्वेषाम् पर्यायः अस्ति	मृगमदस्य	मृगमदस्य	कस्तूरी वेदमुख्यायः पर्यायः अस्ति
103	कस्तूर्याः कति प्रकाराः उक्ताः?	३		चत्वारः	चत्वारः	चत्वारः	चत्वारः	"आयुर्वेदिक ग्रन्थेषु कस्तूर्याः द्वौ प्रकारौ उक्तौ:

1 नाभिजा कस्तूरी"	कस्तूरी चतुर्विधा अस्ति: गन्धकस्तूरी, चक्रकस्तूरी, मृगकस्तूरी, तथा शीतलाकस्तूरी	"तूर्यं स्वर्णप्रकारकत्वेन वदति अत्र तूर्यं कदाचित् ""तूर्यम्"" इ"	चारः	कस्तूर्याः त्रिप्रकाराः उक्ताः	कस्तूर्याणां प्रामुख्येन पञ्च प्रकाराणि विद्यन्ते
