ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
46	रास्ना एतेषु कस्य पर्यायः न अस्ति?	रामसेनकस्य	युक्तरसायाः / एलापर्ण्याः / श्रेयस्याः / रामसेनकस्य	रामसेनकस्य	रामसेनकस्य	एलापर्ण्याः	"**रामसेनकस्य** 

रामसेनकः भिन्नः वनस्पतिः अस्ति"	श्रेयस्याः	"रास्ना एतेषु ""रामसेनकस्य"" पर्यायः न अस्ति"	रास्ना एतेषु युक्तरसायाः पर्यायः नास्ति रास्ना अर्थात् जिह्वा	रामसेनकः	रामसेनकस्य	"रास्ना एतेषु कस्य पर्यायः न अस्ति? युक्तरसायाः / एलापर्ण्याः / श्रेयस्याः / रामसेनकस्य

उत्तरम्: रास्ना = युक"
48	पारावतपदी एतेषु कस्य पर्यायः अस्ति?	मालकाङ्गन्याः	मालकाङ्गन्याः / रास्नायाः / गुडुच्याः / ब्राह्म्याः	रास्नायाः	पारावतपदी गुडुच्याः पर्यायः अस्ति	मालकाङ्गन्याः	गुडुच्याः	गुडुच्याः	पारावतपदी गुडुच्याः पर्यायः अस्ति	मालकाङ्गन्याः शब्दस्य पारावतपदी पर्यायः अस्ति अर्थात् मालकाङ्ग	गुडुच्याः	मालकाङ्गन्याः	पारावतपदी एतेषु पर्यायः मालकाङ्गन्याः अस्ति
49	चोकः कस्य द्रव्यस्य मूलं कथ्यते?	सत्यानाश्याः		चव्य	शुण्ठी	चोकः कस्य द्रव्यस्य मूलं कथ्यते? चोकः कस्य द्रव्यस्य मूलं कथ्यते?	पुनर्नवा	चोकः तिलस्य मूलं कथ्यते	चोकः तु तिलस्य द्रव्यस्य मूलं कथ्यते	"चोकः कस्य द्रव्यस्य मूलं कथ्यते? 

चोकस्य द्रव्यस्य मूलं वित्तध"	हल्दी	चोकः कदलीफलस्य मूलं कथ्यते	चोकः क्षारस्य मूलं कथ्यते
51	ब्राह्मणयष्टिका एतेषु कस्य पर्यायः अस्ति?	भारङ्ग्याः	यष्टीमधुनः/ धातक्याः / भारङ्ग्याः / कायफलस्य	यष्टीमधुनः	यष्टीमधुनः	ब्राह्मणयष्टिका एतेषु धातक्याः पर्यायः अस्ति	"**धातक्याः** 

ब्राह्मणयष्टिका धातकी वृक्षस्य पर्यायनाम अस्ति"	धातक्याः	ब्राह्मणयष्टिका यष्टीमधुनः पर्यायः अस्ति	ब्राह्मणयष्टिकायाम् कायफलस्य पर्यायः अस्ति	ब्राह्मणयष्टिका इति धातक्याः पर्यायः अस्ति|	ब्राह्मणयष्टिकायाः पर्यायः कायफलम् अस्ति	ब्राह्मणयष्टिका एतेषु पर्यायः कायफलस्य अस्ति
52	कट्फलः एतेषु कस्य पर्यायः न अस्ति?	अङ्गारवल्ल्याः	कैटर्यस्य/ अङ्गारवल्ल्याः / श्रीपर्णिकायाः / भद्रवत्याः	अङ्गारवल्ल्याः	अङ्गारवल्ल्याः	अङ्गारवल्ल्याः	"**श्रीपर्णिकायाः** 

कट्फलः एतेषां फलनाम - कैटर्यस्य, अङ्गारवल्ल्याः, भद्रवत्याः -  पर्यायः अस्ति"	"श्रीपर्णिकायाः

कट्फलः कैटर्यस्य, अङ्गारवल्ल्याः, भद्रवत्याः च पर्यायः अस्"	कट्फलः कैटर्यस्य पर्यायः न अस्ति	श्रीपर्णिकायाः एतेषु कट्फले पर्यायः नास्ति	कट्फलः एतेषु कस्य पर्यायः न अस्ति? अङ्गारवल्ल्याः	कैटर्यस्य	कट्फलः एतेषु कस्य पर्यायः अस्ति? अङ्गारवल्ल्याः
53	धातकी एतेषु कस्य पर्यायः न अस्ति?	भद्रायाः	ताम्रपुष्प्याः / कुन्जरायाः / भद्रायाः / वह्निज्वालायाः	भद्रायाः	वह्निज्वालायाः	धातकी एतेषु कुन्जरायाः पर्यायः न अस्ति	"**भद्रायाः** 

धातकी इति शब्देन ताम्रपुष्पी, कुन्जरा, वह्निज्वाला च अभिधीयन्ते"	"वह्निज्वालायाः

धातकी शब्दस्य पर्यायाः सन्ति ताम्रपुष्पी, कुञ्जरा, भद्रा इत्"	धातकी कस्य पर्यायः न अस्ति? - कुन्जरायाः	ताम्रपुष्प्याः एतेषु धातकीयं पर्यायः नास्ति धातकी नाम एकस्मिन	कुन्जरायाः	"धातकी एतेषु कस्य पर्यायः न अस्ति? ताम्रपुष्प्याः / कुन्जरायाः / भद्रायाः / वह्निज्वालायाः

उत्तरम्: कुन्जराय"	धातकी कुन्जरायाः पर्यायः अस्ति
54	भावप्रकाशानुसारं मण्डूकपर्णी एतेषु कस्य पर्यायः अस्ति?	मञ्जिष्ठा; मञ्जिष्ठायाः	मण्डूक्याः / ब्रह्म्याः / मञ्जिष्ठा	ब्रह्म्याः	ब्रह्म्याः	मण्डूकपर्णी ब्रह्म्याः पर्यायः अस्ति	"**मञ्जिष्ठा** 

मण्डूकपर्णी मञ्जिष्ठायाः पर्यायः अस्ति यतः उभयोः पत्राणि मण्डूकस्य पृष्ठवत् दृश्यन्ते"	ब्रह्म्याः	मण्डूकपर्णीस्य पर्यायः मण्डूक्याः अस्ति	मण्डूकपर्णी एतेषु मञ्जिष्ठा इति पर्यायः अस्ति	मण्डूक्याः	मण्डूकपर्णी इत्यस्य पर्यायः ब्रह्मी अस्ति	मण्डूकपर्णी पर्यायः ब्रह्म्या अस्ति
55	मञ्जिष्ठा एतेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	मण्डूकपर्ण्याः / योजनवल्ल्याः / रक्तयष्टिकायाः / भद्रवत्याः	मण्डूकपर्ण्याः	मण्डूकपर्ण्याः	मण्डूकपर्ण्याः	"**मण्डूकपर्ण्याः** 

मञ्जिष्ठा रक्तवर्णत्वात् रक्तयष्टिका, विस्तृतलतात्वात् योजनवल्ली,  शोभना भद्रा च इति भद्रवती कथ्यते"	रक्तयष्टिकायाः	मञ्जिष्ठायाः पर्यायः मण्डूकपर्ण्याः नास्ति	मञ्जिष्ठा एतेषु भद्रवत्याः पर्यायः नास्ति	आपण विचारलेल्या प्रश्नाचे उत्तर म्हणजे,  मञ्जिष्ठा नावाचा पर्याय मंडूकपर्णी नाही मंजिष्ठाचा पर्याय आहे, योजनवल्ली, रक्तयष्टिका आणि भद्र	मण्डूकपर्ण्याः	मण्डूकपर्ण्याः पर्यायः मञ्जिष्ठा
56	विशेषाद्वयङ्गनाशनः एतेषु कस्य कर्म अस्ति?	अलक्तकस्य	अलक्तकस्य / शाल्मल्याः / मधुयष्ट्याः / नीमस्य	मधुयष्ट्याः	नीमस्य	विशेषाद्वयङ्गनाशनः एतेषु अलक्तकस्य कर्म अस्ति	"**नीमस्य**  

**कथम्?**  नीमस्य रक्तशोधकगुणाः विशेषेण त्वचाम् अलक्तकीकुर्वन्ति"	मधुयष्ट्याः	विशेषाद्वयङ्गनाशनः अलक्तकस्य कर्म अस्ति	विशेषाद्वयङ्गनाशनः एतेषु मधुयष्ट्याः कर्म अस्ति एतेषां साम	"नीमस्य 
अलक्तकः - कर्म
शाल्मली - कर्म
मधुयष्टिः - कर्म 

नीमस्य तु कर्ता अस्ति 

 विशेषाद्वयङ्गनाशनः = द्विगुण-वि"	अलक्तकस्य	अलक्तकस्य कर्म अस्ति
57	पलङ्कषा एतेषु कस्य पर्यायः अस्ति?	लाक्षायाः	मण्डूकपर्ण्याः / लाक्षायाः / गुगुलस्य / बह्म्याः	मण्डूकपर्ण्याः	लाक्षायाः	लाक्षायाः	"**मण्डूकपर्ण्याः** 

पलङ्कषा इति मण्डूकपर्ण्याः संस्कृते पर्यायः अस्ति"	पलङ्कषा लाक्षायाः पर्यायः अस्ति	पलङ्कषा इत्यस्मिन् मण्डूकपर्ण्याः पर्यायः अस्ति	पलङ्कषा एतेषु मण्डूकपर्ण्याः पर्यायः अस्ति एते वनस्पतयः प	मण्डूकपर्ण्याः	पलङ्कषा एतेषु लाक्षायाः पर्यायः अस्ति	पलङ्कषायाः पर्यायः मण्डूकपर्ण्याः, लाक्षायाः, गुग्गुलस्य, बह्म्याः, श्रीवेण्याः, श्रीवेणु, श्रीवेणु, श्र
58	हरिद्रा एतेषु कस्य पर्यायः नास्ति?	भद्रायाः	निशायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः	हटविलासन्याः	हटविलासन्याः	हरिद्रा एतेषु भद्रायाः पर्यायः नास्ति	"**निशायाः** 

हरिद्रायाः योषितप्रिया, हटविलासिनी, भद्रा इत्यादयः पर्यायाः सन्ति निशायाः पर्यायः न"	हटविलासन्याः	"हरिद्रा (हल्दी) इत्यस्य पर्यायः ""निशायाः"" नास्ति"	हरिद्रा योषितप्रियायाः पर्यायः अस्ति योषितां प्रियतमा हरिद्रा इति	हरिद्रा एतेषाम् सर्वेषाम् पर्यायः अस्ति	हरिद्रा एतेषु योषितप्रियायाः पर्यायः नास्ति	"हरिद्रा एतेषु कस्य पर्यायः नास्ति? निशायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः

उत्तरम्: हरिद्रा भद्राय"
59	हरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	काच्चन्याः / पीतायाः / वरवर्णिन्याः / सर्वेषाम्	पीतायाः	सर्वेषाम्	हरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति	हरिद्रा **पीतायाः** पर्यायः अस्ति | यतः हरिद्रा पीतवर्णा भवति |	सर्वेषाम्	हरिद्रा पीतायाः पर्यायः अस्ति	हरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति एतस्मिन् उपयोगे, हरिद्रा श	सर्वेषाम्	काच्चन्याः	हरिद्रायाः पर्यायः वरवर्णिनी अस्ति
60	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति?	आम्रेण; आम्रगन्धिः		कर्पूरः	कर्पूरहरिद्रयोः गन्धः कस्तूर्याः तुल्यः अस्ति	कर्पूरहरिद्रयोः गन्धः केसरेण तुल्यः अस्ति	दिव्याः धूमस्य	कर्पूरहरिद्रयोः गन्धः कस्तूरिकायाः गन्धेन तुल्यः अस्ति	कर्पूरहरिद्रयोः गन्धः चन्दनगन्धेन तुल्यः अस्ति	कर्पूरहरिद्रयोः गन्धः तुल्यः नास्ति कर्पूरः तेजस्वी तेजो	चन्दनस्य गन्धः कर्पूरहरिद्राभ्यां तुल्यः अस्ति	कर्पूरहरिद्रयोः गन्धः स्वल्पः अस्ति	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति? - गन्धेन तुल्यः
61	सुरभीदारु एतेषु कस्य पर्यायः अस्ति?	कर्पूरहरिद्रायाः	दारूहरिद्रायाः / हरिद्रायाः / कर्पूरहरिद्रायाः / तेजोहवायाः	दारूहरिद्रायाः	कर्पूरहरिद्रायाः	दारूहरिद्रायाः	"**दारूहरिद्रायाः** 

सुरभीदारु दारुहरिद्रायाः एव पर्यायः अस्ति"	दारूहरिद्रायाः	सुरभीदारु इत्यस्मिन् कर्पूरहरिद्रायाः पर्यायः अस्ति	हरिद्रायाः एव सुरभीदारु पर्यायः अस्ति एतेषु अन्येषु पदेषु सुर	"सुरभीदारु

**हरिद्रायाः** पर्यायः अस्ति"	दारूहरिद्रायाः	सुरभीदारु एतेषु पर्यायः हरिद्रायाः अस्ति
62	कुष्ठवातास्त्रनाशनः एतेषु कस्य गुणः अस्ति?	अरण्यहरिद्रायाः	कर्पूरहरिद्रायाः / हरिद्रायाः / अरण्यहरिद्रायाः / दारूहरिद्रायाः	दारूहरिद्रायाः	कर्पूरहरिद्रायाः	दारूहरिद्रायाः	"**हरिद्रायाः**  

हरिद्रायां रक्तप्रसादनगुणः वर्तते, येन कुष्ठवातास्त्रनाशः संभवति"	दारूहरिद्रायाः	कर्पूरहरिद्रायाः गुणः अस्ति	कुष्ठवातास्त्रनाशनः एतेषु कर्पूरहरिद्रायाः गुणः अस्ति यदि क	"दारूहरिद्रा 

कारणं यत् दारूहरिद्रा कुष्ठवातास्त्रनाशनः इति आयुर्वेदिक ग्रन्थेषु वर्णितः अस्ति"	कुष्ठवातास्त्रनाशनः हरिद्रायाः गुणः अस्ति	हरिद्रायाः गुणः अस्ति
63	दारूहरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	पर्जन्यायाः / कटङ्कटेर्याः / पचम्पचायाः / सर्वेषाम्	कटङ्कटेर्याः	सर्वेषाम्	दारूहरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति	**दारूहरिद्रा** एषा **पर्जन्याः** पर्यायः अस्ति	दारूहरिद्रा कटङ्कटेर्याः पर्यायः अस्ति	दारूहरिद्रा कटङ्कटेर्याः पर्यायः अस्ति	दारूहरिद्रा एतेषु सर्वेषाम् पर्यायः अस्ति दारूहरिद्रा अन्यन्तं	"**सर्वेषाम्**

दारूहरिद्रा पर्जन्यायाः, कटङ्कटेर्याः, पचम्पचायाः च पर्यायः अस्ति"	दारूहरिद्रा एतेषु पर्जन्यायाः पर्यायः अस्ति	दारूहरिद्रायाः पर्यायः पचम्पचा अस्ति
64	निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् अत्र कस्य विषये उक्तम् अस्ति?	अरण्यहरिद्रायाः	हरिद्रायाः / दारूहरिद्रायाः / अरण्यहरिद्रायाः / कर्पूरहरिद्रायाः	दारूहरिद्रायाः	हरिद्रायाः	हरिद्रायाः	"**दारूहरिद्रायाः** 

**कथम्?** दारूहरिद्रायाः नेत्रकर्णास्यरोगेषु विशेषेण गुणाः दृश्यन्ते"	दारूहरिद्रायाः	दारूहरिद्रायाः विषये उक्तम् अस्ति	अरण्यहरिद्रायाः नेत्र कर्णास्यरोगाणां निवारणे उपयोगी अस्ति	हरिद्रायाः	अत्र हरिद्रायाः विषये उक्तम् अस्ति	अरण्यहरिद्रायाः
65	...... तत् नेत्रयोः परं हितम्। कस्य विषये उक्तम् अस्ति?	रसाञ्जनस्य	मुद्गस्य / रसाञ्जनस्य / गृञ्जनस्य / आमलकस्य	रसाञ्जनस्य	रसाञ्जनस्य	आमलकस्य	"**आमलकस्य**  

नेत्ररोगेषु आमलकस्य प्रयोगः अत्यन्तं हितकरः"	रसाञ्जनस्य	तत् नेत्रयोः परं हितम् आमलकस्य	नेत्रयोः परं हितम् अमलकस्य विषये उक्तमस्ति आमलकं नेत्ररोगाणां	गृञ्जनस्य	रसाञ्जनस्य	आमलकस्य
66	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च कस्य पर्यायाः सन्ति?	रसाञ्जनस्य	रसाञ्जनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	शिलाजीतः	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च रसाञ्जनस्य पर्यायाः	हरिद्रायाः	"**रसगर्भः** 

**किमर्थम्?** रसगर्भः हरितालस्य पर्यायः अस्ति, हरितालं च रससिद्धौ उपयुक्तम्"	शिलाजीतः	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च शिलाजीतस्य पर्यायाः सन्ति	तार्क्ष्यशैलं = शिलाजीतः, रसगर्भः = मुक्ताशुक्त्याः, तार्क्ष्य	रसाञ्जनः	रसाञ्जनस्य	"तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च पर्यायाः निम्नलिखिताः सन्ति:

1 रसाञ्जनम्
2 हरिद्रा
3 शिलाजीतः
4"
67	बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	सोमराज्याः / कालमेष्याः / शशिलेखायाः / सर्वेषाम्	कालमेष्याः	सोमराज्याः	बाकुची शशिलेखायाः पर्यायः अस्ति	**सर्वेषाम्** बाकुची नामकं जड़ौषधिः सोमराजी, कालमेषा, शशिलेखा इत्यादिभिः नामभिः अपि ज्ञायते	सर्वेषाम्	शशिलेखायाः	"बाकुची अधोलिखितेषु पदेषु ""सर्वेषाम्"" एव पर्यायः अस्ति इतोऽ"	सर्वेषाम्	बाकुची इत्यस्य पर्यायः शशिलेखायाः अस्ति	"बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति? सोमराज्याः

उत्तरम्: सोमराज्याः"
68	बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य	कालमेष्याः	कालमेष्याः	बाकुची अवल्गुजस्य पर्यायः नास्ति	"**अवल्गुजस्य** 

बाकुची पूतिफल्याः, कालमेष्याः, भद्रवत्याः इति नामभिः अपि जानीता"	भद्रवत्याः	बाकुची इत्यस्य अवल्गुजस्य पर्यायः नास्ति	कालमेष्याः नास्ति	"अवल्गुजः

अन्य पर्यायः :

* बाकुची = पूतिफल्या = कालमेष्या = भद्रवत्या

अवल्गुजः इतरः पर्यायः बाकुच्याः अस्ति बाकुच्याः पर्या"	अवल्गुजस्य	"अधोलिखितेषु कस्य पर्यायः नास्ति? पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य

उत्तरम्: पूतिफल्याः"
69	मेषलोचनः अधोलिखितेषु कस्य पर्यायः अस्ति?	चक्रमर्दस्य	कुष्ठस्य/ चक्रमर्दस्य / कासमर्दस्य / मेषश्रृङ्ग्याः	कासमर्दस्य	कुष्ठस्य	मेषश्रृङ्ग्याः	"**कुष्ठस्य** 

मेषश्रृङ्ग्याः कुष्ठनिवारणे उपयोगः नास्ति"	मेषश्रृङ्ग्याः	मेषलोचनः कुष्ठस्य पर्यायः अस्ति	"मेषलोचनः अधोलिखितेषु कयेन नाम्ना विद्यते तस्य पर्यायः ""मेषश"	मेषलोचनः चक्रमर्दस्य पर्यायः अस्ति	मेषलोचनः कुष्ठस्य पर्यायः अस्ति	मेषलोचनः कुष्ठस्य पर्यायः अस्ति
70	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	प्रपुन्नाटस्य / द्रद्रुघ्नस्य / एडगजस्य / सर्वेषाम्	द्रद्रुघ्नस्य	सर्वेषाम्	सर्वेषाम्	"**एडगजस्य** 

चक्रमर्दः तथा एडगजः इत्येतौ द्वौ अपि गजस्य पर्यायपदौ स्तः"	सर्वेषाम्	चक्रमर्दः प्रपुन्नाटस्य पर्यायः अस्ति	चक्रमर्दः एडगजस्य पर्यायः अस्ति एडगजः एक अन्य पर्यायः	सर्वेषाम्	चक्रमर्दः प्रपुन्नाटस्य पर्यायः अस्ति	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति? एडगजस्य
71	अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति?	सोमराज्याः	विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः	सोमराज्याः	सोमराज्याः	सोमराज्यायाः	"**सोमराज्याः** 

सोमराज्यम् स्वर्णक्षीर्याः पर्यायः अस्ति, न तु अतिविषायाः"	"उत्तरम्: विश्वायाः

अतिविषा न विश्वायाः पर्यायः अस्ति अतिविषा अस्य नामान्तराणि शुक्"	"अतिविषा-पर्यायः ""सोमराज्यः"" न अस्ति"	विश्वायाः, शुक्लकन्दायाः, घुणवल्लभायाः, सोमराज्याः इत्येषां सर	"शुक्लकन्दयाः 

शुक्लकन्दः अतिविषा न पर्यायः अन्य पर्यायाः सर्वेषां सन्ति"	विश्वायाः	"अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति? विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः

विश्वायाः ="
72	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्रृंग्याः / अरुणयाः / भङ्गुरायाः / सर्वेषाम्	श्रृंग्याः	सर्वेषाम्	अतिविषा भङ्गुरायाः पर्यायः अस्ति	"**भङ्गुरायाः** 

भङ्गुरा अतिविषायाः नामान्तरम् अस्ति"	श्रृङ्ग्याः	अतिविषस्य पर्यायः श्रृंग्याः अस्ति	"अधोलिखितेषु ""अरुणयाः"" एव पर्यायः अस्ति इत्येवं श्रृंग्य"	सर्वाणाम्	अतिविषा अरुणयाः पर्यायः अस्ति	"अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति? श्रृंग्याः

अतिविषा = श्रृंग्याः"
73	भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः?	२; द्वौ		द्वौ	चत्वारः	चत्वारः	द्वौ   कषायरक्तयोः भेदात् लोध्रं द्विविधम् उक्तम्	भावप्रकाशेन लोध्रस्य द्वौ प्रकारौ उक्तौ - पट्टिका लोध्रः तथा वृक्षलोध्रः	भावप्रकाशे लोध्रस्य त्रि-प्रकाराः उक्ताः - लोध्रक, लोध्रक-चूर्ण, तथा लोध्रक-रस	लोध्रस्य भावप्रकाशे कठिना गणना नास्ति लोध्रं रसयुक्तं तीक्ष्ण	नव	त्रीणि	लोध्र-वृक्षस्य भावप्रकाशेन पञ्च प्रकाराः उक्ताः
74	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	लोध्रस्य	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	अर्जुनस्य	खदिरस्य	लोध्रस्य	**अर्जुनस्य**	लोध्रस्य	स्थूलवल्कलः अर्जुनस्य पर्यायः अस्ति	स्थूलवल्कलः अर्जुनस्य पर्यायः अस्ति	"स्थूलवल्कल: अर्जुनस्य पर्यायः अस्ति

## 
##  खोज 
स्थूलवल्कलः अर्जुनस्य पर्यायः अस्ति<br> 
क्योंकि स्थूलवल्कल का प्रयोग अर्जुन"	अर्जुनस्य	अर्जुनस्य
75	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?	पट्टिका-लोध्रस्य; पट्टिकालोध्रस्य		ताम्बूलस्य	निम्बम्	एते सर्वे पर्यायाः क्रमुकस्य सन्ति	"**नेत्ररोगाणाम्** 

**कथम्?**  एतेषां द्रव्याणां शीतवीर्यत्वात्  नेत्रेषु जलन-शोथ-रक्ताधिक्य-चिकित्सायां विशेषेण प्र"	"एतानि सर्वाणि पदानि ""तमालपत्र"" इत्यस्य पर्यायाः सन्ति

तमालपत्रम् आयुर्वेदे प"	एते सर्वे आयुर्वेदे औषधीनां पर्यायाः सन्ति	एताः सर्वाः पदानि अश्विनि नक्षत्रस्य पर्यायाः सन्ति अश्विनि नक	हरिद्रा	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च क्रमुकस्य पर्यायाः सन्ति	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति? - जीर्णपत्रं = त्रिकटु, बृहत्पत्रं = त्रिकट
76	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	म्लेच्छकन्दस्य	उग्रगन्धस्य	लशुनं अधस्तनेषु सर्वेषाम् पर्यायः अस्ति	"**सर्वेषाम्** 

लशुनस्य उग्रगन्धः, महौषधत्वं, म्लेच्छकन्दत्वं च सर्वविदितम् अतः एतेषु त्रिषु अपि पर्यायत्वम् अस्ति"	सर्वेषाम्	लशुनं उग्रगन्धस्य पर्यायः अस्ति	लशुनं उग्रगन्धस्य पर्यायः अस्ति लशुनं उग्रगन्धः एव अस्ति	सर्वेषाम्	लशुनं अधस्तनेषु उग्रगन्धस्य पर्यायः अस्ति	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति? म्लेच्छकन्दस्य
77	लशुने कः रसः न अस्ति?	अम्लः; आम्लः		लवणः	मधुरः	मधुर	"**मधुरः**  

लशुनस्य षड्रसाः वर्तन्ते, मधुररसः तेषु न गृह्यते"	"लशुने मधुररसः न अस्ति

लशुनस्य प्रमुखाः रसाः भवन्ति:
1 कटु
2 तीक्ष्ण
3"	लशुनस्य कः रसः न अस्ति इति ज्ञायते, तस्य तिक्त-रसः अस्ति	लशुने कः रसः न अस्ति? लशुनं तीक्ष्णं गुरु च रसं न अस्ति तस	"लशुने (लशुन) कटुरसः नास्ति 

लशुने षड् रसाः सन्ति - मधुरः, अम्लः, लवणः, कटुः, तिक्तः, कषायः च"	लशुने मधुर-रसः नास्ति	लशुने तिक्त रसः अस्ति
81	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	उग्रगन्धस्य	रसोनकस्य	पलाण्डुः रसोनकस्य पर्यायः अस्ति	**रसोनकस्य**	उग्रगन्धस्य	पलाण्डुः यवनेष्टस्य पर्यायः अस्ति	पलाण्डुः यवनेष्टस्य पर्यायः अस्ति यवनेष्टः इति अर्थस्य नाम	रसोनकस्य	पलाण्डुः अरिष्टस्य पर्यायः अस्ति	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति? यवनेष्टस्य
82	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	सर्वेषाम्	मुखदूषकस्य	पलाण्डुः निम्नेषु सर्वेषाम् पर्यायः अस्ति		"सर्वेषाम्

पलाण्डुः एतेषां सर्वेषां पर्यायवाची शब्दः अस्ति पलाण्डुः मुखदूषक"	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	दुर्गन्धस्य	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति
83	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	भल्लातकस्य	चित्रकस्य / भल्लातकस्य / दन्त्याः / मञ्जिष्ठायाः	चित्रकस्य	भल्लातकस्य	अरूष्करः दन्त्याः पर्यायः अस्ति	मञ्जिष्ठायाः	अरूष्करः चित्रकस्य पर्यायः अस्ति	अरूष्करः चित्रकस्य पर्यायः अस्ति	अरूष्करः चित्रकस्य पर्यायः अस्ति	## अरूष्करः शब्दस्य पर्यायः मञ्जिष्ठा अस्ति	अरूष्करः दन्त्याः पर्यायः अस्ति	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति? चित्रकस्य
84	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति?	भल्लातकस्य; भल्लातकः		अरुंषकस्य	शोफकृत्	अग्निमुखी, क्षीरवृक्षः, शोफकृत् एरंडस्य पर्यायाः सन्ति	"**अग्निमन्थस्य** 

**कथम्?** एते सर्वे शब्दाः अग्निमन्थ-नामक-औषधीय-वनस्पतेः पर्यायाः सन्ति"	"एतानि पदानि अर्कस्य पर्यायाः सन्ति

अर्कः अथवा आकन्दः एकः प्रसिद्धः औषधीयः वृ"	अग्निमुखी, क्षीरवृक्षः, शोफकृत् इत्येते सर्वे तिलस्य पर्यायाः सन्ति	अग्निमुखी शब्दस्य पर्यायाः अग्निमुखा, अग्निप्रिया इत्यादय	वचा	अग्निमुखी, क्षीरवृक्षः, शोफकृत् इत्येते पर्यायाः क्षीरिवृक्षस्य सन्ति	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति? - पिप्पली, पिप्पली, पिप्पली
