ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct	gemini-1.0-pro
94	तस्य धनुषः नाम किं यत् महर्षिः परशुरामः श्रीरामं (सीतास्वयम्वरे) यस्मिन् बाणसन्धानं कर्तुं समाहूतवान्?	वैष्णवधनुः		शिवधनुः	"तस्य धनुषः नाम पिनाकम् आसीत्

पिनाकं नाम शिवधनुः यत् परशुरामः श्रीरामं सीतास्व"	शिवाधनुः  श्रीरामः परशुरामस्य शक्तिं ज्ञातुम् इच्छति स्म तस्मात् तेन श्रीरामः बाणसन्धानं कर्तुम् आहूतः	शिवधनुः	वैष्णवधनुषः	"तस्य धनुषः ""शिव धनुष"" इति नाम्ना प्रसिद्धः अस्ति"	परशुरामः श्रीरामं समाहूतवान् यस्मिन् सीतास्वयम्वरे	"पिनाकम् 

## 
## 

*पिनाकम्* नाम तस्य धनुषः आसीत् यत् महर्षिः परशुरामः श्रीरामं सीतास्वयम्भरे बाणसन्धानं कर्तुं समाहूतवान्"	विश्वामित्रेण दत्तं धनुः	अश्व	'कोदण्डम्'
95	उत्तरकुरुषु स्थितस्य कुबेरोपवनस्य नाम किम्?	चित्ररथः		चित्तरथम्	चित्ररथम्	चैत्ररथम्	चैत्ररथम्	चैत्ररथम्	"कुबेरोपवनस्य नाम ""अविमुक्तम्"" अस्ति"	उत्तरकुरुषु स्थितस्य कुबेरोपवनस्य नाम नन्दनवनम् इति अस्ति	चित्रकूट	अलकापुरी	"कुबेरोपवनस्य नाम ""अलकापुरी"""	"**चित्रकूटः** 
**चित्रकूटः हिमालये स्थितः** 
**चित्रकूटः कुबेरोपवनस्य नाम**"
96	कलहप्रियः कस्य नाम आसीत्?	नारदः		मन्थरा	कलहप्रियः नाम शूर्पणखायाः पुत्रस्य आसीत्	मन्दोदरी	रावणः	कलहप्रियः काकस्य नाम आसीत्	कलहप्रियः रामायणस्य काकभुशुण्डिः नाम्ना प्रसिद्धः अस्ति	रामायणे कलहप्रियस्य नाम रावणः आसीत्	रावणः	कलहप्रियः मन्थरायाः नाम आसीत्	कलहप्रियः रावण नाम आसीत्	रावणः
97	तस्य यज्ञस्य नाम किम् यः 'पवित्रनामकेन' सोमयज्ञेन आरभ्यते 'सौत्रामणिना' च समाप्यते?	राजसूयः		सर्वमेधः	"अश्वमेधः

अश्वमेध यज्ञः पवित्रनामकेन सोमयज्ञेन आरभ्यते च सौत्रामणिना समाप्"	"**अश्वमेधः** | 

**कथम् ?**  एषः यज्ञः प्रथमदिने पवित्रनामकेन सोमयज्ञेन आरभ्यते, अन्ते च सौत्रामणिना समाप्यते"	अश्वमेधः	ज्योतिष्टोमः	सौम्ययज्ञः	नाम पवित्रनामकस्य यज्ञस्य सोमयज्ञ नामान्तरम् सौत्रामणि नामकेन	अश्वमेधः	राजसूयम्	अर्थ : त्या यज्ञाचे नाव काय आहे ज्याची सुरुवात 'पवित्रनामकेन' सोमयज्ञाने होते आणि 'सौत्रामणिना' च्या संपूर	राजसूयः
98	रावणस्य कुलस्य सः योद्धा कः यः रामरावणयोः युद्धे श्रीरामस्य पक्षे अयुद्ध्यत?	विभीषणः		विभीषणः	"विभीषणः

विभीषणः रावणस्य अनुजः आसीत्, परन्तु सः धर्मात्मा आसीत् रावणस्य अधार्मि"	"विभीषणः 

**कथम्?** रावणस्य अन्यायम् दृष्ट्वा धर्मपरायणः विभिषणः रामस्य शरणम् अगच्छत्"	विभीषणः	विभीषणः	विभीषणः	रावणस्य कुलस्य तस्य अपत्यः मेघनादः रावणस्य योद्धा अस्ति मेघन	"विभीषणः
 
रावणस्य सखा कः?

 
 हनुमान्  
 
 लक्ष्मणस्य पत्नी का?

 
 उर्मिला 
 
 सीतायाः पिता कः?

 
 जनकः"	विभीषणः	रावणस्य कुलस्य सः योद्धा कः यः रामरावणयोः युद्धे श्रीरामस्य पक्षे अयुद्ध्यत?	विभीषणः
99	सः कः वीरः यः रावणं कारागारं नीत्वा बद्धवान् (रावणस्य) पितामहस्य निवेदनाच्च तं मुक्तवान्?	सहस्रार्जुनः		बली	"बाली

बालिः रामायणे वानर-राजः आसीत् सः महाबलशाली वीरः आसीत् कथानुसारं बालिः रावणं परास्"	हनूमान् हनुमान् रावणस्य दुर्लङ्घ्यं बन्धनम् अकरोत् तस्य पितामहः पुत्रपौत्रादीन् रक्षितुम् एव बन्धनमोक्षं याचितवान् |	सः वालिनामा वीरः	वालि	विभीषणः वीरः यः रावणं कारागारं नीत्वा बद्धवान्	हनुमान् वीरः तस्याः पितामहस्य निवेदनात् रावणं कारागारं नीत्वा ब	हनुमान्	नमुचिः	रामः	हनुमान्
100	सः कः वीरः यः रावणं षण्मासान् यावत् स्वकक्षे अस्थापयत्?	वाली		वालिवानरः	जटायुः	हनुमान्   पञ्चवट्यां सीता अपहृता इति ज्ञात्वा, हनुमान्  तां अन्वेषमाणः लंकां गतः तत्र रावणेन बन्दी कृतः	हनुमान्	कार्तिकेयः	सः हनुमानः वीरः	रामः वीरः रावणं षण्मासान् यावत् स्वकक्षे अस्थापयत्	हनुमान् |	नन्दी	रामः	hanuman
101	ऋषिः विश्वामित्रः यदा राजा दशरथस्कृय सविधे  श्रीरामं लक्ष्मणं च याचितुम् आगतवान् तदा अस्मिन्नवसरे दशरथः बहुषु तर्केषु ऋषये कति अवस्थाः उक्तवान्?	षष्ठीसहस्रम्		त्रयः	"दशरथः विश्वामित्राय त्रीन् अवस्थान् उक्तवान्

प्रथमं स उवाच यत् रामः अतीव बालः अस्"	त्रयः   पुत्रसनेहवशात्	चतस्रः	षडवस्थाः	"दशरथः ऋषये कति अवस्थाः उक्तवान् इति प्रश्नस्य उत्तरं ""त्रयः"" इति अस्ति"	ऋषिः विश्वामित्रः राजा दशरथं संबोध्य युक्तिपूर्वक श्रीरामं	सप्त	दशरथः ऋषये सप्त अवस्थाः उक्तवान्	"दशरथः ऋषिमुख्यानां तर्कान् अस्मिन्नवसरे प्रत्युत्तरम् उक्तवान्, ""अहं त्वां प्रति कृतज्ञोऽस्मि त्वं मम पुत"	"चार

### 
### 
### 
### 
## व्याख्या 

रामायणे बालकाण्डे ऋषि विश्वामित्र द्वारा दशरथस्कृय सविधे श्रीरामं लक्ष्मणं च याचितुम् आगमनस्य स"
102	लक्ष्मणम्, हनुमन्तं, भरतं, शत्रुघ्नं च युद्धे कौ द्वौ भ्रातरौ पराजितवन्तौ?	लवकुशौ		लक्ष्मणः, हनुमान् च	रामायणे युद्धे लक्ष्मणम्, हनुमन्तं, भरतं, शत्रुघ्नं च कोऽपि न पराजितवान् एते स	**लक्ष्मणः शत्रुघ्नः च**	लक्ष्मणम् हनुमन्तं च	लक्ष्मण-भरतौ	लक्ष्मणः च शत्रुघ्नः पराजितवन्तौ	हनुमान् एव भ्रातुः पराजितः न तु लक्ष्मणः, भरतः, अथवा शत्रु	*लक्ष्मण-शत्रुघ्नौ*	रामेण लक्ष्मणः, हनुमन्तश्च पराजितौ	रावणः	लक्ष्मण-शत्रुघ्नौ
103	कुंभकर्णस्य शयनाय रावणेन यद् गृहं निर्मापितं तत् कियद् दीर्घं विस्तीर्णं चासीत्?	योजनद्वयं दीर्घं योजनं च विस्तीर्णम्		योजनार्धम्	कुम्भकर्णस्य शयनगृहस्य मापनं रामायणे स्पष्टतया न वर्णितम् तथापि, कुम्भकर्णस्य	तस्य भवनस्य विषये रामायणे न किञ्चित् वर्णितम्	दश योजनानि दीर्घं च तथैव विस्तीर्णम्	कुंभकर्णस्य शयनाय रावणेन यद् गृहं निर्मापितं तत् द्वियोजनविस्तीर्णं द्वादशयोजनदीर्घमासीत्	कुंभकर्णस्य शयनाय रावणेन निर्मितं गृहं सहस्त्रदिवसानां दीर्घं च विस्तीर्णं च आसीत्	कुंभकर्णस्य शयनाय रावणेन निर्मापितं गृहं तत् एकं योजनायाम्	योजन-शत-विस्तीर्ण-सहस्रयोजन-दीर्घम् - अयोध्याकांडे ७/२३-२५	कुंभकर्णस्य शयनाय रावणेन यद् गृहं निर्मापितं तत् एकयोजनं दीर्घं विस्तीर्णं चासीत्	कुंभकर्णस्य शयनाय रावणेन यद् गृहं निर्मापितं तत् दीर्घं विस्तीर्णं चासीत्, एक-लक्ष-योजन-मितं विस्तीर्णं, एक	यो योजनानां द्विसहस्रं विस्तीर्णं दशयोजनपरिमितं च
104	सः कः राक्षसः यः एकस्मिन् पर्याये षड् मासान् यावत् निद्राति स्म?	कुम्भकर्णः		कुम्भकर्णः	कुम्भकर्णः	कुम्भकर्णः   यतः ब्रह्मा इच्छायानुसारम्	खरः	कुम्भकर्णः	सः रावणः	राक्षसः रावणः रावणः एकस्मिन् पर्याये षड् मासान् यावत् निद्र	कुंभकर्णः	अतिबलः	रावणः	कूम्भकर्णः
105	रावणः कं प्रसादयितुं स्वस्य दश शिरांसि समर्पितवान्?	ब्रह्माणम्		शिवम्	रावणः शिवं प्रसादयितुं स्वस्य दश शिरांसि समर्पितवान्	"**ब्रह्माणम्** 

ज्ञानवृद्धर्थे"	रामम्	शिवम्	रावणः भगवान् शिवं प्रसादयितुं स्वस्य दश शिरांसि समर्पितवान्	रावणः दश शिराः नभः अधिपतिं इन्द्रं प्रसादयितुं समर्पितवान्	शिवम्	शिवम्	रावणः श्रीरामायै प्रसादयितुं स्वस्य दश शिरांसि समर्पितवान्	शिवं
106	सः कः यः मातरं विना एव केवलं पित्रा जनितः आसीत्?	मिथिः		हनुमान्	"इक्ष्वाकुः

इक्ष्वाकुः वैवस्वत मनोः पुत्रः आसीत् पुराणानुसारं, मनुः क्ष"	**कौशल्याः** पुत्रः रामः दशरथेन पुत्रकामेष्ट्यां प्राप्तः आसीत्	रामः	सः सीतायाः भ्राता अस्ति	सः रामः	रामः एवं आसीत् वाल्मीकिरामायणे रामस्य जननी कौशल्या इति नाम	पुत्रः	रामः	विष्णुः	कृष्णः
107	एतेषु कः एकपादस्थः पञ्चसहस्रवर्षाणि तपः अकरोत्?	विभीषणः	 शंबूकः / दशरथः / विभीषणः / सुग्रीवः	शंबूकः	उत्तरम्: शंबूकः	शंबूकः	शंबूकः	शंबूकः	शंबूकः	शंबूकः	दशरथः	शंबूकः	शंबूकः	विश्वामित्रः
108	सीताहरणात् प्राक् कः सुवर्णमृगस्य रूपं धृत्वा आगच्छत्?	मारीचः		मारीचः	मारीचः	मारिचः	मारीचः	मारीचः	रामः सुवर्णमृगस्य रूपं धृत्वा आगच्छत्	वाल्मीकिः नरः सुवर्णमृगस्य रूपं धृत्वा आसीत् अयं नरः र	मारिचः	मारीचः	रावणः	मारीचः
109	कः शिलारूपायाः अहल्यायाः उद्धारं कृतवान्?	श्रीरामः		रामः	रामः	श्रीरामः	रामः	श्रीरामः	रामः	रामः शिलारूपायाः अहल्यायाः उद्धारं कृतवान्	श्रीरामः	श्रीरामः	रामः	भगवान श्रीरामः
110	सः कः महर्षिः यः पितुः आज्ञाय मातुः शिरः छिन्नवान्?	परशुरामः		परशुरामः	रेणुका-शिरश्छेदनस्य प्रसङ्गे परशुरामः एव सः महर्षिः यः पितुः जमदग्नेः आज्ञया म	पराशरः   पितुः आज्ञा शापत्वेन आसीत्, अतः अवज्ञा न शक्या आसीत् |	रामः	परशुरामः	सः रामः महर्षिः यः पितुः आज्ञाय मातुः शिरः छिन्नवान्	वाल्मीकिः महर्षिः यः पितुः आज्ञाय मातुः शिरः छिन्नवान्	पराशरः	परशुरामः	विश्वामित्रः	परशुरामः
111	सः कः महर्षिः यः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्?	अगस्त्यः		अगस्त्यः	भृगुः	अगस्त्यः	अगस्त्यः	अगस्त्यः	सः महर्षिः वाल्मीकि: अस्ति	सः विश्वामित्रः महर्षिः अस्ति विश्वामित्रः सम्पूर्णसमुद्रजलं	अगस्त्यः	अगस्त्यः	अगस्त्यः	"अत्र तु महर्षिः सुदर्शन: 

स: एव समुद्रजलं चुलुकीकृत्य अपिवत्"
112	शूर्पणखायाः राक्षस्याः नासिका कर्णौ च कः छिन्नवान्?	लक्ष्मणः		लक्ष्मणः	लक्ष्मणः	लक्ष्मणः क्रोधेन	लक्ष्मणः	लक्ष्मणः	रामः शूर्पणखायाः राक्षस्याः नासिका कर्णौ च छिन्नवान्	रावणः छिन्नवान्	लक्ष्मणः	लक्ष्मणः	रावणः	लक्ष्मणः
113	सः कः महर्षिः यः क्षत्रियोऽपि तपसा ब्रह्मर्षिषु परिगणितः?	विश्वामित्रः		विष्वामित्रः	"विश्वामित्रः

विश्वामित्रः क्षत्रिय-वंशे जातः आसीत्, परन्तु तपसा ब्रह्मर्षि-प"	विश्वामित्रः	विश्वामित्रः	विश्वामित्रः	सः रामः	रामः महर्षिः अस्ति रामः क्षत्रियः अस्ति तपसा रामः ब्रह्मर्ष	विश्वामित्रः	विश्वामित्रः	अगस्त्यः	विश्वामित्रः
114	कः सः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत्?	त्रिशङ्कुः		त्रिशङ्कुः	"त्रिशङ्कुः

महर्षिः विश्वामित्रः त्रिशङ्कुं राजानं सशरीरं स्वर्गं प्रेषयन्"	त्रिशंकुः   पापानां  मोक्षं  न  भवति	त्रिशङ्कुः	त्रिशङ्कुः	राजा त्रिशङ्कु: आसीत्	राजा दशरथः आसीत् विश्वामित्रः महर्षिः आसीत् शरीरं स्वर्गं प्र	त्रिशंकु:	त्रिशङ्कुः	अश्वमेध-यज्ञस्य प्रवर्तने राजा जनकः आसीत्	त्रिशंकुः
115	एतेषु कः सूर्यं फलमिति मत्वा खादितुं तत्र गतः?	हनुमान्	 जाम्बवान् / सुरसा / हनुमान् / कालनेमिः	हनुमान्	हनुमान्	**हनुमान्**  सूर्यं गुरुं मत्वा	हनुमान्	हनुमान्	हनुमान्	हनुमान्	हनुमान्	हनुमान्	जाम्बवान्	हनुमान्
116	सः कः महर्षिः यः स्वस्य पत्न्यै प्रस्तरशिला भवितुं शापं अददात्?	गौतमः		गौतमः	"गौतमः

गौतम ऋषिः स्वपत्नीम् अहल्यां शापं दत्तवान् यत् सा प्रस्तरशिला भवेत्"	"गौतमः  

क्रोधवशात्"	गौतमः	गौतमः	महर्षिः वसिष्ठः	वाल्मीकिः महर्षिः अस्यः पत्न्यै प्रस्तरशिला भवितुं शापं अददात	गौतमः	गौतमः	विश्वामित्रः	गौतम ऋषिः
117	सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्?	जाम्बवान्		जाम्बवान्	"स्वायम्भुवः

ब्रह्मा स्वयं जृम्भणात् (जृम्भायाः) स्वायम्भुवं नाम ऋक्षम्"	वालिः  तस्य जन्म ब्रह्मणः जृम्भात् अभवत्	जम्भवान्	ऋक्षराजः	"सः ऋक्षः ""कुर्म"" इति नाम्ना ज्ञायते"	अश्वः	"असृजत् च असृजत् च जह्नोः सोमं चापः 

सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्? 
**सिंहः**

सः कः ऋ"	सुग्रीवः	अरुणः	"दक्षः 

The answer is Prajapati Daksha, the son of Lord Brahma According to the Vishnu Purana, he was created by Brahma from his own shadow"
118	श्रीरामस्य राज्याभिषेके एतेषु कः पञ्चशतस्य नदीनां जलम् आनयत्?	जाम्बवान्	 नीलः / सुग्रीवः / जांबवान् / नलः	जांबवान्	"उत्तरम्: नलः

नलः वानरः पञ्चशतस्य नदीनां जलम् आनयत् श्रीरामस्य राज्याभिषेकार्"	"**सुग्रीवः**

सुग्रीवः वानर-राज्यस्य नृपः आसीत् तस्य आज्ञयानुसारेण वानराः जलम् आनेतुं गताः"	नलः	नलः	नीलः	सुग्रीवः	नलः	नलः	नीलः	हनुमान्
119	का सा राक्षसी या रावणस्य निराकरणे सति सीतां खादितुं भर्त्सितवती?	प्रघसा		त्रिजटा	सूर्पणखा	शूर्पणखा	सुर्पनखा	त्रिजटा	सा राक्षसी तस्य नाम ताडका अस्ति	रावणस्य भगिनी शूर्पणखा निराकरणे सति सीतां खादितुं भर्त्सितव	सूर्पनखा	त्रिजटा	मेघनादा	सूर्पनखा
120	सः कः ऋषिः यः क्रुद्धः भूत्वा गङ्गायाः सर्वं जलम् अपिवत्?	जहुः		जाह्नुः	विश्वामित्रः	विश्वामित्रः  क्रोधेन दुष्टस्य राज्ञः तर्पणार्थं गङ्गायाः जलम् अपहृतम्	जह्नुः	जाह्नवी	सः ऋषिः जमदग्निः अस्ति	रामः ऋषिः नास्ति, तस्मात् रामः गङ्गायाः सर्वं जलम् अपिवान् इत	विश्वामित्रः	अगस्त्यः	अगस्त्यः	विश्वामित्रः
121	सः कः यः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै दत्तवान्?	पुरुः		ययातिः	"भरतः

भरतः दशरथस्य पुत्रः आसीत् सः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत"	"**भरतः** 

**कथम्?**

रामस्य वनवास-प्राप्तेः दुःखेन दशरथस्य मृत्योः अनन्तरं भरतः स्वपित्रे अनन्यभक्त्या स्वस्य यौवनं दातुम्"	रामः	ययातिः	सः रामः यः स्वपितुः दशरथस्य आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं भरताय दत्तवान्	रामः राजपुत्रः अस्ति तस्य पितुः दशरथस्य आज्ञया वयस्यं व	रामः	च्युतः	रामायणे रामः	मनुः
122	सः कः ऋषिः यः स्वपितुः आज्ञया गवां संहारम् अकरोत्?	कंडुः		परशुरामः	"परशुरामः

परशुरामः स्वपितुः जमदग्नेः आज्ञया क्षत्रियाणां संहारम् अकरोत् एकविंशति"	"**भरद्वाजः**  

पितुः आज्ञा पालनीया इति धर्मः"	विश्वामित्रः	परशुरामः	सः ऋषिः वाल्मीकीः अस्ति	सः ऋषिः विश्वामित्रः आसीत् विश्वामित्रः स्वपितुः वसिष्ठस्य आ	नारदः	विश्वामित्रः	विश्वामित्रः	विश्वामित्रः
123	अश्विनिकुमारौ कं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ ?	च्यवनः		च्यवनम्	च्यवनम्	च्यवनम्  तस्य युवावस्थां प्रति प्राप्तुम् इच्छया	च्यवनम्	च्यवनम्	अश्विनिकुमारौ ऋषिं दधिचं ओषध्या वृद्धं युवानम् कृतवन्तौ	ऋषिं च्यवनं कृतवन्तौ च्यवनं ऋषिं ओषध्या वृद्धं युव	नारायणम्	च्यवनमहर्षिम्	अश्विनी कुमारौ चिरभ्रातरौ	अश्विनीकुमारौ कश्यपं ओषध्या वृद्धं युवानम् कृतवन्तौ
124	सः कः राक्षसः यः राम-लक्ष्मणयोः अपहरणं कृत्वा तौ पातालं नीतवान्?	अहिरावणः		महिरावणः	मारीचः	रावणः  रावणः सीतायाः अपहरणं कृत्वा तां लङ्कां नीतवान्, न तु रामलक्ष्मणयोः	अहम्	अहिरावणः	सः रावणः	रावणः राक्षसः तस्याः पत्नी सीता अपहृत्य रामलक्ष्मणयोः सह लङ	अहिरावण:	अहिरावणः	रावणः	"नीलः 

अन्यः कश्चन प्रश्नः?"
125	सः कः पर्वतः यः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत्?	मेरुपर्वतः		सुमेरुः	"महेन्द्रः

महेन्द्र पर्वतः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत् इति रामायणे"	हेमकूटः   सुग्रीवः तत्र वानरान् रामायणे प्रेषितवान्	मेरुः	मेरुपर्वतः	"सः पर्वतः ""श्रीराम पर्वत"" इति ज्ञायते"	रामः	मेरूः	मेरुः	मेरु पर्वतः	मेरुपर्वतः
126	सः कः राक्षसः, यः श्रीरामं लक्ष्मणं च गर्ते निक्षिप्तवान्?	विराधः		मारीचः	"मारीचः

मारीचः नाम राक्षसः सीतां हर्तुं रावणस्य सहायको भूत्वा स्वर्णमृगरूपं धृत्"	"मारीचः 

मारीचः स्वर्णमृगत्वेन रूपं परिवर्त्य सीतां हर्तुं रावणेन प्रेरितः आसीत्"	खरः	मारीचः	सः रावणः	सः रावणः राक्षसः अस्ति अयं रावणः श्रीरामं लक्ष्मणं च गर	मायावी	अहिरावणः	रावणः	स खरः
127	सः कः राक्षसः यः यमेन सह युद्धं कृतवान्?	रावणः		रावणः	रावणः	सबरी  यतः भीमसेनः यमेन सह युद्धं कृतवान् न तु राक्षसः	विभीषणः	रावणः	सः रावणः	रामः राक्षसेन सह युद्धं कृतवान्	मेघनादः	रावणः	रावणः	रावणः
128	मकरध्वजः कस्य जन्तोः गर्भात् जातः?	मत्स्यः		हनुमतः	मकरध्वजः हनुमतः रक्तबिन्दोः जातः	हनुमतः  हनुमता समुद्रे लङ्कां प्रति गमनसमये तस्य तैललिप्त-पुच्छे अग्निं प्रज्वाल्य रावणेन प्रेषितानां राक्षसानां मध्ये एकः सिंहिका नाम राक्ष	मकरध्वजः ताड़कायाः गर्भात् जातः	हनुमतः	मकरध्वजः वरुणस्य गर्भात् जातः	मकरध्वजः श्रीरामस्य जन्तोः गर्भात् जातः	हस्तीः	मकरध्वजः मकरस्य गर्भात् जातः	मकरध्वजः गर्भात् गरुडाच्या गर्भात जातो	शौनकस्य
129	सः कः वानरयूथपतिः यः मृत्योः पुत्रः आसीत्?	सुमुखः		वालिः	"बालिः

बालिः वानरयूथपतिः आसीत् यः मृत्योः पुत्रः कथ्यते रामायणे बालिनः पिता इन्द्"	इन्द्रजित्	हनुमान्	हनुमान्	सुग्रीवः	वानरयूथपतिः सुग्रीवः आसीत् अयं मृत्योः पुत्रः हनूमान् इत	हनुमान्	सुग्रीवः	रामः	हनुमान्, वायुपुत्रः
130	अयोध्यायाः सः कः राजकुमारः यः नगरस्य बालकान् गृहित्वा सरयूनद्याः जले क्षिपति स्म?	असमञ्जः		रामः	"भरतः

भरतः अयोध्यायाः राजकुमारः आसीत् यः बाल्यकाले नगरस्य बालकान् गृहीत्वा सरयू"	शत्रुघ्नः  वालिनः पुत्रं वानरराज्यस्य राजानं चिकीर्षमाणम् अङ्गदं  नदीजले क्षिप्तवान् शत्रुघ्नः	रामः	सः राजकुमारः रामः नासीत् सः रावणः अपि नासीत् सः राजकुमारः रामस्य अनुजः लक्ष्मणः अपि नासीत् सः राजकुमारः	रामः	अयोध्यायाः राजकुमारः रामः नाम्ना अभिप्रीतः वानरः च सीताया स	"दशरथः 

तस्य पुत्री सीता स्वयंवरं कुर्वन्ती आसीत्, यत्र धनुर्धरस्य रामस्य विजयी भवति"	शूर्पणखा	रामः	"दशरथः

सः तान् बालकान् नदीम् अपाहरत्, यतो हि तस्य पिता तम् एवं अकरोत्, एवञ्च सः पापात् स्वात्मनम् अवहरति स्म"
131	सः मनुष्यः कः आसीत्, यः राजा अम्बरीषस्य यज्ञपशुत्वं स्वीकृतवान् आसीत् ?	शुनःशेपः		शुनःशेपः	"शुनःशेपः

शुनःशेपः नाम ऋषिः आसीत् यः राजा अम्बरीषस्य यज्ञपशुत्वं स्वीक"	ऋष्यशृङ्गः   तस्य पितुः, महर्षेः विभाण्डकस्य, आज्ञां पालयितुम्	स मनुष्यः रिचीक आसीत्	सुनःशेपः	सः मनुष्यः दुर्वासा ऋषिः आसीत्	राजा अम्बरीषः यज्ञपशुत्वं स्वीकृतवान् आसीत्	राजा हरिश्चन्द्रः	सः मनुष्यः महाराजः दिलीपः आसीत्	अम्बरीषस्य यज्ञपशुत्वं स्वीकृतवान् आसीत् रावणः	दुर्वासाः
132	अयोध्यायाः सः प्रतापी राजा कः आसीत्, यस्य पुत्राः संपूर्णां पृथिवीं भिन्नवन्तः ?	सगरः		दशरथः	दशरथः	दशरथः  पुत्रकामेष्टियज्ञेन पुत्रप्राप्त्या अभवत् एषा व्यवस्था	दशरथः	दशरथः	रामः	अयोध्यायाः सः प्रतापी राजा दशरथः आसीत् यस्य पुत्राः रामः, ल	दशरथः |	दशरथः	अयोध्यायाः सः प्रतापी राजा राम आसीत्, यस्य पुत्राः लक्ष्मण, भरत, शत्रुघ्न, शत्रुघ्न, श्री राम, श्री राम, श	"## रघु! ## 
## रघोः पृथ्वी समं साम्राज्यस्य, सर्वे पुत्राः च तस्याः साम्राज्यस्य विजेतारः ##"
133	राजा सगरस्य यज्ञाश्वस्य अपहरणं का देवता अकरोत्?	इन्द्रः		इन्द्रः	इन्द्रः	इन्द्रः  यज्ञविघ्नार्थम्	इन्द्रः	इन्द्रः	सगरस्य यज्ञाश्वस्य अपहरणं वरुणदेवः अकरोत्	देवता इन्द्रः अकरोत्	इन्द्र:	इन्द्रः	राजा सगरस्य यज्ञाश्वस्य अपहरणं कृमिर्भगवान् अकरोत्	इन्द्रः
134	अधस्तनेषु सः कः आसीत्, यः शिरः अधः कृत्वा तपस्याम् अकरोत् ?	शम्बूकः	 त्रिशंकुः / मेघनादः / शंबूकः / शुनःशेपः	शंबूकः	शंबूकः	**शिरः**	त्रिशंकुः	शंबूकः	शंबूकः	त्रिशंकुः आसीत् रामायणे त्रिशंकुर्नामकः एकः महर्षिः उपकारकर्त	शंबूकः	शंबूकः	शुनःशेपः	"शुनःशेपः 

तपस्यां स्वीकुर्वन्, विश्वामित्रऋषीणां यज्ञे बलिः दातुम् इच्छन् आसीत्"
135	विष्णु: कस्याः स्त्रिया: शिरः छिन्नवान् ?	भृगुपत्न्याः		रहू:	विष्णुः जयन्त्याः शिरः छिन्नवान्	शिशुपालस्य   क्रोधात्	सीतायाः	रेणुकायाः	विष्णुः दैत्यराजस्य माहीष्मती-नागस्य स्त्रिया: शिरः छिन्नवान्	श्रीरामस्य सीतायाः शिरः छिन्नं भवति	सीताया:	रामायणे रावणस्य शिरः छिन्नवान्	रावणस्य	सीतायाः
136	कः वानरयोद्धा प्रतपनः इव वीर-राक्षसस्य अक्षिणी उत्खातवान्?	नलः		हनुमान्	हनुमान्	"**हनुमान्**   

**यतः**  रावणस्य आज्ञया इन्द्रजित् युद्धे वानराणां उपरि माया प्रयुज्य हनुमन्तं बद्ध्वा रावणस्य सभायां प्रस्तुतवान्"	हनुमान्	हनुमान्	हनूमान्	वालिना तत्र अपहृता तत्कण्टकनखा	"हनुमान्

हनूमान् लङ्कायां वानरयोद्धा आसीत्  सः भीमकायः, बलवान्, अति च तेजाः आसीत्  सः सीतां अन्वेष्टुं लङ्कायां गतः आ"	हनुमान्	रामः	"हनुमान् 
हनूमतः शरीरे अग्निः वर्तते तथा सः वायुदेवस्य पुत्राय इव वेगेन गच्छति च तेन सः प्रतपनः वर्तते 
सः लङ्कां द"
137	स राक्षसः कः आसीत्, यः जन्मतः सहस्त्राणां जनानां भक्षणं कृतवान् ?	कुम्भकर्णः		रावणः	रावणः	**कबन्धः**  दशग्रीववरदानात्	विराधः	सः राक्षसः रावणः आसीत्	रावणः	रामायणे महाकाव्ये, उत्तरकाण्डे, श्रीरामस्य अयोध्याप्रवेशे सुग्री	तृणावर्तः	तादृशः राक्षसः रावणः आसीत्	रावणः	स रावणः आसीत् रावणः कैलासः पर्वतः उद्धर्तुम् इच्छन्, तदा सहस्र-शिरःवान् रावणः सहस्रबाहुवान् च अभवत् तस्य सहस्र-मुखतः
