ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
131	सः मनुष्यः कः आसीत्, यः राजा अम्बरीषस्य यज्ञपशुत्वं स्वीकृतवान् आसीत् ?	शुनःशेपः		शुनःशेपः	"शुनःशेपः

शुनःशेपः नाम ऋषिः अम्बरीषस्य यज्ञे पशुत्वं स्वीकृतवान् आसीत"	ऋष्यशृङ्गः   पितुर्वचनपरिपालनाय	हरिश्चन्द्रः	सः मनुष्यः इन्द्रः आसीत्	सः मनुष्यः राजा दुर्योधनः आसीत्	राजा अम्बरीषः यज्ञपशुत्वं स्वीकृतवान् आसीत्	विश्वामित्रः	सः मनुष्यः महाराजः दिलीपः आसीत्	अम्बरीषस्य यज्ञपशुत्वं स्वीकृतवान् आसीत् रावणः
132	अयोध्यायाः सः प्रतापी राजा कः आसीत्, यस्य पुत्राः संपूर्णां पृथिवीं भिन्नवन्तः ?	सगरः		दशरथः	"दशरथः

दशरथः अयोध्यायाः प्रतापी राजा आसीत् तस्य चत्वारः पुत्राः - रामः, लक्ष्म"	दशरथः  चतुर्णां पुत्राणां राज्यविभाजनार्थम्	दशरथः	दशरथः	रामः	अयोध्यायाः सः प्रतापी राजा दशरथः आसीत्, यस्य पुत्राः संपूर्णां	दशरथः	दशरथः	अयोध्यायाः सः प्रतापी राजा राम आसीत्, यस्य पुत्राः लक्ष्मण, भरत, शत्रुघ्न, शत्रुघ्न, श्री राम, श्री राम, श
133	राजा सगरस्य यज्ञाश्वस्य अपहरणं का देवता अकरोत्?	इन्द्रः		इन्द्रः	इन्द्रः	इन्द्रः	इन्द्रः	इन्द्रः	यज्ञाश्वस्य अपहरणं इन्द्रः अकरोत्	इन्द्रः देवता अकरोत्	इन्द्रः अपहृत्य यज्ञाश्वं समुद्रात् नीत्वा पातितवान्	इन्द्रः	राजा सगरस्य यज्ञाश्वस्य अपहरणं कृमिर्भगवान् अकरोत्
134	अधस्तनेषु सः कः आसीत्, यः शिरः अधः कृत्वा तपस्याम् अकरोत् ?	शम्बूकः	 त्रिशंकुः / मेघनादः / शंबूकः / शुनःशेपः	शंबूकः	शंबूकः	**त्रिशंकुः**	त्रिशंकुः	शंबूकः	शंबूकः	शंबूकः आसीत् शंबूकः यज्ञशालायाम् शिरः अधः कृत्वा त	"त्रिशंकुः 
 
 यस्य पितरः इंद्र इव स्वर्गमेव गन्तुम् इच्छन्ति
 
 *त्रिशंकुः इन्द्रः तेन अपहृतराज्ये 
 शूद्रस्य शम्बूकः ब्र"	शंबूकः	शुनःशेपः
135	विष्णु: कस्याः स्त्रिया: शिरः छिन्नवान् ?	भृगुपत्न्याः		सुपर्णा	विष्णुः तडकायाः शिरः छिन्नवान्	शिशुपालस्य मदस्य प्रभावात्	सीतायाः	रेणुकायाः	विष्णु: दैत्यराजस्य हिरण्यकशिपोः स्त्रिया: शिरः छिन्नवान्	विष्णुः दक्षस्याः स्त्रियाः शिरः छिन्नवान् एवं कथितं विष्णु	शिक्याः	रामायणे रावणस्य शिरः छिन्नवान्	रावणस्य
136	कः वानरयोद्धा प्रतपनः इव वीर-राक्षसस्य अक्षिणी उत्खातवान्?	नलः		हनुमान्	हनुमान्	इन्द्रजीत्	हनुमान्	हनुमान्	हनूमान्	अङ्गदः वानरयोद्धा प्रतपनः इव वीर-राक्षसस्य अक्षिणी उत्खात	हनूमत्	हनुमान्	रामः
137	स राक्षसः कः आसीत्, यः जन्मतः सहस्त्राणां जनानां भक्षणं कृतवान् ?	कुम्भकर्णः		रावणः	"रावणः

रावणः एव सः राक्षसः आसीत्, यः जन्मक्षणे एव सहस्रं जनानां भक्षितवान् इति रामायणे"	**कबन्धः** |  दशग्रीवस्य वरदानं प्राप्तवान्, येन तस्य  सहस्रशीर्षाणि भवेयुः |	वातापिः	सः राक्षसः रावणः आसीत्	स राक्षसः रावणः आसीत्	राक्षसः रावणः आसीत् रावणः सीतायाः हरणे च क्रोधेन तस्य मनसि र	"**रावणः**

*रावणः सहस्र-मुख-अतिथिः आसीत्, यः जन्मतः सहस्त्राणां जनानां भक्षणं कृतवान्*
*सः राक्षसराजः लङ्कायाः"	तादृशः राक्षसः रावणः आसीत्	रावणः
138	स कः आसीत् यः षोडशसहस्रं नारीणां बन्धनम् अकरोत् तथा लक्षेण नारीभिः एककालं विवाहं कर्तुम् ऐच्छत्?	दुन्दुभिः		रावणः	"रावणः

रावणः षोडशसहस्रं नारीणां बन्धनं कृतवान् तथा लक्षेण नारीभिः एककालं विवाहम् इच"		रावणः	रावणः	रावणः	रामायणे विष्णोर्दत्तकथायाम् विद्यमाने एषः प्रश्नः प्रदर्शितः	नारद:	कृतवीर्यस्य पुत्रः अर्जुनः	रावणः
139	सः देवता कः आसीत्, यः रावणस्य भयेन काकः अभवत् ?	यमः		इन्द्रः	"रावणस्य भयेन काकः अभवत् इन्द्रः

इन्द्रः स्वर्गलोकस्य राजा, देवानां नेता च रामायणे"	इन्द्रः  रावणेन क्रोधितः इन्द्रः तं शशाप	नीलकण्ठः	जयन्तः	सः देवता हनुमानः आसीत्	सः देवता अस्ति इति कथं ज्ञातुं शक्यते?	विष्णुः	शुक्रः	रावणस्य भयेन काकः अभवत् सीतायाः पुत्रः लवः
140	लङ्कायाः सा राक्षसी का आसीत्, या कदापि मिथ्या भाषणं न कृतवती ?	त्रिजटा		त्रिजटा	शूर्पणखा	शूर्पणखा न कदापि असत्यां गिरं वाच्येति तस्याः स्वभावः आसीत्	त्रिजटा	त्रिजटा	सीता	रावणस्य माता सीता इति अस्ति ताम् सीताम् कदापि मिथ्या भाषणं न कृत	सीता	त्रिजटा	रावणस्य पत्नी
141	कः तद्वानरवीरः यः  रावणराज्यसभायां पादं संस्थाप्य स्थितः पुनः तमुन्नेतुं समाहूतवान् ?	अङ्गदः		हनूमान्	"हनुमान्

हनुमान् एव स वानरवीरः यः रावणस्य राज्यसभायां स्वपादं संस्थाप्य स्थितवान् च राव"	"**अङ्गदः** | 

**कथम्?**  दूतलक्षणेन तत्र गतः आसीत् |"	हनुमान्	अंगदः	हनूमतः	अगस्त्यमुनि:	हनुमान्	हनुमान्	वानरराजानां प्रमुखः हनुमान
142	राज्ञा जनकेन क्षेत्रे हलकर्षणात् कः उत्पन्नः अभवत् ?	सीता		सीता	"सीता उत्पन्ना अभवत्

राजा जनकः क्षेत्रकर्षणं कुर्वन् आसीत् तस्मिन् समये हलस्"	सीता	सीता	सीता	"राज्ञा जनकेन क्षेत्रे हलकर्षणात् ""राम"" उत्पन्नः अभवत्"	जनकेन राज्ञा क्षेत्रे हलकर्षणात् सीता उत्पन्ना अभवत् एतस्मिन् स	"सीता 
   
सीतायाः उत्पत्तिः क्षेत्रे कृते हलकर्षणाद् अभवत् 
  
सः राजा जनकः सीताम् हलकर्षणाद् प्राप्तवान्"	सीता	रामः
143	यः दशसहस्रेण महारथिभिः सह एकः एव युद्धं कर्तुं समर्थः, सः केन नाम्ना अभिधीयते ?	अतिरथी		रामः	अतिरथः	"**भीमः** 

यतः सः वीरः महाबली च आसीत् |"	रावणः	महारथी	सः भीष्मः अभिधीयते	सः अर्जुनः अभिधीयते	रावणेन	अत्र एक-पद-नियमः नास्ति अतः उत्तरम् ददामि रामायणे वर्णितः एकः महान् योद्धा अस्ति, यः दशसहस्रेण महारथिभिः सह एक	रामः
144	कः स राजा यः स्वस्य पुत्राय स्वकीयं वृद्धत्वं दत्त्वा तस्य यौवनं स्वीकृतवान् ?	ययातिः		ययातिः	दशरथः	दशरथः   पुत्ररक्षणार्थम्	अयोध्याधिपतिः	ययातिः	स राजा दशरथः	राजा दशरथः यः स्वस्य पुत्राय रामाय स्वकीयं वृद्धत्वं दत्त्वा	अयोध्या-नरेशः दशरथः	दशरथः	राजा शिबि
145	महर्षेः वाल्मीकेः नाम 'वाल्मीकिः' किमर्थं जातम्?	तपश्चर्या काले वल्मीकैः आच्छादनात्; वाल्मीकसञ्ज्ञा तस्य वल्मीकात् उत्पत्तेः कारणात् जाता; वल्मीकात्; वल्मीकसञ्चयात्  वल्मीकस्य समीपे तपश्चरन्तौ  तस्मिन्  एव  निवासः  आसीत्; वल्मीकात् जातत्वात्  महर्षिः वाल्मीकिः वल्मीकात् वर्मीकीटानां निवासात् उद्भूतः इति कारणेन तस्य नाम वाल्मीकिः इति जातम् पुराणानुसारं सः प्राचीनकाले दस्युः आसीत् परं तपस्यया ऋषित्वं प्राप्तवान् तपस्यायाः समये तस्य शरीरं वल्मीकेन आच्छादितम् अभवत् ततः सः वल्मीकात् निर्गत्य ऋषिः अभवत् अतः तस्य नाम वाल्मीकिः इति प्रसिद्धम् अभवत्		वल्मीकेः	महर्षेः वाल्मीकेः नाम 'वाल्मीकिः' जातम् यतः सः वल्मीके (वाल्मीके) तपः अकरोत्	वल्मीकस्य समीपे ध्यानस्थः आसीत्	वाल्मीकः वाल्मीकानां निकेतने जातः	वाल्मीकिः ऋषिः पूर्वं व्याधः आसीत् एकदा तमसानद्यां स्नानं कुर्वन् वाल्मीकेः उपरि वाल्मीकम् आगतम् तेन वाल्मीक	"वाल्मीकेः नाम ""वाल्मीकिः"" इति जातम्, यः प्राचीन संस्कृत-भाषायाम् ""वाल्मीक"" इति शब्दस्य रूपम् अस्ति ""वाल्मीक"" इत्यस्मिन् ""वाल"" इति धातुः """	वाल्मीकिः नाम अर्थवान् भवति इति वाल्मीकेः नाम जातम् वाल्मीक	ऋषिने शापेन	वाल्मीकिः नाम वाल्मीकेः जातं कारणम् - वाल्मीकिः नाम वाल्मीकेः जातं कारणम् - वाल्मीकिः नाम वाल्मीकेः जातं कारणम	वाल्मीकेः नाम 'वाल्मीकिः' किमर्थं जातम्? - वाल्मीकिः नाम वाल्मीकि-शब्दात् जातम् वाल्मीकि-शब्दस्य अर्थ
146	मेघनादस्य अन्यं नाम 'इंद्रजित्' किमर्थम् आसीत्?	मेघनादेन इन्द्रः पराजितः आसीत् अतः तस्य नाम इंद्रजित् अभवत्; इन्द्रविजयः; इन्द्रं जित्वा; शक्रविजयात्; इन्द्रविजयात्; इंद्रजित् मेघनादस्य अपरं नाम आसीत् मेघनादः शक्रं जितवान् आसीत् अतः तस्य अपरं नाम इंद्रजित् इति अभवत्; इन्द्रपराजयात्; मेघनादस्य अन्यं नाम इंद्रजित् इति स्यात् यः इंद्रस्य जयं प्राप्तवान् इति सूचयति; इंद्रजित् नाम मेघनादाय आसीत् यतः सः इंद्रम् देवानाम् राजानम् जितवान् आसीत्; मेघनादस्य अन्यं नाम इंद्रजित् इति तस्य विशेषं कारणं अस्ति यः तस्य युद्धे इन्द्रं जित्वा तस्य नामं प्राप्यते इन्द्रजित् इति नामं तस्य बलं च दर्शयति; मेघनादस्य अन्यं नाम इंद्रजित् इत्यस्मिन् कारणं अस्ति यः सः इन्द्रस्य विजयं कृतवान्; इन्द्रजित् नाम मेघनादस्य आसीत् यतः स इन्द्रं जितवान् आसीत्; मेघनादस्य अन्यं नाम इंद्रजित् आसीत् यतः सः इन्द्रं जितवान् आसीत्		इन्द्रविजयात्	इन्द्रजित् इति नाम मेघनादस्य अभवत् यतः सः इन्द्रं युद्धे पराजितवान् इन्द्रस्य पराज	इंद्रं जित्वा	इंद्रजित-नाम इंद्र-विजयार्थम् आसीत्	मेघनादेन इन्द्रः पराजितः आसीत् अतः तस्य नाम इंद्रजित् अभवत्	मेघनादस्य अन्यं नाम 'इंद्रजित्' इति स्यात्, यः इंद्रस्य जयं प्राप्तवान् इति सूचयति	इंद्रजित् इति नाम मेघनादस्य तस्यापि पित्रा इन्द्रेण जितः इति अर्थ	उत्कृष्टम्! इंद्रस्य वधस्य कृते इंद्रस्य जितस्य, अर्थात् 'इंद्रजित्' इति नाम इंद्रजिताय दत्तम् आसीत्	मेघनादस्य अन्यं नाम 'इंद्रजित्' आसीत्, यतः सः इन्द्रं जितवान् आसीत्	इंद्रजित् नामेन स्वीकार्यं मेघनादस्य कारणं तदा आसीत् कि सः इंद्रेण सह युद्धे पराजितः आसीत्
147	सीतामाता 'जानकी' इति किमर्थं अभिधीयते?	जनकस्य पुत्री अतः; सीतामाता जानकी इति अभिधीयते यतः सा जनकस्य पुत्री आसीत् जनकराजः विदेहदेशस्य राजा; जनकपुत्रीत्वात्; सीतामाता जानकी इति अभिधीयते यतः सा जनकराजस्य पुत्री आसीत् जनकराजः विदेहदेशस्य; जनकस्य सुता इति जानकी; मिथिलायाः राजा जनकः सीतामातुः पिता आसीत् अतः सीतामाता जानकी इति अभिधीयते; जनकस्य कन्येति; जनकस्य पुत्री यस्मात्; जनकदुहितृत्वात् जानकी; जनकस्य पुत्रीत्वात्; जनकस्य पुत्री इति; जनकपुत्री इति; जनकस्य दुहिता इति कारणात्; सीतामाता जानकी इति अभिधीयते जनकस्य पुत्रीत्वात्; जनकसुता इति; जनकपुत्री इति; मिथिलायाः राजा जनकः तस्याः पुत्री सीता तस्मात् जानकी इति अभिधीयते; जनककन्यत्वात्; सीतामाता जानकी इति अभिधीयते किमर्थम्  उत्तरम् जनकराजकन्यात्वात्; सीतामाता जानकी इति जनकराजस्य पुत्रीत्वात् अभिधीयते		जनकस्य पुत्री इति	सीतामाता 'जानकी' इति अभिधीयते यतः सा जनकस्य पुत्री आसीत् जनक-राजः विदेह-देशस्य राजा	जनकस्य सुता इति 'जानकी'	जनकस्य कन्येति	सीतामाता 'जानकी' इति किमर्थं अभिधीयते? जानकी नाम सीतायाः नाम्नः एकं रूपम् अस्ति सीता जानकी इति नाम्ना अपि ज्ञायत	सीतामाता 'जानकी' इति अभिधीयते यतः तस्याः जननी जानकः इति राजा जनकः	सीतायाः माता 'जानकी' इति अभिधानं कृतं अस्ति यद्यपि अस्याः पुराणे	नवमी तिथौ जन्म प्राप्तिः	जनकस्य दुहिता इति कारणात्	जानकी नाम सीता का एक उपवासी नाम है
148	महर्षेः परशुरामस्य नाम 'परशुरामः' इति किमर्थं जातम्?	परशुुधारणात्; महर्षेः परशुरामस्य नाम परशुरामः इति जातं यतः सः परशुं कुठारम् आयुधरूपेण धारयति स्म; परशुरामः परशुधारणात्; परशुधरत्वात्; परशुधरणार्थम्; परशुरामस्य नाम परशुरामः इति जातम् कारणात् परशुधारणात्		परशुधारणात्	परशुरामस्य नाम 'परशुरामः' इति जातं यतः सः परशुं (कुठारम्) आयुधरूपेण धारयति स्म परशुः त	परशुधरत्वात्	परशुधारणात्	परशुरामः भगवान् विष्णोः अवतारः आसीत् परशुरामः यदा भगवान् विष्णोः अवतारः आसीत् तदा भगवान् विष्णुः परशुरामस्य हस्ते	"परशुरामस्य नाम ""परशुरामः"" इति तस्य परशु-आधारितं अस्ति ""परशु"" इति वाक्यस्य अर्थः अस्ति ""कृष्ण"" इत्यस्मिन् तस्य विशेषतः अस्ति यः तस्य प"	परशुरामः भगवान शिवस्य परशुः रामः इति अर्थं वहति अतः उप	जन्मसि परशुना रामः - परशुरामः	परशुना रामेण इति	परशुरामस्य नाम 'परशुरामः' इति जातं कारणं यत्, तद् वद
149	सरयूनद्याः नाम 'सरयू' इति किमर्थंजातम्?	मानससरसः निर्गमनात्; सरयू सरति इति कारणात्		सरयू नदीः जलस्य सरणं कारणम्	सरयूनद्याः नाम 'सरयू' इति न जातम् वस्तुतः सरयू नद्याः मूलनाम एव 'सरयू' अस्ति	शरवत्त्वात्  पुराणेषु उक्तं यत् ब्रह्मणः कमण्डलुगत-जलधारा एव सरयू-नदी अभवत्  ब्रह्मा शिवस्य शिरसि धारयति इति	पवित्रता	सरयूनद्याः नाम 'सरयू' इति किमर्थंजातम्? सरयू नदी का नाम 'सरयू' क्यों पड़ा? सरयू नदी का नाम 'सरयू' इसलिए पड़ा क	"'सरयू' इत्यस्य नामस्य अर्थः ""सरसि युथ"" इति वर्तते, यः जलस्य प्रवाहं सूचयति"	सरयूनद्या नाम सरयू इति किमर्थं जातम् इति प्रश्ने सन्देहः समाधात	प्राचीनं नाम 'सर' एवं 'यू' मिलित्वा जाता 'सरयू' सरस्य अर्थः अस्ति 'बाणः', यू शब्दस्य अर्थः अस्ति 'जलः', अतः 'सरयू' नाम 'बाणजलं	सरयूनद्याः नाम 'सरयू' इति जातं, यतः सा नदी सरित्+यू (सरित्+यू) इति पदयोः संधिया जातम्	सरयू-नद्याः नाम 'सरयू' इति किमर्थं जातम्? सरयू-नद्याः नाम 'सरयू' इति किमर्थं जातम्? सरयू-नद्य
150	प्रसिद्धगजराजस्य नाम 'ऐरावतः' इति किमर्थं जातम्?	इरावत्याः पुत्रत्वेन; इरावत्याः पुत्रत्वात्		ऐरावतः इति नाम तस्य गजस्य 'इरा' इत्यस्य 'जल' इति अर्थात् उद्भूतम् तस्मात् 'ऐरावतः' इति जलसम्बद्धः गजः	ऐरावतस्य नाम 'ऐरावतः' इति जातं यतः सः समुद्रमन्थनात् उत्पन्नः 'ईरा' इति शब	इरावतः	ऐरावतः इरावती-नदी-कूले जात इति कारणात् तथा नाम्ना ख्यातः	ऐरावतः इत्यस्य अर्थः 'इंद्रेण निर्मितः' इति	'ऐरावतः' इत्यस्य नामस्य कारणं एषः अस्ति यः गजराजः इन्द्रस्य वाहनं अस्ति ऐरावतः इन्द्रस्य दैवीय गजः अस्ति, यः समुद्र-मन्थनात् प्रकटितः जात	गजराजस्य नाम 'ऐरावतः' इति जातं अस्ति क्योंकि अस्य गजस्य रूपं	आकाशे स्थितत्वात्	ऐरावतः इति नाम्नः अर्थः 'सुप्रभः' इति	ऐरावत नाम राजा रामस्य सेवकानां गजराजानां नामानुसार जातम्
151	महर्षिः परशुरामः 'भार्गवः' कुतः उच्यते ?	भृगुवंशोत्पन्नः अतः; भार्गवः परशुरामः भृगुवंशस्य सन्तत्या उच्यते; भृगुकुलोद्भवः   भृगुवंशे जन्मना भार्गवः; भृगुवंशीयत्वात्; भृगोः वंशे जातः इति कारणात्; भृगुवंशात्; भृगुवंशजत्वात्; भृगुवंशात्  भृगुवंशसम्भवत्वात् भार्गवः; भृगुकुलोत्पन्नत्वात्; भार्गवः पितृवंशात्		जमदग्निपुत्रः	महर्षिः परशुरामः 'भार्गवः' इति उच्यते यतः सः भृगुवंशे जातः भृगुः महर्षेः परशुरामस्य	भृगुवंशात्  भृगुवंशसम्भवत्वात् भार्गवः	जनकत्वात्	भृगोः वंशे जातः इति कारणात्	महर्षिः परशुरामः 'भार्गवः' इति विशेषणेन उच्यते, यः तस्य पिता ऋषिः जमदग्निः भार्गव वंशात् अस्ति	परशुरामः 'भार्गवः' इति उच्यते यत् उहः भगवान् भृगुर्मुन	जमदग्निपुत्रत्वात्	भृगुकुलोत्पन्नत्वात्	भार्गवः परशुरामः
152	राजा सगरेण 'सगरः' इति नाम कुतः प्राप्तम् ?	गरेण(विषेण) सह जन्म प्राप्नोत् अतः;  सह तेन गरेणैव जातः स सगरोऽभवत्; सगरस्य माता गरेण सह तेनैव जातः स सगरोऽभवत्		अश्वमेधयज्ञात्	राजा सगरेण 'सगरः' इति नाम गर्भवती मातुः शरीरात् प्राप्तम् कथायाम् उल्लिखितं यत् सग	सगरस्य पितुः नाम	सगरः इति नाम प्राप्तम् गर्भस्थ पुत्रस्य सगर-सार-भक्षणात्	सगरेण यज्ञः कृतः तदा यज्ञाश्वस्य रक्षणार्थं सगरपुत्रेषु एकः प्रत्येकः नियुक्तः तेषु अश्वस्य रक्षणार्थं यः नियुक्त	"सगरः इत्यस्मिन् नाम्नि ""सगर"" इति ""सागर"" इत्यस्मिन् शब्दे सञ्जातं सागरस्य तात्त्विकं अर्थं सूचयति तस्मिन् ""सगर"" इत्यस्य अर्थः जलस्य अथ"	राजा सगरः एक प्रसिद्ध राजा थे जिन्होंने एक विशाल समुद्र (सागर) का न	अस्य नामकरणस्य कथा देवीभागवते उपलभ्यते देवीभागवतस्य 'द्वादशस्कन्धे' नचिकेतोपाख्याने इदं वर्णितम् राज्ञः सगरस्य पूर्वजन्म कथ्यते तत्र	सगरः इति नाम सगरस्य पितुः भगीरथस्य प्रपितामहस्य दिलीपस्य पितुः अंगस्य पुत्रेण राज्ञा वङ्गस्य पुत्रेण पुरूरवस	राजा सगरेण 'सगरः' इति नाम कुतः प्राप्तम् ? सगरेण सगरः इति नाम प्राप्तम्
153	इन्द्रः 'देवराजः' कुतः उच्यते?	देवतानां राजा अतः; देवानाम् राजा अस्ति इति कारणात्; सर्वदेवानाम् अधिपतिः इति कारणात्; त्रिषु लोकेषु देवानाम् अधिपतित्वात्; देवानाम् इन्द्रत्वात्; देवानां राजा इति; देवानाम् इन्द्रः राजा अस्ति तेन सः देवराजः इति उच्यते; सर्वेषां देवानां राजत्वात्; देवानामिन्द्रत्वात्; इन्द्रः देवानाम् अधिपतिः अस्ति अतः सः देवराजः इति उच्यते; देवानां राजा इति कारणात्; त्रिषु लोकेषु देवानाम् अधिपतित्वात्; इन्द्रः देवराजः उच्यते यतोहि सः देवानाम् अधिपतिः अस्ति; इन्द्रः देवराजः उच्यते कारणात् देवानां राजा अस्ति; देवानाम् राजत्वात्		सुराधीशः	इन्द्रः 'देवराजः' इति उच्यते यतः सः देवानां राजा अस्ति पौराणिक-कथासु इन्द्रः स्वर्ग	देवानाम् इन्द्रः राजा अस्ति, तेन सः देवराजः इति उच्यते	बलवत्त्वात्	देवानां राजा इति कारणात्	इन्द्रः 'देवराजः' इति उच्यते यः देवतानां राजा अस्ति तस्य मुख्यं कार्यं देवतानां संरक्षणं च रक्षणं च अस्ति	देवराजः इन्द्रः कुतः उच्यते? इन्द्रः देवतानां राजा इति उच्यत	सर्वदेवेषु श्रेष्ठत्वात्	इन्द्रः देवराजः उच्यते यतोहि सः देवानाम् अधिपतिः अस्ति	इन्द्रः 'देवराजः' कुतः उच्यते? - 'देवानां राजा' इति कारणात्
154	शिवस्य एकं नाम 'नीलकण्ठः' कुतः आसीत्?	हलाहलविषं पीत्वा कण्ठः नीलः जातः अतः; समुद्रमन्थने निर्गतं हलाहलं शिवः पीतवान् तदा तस्य कण्ठः नीलवर्णः अभवत् अतः शिवस्य एकं नाम नीलकण्ठः इति; समुद्रमन्थनसमये उद्भूते हलाहले नीलवर्णीयं विषं पीत्वा तेन नीलवर्णः कण्ठः अभवत्; समुद्रमंथनात् उत्पन्नं विषं शिवेन पीतम् तेन कण्ठः नीलवर्णः अभवत् अतः शिवस्य नाम नीलकण्ठः इति अभवत्; हलाहल विषस्य पानात् शिवस्य कण्ठः नीलवर्णः अभवत् ततः शिवः नीलकण्ठः इति नाम्ना प्रसिद्धः अभवत्; हलाहलविषस्य पानात्; विषपानात्  शिवः समुद्रमन्थनसमये उत्पन्नं हालाहलविषं पीत्वा नीलकण्ठः अभवत् तस्य कण्ठः विषस्य प्रभावेण नीलवर्णः जातः अतः तस्य नीलकण्ठः इति नाम प्रसिद्धम् अभवत्; शिवस्य एकं नाम नीलकण्ठः विषपानात् आसीत्		हलाहलपानात्	शिवस्य 'नीलकण्ठः' इति नाम समुद्रमन्थनात् उत्पन्नस्य हालाहलविषस्य पानात् अभवत्	हलाहलविषपीथात्	विषपानात्	समुद्रमन्थने निर्गतं हलाहलं शिवः पीतवान् तदा तस्य कण्ठः नीलवर्णः अभवत् अतः शिवस्य एकं नाम 'नीलकण्ठः' इति	शिवस्य 'नीलकण्ठ' नामस्य कारणं तदर्थं अस्ति यः तं सर्पस्य विषं पिवन्तं च एवं नीलवर्णं कण्ठं प्राप्यते	शिवस्य नाम 'नीलकण्ठः' उन्हें समुद्र मथन कथा से मिलता है जब समु	हलाहल-सेवनात्	"शिवस्य एकं नाम 'नीलकण्ठः' कुतः आसीत्? 
उत्तरम् - हलाहलविषपानात्"	शिवस्य एकं नाम 'नीलकण्ठः' कुतः आसीत्? नीलकण्ठः शिवलोके नीलकण्ठः इति नाम्ना प्रसिद्धः
155	राक्षसाः 'यातुधानाः' कुतः उच्यन्ते ?	तेषां यातुविद्या आसीत् अतः;यातु नामकम् मायाविद्याम् इतोऽभ्यस्यन्ति स्म		तपःभङ्गात्	राक्षसाः 'यातुधानाः' इति उच्यन्ते यतोहि ते यातुविद्यायाः (मायाविद्यायाः) धारकाः भवन	विषयेषु निपुणाः इति  यातुधानाः	भयजनकतया	यातुधानाः राक्षसाः यतः यातुधानाः यातुधानाः यातुधानाः यातुधानाः यातुधानाः यातुधानाः यातुधानाः यातुधानाः य	यातुधानाः राक्षसाः यः दानवाः इत्यस्मिन् अर्थे उपविभक्ताः, तेषां विशेषणं 'यातुधान' इति उच्यते 'यातुधान' इत्यस्मिन् 'य	राक्षसाः 'यातुधानाः' रामायणे एके विशेष राक्षसाः यातुना धावन्त	"'यातुधान' शब्दः 'यत्' + 'तुध्' धातोः कर्तरि क्तः 

यत् इति सर्वनाम् सर्वकारकम् 
तुध् धातोः अर्थः 'हन्ति' इति"	यातुधानाः इति राक्षसाः उच्यन्ते	राक्षसाः 'यातुधानाः' कुतः उच्यन्ते ? यातुधानाः राक्षसाः कुतः उच्यन्ते ? यातुधानाः राक्षसाः कुतः उच्यन्ते
156	राक्षसाः 'निशाचराः' कुतः उच्यन्ते?	निशाकाले विचरणात्; रात्रिचरत्वात्; रात्रौ चरन्ति इति निशाचराः; रात्रौ चरन्तीति निशाचराः; रात्रिचारित्वात्; राक्षसाः रात्रौ चरन्ति अतः ते निशाचराः उच्यन्ते; रात्रौचरणात्; निशायां चरन्तीति; निशायां चरन्ति इति निशाचराः; निशि चरन्ति इति; रात्रौ विचरन्तः इति निशाचराः; रात्रौ चरन्ति इति राक्षसाः निशाचराः उच्यन्ते; राक्षसाः संस्कृते निशाचराः इति उच्यन्ते ये रात्रौ चरन्ति ते; निशाचराः रात्रौ गच्छन्ति इति कारणात् उच्यन्ते; राक्षसाः निशाचराः तमसि विचरन्ति इति उच्यन्ते; निशायाम् चरन्तीति निशाचराः; यातुधानाः इति राक्षसानां नामकरणस्य स्पष्टं कारणं रामायणे न दृश्यते तथापि सामान्यतया राक्षसाः यातुधानाः इति उच्यन्ते तेषां मायाविनः स्वभावात् यातु शब्दस्य अर्थः मायाविद्या वा कुहकविद्या भवति अतः ये मायाविद्यायाः धारकाः ते यातुधानाः इति व्यपदिश्यन्ते; राक्षसाः निशाचराः उच्यन्ते कारणात् रात्रिचरणात्; रात्रौचरत्वात्; निशायां चरन्तीति निशाचराः राक्षसाः रात्रौ विचरणशीलाः भवन्ति अतः ते निशाचराः उच्यन्ते		रात्रौ चरन्ति	"राक्षसाः 'निशाचराः' कुतः उच्यन्ते इति प्रश्नस्य उत्तरम् एवम्:

राक्षसाः निशायाम"	रात्रौ चरन्ति इति निशाचराः	रात्रौ चरन्ति	राक्षसाः रात्रौ चरन्ति अतः ते 'निशाचराः' उच्यन्ते	"निशाचराः रात्रौ गच्छन्ति इति ""निशाचरः"" इत्युच्यते"	राक्षसाः संस्कृते 'निशाचराः' इति उच्यन्ते ये रात्रौ चरन्ति ते	तमेव प्रश्ने यस्माद् रात्रौ एव विचरन्ति तस्माद् निशाचरा:	रात्रौ चरन्ति इति राक्षसाः 'निशाचराः' उच्यन्ते	राक्षसाः 'निशाचराः' कुतः उच्यन्ते? - निशाचराः निशि-अर्थे रात्रौ चाराः, यस्मिन् काले राक्षसाः चार
