ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct
222	राज्ञः सगरस्य आहत्य कतिः पुत्राः आसन्?	एकाधिकषष्टीसहस्रम्		षष्टिः	"राज्ञः सगरस्य आहत्य एकषष्टिसहस्राणि (61,000) पुत्राः आसन्

विवरणम्:
- एकः पुत्"	षष्टिः सहस्राणि	सगरस्य षष्टिःसहस्राणि पुत्राः आसन्	षष्टिसहस्रं
223	त्रेतायुगः आहत्य कति वर्षाणाम् अस्ति इति मन्यते?	षण्णवतिसहस्रोत्ररद्वादशलक्ष्यम्		त्रेतायुगः आहत्य दशसहस्रवर्षाणि	त्रेतायुगः आहत्य 1,296,000 वर्षाणाम् अस्ति इति मन्यते	चत्वारि लक्षाणि	चतुर्लक्षाणि	१२,९६,००० वर्षाणि
224	संपातेः जटायोः (गृद्ध्रः)च  कियत् दूरपर्यन्तं दृष्टिसामर्थ्यमासीत्?	शतं योजनानि		सहस्रयोजनम्	वाल्मीकि-रामायणानुसारम्, संपातेः जटायोश्च दृष्टिसामर्थ्यम् अतीव प्रबलमासीत् त	दशयोजनम्  सर्वत्र जटायुः दृष्टिपथे दशयोजनं यावत् स्पष्टं दृष्टिं कर्तुं शक्नोति स्म	शतयोजनान्तरम्	संपातेः जटायोः (गृद्ध्रः)च  कियत् दूरपर्यन्तं दृष्टिसामर्थ्यमासीत्?  योजनानां सहस्रं दृष्टिः
225	जाम्बवान् सुग्रीवाय कति सैनिकान् दत्तवान्?	दशकोटिः		शतसहस्रम्	जाम्बवान् सुग्रीवाय कोटिं सैनिकान् दत्तवान्	चतुर्दशसहस्राणि	दशसाहस्रान्	एकलक्षं सैनिकान्
226	जाम्बवतः कियद्दूरपर्यन्तं उत्प्लवनसामर्थ्यम् आसीत्?	नवतिः योजनानि		नलवत्सहस्रयोजनम्	"जाम्बवतः उत्प्लवनसामर्थ्यं दश योजनानि आसीत्

रामायणे, वानरसेनायाः समुद्रलङ्घ"	समुद्रं   समुद्रलंघनार्थम्	एकशतयोजनम्	अष्टसहस्रयोजनानि
227	इन्द्रजानुः (वानरः) कियत्यः वानरान् निधाय श्रीरामस्य सहाय्यार्थम् आगतः?	एकादशकोटिः		सहस्राणि	कृपया क्षम्यताम्, मया प्रश्नस्य उत्तरं न ज्ञायते रामायणे इन्द्रजानुः नाम्ना कश्	शतम् | लक्ष्मणस्य संजीवनाय औषधम् आनेतुम्	एकम्	कोटि
228	समुद्रमन्थनात् आहत्य कति रत्नानि प्राप्तानि?	चतुर्दश		चतुर्दश	चतुर्दश रत्नानि प्राप्तानि	चतुर्दश	चतुर्दश	चौदा
229	रावणस्य कतिः भुजाः आसन्?	विंशतिः		दश	रावणस्य दश भुजाः आसन् अतः एव सः दशाननः इति नाम्ना अपि प्रसिद्धः आसीत्	दश  रावणः दशग्रीवः इति प्रसिद्धः	दश	दश
230	समुद्रमन्थनसमये आहत्य कति अप्सरसः उत्पन्नाः?	षट्कोटिः		सप्त	चतुर्दश	षट्षष्टिः (६६)   देवानां कृते एताः अप्सरसः उत्पन्नाः	चतुर्दश	समुद्रमन्थनसमये वरुणदेवतायाः अनुमत्या चतुर्दश अप्सरसः उत्पन्नाः
231	परशुरामः आहत्य कतिवारं क्षत्रियाणां संहारं कृतवान् ?	एकविंशतिः		सप्तवारम्	परशुरामः एकविंशति (21) वारं क्षत्रियाणां संहारं कृतवान्	सप्तवारम्  क्रोधवशात् परशुरामः सप्तवारं क्षत्रियाणां संहारम् अकरोत्	एकविंशतिः	एकविंशतिवारम्
232	शिवस्य जटातः मुक्त्वा गङ्गायाः कियत्यः धाराः अभवन् ?	सप्त		सप्त	"गङ्गायाः सप्त धाराः अभवन्

रामायणानुसारं, शिवस्य जटातः मुक्त्वा गङ्गा सप्त धारास"	त्रयः	त्रिः	सप्त
233	वसूनां आहत्य कियती संख्या गण्यते ?	अष्टौ		अष्ट	"अष्टौ

वसवः अष्ट देवताः सन्ति तेषां नामानि - धर, ध्रुव, सोम, आप, अनिल, अनल, प्"	अष्टौ	१००	आठ
234	कुबेरसमतयाः कामनया रावणः किति सहस्रवर्षाणां  तपः अचरत् ?	दशसहस्रस्य		दशसहस्रवर्षाणि	रावणः दशसहस्रवर्षाणां तपः अचरत् कुबेरसमतायाः कामनया	दशसहस्रम्  तपसः फलं प्रतिज्ञातं प्राप्तुम्	दश	दश
235	श्रीरामस्य सहायतायै हनुमता सह कियन्तः वानराः आगच्छन् ?	दशवृन्दम्		कोटिः	सुग्रीवः श्रीरामस्य सहायतायै विशालं वानरसेनां प्रेषितवान् तस्यां सेनायां कोटिशः वानराः	लक्षाः	अनेकाः	दशसहस्राधिकैकलक्षं वानराः आगच्छन्
236	राज्ञः सगरस्य कति राज्ञः आसन् ?	द्वे		षष्टिः	रामायणानुसारं राज्ञः सगरस्य षष्टिसहस्रं पुत्राः आसन्	षष्टिः सहस्राणि	षष्टिः	षष्टिसहस्रं राज्ञः आसन्
237	राज्ञः सगरस्य कियतः पुत्रान् कपिलमुनिः भस्मीकृतवान् आसीत्?	षष्टिसहस्रम्		षष्टिः	"षष्टिसहस्राणि

सगर राजस्य षष्टिसहस्र पुत्राः कपिलमुनेः शापेन भस्मीभूताः अभवन"	षष्टिसहस्रम्  सगरपुत्राः कपिलस्य यज्ञवाजिहरणेन क्रुद्धं मुनिं निन्दितवन्तः, अतः शापेन भस्मीभूताः	६००००	षष्टिसहस्रं पुत्रान्
238	प्रजापतीनां संख्या आहत्य कियती अस्ति?	दश		चतुर्दश	रामायणे प्रजापतीनां संख्या सप्त इति उल्लिखिता एते सप्त प्रजापतयः मरीचि, अत्रि, अङ्ग	दश   दक्षप्रजापतिसहिताः प्रजापतयः दश सङ्ख्यायाम्	अनेकाः	सप्त
239	वानरयूथपतिः गवाक्षः कियतीं सेनां नीत्वा सुग्रीवस्य समीपं आयातः ?	एकवृन्दम्		शत-सहस्रम्	अष्टकोटिपरिमिताम्	चतुरङ्गम्	दशकोटिः	षष्टिकोटि वानरसेनाम्
240	अश्विनीकुमाराणां संख्या कियती अस्ति ?	द्वौ		द्वौ	अश्विनीकुमाराणां संख्या द्वौ अस्ति	द्वौ	द्वे	द्वौ
241	माता कौसल्या कियतां मासानां गर्भधारणं कृत्वा श्रीरामं प्रसूतवती ?	द्वादश		नव	"द्वादशानाम्

कौसल्या द्वादश मासान् गर्भधारणं कृत्वा श्रीरामं प्रसूतवती इति वाल्मीक"	दश  दशमासे पुत्रं रामं प्रसूतवती	नवमासान्	षण्मासानां
242	त्रिशिराराक्षसस्य आगत्य कियन्ति शिरांसि आसन् ?	त्रीणि		त्रि	त्रिशिराराक्षसस्य त्रीणि शिरांसि आसन्	त्रीणि	त्रीणि	त्रीणि
243	धूम्रः (ऋक्षः) कियतीं सेनां नीत्वा श्रीरामस्य सहायार्थं प्राप्तः ?	विंशतिवृन्दम्		सहस्रं	रामायणानुसारं, धूम्रः नाम वानरः (ऋक्षः न, अत्र प्रश्ने भ्रमः अस्ति) कोटिसंख्	"**अष्टादशलक्षाः** 

धूम्रः अष्टादशलक्षा वानराः च नीत्वा आगतः"	नवनियुतम्	धूम्रः (ऋक्षः) एकलक्ष-सेनां नीत्वा श्रीरामस्य सहायार्थं प्राप्तः
244	लोकपालाः कियन्तः सन्ति ?	अष्टौ		चत्वारः	"अष्टौ

लोकपालाः अष्टौ सन्ति ते च इन्द्रः, अग्निः, यमः, निरृतिः, वरुणः, वायु"	अष्टौ	आठ	षट्
245	नलः कियतीं सेनां नीत्वा श्रीरामस्य सहायार्थमागच्छत्?	शतोत्तरैकसहस्राधिकैकवृन्दम्		चतुरंगिनीम्	क्षमस्व, रामायणे नलस्य सेनानयनस्य विवरणं न प्राप्यते नलः वानरवीरः आसीत्, यः सेतुन	वानराणाम्	अष्टौ	नलः एकाक्षौहिणीं सेनां नीत्वा श्रीरामस्य सहायार्थमागच्छत्
246	अश्वमेधयज्ञः कियता कालेन समाप्तो भवति?	एकवर्षे		वर्षेण	अश्वमेधयज्ञः एकवर्षेण समाप्तो भवति	वर्षत्रयेण	वर्षाः	एकवर्षेण
247	सप्तर्षीणाम् संख्या कियती ?	सप्त		सप्त	सप्त	सप्त	सप्त	सप्त
248	वानरयूथपतिः तारः कियतः वानरान् नीत्वा रामस्य सहायार्थं प्राप्तः?	पञ्चकोटिः		अशीतिः	क्षमस्व, परन्तु रामायणे तारः वानरयूथपतिः न आसीत् तारा नाम्नी वानरी सुग्रीवस्य पत्	कोटिम् वानराणां बहुलत्वात्	अनेकान्	वानरयूथपतिः तारः कियतः वानरान् नीत्वा रामस्य सहायार्थं प्राप्तः? वानरयूथपतिः तारः कियतः वानरान् नीत्वा र
249	तानि कियन्तः अस्त्राः आसन्, यानि प्रजापतेः कृशाश्वस्य पुत्राः आसन् तथा यान् महर्षिः विश्वामित्रः श्रीरामाय अददात्?	शतम्		कुञ्जरम्	रामायणानुसारेण, प्रजापतेः कृशाश्वस्य पुत्राः ये अस्त्ररूपेण आसन् तथा यान् महर्षिः	द्वे   ब्रह्मर्षिणा विश्वामित्रेण रामाय चन्द्रहास-पुष्पक-अस्त्रद्वयं प्रदत्तम्	चत्वारि	दश
250	ऋषेः वसिष्ठस्य कियन्तः पुत्राः आसन् ?	शतम्		सप्त	ऋषेः वसिष्ठस्य शतं पुत्राः आसन्	शतम् वाल्मीकि-रामायणे  ऋषिः वसिष्ठः शतपुत्रपिता इति वर्णितः अस्ति	वसिष्ठस्य सप्त पुत्राः आसन्	शतपुत्राः
251	गन्धमादनः (वानरः) एकस्मिन् उत्प्लवने कियत् दूरं गन्तुं समर्थः आसीत्?	पञ्चाशत् योजनानि		शतयोजनम्	रामायणानुसारम्, गन्धमादनः नाम वानरः एकस्मिन् उत्प्लवने दशयोजनानि गन्तुं समर्थः आसी	सहस्रयोजनम्	शतयोजनम्	एकयोजनम्
252	सुषेणः (वानरः) एकस्मिन् उत्प्लवने कियद्दूरं गन्तुं समर्थः आसीत्?	चत्वारिंशत् योजनानि		दशयोजनम्	सुषेणस्य उत्प्लवन-क्षमतायाः विषये रामायणे स्पष्टं वर्णनं न प्राप्यते अतः अस्य प्	त्रीणि योजनानि   एकस्मिन् उत्प्लवने त्रि-योजनं गच्छति सुग्रीवस्य आज्ञां प्रति पालनं कर्तुम्	सुषेणः द्विशतयोजनम्	सुषेणः (वानरः) एकस्मिन् उत्प्लवने अष्टयोजनानि गन्तुं समर्थः आसीत्
253	अङ्गदः एकस्मिन् उत्प्लवने कियद्दूरं गन्तुं समर्थः आसीत्?	शतं योजनानि		शतयोजनम्	अङ्गदः एकस्मिन् उत्प्लवने सप्तशालानि गन्तुं समर्थः आसीत्	सहस्रयोजनम्  वानरराजपुत्रस्य अङ्गदस्य अद्भुतं बलम् आसीत्	योजनानि	अष्टयोजनानि
254	श्रीरामस्य सहायार्थं आगतानां गोलाङ्गूल-जातीयानां वानराणां संख्या कियती आसीत्?	एककोटिः		असंख्याः	रामायणे श्रीरामस्य सहायार्थम् आगतानां वानराणां संख्या कोटिशः (करोड़ों) उल्लिखिता तथापि वि	कोटिः सुग्रीवेण उक्तं यत् तस्य आज्ञायां कोटि वानराः सन्ति	अनन्ता	दशलक्षं
255	रामायणानुसारं सर्वतो महती संख्या का अस्ति?	महौघः		चतुःसहस्राणि	"रामायणानुसारं सर्वतो महती संख्या आसीत् चतुर्दश

रामायणे चतुर्दश वर्षाणां वनवासस्य वर्"	"**चतुर्विंशतिलक्षाणि** | 

**कथम् ?**  रामायणे उक्तं यत् रावणस्य चतुर्विंशतिलक्षाणि रक्षांसि आसन् |"	अस्ति	रामायणानुसारं सर्वतो महती संख्या चतुर्दश सहस्र
256	देवताः कति वानरान् उत्पादितवन्तः?	दशकोटिः		सहस्राणि	"रामायणानुसारं देवताः सप्त वानरान् उत्पादितवन्तः

वालि: इन्द्रस्य पुत्रः
सुग्रीवः:"	असंख्यान्  अनेकान् वानरान् देवाः उत्पादितवन्तः यतः तान् रामस्य सहायतार्थम् आवश्यकता आसीत्	अनेकान्	देवताः चतुर्लक्षं वानरान् उत्पादितवन्तः
257	नक्षत्राणाम् आहत्य संख्या कियती अस्ति?	सप्तविंशतिः		सप्तविंशतिः	नक्षत्राणाम् आहत्य संख्या सप्तविंशतिः (27) अस्ति	नवविंशतिः	अष्टाविंशतिः	२८
258	बिन्दुसरोवरात् निर्गत्य गङ्गायाः का धारा भगीरथस्य पृष्ठतः गतवती?	सप्तमी		भागीरथी	सगर-पुत्राणां मोक्षार्थं भगीरथः गङ्गाम् आनीतवान् अतः गङ्गायाः या धारा भगीरथस्	मन्दकिनी	भागीरथी	जाह्नवी
259	राज्ञः दशरथस्य पटराज्ञ्यै कौसल्यायै विवाहसमये स्वगृहात स्त्रीधनरूपेण कति ग्रामाः प्राप्ताः?	सहस्रम्		शतम्	कौसल्यायाः स्त्रीधनरूपेण प्राप्तग्रामाणां संख्या रामायणे स्पष्टतया न उल्लिखिता तथ	षट्सहस्राणि राज्ञा दशरथेन तस्य तेजसा आकृष्टः राजा सुकौशलो स्वपुत्र्याः कौसल्यायाः विवाहसमये एतावन्तः ग्रामाः स्त्रीधनरूपेण प्रदत्ता	चत्वारः	द्वे सहस्रे ग्रामाः
260	इन्द्रस्य उपाधिं कति अश्वमेधयज्ञैः प्राप्तुम् शक्यते?	शतम्		सहस्रैः	"शतम्

राजा इन्द्रस्य उपाधिं प्राप्तुं शतं अश्वमेधयज्ञान् सम्पादयितुं आवश्यक"	शतम्  शतसंख्याकैरश्वमेधयज्ञैः इन्द्रपदप्राप्तिः सम्भवति	शतम्	एकेन
261	कुशस्य कतिः पत्न्यः आसन्?	एका		एक	कुशस्य पत्नीनां सङ्ख्यायाः विषये रामायणे स्पष्टं विवरणं न प्राप्यते अतः अस्य प्रश	कुमाद्रथा	त्रयः	नव
262	लवस्य कतिः पत्न्यः आसन्?	द्वे		एक	एकापि न रामायणे लवस्य विवाहस्य कोऽपि उल्लेखः न दृश्यते लवः रामस्य पुत्रः, बाल्य	एक:	एका	लवस्य एका पत्नी आसीत्
263	भरतस्य कति पुत्राः आसन्?	द्वौ		चत्वारः	भरतस्य द्वौ पुत्रौ आस्ताम् तयोः नामनी तक्षः पुष्करश्च	द्वौ	भरतस्य द्वौ पुत्रौ आसन्	भरतस्य द्वौ पुत्रौ आस्ताम् तयोः नामानि तक्षः पुष्कलः च
264	इक्ष्वाकोः (श्रीरामस्य पूर्वजस्य) कति पुत्राः आसन्?	शतम्		सप्त	"इक्ष्वाकोः शतं पुत्राः आसन्

वाल्मीकि रामायणे बालकाण्डे प्रथमसर्गे इदं वर्ण"	शतम्   इक्ष्वाकोः शतं पुत्राः आसन्	शत	इक्ष्वाकोः एकशतं पुत्राः आसन्
265	विष्णोः अवतारेषु श्रीरामस्य अवतारः कतमः आसीत्?	सप्तमः		सप्तमः	श्रीरामस्य अवतारः विष्णोः सप्तमः अवतारः आसीत्	सप्तमः  रामः विष्णोः सप्तमः अवतारः मन्यते	दशमः	श्रीरामस्य अवतारः सप्तमः आसीत्
266	रामायणानुसारं कति आदित्याः सन्ति?	द्वादश		द्वादश	रामायणानुसारं द्वादश आदित्याः सन्ति	द्वादश	द्वादश	द्वादश
267	रामायणानुसारं कति रुद्राः सन्ति?	एकादश		एकादश	रामायणानुसारं एकादश रुद्राः सन्ति	एकदश  शिवास्य रूपाणि एकादशेति प्रसिद्धानि	अष्टाविंशति	एकादश
268	राज्ञः दशरथस्य आहत्य कति मन्त्रिणः आसन्?	अष्टौ		सप्त	राज्ञः दशरथस्य अष्टौ मन्त्रिणः आसन्	अष्टौ	आठ	षड्-सप्त-आठ
269	दिवसे कति मुहूर्ताः व्यतीताः भवन्ति?	पञ्चदश		त्रयः	दिवसे त्रिंशत् (30) मुहूर्ताः व्यतीताः भवन्ति	षोडश  चतुर्विंशति घण्टासु षोडश मुहूर्ताः भवन्ति	त्रिंशत्	दिवसे त्रिंशत् मुहूर्ताः व्यतीताः भवन्ति
270	श्रीरामः खरेण सह युद्धे तस्य कति सैनिकान् नाशितवान्?	चतुर्दशसहस्रम्		१४,०००	रामः खरेण सह युद्धे चतुर्दश सहस्र राक्षसान् नाशितवान्	चतुर्दशसहस्रम्  खरस्य चतुर्दशसहस्रसैनिकानां वधे राघवः श्रान्तः न अभवत्	चतुर्दश	द्वादशसहस्राणि
271	मल्लयुद्धे कति प्रकारकाणि मण्डलानि निर्दिष्टानि सन्ति?	चत्वारि		षट्	"मल्लयुद्धे चत्वारि प्रकारकाणि मण्डलानि निर्दिष्टानि सन्ति तानि च - 

1 वृत्तमण"	त्रीणि  युद्धक्षेत्रे भिन्नानां प्रयोजनानां पूर्तये एतेषां विन्यासः भवति	चत्वारि	चत्वारि
272	धनुर्वेदस्य कति भेदा: स्वीक्रियन्ते?	चत्वारः		षट्	धनुर्वेदस्य चत्वारः भेदाः स्वीक्रियन्ते	चत्वारः धनुर्वेदस्य चत्वारः उपवेदाः सन्ति	चत्वारः	चत्वारः
273	हे वृक्षाः! हे लताः  हे पुष्पाणि! हे मृगाः, पक्षिणः! किं यूयं सीतां दृष्टवन्तः? यदि दृष्टवन्तः तर्हि वक्तुमर्हथ किं सा कुत्र अस्ति?' एषः प्रश्नः कस्य ?	श्रीरामस्य		रामस्य	"रामस्य

रामः वनवासकाले सीतायाः अपहरणानन्तरं तां मार्गमाणः वृक्षान्, लताः, पुष्पाणि"	"**रामस्य**

**सीतां न प्राप्तवान् अतः व्याकुलः रामः वने सर्वान् प्रकृति-तत्वान् पृच्छति**"	रामस्य	रामस्य
274	हे श्रीराम! अहं किम् अपराधं कृतवान् यत् माम् इत्थं मारितवन्? यदि अकथयिष्यत्  तर्हि अहं रावणम् भवतः चरणयोः अपातयिष्यं, श्रीरामं प्रति एवं कः उक्तवान्?	वली		वाली	"बालिना

बालिः वानररूपेण श्रीरामेण हतः मृत्युसमये सः श्रीरामं पृष्टवान् - ""हे श्रीराम"	वाली  वालिनः मतिभ्रमं जनयित्वा श्रीरामः तस्य पृष्ठतः स्थितः तं मारितवान् इति वालिनः आरोपः आसीत्	रावणः	वाली
275	हे लक्ष्मण! अस्माभिः त्रिभ्यः दिवसेभ्यः एष समुद्रः मार्गं ददातु इति प्रार्थ्यते; किन्तु स न स्वीकुरुते। अहं एकेन बाणेन एनं शोषयिष्यामि; यतः बिना भयेन प्रीतिर्न भवति।' एतानि वाक्यानि कस्य?	श्रीरामस्य		रामस्य	रामस्य	"**रामस्य**

क्रोधवशात् रामः एवं उक्तवान् |"	रामस्य	श्रीरामस्य
276	हे मित्र जाम्बवन्! त्वं तावन्तं कालपर्यन्तं जीविष्यसि यावत् प्रलयः कलियुगः च न आगच्छेत् ।' जाम्बवते एतत् आशीर्वादं कः दत्तवान्?	श्रीरामः		रामः	रामः	**श्रीरामः**   दीर्घायुष्कां इच्छन् रामेण वरः प्रदत्तः	रामः	श्रीरामः
277	यदि अहं अज्ञास्यं यत् इत्थं मया अनुजस्य वियोगः सहनीयः भविष्यति तर्हि अहं पितुः आदेशं न अन्वसरिष्यम्।' एष विलापः कस्य?	श्रीरामस्य		सीतायाः	"एषः विलापः रामस्य

रामः वनवासकाले लक्ष्मणस्य वियोगं सहितुम् असमर्थः सन् एवं विलपति ल"	"**रामस्य**  

पितुः आदेशं पालयितुं बाध्यः इति दुःखम्"	रामस्य	रामस्य
278	हे श्रीराम! जानक्याः सीताया: आचरणं सर्वथा परिशुद्धमेव। पापं एतस्याः स्पर्शम् अपि न कृतवत्। अहं सहस्रवर्षाणि घोरं तपः अचरम्। यदि सीतायां कश्चन दोषः अस्ति तर्हि अहम् अस्य तपसः फलं न प्राप्नुयाम्।' एषा घोषणा केन कृता?	वाल्मीकिना		अग्निना	अगस्त्येन		अगस्त्येन	अग्निदेवेन
279	रावण! यथा मम पादं त्वं गृहीतवान् तथैव यदि श्रीरामस्य पादं अग्रहीष्यत् तर्हि तव कल्याणं अभविष्यत्।' रावणं प्रति एवं कः अपहसितवान्?	अङ्गदः		विभीषणः	"विभीषणः

विभीषणः रावणस्य अनुजः आसीत् सः रावणं बहुशः उपदिष्टवान् यत् श्रीरामस्य"	"**हनुमान्** 

यतो हनुमान् रावणस्य नगरीं प्रज्वालय्य तस्य अहंकारं चूर्णीकृतवान्"	विभीषणः	शूर्पणखा
280	हे मातः पृथिवी! यदि श्रीरामात् अन्यस्य कस्यचन अपि मया स्वप्ने अपि विचारः कृतः भवेत् तर्हि त्वम् विष्फोटतु माम् गृहीत्वा क्रोडे स्थापयतु।' पृथिवीं प्रति एषा प्रार्थना केन कृता?	सीतया		सीतया	सीतया	"**सीतया**  

स्वपत्नीत्वेन स्वपतिं विना अन्यपुरुषविचारोऽपि घोरपापः इति सीतायाः दृढविश्वासः आसीत्"	सीतया	सीतया
281	हे कुलघातिनि कैकेयि! त्वं श्रीरामं वनं संप्रेष्य महापातकं कृतवती। त्वं मम पितृघातिनी असि। त्वं मामपि पापभागिनं कृतवान्। त्वं मातृसंज्ञाया योग्या नास्ति।' एते शब्दाः कस्य?	भरतस्य		भरतस्य	भरतस्य	"**दशरथस्य** 

दशरथः क्रोधे एवं वदति यतः कैकेय्याः कारणात् रामः वनं गतः"	रामस्य	एते शब्दाः भरतस्य
282	रावणः यदि रसातलेऽपि गुहेत पितामहस्य ब्रह्मणः सविधे वा गच्छेत्, तथापि स मम हस्तेभ्यः न रक्षितः भविष्यति।' एते उद्गाराः कस्य?	श्रीरामस्य		रामस्य	एते उद्गाराः रामस्य	हनुमतः  हनूमान् एवम् उक्तवान् यदा लङ्कायां सीताम् अन्वेषयन् आसीत्	हनुमतः	श्रीरामस्य
283	यदि अद्य साक्षात् शिवः अपि मेघनादस्य रक्षणाय आगच्छेत्, तथापि अहं प्रतिजाने  यत् तं जीवितं न त्यक्ष्यामि।' एषः उद्गारः कस्य आसीत्?	लक्ष्मणस्य		लक्ष्मणस्य	लक्ष्मणस्य	"**हनुमतः**   

अहंकारवशात्"	लक्ष्मणस्य	एषः उद्गारः इन्द्रजितः आसीत्
284	अहं स्वभ्रातृणां शपथं कृत्वा कथयामि युध्ये पुत्रैः भृत्यजनैः बन्धुभिः च सह रावणं संहरिष्यामि।' एषा प्रतिज्ञा कस्य आसीत्?	श्रीरामस्य		विभीषणस्य	"विभीषणस्य

विभीषणः रावणस्य अनुजः आसीत् सः रामस्य शरणं गत्वा रावणस्य विरुद्धं युद"	**सुग्रीवस्य**   स्वपुत्रस्य बलात् राज्यभ्रष्टस्य सुग्रीवस्य रामेण सहायं कर्तुं तस्य प्रतिज्ञा आवश्यकम् आसीत्	रामस्य	सीतायाः
285	हे राम! त्वं शिवधनुः भग्नं कृतवान्। तं समाचारं श्रुत्वा अहं अन्यं उत्तमं धनुः संगृह्य त्वत्समीपं आगतोऽस्मि, यस्मिन् त्वं बाणं आरोपय।' श्रीरामाय एवं कः उक्तवान्?	परशुरामः		परशुरामः	परशुरामः	जनकः	परशुरामः	परशुरामः
286	हे रघुनन्दन! अहम् एकसहस्रवर्षाणि उपवासं कृतवान्। अद्य मम तस्य व्रतस्य समाप्तिदिनम् अस्ति, अतः अस्मिन् काले भवतः समीपे यत् अन्नं अस्ति तत् एव अहं ग्रहीष्यामि।' श्रीरामं प्रति एवं कः उक्तवान्?	दुर्वासाः		शबरी	विभीषणः	कबन्धः  कबन्धः भोजनार्थं रामलक्ष्मणौ स्वभुजयोः मध्ये स्थापयितुम् ऐच्छत्	गुहः	शबरी
287	हे प्रभो! भवतः प्रति मम स्नेहः सदैव भवतु। भवति एव मम अचला भक्तिः भवतु। भवन्तम् अतिरिच्य अन्यत्र मम आन्तरिकः अनुरागः न भवतु।' श्रीरामाय एतां प्रार्थनां कः कृतवान्?	हनुमान्		हनुमान्	हनुमान्	हनुमान्	हनुमान्	श्रीरामाय एतां प्रार्थनां शबरी कृतवान्
288	प्रिय हनुमन्! यावत् मम कथा लोके प्रचलिता भविष्यति तावत् त्वदीया कीर्तिः अपि  स्थिरा भविष्यति, तथा त्वदीये देहे प्राणाः अपि स्थिताः भविष्यन्ति।' हनुमन्तं प्रति एतद् कः उक्तवान्?	श्रीरामः		श्रीरामः	रामः	"**रामः** 

रामः हनुमन्तं प्रति अमरत्वं वररूपेण दत्तवान् यतः हनुमतः भक्तिः साहसञ्च अद्वितीयम् आसीत् |"	रामः	श्रीरामः
289	विभीषण! रावणः बलपराक्रमसम्पन्नः महामनस्वी आसीत्। मृत्युना समन्वितं वैरं अपि समाप्तं भवति। रावणः यथा तव भ्राता तथैव मम अपि। त्वं एतस्य दाहसंस्कारं कुरु।' विभीषणं प्रति एतानि वचनानि कः उक्तवान् ?	श्रीरामः		रामः	"रामः

रामः एव विभीषणं प्रति एतानि वचनानि उक्तवान् युद्धे रावणं हत्वा, रामः विभीषणम् आद"	"श्रीरामः 

रावणस्य मृत्युं अनुश्रुत्य, शोकेन विह्वलः विभीषणः तस्य दाहसंस्कारं कर्तुम् इच्छां न व्यक्तवान् | तदा श्रीरामः एव उ"	रामः	श्रीरामः
290	हे लङ्कानरेश! नायं वानरो गुप्तचर इव दृश्यते, अपि तु दूत इव दृश्यते। अतोऽस्य वधो न उचितः। त्वं तं किञ्चिद्दण्डं दत्त्वा विसर्जय।' रावणं प्रति एतत्परामर्श कः दत्तवान्?	विभीषणः		विभीषणः	विभीषणः	**हनुमान्**  हनुमान् एवमवदत् यतः स दूतत्वेन लंकां गतः आसीत् न तु गुप्तचरत्वेन	विभीषणः	प्रहस्तः
291	अहं प्रचेतुः दशमः पुत्रः अस्मि।' एतद्वाक्यं कस्य ऋषेः आसीत्?	वाल्मीकेः		वसिष्ठः	वाल्मीकिः	"**दशरथः**  

यतः सः एव रामस्य पिता आसीत्"	विश्वामित्रस्य	नारदस्य
292	भ्रातः! भरतः सेनया सह आगच्छति। मन्ये, ते अस्मान् आक्रंस्यन्ते। अस्माभि युद्धाय सिद्धैः भवितव्यम्।' एतत् कः कं प्रति उक्तवान्?	लक्ष्मणः श्रीरामं प्रति		लक्ष्मणः रामं प्रति	लक्ष्मणः रामम् प्रति	**लक्ष्मणः**   रामं प्रति	लक्ष्मणः रामं प्रति उक्तवान्	शत्रुघ्नः लक्ष्मणं प्रति उक्तवान्
293	हे श्रीराम! त्वं वैष्णवधनुषः प्रत्यञ्चाम् आरोपितवान्, अतः अहं ज्ञातवान् अस्मि यत् त्वं देवेश्वरः विष्णुः एव।' एतत् श्रीरामं प्रति कः उक्तवान्?	परशुरामः		परशुरामः	परशुरामः	जानकीम्	परशुरामः	परशुरामः
294	हे राम! अहं कामरूपिणी राक्षसी रावणस्य भगिन्यस्मि।' एतत् परिचयं श्रीरामं प्रति कः प्रदत्तवान्?	शूर्पणखा		शूर्पणखा	शूर्पणखा	"**शूर्पणखा** | 

**कथम्?**  सा रामं वशीकर्तुम् एवं परिचयं दत्तवती |"	सूर्पनखा	शूर्पणखा
295	महर्षे! एकस्य धनुषः भञ्जने किमर्थं त्वं अतिविकलः अभवः? अहो, बाल्ये मया न जाने कति धनूंषि भग्नानि। तदा त्वं तावन् क्रोधितः नासीत्।' एतत् वक्तव्यं कस्य?	लक्ष्मणस्य		रामस्य	"एतत् वक्तव्यं परशुरामस्य

परशुरामः रामं प्रति एतत् वदति, यदा रामः शिवधनुः भङ्क्त्"	"**जनकस्य** 

धनुषः भञ्जनं सामान्यं नासीत् तत् शिवधनुः आसीत्, यस्य भञ्जनं दुष्करं सर्वैः ज्ञातम् आसीत्"	रामस्य	परशुरामस्य
