ID	QUESTION	ANSWER	CHOICES	llama-v3p1-8b-instruct	gemini-1.0-pro	gpt-3.5-turbo	gpt-4o-mini	gpt-4o
147	सीतामाता 'जानकी' इति किमर्थं अभिधीयते?	जनकस्य पुत्री अतः		जानकी नाम सीतेच्या मातेच्या नावाच्या 'जनक' या शब्दाच्या पूर्वार्धाच्या 'ज' वर्गाच्या ध्वनींनी सीतेच्या नावाच्या '	सीतामाता 'जानकी' इति अभिधीयते **जनकस्य पुत्रीत्वात्**	रामस्य जनकस्य दुहिता इति	जनकनन्दनी	जनकस्य पुत्री इति
148	महर्षेः परशुरामस्य नाम 'परशुरामः' इति किमर्थं जातम्?	परशुुधारणात्		अस्या नाम्नः परशुरामस्य नाम 'परशुरामः' इति जातम्  कारणं तद्यदि परशुरामः अस्या नाम्नः परशुरामः इति जातम्  तद	"'परशु' इति शब्दस्य अर्थः 'कुठारम्' इति परशुरामः ऋषिः कुठारेण जन्म प्राप्तवान् अतः तस्य नाम परशुरामः अभूत् 
(परशुराम : कुठार: ,"	क्रोधात्	परशु	ऋषिः जमदग्निः तस्मै परशुं दत्तवान्
149	सरयूनद्याः नाम 'सरयू' इति किमर्थंजातम्?	मानससरसः निर्गमनात्		सरयू नदीचे नाव 'सरयू' असे का आहे?	"देवी सरस्वती  - 

सरयू नदी का नाम सरस्वती के नाम पर पड़ा 
```
सरयू नदी का उल्लेख ऋग्वेद में मिलता है जहाँ इसे  'सरस्वती' या 'सरस्वती' कहा गया"	श्रावणेनेवेनाम्ना	"सरयूनद्याः नाम 'सरयू' इति तस्य अर्थः ""सुप्रवाहित"" अस्ति"	सरयूनद्याः नाम 'सरयू' इतिः अयोध्यायाः समीपे स्थितत्वात् प्राचीनकालात् प्रसिद्दम्
150	प्रसिद्धगजराजस्य नाम 'ऐरावतः' इति किमर्थं जातम्?	इरावत्याः पुत्रत्वेन		अर्जुनस्य रथस्य नाम 'ऐरावतः' इति जातम्	"प्रसिद्धगजराजस्य नाम ऐरावतः इति जातम्, एतावत् कारणात्, यतो 

* ‘ऐरावतः’ इति शब्दः ‘ईरा’ अर्थात् ‘जल’ इत्यर्थः, अतः ऐरावतः इ"	इन्द्रस्य सहायकत्वायै	ऐरावतः	'ऐरावतः' नाम महर्षि कश्यपस्य पुत्रिण्या इरावत्याः पुत्रत्वात् जातम्
151	महर्षिः परशुरामः 'भार्गवः' कुतः उच्यते ?	भृगुवंशोत्पन्नः अतः		भार्गवः शब्दः 'भर्ग' + 'आवः' से समासः  'भर्ग' शब्दः 'अग्नि' को अर्थात् 'ज्वलन' को दर्शयति  अतः परशुर	"# महर्षिः परशुरामः 'भार्गवः' कुतः उच्यते ?

महर्षिः परशुरामः 'भार्गवः' उच्यते क्योंकि ते महर्षेः भृगु वंशे जातः अस्ति भ"	बृहस्पतिः	सत्यं	महर्षिः परशुरामः 'भार्गवः' इति उच्यते कारणं सः भृगु ऋषेः वंशे जातः अस्ति
152	राजा सगरेण 'सगरः' इति नाम कुतः प्राप्तम् ?	गरेण(विषेण) सह जन्म प्राप्नोत् अतः		अग्नि	"नाम 'सगरः' का अर्थ है ""समुद्र"" राजा सगर अपने युद्ध कौशल और वैभव के कारण समुद्र के समान शक्तिशाली माने जाते थे इसलिए, उन्हें 'सगर' नाम से जाना जाता था"	ऋषिपुत्रेण	सगरः यः 'सगर' इति नाम प्राप्यते तस्य पितरः नहुषः	राजा सगरः अष्टकुमाराणां सहस्रेण सहरिति कारणेन 'सगरः' इति नाम प्राप्तम्
153	इन्द्रः 'देवराजः' कुतः उच्यते?	देवतानां राजा अतः		अग्नि-पुरुषः	'देवराज' इति इंद्रः 'सर्वेषां देवानाम् राजत्वात्' अतः उच्यते |  The word 'Devraj' is attributed to Lord Indra due to the reason of 'being the sole ruler of the Deities'	स्वर्गे	स्वर्गस्य अधिपतित्वात्	देवानां राजा अतः
154	शिवस्य एकं नाम 'नीलकण्ठः' कुतः आसीत्?	हलाहलविषं पीत्वा कण्ठः नीलः जतः अतः		वानरराजः	हलाहल विषस्य पानात् शिवस्य कण्ठः नीलवर्णः अभवत् ततः शिवः नीलकण्ठः इति नाम्ना प्रसिद्धः अभवत्	हलाहलविषम्	समुद्रमंथनात्	समुद्रमन्थनात्
155	राक्षसाः 'यातुधानाः' कुतः उच्यन्ते ?	तेषां यातुविद्या आसीत् अतः		पृथ्व्या	'यातुधानाः' शब्देन राक्षसाः उच्यन्ते, यतः ते यातु ेव धानाः सन्ति | यातुः अर्थः 'गतिः' भवति, धानाः अर्थः 'धरः' भव	सुंदरकाण्डात्	यातुधानाः राक्षसाः यः यमयातुं शक्नुवन्ति	राक्षसाः 'यातुधानाः' तेषां अतिक्रूरतया, मानवभक्षणेन च उच्यन्ते
156	राक्षसाः 'निशाचराः' कुतः उच्यन्ते?	निशाकाले विचरणात्		राक्षसांना 'निशाचर' असे सांगितले जाते कारण ते रात्रीच्या वेळी क्रियाशील असतात	राक्षसाः 'निशाचराः' तमसि विचरन्ति इति उच्यन्ते	लङ्कायाः	रात्रौ	रात्रौ चरन्ति इति
157	राक्षसाः 'राक्षसाः' इति कुतः उच्यन्ते?	ब्रह्मणा सृष्टस् जलस्य रक्षणात्		राक्षसाः 'राक्षसाः' इति कुतः उच्यन्ते? राक्षसाः 'रक्ष' + 'अस' इति शब्दातून उद्भूताः	"राक्षसः इति एते उच्यन्ते, यतः राक्षते इति तेषां कृत्यम् | 
* राक्षसः इति शब्दः 'रक्ष' धातोः 'अण्' प्रत्ययेन निर्मितः अस्ति |"	असुराः	राक्षसाः 'राक्षसाः' इति कुतः उच्यन्ते? तेषां राक्षसत्वं	राक्षसाः 'रक्षः' (संस्कृत) शब्दात् व्युत्पन्नः
158	भरतस्य मातुः कैकेयी इति नाम कुतः प्राप्तम्?	केकयदेशस्य राजकुमारी अतः		कैकेयी नाम कैकस नामक राजकुमारी से प्राप्त हुआ	केकयी भरत की माँ हैं, इसका उल्लेख **रामायण** में अनेक स्थानों पर मिलता है रामायण में माता कैकयी की पहचान भरत की माँ के रूप में की गई है यहाँ रामायण के	कैकेयीया:	अयोध्यायाम्	कैकेयदेशात् प्राप्तम्
159	मेघनादः इति नाम कुतः प्राप्तम्?	मेघसदृशगर्जनात्		रावणस्य पुत्रः	"इति नाम मेघनाद इंद्रजितस्य अपरं नाम अस्ति
अस्य नाम्नः कारणम् इन्द्रस्य जयः अस्ति"	इन्द्रोपस्थं रथात्	मेघदूतात्	मेघनादः इति नाम तस्य मेघवत् गर्जनात् प्राप्तम्
160	सीता 'सीता' कुतः उच्यते?	क्षेत्रं शोधयता लब्धा अतः		रामायणे	सीता 'सीता' भूमौ उत्पन्ना इति कारणात् 'सीता' इत्युच्यते	जनकस्य जननीति	भूमि	मातुः गोदधारणात्
161	हनूमतः नाम 'हनुमान्' इति कथं जातम्?	इन्द्रस्य वज्रप्रहारेण अस्य हनुः आघातितः अतः विशिष्टः हनुः अस्य अस्ति अतः		अनसुइया पुत्रः	"'हनु' इति वायुदेवतायाः नाम  तेन पालितः इति हनुमान् इति नामकरणम्  

(The name 'Hanuman' comes from the name 'Hanu' which is the name of the wind god He was raised by the"	स्वयं्सम्भूः	हनुमानः इत्यस्मिन् 'हन' इति शब्दः 'हन्ति' इत्यर्थे वर्तते, 'उमान' इति च 'सीता' इत्यर्थे तस्मात् 'हनुमान' इत्युत्पत्तिः	हनूमतः नासिकायाः भागे अशुभं चिह्नं आसीत्, यः हनुमान् इति नाम कारणं आसीत्
162	विश्वामित्रस्य एकं नाम 'कौशिकः' इति किमर्थम् आसीत्?	कुशस्य वंशे जातः अतः		विश्वामित्रः कौशिकः आसीत् कारणं त्याच्या मातेच्या नावाच्या आधारे	"कौशिकः इति शब्दस्य अर्थः ""कुशस्य वंशजः"" अस्ति विश्वामित्रः राज्ञः कुशस्य वंशजः आसीत्, अतः तस्य नाम कौशिकः आसीत्"	तपस्या	कौशिकी नदी	कौशिकवंशे जातः
163	कार्त्तिकेयस्य एकं नाम 'षण्मुखः' किमर्थं अस्ति?	कृत्तिकानां स्तन्यपानात् षट् मुखानि अभवन् अतः		कार्त्तिकेयस्य एकं नाम 'षण्मुखः' अस्ति कारण ते षण्मुखी देवतांच्या सेनापती होते	"षड् + मुखः = षण्मुखः  
 
अर्थात् षड् मुखानि (छः मुख) 
 
भगवान् कार्त्तिकेयः षडाननः अस्ति  
 
त"	षण्मुखः - शिवस्य सपुत्रः	कार्त्तिकेयस्य 'षण्मुखः' नामस्य अर्थः तस्य षट् मुखानि अस्ति	षडाननत्वात्
164	अतिकायं राक्षसं 'अतिकायः' इति किमर्थं कथयन्ति?	अत्यन्तं विशालं शरीरम् अस्ति अतः		अतिकायं राक्षसं 'अतिकायः' इति किमर्थं कथयन्ति? कारणं त्रिशिरा अस्ति	महाकायत्वात् अतिशयेन शरीरवान् यतः सः अति+कायः=अतिकायः |	नाना	अतिकायः  - विशालकायः	महाकायः
165	गङ्गायाः एकं नाम 'भागीरथी' कथं जातम्?	भगीरथेन पृथिवीम् आनीता अतः		रामायणातील कथेनुसार, गंगेचे एक नाव 'भागीरथी' असे कारण ती भागीरथ ऋषींच्या प्रार्थनेने उत्पन्न झाली होती	रघुवंशे कौसलेशपत्नी कैकेयी ऋषिशापाद्गृहीता, प्रायश्चित्तार्थं पुत्रं रामं वनं प्रेषयति रामेन वनायने गङ्गायां स्नानं कृ	भगीरथः	राजमहिषी भागीरथस्य तपस्यायाम्	भगिरथराज्ञः तपस्यया
166	सहस्रार्जुनः 'कार्तवीर्यः' इति कथं उच्यते?	कृतवीर्यस्य पुत्रः आसीत् अतः		अर्जुनस्य सहस्रार्जुन इति नाम कार्तवीर्य नामक राजा होता होता होता होता होता होता होता होता होता होता होता होता होत	"सहस्त्रार्जुनः 'कार्तवीर्यः' इति कथं उच्यते? 

कार्तवीर्यः सहस्रार्जुनः इति कथ्यते, यतो तस्य सहस्र भुजाः आसन् सहस्र इति शब्"	महात्मा	दशमुखेन रामायणे	सहस्रबाहोः कारणेन
167	रामः 'दाशरथिः' इति कथं उच्यते?	दशरथस्य पुत्रः आसीत् अतः		दशरथस्य पुत्रः	"राजा दशरथस्य पुत्रः इति 
 
 The name Rama is derived from the name of his father, King Dasharatha 
 
 **राम (Rama)** is a Sanskrit word that means ""one who is pleasing"" or ""one who brings delight"""	कौसल्यायाः पुत्रः अस्य इति	पितुः नामेन	रामः दशरथस्य पुत्रः इति
168	च्यवनः ऋषिः किमर्थम् 'च्यवनः' इति उच्यते?	मातुः गर्भात् स्वयं पतित्वा गतिशीलः आसीत् अतः		च्यवनः ऋषिः ऋषि-शापेन च्यवनः इति उच्यते	"'च्यवन' इति ऋषेरनाम 
तस्य अस्य नाम 'च्यवन' इति कारणम्, यदा सः एकदा महर्षिः इन्द्रस्य तपस्यायाः प्रभावेण अग्नौ पपात, तदा 'च्य"	युवनं (युवां अस्माकं)	च्यवनः ऋषिः तपः	सावर्णिमहर्षिपुत्रस्य जन्मात्
169	रावणस्य एकं नाम 'दशग्रीवः' इति किमर्थं आसीत्?	दशभिः ग्रीवाभिः सह जन्मप्राप्तवान् अतः		दशग्रीवः नाम रावणस्य आसीत् कारणं तद् दशग्रीवः अस्यास्ते दशग्रीवः	दशग्रीवः इति नाम रावणस्य दशभ्यः शिरोभ्यः आसीत्	दश वधायां	तस्य दशमुखत्वात्	सः दश मस्तकानि आसीत्
170	सीतायाः एकं नाम 'वैदेही' किमर्थं आसीत्?	विदेहस्य जनकस्य पुत्री अतः		वैदेही राज्यस्य राज्ञी आसीत्	जनकस्य पुत्री आसीत् सीता इति故 वैदेही इति कथ्यते	रामेण साक्षात् प्राप्ताऽभूत्	सीतायाः माता जनकस्य पुत्री आसित्	सीता जनकस्य विदेहराजस्य पुत्री
171	कार्त्तिकेयस्य नाम 'कार्त्तिकेयः' कथं प्राप्तम्?	कृत्तिकाभिः पालितः अतः		कार्त्तिकेयस्य नाम 'कार्त्तिकेयः' कार्त्तिकमासे ये देवता पूजिताः तेषां नाम्नः संयोगेन प्राप्तम्	'कृत्तिकासु जातः' इति 'कार्त्तिकेयः'	कार्त्तिकेयस्य नाम 'कार्त्तिकेयः' इति नाम्ना प्राप्तम्	कार्त्तिकेयः	कार्त्तिकेयस्य नाम 'कार्त्तिकेयः' कारणमस्ति यः षड् कार्त्तिकानां पुत्रः अस्ति तस्य बाल्ये षड् कार्त्तिकास्तं पालितवत्यः अतः सः कार्त्त
172	गङ्गायाः एकं नाम 'त्रिपथगा' कुतः अस्ति?	त्रिषु लोकेषु प्रवहति अतः		रामायणात	त्रिपथगा	अयोध्यायाम् अस्ति	गङ्गायाः त्रिपथगा नाम तस्य तृतीय भागात् अस्ति, यः स्वर्गे, पृथिव्यां च प्रवाहितः अस्ति	गङ्गा नदी स्वर्ग, पृथ्वी, पाताल इति त्रिषु पथेषु वहति
173	श्रीरामः 'राघव' इति कुतः उक्तः?	रघोः वंशे जातः अतः		अर्थशास्त्रे	"राघव इति श्रीरामः उक्तः कुतः? 

उत्तरं: **रघोः पुत्रः इति** 
रघुः इति श्रीरामस्य पितामहः आसीत् | 
तस्य पुत्रः दशरथः |"	वाल्मीकेन्	राघवः रामस्य वंशः	श्रीरामः 'राघव' इति उक्तः कारणं तस्य रघुवंशे जन्म
174	महर्षेः अगस्त्यस्य ऋषेः नाम 'कुंभजः' कथं प्राप्तम्?	कुम्भात् जन्म प्राप्तवान् अतः		अगस्त्य ऋषि कुंभजः नाम प्राप्त केले ते कारण त्यांना कुंभाच्या आकाराचे शरीर होते	कर्णः	कुंभजः	अगस्त्यः सागरस्य कुम्भात् उद्भवः	महर्षिः अगस्त्यः कुंभात् उत्पन्नः इति, तेन 'कुंभजः' इति नाम प्राप्तम्
175	महर्षेः अगस्त्यस्य एकं नाम 'सिंधुपः' कुतः आसीत्?	सिन्धुं (समुद्रं) पीतवान् अतः		अगस्त्य ऋषि का एक नाम 'सिंधुप' क्यों था?	सिंधुपः नाम महर्षेḥ अगस्त्यस्य आसीत्, यतः सः सिंधुं (समुद्रं) पपीय (अपीतवान्)	तात्त्विकंायां	सिंधुपः  समुन्नतं जलेन	महर्षेः अगस्त्यः दक्षिणदिशं गत्वा समुद्रं पाति, ततः एव तस्य 'सिंधुपः' इति नाम आसीत्
176	समुद्रस्य एकं नाम 'सागरः' कथं प्राप्तम्?	सगरपुत्रैः खातः अतः		समुद्र का एक नाम 'सागरः' कैसे प्राप्त हुआ?	दक्षिणे समुद्रतटस्य समीपे 'सागर' नामक एक ऋषि वसति स्म ते सर्वदा समुद्रे स्नानं कुर्वन्ति स्म एवं चिरकालं समुद्रे स्नानं कुर्वन्तः ते समु	समुद्रं अन्वेष्य मुक्तिं न प्राप्तवान्	सागरः 'सागर' इति शब्दस्य अर्थः विशाल जलाशयः अस्ति, यः समुद्रस्य एकं पदम् अस्ति	रामायणस्य अनुसारं, सगरस्य षष्टिपुत्राः कपिलमुनिं अन्विष्य समुद्रं प्राप्तवन्तः तस्मात् समुद्रः 'सागरः' इति नाम प्राप्तवान्
177	शिवस्य एकं नाम 'पिनाकी' कुतः अस्ति?	पिनाकनामधेयस्य त्रिशूलस्य धारणात्		शिवाच्या एका नावाचे 'पिनाकी' असे कारण असते कारण त्याच्या हाती पिनाक असतो	शिव का एक नाम 'पिनाकी' है क्योंकि उनका धनुष 'पिनाक' कहलाता है	हे पर्वताधिप!	पिनाक	पिनाकमिति धनुषः धारकः
178	गरुडः 'वैनतेय' इति कुतः उच्यते?	विनतायाः पुत्रः अतः		वैनतेय नामे कारणे	"वैनेयः, वैनेयः, वैनेयः 🙏 

कारणम् गरुडस्य माता वैनेयः इति 🙏 

**वैनेयः** शब्दस्य अर्थः **विनतायाः पुत्रः** इति 

अतः ग"	वैनतेयः गरुडस्य सम्बन्धः रामायणे उल्लिखितः गरुडः वैनत	माता वैनता	गरुडः वैनतेयः इति तस्य मातुः 'विनता' इति नामतः उच्यते
179	देवताः 'सुरः' इति कुतः उच्यन्ते?	वारुण्याः (सुरायाः) ग्रहणात्		अग्नि से	सुराः इति देवाः इंद्रस्य सुरां पिबन्ति इति -- ऋग्वेदः ८८३८	नरेन्द्रस्य भक्तितः	सुरलोकात्	ते सुजनेषु सन्ति इति
180	राज्ञः जनकस्य पूर्वजस्य मिथेः नाम 'मिथिः' कथं प्राप्तम्?	राज्ञः निमेः मृतदेहस्य मथनात् उत्पन्नः अतः		मिथिला नामक राज्यस्य राजा मिथि नामक राजा था, जो जनक नामक राज्ञा के पूर्वज थे	जनकस्य पूर्वजस्य मिथेर नाम 'मिथि' यज्ञस्थले सभोक्तारम् गृहमनुज्ञाम् ददाति तेन यज्ञस्य यशः विविधेषु क्षेत्रेषु प्रसारितम् भवति  यज्ञस्य यशः	विवाहेन्	मिथिला	राजा मिथि स्वयं जनक वंश के संस्थापक थे उन्होंने अपने तप और साधना से यह नाम प्राप्त किया था
181	दैत्यानां नाम 'दैत्यः' कथं जातम्?	दितेः पुत्राः आसन् अतः		देवानां नाम 'देवः'	'दैत्य' शब्द 'दिति' मातृ-शब्दातून आला आहे 'दिति' चे पुत्र असल्याने त्यांना 'दैत्य' असे म्हटले जाते	क्रोधात्	दैत्यः  इन्द्रस्य शरात्	दिति-अपत्यम्
182	राज्ञः जनकस्य वंशस्य नाम 'मैथिलः' कथं जातम्?	राज्ञः मिथेः नामतः जातम्		जनकस्य पुत्रः विश्वावासु, विश्वावासोऽपि पुत्रः रामः, रामस्य पुत्रः लवः, लवस्य पुत्रः कुशः, कुशस्य पुत्र	राजपुत्रस्य जनकस्य विवाहः सत्यवत्याख्यया देव्या सह अभवत् तयोः उत्पन्ना पुत्री सीता देवी सीतादेव्याः पालनं मैथिलराज्यस्य महर्षिभिः कृतम्	जनकस्य वंशस्य नाम 'मैथिलः' इति जातं नाम्ना	जनकस्य विवाहेन	जनकस्य राज्यं मिथिला इति प्रसिद्धम् तस्मात् तस्य वंशः 'मैथिलः' इति कथ्यते
183	दानवाः 'दानवाः' इति कथं उच्यन्ते?	दनोः उत्पन्नाः अतः		असुरांच्या पोटी जन्मलेले	"दानप्रिया इति दानवाः 
The answer is: दानप्रिया 
The reason is: दानं ददान्तीति दानवाः, याचकाभ्यः इति याचकाभ्यः इति याचकानां दानं ददान"	नीलकण्ठः	दानवाः 'दानवाः' इति तेषां जातिः दानवजन्तूनां विशेषणात्	दानवाः 'दानवाः' इति दनुः असुरस्य अपत्यं इति उच्यन्ते
184	महर्षिः विश्वामित्रः श्रीरामं 'काकुत्स्थ' इति कथम् आचक्षते?	राज्ञः ककुत्स्थस्य वंशजः आसीत् अतः		विश्वामित्रः श्रीरामं 'काकुत्स्थ' इति कथम् आचक्षते कारणं तद्रामस्य काकुत्स्थस्य नाम्नः	"'काकुत्स्थ' इति नामा महर्षिः विश्वामित्रः श्रीरामस्य दशरथस्य च पितरम् अयोध्यायाः नरेशं राजानं 'ककुत्स्थः' इति कथयति

**कारणानि**"	विश्वामित्रः	काकुत्स्थः काकुत्स्थजन्मनः	वंशानुसारेण
185	यक्षानां नाम 'यक्षः' कथं जातम्?	ब्रह्मणा निर्मितस्य जलस्य यक्षणं (पूजनं) कृतवान् अतः		अग्नि-पुत्रानाम्	"संस्कृत भाषा में ""यक्ष"" शब्द एक बहुवचन संज्ञा है जिसका अर्थ है ""यक्ष"" यह शब्द संस्कृत में किसी एक विशिष्ट यक्ष को संदर्भित नहीं करता है, बल्कि प्राचीन भारतीय धर्मग्रंथों में वर्"	यक्षः	यक्षः	यक्षानाम् ईश्वरः कुबेरः
186	महर्षेः अगस्त्यस्य नाम 'अगस्त्यः' कथं जातम्?	अगस्य(पर्वतस्य) स्तम्भनात्		अगस्त्यः नाम स्वायमेव जातः	कुम्भोद्भवः इति	वचसा जातः	अगस्त्यः  'अगस्त्य'  नामकः तस्य जननं 'अगस्त्यः' इति ज्ञायते	अगस्त्यः 'अग' (पहाड़) तथा 'त्य' (उदाहरणार्थ, विनाशक) शब्दों से मिलकर बना है, जिसका अर्थ है 'पहाड़ का नाश करने वाला' या 'जो पहाड़ को नीचे लाता है'
187	पार्वत्याः नाम 'पार्वती' किमर्थं आसीत्?	पर्वतस्य (हिमालयस्य) पुत्री आसीत् अतः		पार्वत्याः नाम 'पार्वती' आसीत् कारणं हिमालयस्य पुत्री आसीत्	पर्वतेषु जाता इति, पर्वतात् जाता इति, अथवा शक्तिः स्वरूपं भूत्वा सर्वेषां प्राणिनां रक्षणं करोति इति 'पार्वती' इति नाम आसीत्	शिवस्य पत्नीभूत्वा	पार्वत्याः नाम 'पार्वती' अर्थः पर्वतः	पार्वत्याः नाम 'पार्वती' इति तस्याः हिमालये जन्मात् आसीत्
188	शिवस्य एकं नाम 'आशुतोषः' कथं जातम्?	शीघ्रं तुष्टः भवति अतः		शिवस्य एकं नाम 'आशुतोषः' कथं जातम्? - शिवला म्हणजे सर्व इच्छा पूर्ण करणारा असा अर्थ असल्याने त्याला 'आशुतोष' अस	"शिवस्य 'आशुतोषः' नाम कथं जातम्?

*देवताषु सर्वोत्तमः शिवः अत्यंतं दयालुः कृपालुश्चास्ति* एतस्य उदाहरणार्थं पार्वतीं प्रति शिवस्य आ"	कृत्यादिषु	"शिवस्य ""आशुतोषः"" नामस्य अर्थः अस्ति यः देवः शीघ्रं तुष्टिं प्राप्नोति"	शिवः अतिशीघ्रं तुष्टिं ददाति, अतः 'आशुतोषः' इति नाम
189	अहल्याया:, श्रीरामः यस्याः उद्धारं कृतवान् , तस्या: नाम 'अहल्या' कथं जातम्?	हल्यायाः (विरूपतायाः) लेशः अपि नास्ति अतः		अहल्याया श्रीरामेण उद्धारिता त्या म्हणून	अहल्या	गौतमर्षेः	अहिल्या	शापात्
190	वालिनः (वानरस्य) नाम 'वालि' कथं जातम्?	ऋक्षराजस्य केशेषु इन्द्रस्य वीर्यपतनात् उत्पन्नः अतः		वानरराजः सुग्रीवः सीताहरणे रावणेन पुत्रं वालिनः नाम वालि मारितवान्	वालिनः (वानरस्य) नाम 'वालि' जातम्, कारणं वानराणां बाल्ये तस्य गङ्गायां पतनं, तेन सः 'वालि' इति नाम्ना ख्यातः अभवत्	कपित्वं चरित्रात्	वालि नाम तस्य पिता 'इन्द्र' अस्ति	वालिः दितेः पुत्रः आसीत् तस्य नाम 'वालि' इति तस्य पित्रा दत्तम् आसीत्
191	सुग्रीवस्य नाम 'सुग्रीवः' कथं अभवत्?	ऋक्षराजस्य ग्रीवायां सूर्यस्य विर्यपतनात् उत्पन्नः अतः		वानरराज वाली के पुत्र सुग्रीव का नाम 'सुग्रीवः' कथं अभवत्?	'सुग्रीवः' इति नाम्नः कारणं तस्य उत्तमं ग्रीवावैशिष्ट्यं वर्तते	वालिना दत्तत्वाद्	सुग्रीवः तस्य पिता वानरराजः वालीः	सुग्रीवः नामकः कपिः रामायणस्य प्रमुखः पात्रं अस्ति तस्य नाम 'सुग्रीवः' इति तस्य सुन्दरं ग्रीवां (गर्दभं) सूचयति सुग्रीवस्य ग्रीवा सुन्दरं आ
192	कुशस्य च लवस्य नाम 'कुश:' तथा 'लव:' कथं अभवत्?	महर्षिः वाल्मीकिः कुशानां मुष्टिं तथा तेषां लवं स्वीकृत्य द्वयोः बालकयोः भूतबाधायाः निवारणाय रक्षाविधेः उपदेशं कृतवान् अतः		कुशस्य च लवस्य नाम 'कुश:' तथा 'लव:' कथं अभवत्? - कुशस्य च लवस्य नाम 'कुश:' तथा 'लव:' कथं अभवत्? - कुशस्य च लवस	"नामकुशस्य लवस्य च नामकरणे कथानुसारं 'कुश' तथा 'लव' नामकरणस्य कारणानि निम्नरूपेण सन्ति -

वाल्मीकि रामायणस्य अनुसारं, सीतामाता वनवासाद् पश्चात"	देवराज इंद्रस्य कन्यायाः उषायाः चरणयोः एकेन जलधरे राम राजाय	कुशस्य नाम 'कुश:' तस्य जन्मं कुश-वनात् अभवत्, लवस्य नाम 'लव:' तस्य जन्मं लव-वनात् अभवत्	वाल्मीकि मुनि द्वारा सृजित
193	गङ्गा 'जाह्नवी' इति कथं उच्यते?	जह्नुऋषेः जङ्घातः उत्पन्ना अतः		गंगा नदीच्या पाण्यातील स्नान करून मोक्ष मिळतो	"जाह्नवी गङ्गायाः अपरं नाम अस्ति
जह्नोर् ऋषेः पुत्री अस्ति गङ्गा 
तस्य अपत्यम् इति जाह्नवी इति कथ्यते"	वाल्मीकिकृते रामायणे	गङ्गायाः प्रवाहात्	भागीरथस्य तपस्यया गङ्गाया अवतरिते, जह्नु ऋषेः आश्रमं गङ्गा प्रविष्टा आसीत् जह्नु ऋषिः गङ्गां पिबति, किन्तु भागीरथस्य प्रार्थनया गङ
194	रामायणे कति काण्डाः सन्ति?	सप्त		सात	षट्	सप्तः	सप्त	सप्त
195	रामायणमाहात्म्ये कति अध्यायाः सन्ति?	पञ्च		रामायणमाहात्म्यात ७०,००० अध्याये आहेत	शत एक (१००) अध्यायाः	एकशत्	सप्तदश	सप्तदश
196	रामायणे कति सर्गाः सन्ति?	पञ्चशतम्		सात	श्रीमद्रामायणे २४००० सर्गाः सन्ति	सन्ति	कुल ७ सर्गाः सन्ति	सप्ततिः
197	रामायणे कति श्लोकाः विरचिताः सन्ति?	चतुर्विशतिसहस्रम्		रामायणात ५०,००० श्लोके आहेत	रामायणे २४,००० श्लोकाः विरचिताः सन्ति	सप्तशतं	२४,०००	चतुर्सहस्राणि
198	लक्ष्मणः कति वर्षाणि यावत् निद्रां त्यक्तवान्, येन सः मेघनादस्य वधं कर्तुं शक्नुयात्?	द्वादश		चतुर्दश वर्षान	चतुर्दश (14) वर्षाणि	एकवर्षाणि	दश वर्षाणि	चतुर्दश
199	लङ्कां प्रति गमनाय समुद्रे निर्मितस्य सेतोः दैर्घं कियत् आसीत्?	शतं योजनानि		रामायणे उल्लेखिते प्रमाणे लङ्कां प्रति गमनाय समुद्रे निर्मितस्य सेतोः दैर्घ्यं १०० योजनांचे आसीत	Yojan shta	एकः योजनः	सीता युज्यते	शतयोजनम्
200	लक्ष्मणः एकस्मिन्नवसरे कति बाणान् विस्रष्टुं समर्थः?	पञ्चशतम्		अष्टदश बाणान्	चत्वारि लक्षाणि	सप्तबाणान्	दश बाणान्	लक्ष्मणः एकस्मिन्नवसरे सहस्रं बाणान् विस्रष्टुं समर्थः
201	श्रीरामः समुद्रात् मार्गं दातुं विनयं कुर्वन् तस्य तटे कियन्ति दिनानि प्रतीक्षमाणः आसीत्?	त्रीणि		चौदा	चत्वारि	एकः	तीन दिनानि	त्रयः
202	लंकानगरी कियत् दूरं यावत् विस्तृता आसीत्?	दशयोजनविस्तृतः विंशतियोजनदीर्घः		लंकानगरी 100 योजना विस्तृता आसीत्	"यो योजनानां सहस्रद्वयं द्विशतं च विस्तारः लङ्कायाः, न तु विशाला, अपितु समृद्धासीत् 
 
 
 The Ramayana describes Lanka as being two hundred yojanas in length"	अयोध्यायां	पञ्चसोऽयुतद्वयं	दशयोजनम्
203	मन्दोदरीम् व्यतिरिक्ताः रावणस्य अन्याः कियत्यः पत्न्यः आसन्?	सहस्रम्		प्रज्ञा	तिन	त्रयः	एकादश	त्रयः
204	राजा जनकः स्वकन्याभ्यं (सीता-उर्मीलाभ्याम्) दायविवाहे परिचारिकारूपेण कियत्यः कन्याः अदात्?	प्रत्येकस्यै शतमं		अनेक	द्वे	एकः	द्वौ	कियत्यः
