ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct
207	रावणस्य कियन्तः भ्रातरः आसन्?	त्रयः		दश	"रावणस्य त्रयः भ्रातरः आसन्

ते च - कुम्भकर्णः, विभीषणः, शूर्पणखा च"	त्रयः	दश	रावणस्य सहस्र भ्रातरः आसन्
208	महर्षेः विश्वामित्रस्य कियन्तः पुत्राः आसन्?	शतम्		पञ्च	महर्षेः विश्वामित्रस्य शतं पुत्राः आसन्	शतम् पुराणेषु उक्तं यत् तस्य शतं पुत्राः आसन्	शतम्	एकशतं
209	कार्तवीर्यार्जुनस्य कियन्तः भुजाः सन्ति इति मन्यन्ते?	सहस्रम्		षोडश	कार्तवीर्यार्जुनस्य सहस्रं भुजाः सन्ति इति प्रसिद्धम् रामायणे च अन्येषु पुराणेष	सहस्रम्  कार्तवीर्यस्य नाम एव सहस्रबाहुः इति	सहस्र	सहस्र
210	श्रीरामस्य कियन्तः भ्रातरः आसन्?	चत्वारः		त्रयः	श्रीरामस्य त्रयः भ्रातरः आसन्	त्रयः   लक्ष्मण-भरत-शत्रुघ्नाः च	चत्वारः	त्रयः
211	राज्ञ: दशरथस्य कति पत्नय: आसन् ?	तिस्रः		त्रय:	राज्ञः दशरथस्य त्रयः पत्न्यः आसन्	त्रयः	तिस्र:	तिस्र:
212	राक्षसराजस्य रावणस्य कति शिरांसि आसन् ?	दश		दश	रावणस्य दश शिरांसि आसन्	दश  रावणः ब्रह्मदेवात् वरं प्राप्य दशशिराः अभवत्	दश	दश
213	कौसल्यायाः कति पुत्राः आसन् ?	एकः		एकः	"एकः

रामायणे वर्णितं यत् कौसल्यायाः एकः एव पुत्रः आसीत् - श्रीरामः"	एकः  रामः एव कौसल्यायाः पुत्रः आसीत्	एकः	एकः
214	सुमित्रायाः कति पुत्राः आसन् ?	द्वौ		द्वौ	"द्वौ

सुमित्रायाः द्वौ पुत्रौ आस्ताम् - लक्ष्मणः शत्रुघ्नश्च"	द्वौ  लक्ष्मणः शत्रुघ्नश्च	द्वौ	द्वौ
215	कैकेय्याः कति पुत्राः आसन् ?	एकः		त्रयः	"एकः

कैकेय्याः एकः एव पुत्रः आसीत् - भरतः"	एकः  भरतः	एकः	एकः
216	कुशनाभस्य कति कन्याः आसन् ?	शतम्		पञ्चाशत्	कुशनाभस्य पञ्चाशत् कन्याः आसन्	चतस्रः	तिस्रः	सप्तशतं
217	श्रीरामस्य कति पुत्राः आसन् ?	द्वौ		द्वौ	श्रीरामस्य द्वौ पुत्रौ आस्ताम्	द्वौ	लवकुशौ	द्वौ
218	राज्ञ: जनकस्य कति भ्रातर: आसन् ?	द्वौ		चत्वार:	"राज्ञः जनकस्य एकः भ्राता आसीत्

तस्य नाम कुशध्वजः"	द्वौ	चत्वारः	द्वौ
219	रामायणस्य बालकाण्डे कति सर्गाः सन्ति?	सप्तसप्ततिः		पञ्चषष्टिः	रामायणस्य बालकाण्डे सप्तसप्ततिः (77) सर्गाः सन्ति	**एकोनसप्ततिः**   बालकाण्डं रामायणस्य प्रथमं सोपानम्, अतः बहूनि  वर्णनानि आवश्यकत्वात् सर्गाः अधिकाः	सप्ततिः	७७
220	रामायणस्य बालकाण्डे कति श्लोकाः सन्ति?	सप्तत्युत्तरद्विशताधिकद्विशतम्		बालकाण्डे द्विसप्ततिशतश्लोकाः (७७५) सन्ति	रामायणस्य बालकाण्डे सङ्ख्या निश्चिता नास्ति विभिन्नेषु संस्करणेषु श्लोकसङ्ख्	सप्तत्याधिकसप्तशतम् (७७०)	77	बालकाण्डे ७६ सर्गाः सन्ति तेषु ५०६ श्लोकाः सन्ति
221	ताटकायाः कति सहस्राणां गजानां सामर्थ्यं प्राप्तम् आसीत्?	सहस्रस्य		षष्टि-सहस्राणि	ताटकायाः अष्टसहस्राणां गजानां सामर्थ्यं प्राप्तम् आसीत्	दशसहस्रम् ताटकायाः दशसहस्रगजबलम् आसीत्	एक-सहस्रम्	एकादश सहस्राणां गजानां सामर्थ्यं ताटकायाः प्राप्तम् आसीत्
222	राज्ञः सगरस्य आहत्य कतिः पुत्राः आसन्?	एकाधिकषष्टीसहस्रम्		षष्टिः	राज्ञः सगरस्य एकोनषष्टिः (59) पुत्राः आसन्	षष्टिः सहस्राणि	षष्टिः	षष्टिसहस्रं
223	त्रेतायुगः आहत्य कति वर्षाणाम् अस्ति इति मन्यते?	षण्णवतिसहस्रोत्ररद्वादशलक्ष्यम्		४८००० वर्षाणाम्	त्रेतायुगस्य कालावधिः 1,296,000 वर्षाणि इति मन्यते	चतुर्लक्षत्रिंशत्सहस्राणि	अयुतद्वयम्	१२,९६,००० वर्षाणि
224	संपातेः जटायोः (गृद्ध्रः)च  कियत् दूरपर्यन्तं दृष्टिसामर्थ्यमासीत्?	शतं योजनानि		योजनशतम्	रामायणानुसारं संपातेः जटायोश्च दृष्टिसामर्थ्यं योजनशतपर्यन्तम् आसीत् एतौ गृध्	सर्वत्र   सर्वं द्रष्टुं शक्नुवन्ति स्म	शतयोजनं	एकयोजनम्
225	जाम्बवान् सुग्रीवाय कति सैनिकान् दत्तवान्?	दशकोटिः		सहस्राणि शतानि च	जाम्बवान् सुग्रीवाय कोटिं सैनिकान् दत्तवान्	चतुर्दशकोटि:  सुग्रीवस्य सैन्यबलवृद्ध्यर्थम्	चतुर्दश	एकलक्षं सैनिकान्
226	जाम्बवतः कियद्दूरपर्यन्तं उत्प्लवनसामर्थ्यम् आसीत्?	नवतिः योजनानि		नवयोजनम्	"जाम्बवतः उत्प्लवनसामर्थ्यम् अष्टयोजनपर्यन्तम् आसीत्

रामायणे वर्णितं यत्"	समुद्रं	जाम्बवतः उत्प्लवनसामर्थ्यम् सुदूरपर्यन्तम् आसीत्	अष्टसहस्रयोजनानि
227	इन्द्रजानुः (वानरः) कियत्यः वानरान् निधाय श्रीरामस्य सहाय्यार्थम् आगतः?	एकादशकोटिः		सहस्राणि	क्षमस्व, रामायणे इन्द्रजानु-नामकस्य वानरस्य विषये स्पष्टं वर्णनं न प्राप्यते वाल्	शतम्  युद्धार्थं अधिकं सैन्यं आवश्यकम् आसीत्	अनेकान्	एकलक्षं वानरान्
228	समुद्रमन्थनात् आहत्य कति रत्नानि प्राप्तानि?	चतुर्दश		चतुर्दश	चतुर्दश रत्नानि समुद्रमन्थनात् प्राप्तानि	चतुर्दश	चतुर्दश	चौदा
229	रावणस्य कतिः भुजाः आसन्?	विंशतिः		दश	रावणस्य दश भुजाः आसन् रावणः दशमुखः दशग्रीवः इति च प्रसिद्धः अतः तस्य दश शिरांसि	दश  रावणः दशग्रीवः इति प्रसिद्धः	दश	दश
230	समुद्रमन्थनसमये आहत्य कति अप्सरसः उत्पन्नाः?	षट्कोटिः		षट्	द्वित्रिंशत्	षट्   देवानां  कृते	१४	समुद्रमन्थनसमये वरुणदेवतायाः अनुमत्या चतुर्दश अप्सरसः उत्पन्नाः
231	परशुरामः आहत्य कतिवारं क्षत्रियाणां संहारं कृतवान् ?	एकविंशतिः		सप्तवारम्	परशुरामः एकविंशतिवारं क्षत्रियाणां संहारं कृतवान्		एकविंशतिः	एकविंशतिवारम्
232	शिवस्य जटातः मुक्त्वा गङ्गायाः कियत्यः धाराः अभवन् ?	सप्त		सप्त	सप्त	त्रयः	सप्त	सप्त
233	वसूनां आहत्य कियती संख्या गण्यते ?	अष्टौ		अष्ट	अष्टौ वसवः अष्ट देवताः सन्ति तेषां नामानि - धर, ध्रुव, सोम, आप, अनिल, अनल, प्र	अष्टौ	शतम्	आठ
234	कुबेरसमतयाः कामनया रावणः किति सहस्रवर्षाणां  तपः अचरत् ?	दशसहस्रस्य		सहस्रवर्षाणाम्	रावणः दशसहस्रवर्षाणां तपः अचरत् कुबेरसमतायाः कामनया	दश  इन्द्रपदं प्राप्य अमरत्वं च कामयमानः रावणः दशसहस्रवर्षाणि तपः अचरत्	दश	दश
235	श्रीरामस्य सहायतायै हनुमता सह कियन्तः वानराः आगच्छन् ?	दशवृन्दम्		अनेकाः	रामस्य सहायतायै हनुमता सह अष्टादशाक्षौहिण्यः वानराः आगच्छन्	लक्षाः  हनुमता सह लक्षशः वानराः आगच्छन् श्रीरामस्य सहायतायै	वनारः	दशलक्षाः
236	राज्ञः सगरस्य कति राज्ञः आसन् ?	द्वे		षष्टिः	राज्ञः सगरस्य षष्टिः सहस्राणि पुत्राः आसन्	षष्टिः सहस्राणि पुत्रकामेन तपसा प्राप्तवान्	सहस्राणि	षष्टिसहस्रं राज्ञः आसन्
237	राज्ञः सगरस्य कियतः पुत्रान् कपिलमुनिः भस्मीकृतवान् आसीत्?	षष्टिसहस्रम्		षष्टिः	"षष्टिसहस्रम्

सगर राज्ञः षष्टि सहस्र (60,000) पुत्राः कपिलमुनिना भस्मीकृताः आस"	"षष्टिसहस्राणि 

सगरस्य पुत्राः कपिलमुनेः तपोभङ्गं कृतवन्तः, अतः क्रोधितः मुनिः तान् भस्मीकृतवान्"	षष्टिः	षष्टिसहस्रं पुत्रान्
238	प्रजापतीनां संख्या आहत्य कियती अस्ति?	दश		चतुः	रामायणे प्रजापतीनां संख्या सप्त अस्ति	दश  ब्रह्मणः दश मानसाः पुत्राः	सप्त	सप्त
239	वानरयूथपतिः गवाक्षः कियतीं सेनां नीत्वा सुग्रीवस्य समीपं आयातः ?	एकवृन्दम्		शतसहस्रम्	अनेन प्रश्नेन गवाक्षस्य सेनामात्रा पृच्छ्यते रामायणानुसारं गवाक्षः कोटिप्रमा	चतुर्लक्षाम्	दशसहस्राणि	षष्टिकोटि-वानर-सेनाम्
240	अश्विनीकुमाराणां संख्या कियती अस्ति ?	द्वौ		द्वौ	अश्विनीकुमाराणां संख्या द्वौ अस्ति	"**द्वौ** |
कारणं  -  अश्विनीकुमारौ  द्वौ  आस्ताम् |"	द्वौ	द्वौ
241	माता कौसल्या कियतां मासानां गर्भधारणं कृत्वा श्रीरामं प्रसूतवती ?	द्वादश		नव	"द्वादश मासानाम्

कौसल्या देवी द्वादश मासान् गर्भं धारयित्वा श्रीरामं प्रसूतवती इति रामायण"	दश  दशमासे पुत्रोऽभूत्	अभिप्रायो न ज्ञायते	षण्मासानां
242	त्रिशिराराक्षसस्य आगत्य कियन्ति शिरांसि आसन् ?	त्रीणि		त्रीणि	त्रिशिराराक्षसस्य नाम्नि एव उत्तरम् अस्ति त्रिशिरा इति नाम्ना स्पष्टं भवति यत	त्रीणि	त्रीणि	त्रीणि
243	धूम्रः (ऋक्षः) कियतीं सेनां नीत्वा श्रीरामस्य सहायार्थं प्राप्तः ?	विंशतिवृन्दम्		दशसहस्राणि	धूम्रः (ऋक्षः) कोटि-संख्यकां सेनां नीत्वा श्रीरामस्य सहायार्थं प्राप्तः	"**अष्टाशीतिलक्षाः**  

धूम्रः वानर-सैनिकानाम् अष्टाशीति लक्षाः (८८,००,०००) नीत्वा श्रीरामस्य सहायार्थम् आगतवान् |"	एकेनैव पदेन	धूम्रः (ऋक्षः) दशसहस्र-सेनां नीत्वा श्रीरामस्य सहायार्थं प्राप्तः
244	लोकपालाः कियन्तः सन्ति ?	अष्टौ		चत्वारः	"अष्टौ

लोकपालाः अष्टौ सन्ति ते च -
1 इन्द्रः (पूर्व)
2 अग्निः (आग्नेय)"	अष्टौ  रक्षाणार्थम्	आठ	षट्
245	नलः कियतीं सेनां नीत्वा श्रीरामस्य सहायार्थमागच्छत्?	शतोत्तरैकसहस्राधिकैकवृन्दम्		अयं प्रश्नः स्पष्टं नास्ति नलः यत्र एषः नलः, वानरः, नलः वा नलः, निषधराजः न स्पष्टं अस्ति तथापि, यदि वानरः नलः तु, सेनायाः	क्षमस्व, रामायणे नलस्य सेनायाः विषये स्पष्टं विवरणं न प्राप्यते नलः वानरराजस्य सुग्र	वानरलक्षाम्	नलः महतीं सेनां नीत्वा श्रीरामस्य सहायार्थमागच्छत्	नलः एकाक्षौहिणीं सेनां नीत्वा श्रीरामस्य सहायार्थमागच्छत्
246	अश्वमेधयज्ञः कियता कालेन समाप्तो भवति?	एकवर्षे		वर्षेण	"अश्वमेधयज्ञः सामान्यतया एकेन वर्षेण समाप्तो भवति

अश्वमेधयज्ञस्य प्रक्रिया"	त्रिभिः वर्षैः	वर्षेण	एकवर्षेण
247	सप्तर्षीणाम् संख्या कियती ?	सप्त		सप्त	सप्त	सप्त	सप्त	सप्त
248	वानरयूथपतिः तारः कियतः वानरान् नीत्वा रामस्य सहायार्थं प्राप्तः?	पञ्चकोटिः		सहस्राणि	क्षमस्व, परन्तु रामायणे तारः वानरयूथपतिः न आसीत् तारा नाम्नी वानरी आसीत्, या वालिनः प	शतकोटिम् | लङ्कां प्रति गमनार्थम् एतावतां वानराणां आवश्यकता आसीत् |	अयुतम्	वानरयूथपतिः तारः कियतः वानरान् नीत्वा रामस्य सहायार्थं प्राप्तः? वानरयूथपतिः तारः कियतः वानरान् नीत्वा र
249	तानि कियन्तः अस्त्राः आसन्, यानि प्रजापतेः कृशाश्वस्य पुत्राः आसन् तथा यान् महर्षिः विश्वामित्रः श्रीरामाय अददात्?	शतम्		दश	रामायणानुसारं, प्रजापतेः कृशाश्वस्य पुत्राः ये अस्त्रास्वरूपाः आसन्, तेषां संख्या श	द्वे भार्गवाल्पायिनां भयेन	चत्वारि	दश
250	ऋषेः वसिष्ठस्य कियन्तः पुत्राः आसन् ?	शतम्		सप्त	वसिष्ठस्य शतम् पुत्राः आसन्	शतम्  वसिष्ठपुराणे तस्य वर्णनमस्ति	शतम्	शतं
251	गन्धमादनः (वानरः) एकस्मिन् उत्प्लवने कियत् दूरं गन्तुं समर्थः आसीत्?	पञ्चाशत् योजनानि		सप्तयोजनानि	गन्धमादनः एकस्मिन् उत्प्लवने दश योजनानि गन्तुं समर्थः आसीत्	सहस्रयोजनम्   वानराणां बलवत्ता प्रसिद्धा अस्ति |	सहस्रयोजनम्	एकयोजनम्
252	सुषेणः (वानरः) एकस्मिन् उत्प्लवने कियद्दूरं गन्तुं समर्थः आसीत्?	चत्वारिंशत् योजनानि		दशयोजनानि	"सुषेणः (वानरः) एकस्मिन् उत्प्लवने शत योजनानि गन्तुं समर्थः आसीत्

वाल्मीकि रामाय"	"**त्रीणि योजनानि**  

एकस्मिन् उत्प्लवने सुषेणः शतयोजनं गन्तुं शक्तः आसीत्"	योजनशतम्	सुषेणः (वानरः) एकस्मिन् उत्प्लवने एकयोजनं गन्तुं समर्थः आसीत्
253	अङ्गदः एकस्मिन् उत्प्लवने कियद्दूरं गन्तुं समर्थः आसीत्?	शतं योजनानि		शतयोजनम्	अङ्गदः एकस्मिन् उत्प्लवने सप्तद्वीपान् गन्तुं समर्थः आसीत् रामायणे वर्णितम् अ	सहस्रयोजनम्   यतः हनुमत् प्रेरितः आसीत्	शतयोजनम्	अङ्गदः एकस्मिन् उत्प्लवने सागरात् पारं गन्तुं समर्थः आसीत्
254	श्रीरामस्य सहायार्थं आगतानां गोलाङ्गूल-जातीयानां वानराणां संख्या कियती आसीत्?	एककोटिः		असंख्यकः	रामायणे श्रीरामस्य सहायार्थं आगतानां वानराणां संख्या कोटिशः उल्लिखिता अतः उत्तरम् - कोट	कोटिः  इतस्यां संख्यायां सर्वे वानराः भवन्ति, न केवलं गोलाङ्गूलाः	अनन्ता	दशलक्षं
255	रामायणानुसारं सर्वतो महती संख्या का अस्ति?	महौघः		सप्त	रामायणानुसारं सर्वतो महती संख्या वानराणाम् अस्ति रावणस्य सैन्यं परास्य रामस्य सहायतायै लक्	चतुर्दश  रावणस्य दशकण्ठ: चतुर्दशभुजौ चासीत्	रामायणानुसारं सर्वतो महती संख्या का अस्ति? दशसहस्राः	रामायणानुसारं सर्वतो महती संख्या चतुर्दश सहस्र उत्तर चतुर्दश कोटि अस्ति
256	देवताः कति वानरान् उत्पादितवन्तः?	दशकोटिः		सप्त	"देवताः चत्वारः वानरान् उत्पादितवन्तः

वालि-सुग्रीवौ इन्द्र-सूर्याभ्याम्, हनुम"	असंख्यान्	देवताः चतुर्विंशतिम्	देवताः चतुर्लक्षं वानरान् उत्पादितवन्तः
257	नक्षत्राणाम् आहत्य संख्या कियती अस्ति?	सप्तविंशतिः		सप्तर्षयः	रामायणे नक्षत्राणां संख्या सामान्यतया सप्तविंशतिः (27) उल्लिखिता अस्ति	नवविंशतिः	२७	२८
258	बिन्दुसरोवरात् निर्गत्य गङ्गायाः का धारा भगीरथस्य पृष्ठतः गतवती?	सप्तमी		अलकनन्दा	सुरधुनी	मन्दाकिनी बिन्दुसरोवरात् निर्गत्य सा भागीरथस्य पश्चात् अगच्छत् यतः भगीरथ एव गङ्गां स्वपितॄणां उद्धाराय पृथिवीम् आनयत्	तृतीया	जाह्नवी
259	राज्ञः दशरथस्य पटराज्ञ्यै कौसल्यायै विवाहसमये स्वगृहात स्त्रीधनरूपेण कति ग्रामाः प्राप्ताः?	सहस्रम्		दश	कौसल्यायाः स्त्रीधनरूपेण प्राप्तानां ग्रामाणां सङ्ख्या रामायणे स्पष्टतया न उल्ल	षट्सहस्राणि स्वर्णरथैः पुरुषैश्च सम्पन्नाः	द्वादश	द्वे सहस्रे द्वे शते
260	इन्द्रस्य उपाधिं कति अश्वमेधयज्ञैः प्राप्तुम् शक्यते?	शतम्		सहस्रशः	शक्रः (शतक्रतुः)	शतम्  शतं अश्वमेधयज्ञान् सम्पाद्य इन्द्रपदं प्राप्यते	शतैः	एकेन
261	कुशस्य कतिः पत्न्यः आसन्?	एका		एक	कुशस्य पत्नीनां विषये रामायणे स्पष्टं विवरणं न प्राप्यते तथापि, परम्परागतरूपेण एकैव पत	कुमारिक	एका	द्वे
262	लवस्य कतिः पत्न्यः आसन्?	द्वे		एक	लवस्य पत्न्याः विषये प्रामाणिकं वर्णनं रामायणे न प्राप्यते वाल्मीकि-रामायणे लवस्य वि	द्वे  उल्लेखः अस्ति यत् लवस्य द्वे पत्न्यौ आसन्	१	लवस्य एका पत्नी आसीत्
263	भरतस्य कति पुत्राः आसन्?	द्वौ		चत्वारः	भरतस्य द्वौ पुत्रौ आस्ताम् तयोः नामनी तक्षः पुष्करश्च	द्वौ	भरतस्य द्वौ पुत्रौ आसन्	भरतस्य द्वौ पुत्रौ आस्ताम् - तक्षः पुष्कलः च
264	इक्ष्वाकोः (श्रीरामस्य पूर्वजस्य) कति पुत्राः आसन्?	शतम्		सप्त	"इक्ष्वाकोः शतं पुत्राः आसन्

वाल्मीकि रामायणे बालकाण्डे प्रथमसर्गे इदं वर्ण"	शतम्   इक्ष्वाकोः शतं पुत्राः उल्लेखिताः पुराणेषु	शतम्	इक्ष्वाकोः एकशतं पुत्राः आसन्
265	विष्णोः अवतारेषु श्रीरामस्य अवतारः कतमः आसीत्?	सप्तमः		सप्तमः	"सप्तमः

श्रीरामस्य अवतारः विष्णोः सप्तमः अवतारः आसीत् परम्परागतरूपेण विष्णोः दश"	सप्तमः  रामः विष्णोः दशावतारेषु सप्तमः मन्यते	सप्तमः	श्रीरामस्य अवतारः सप्तमः आसीत्
266	रामायणानुसारं कति आदित्याः सन्ति?	द्वादश		द्वादश	रामायणानुसारं द्वादश आदित्याः सन्ति	द्वादश  सूर्यस्य द्वादश रूपाणि	द्वादश	द्वादश
267	रामायणानुसारं कति रुद्राः सन्ति?	एकादश		एकादश	रामायणानुसारं एकादश रुद्राः सन्ति	एकदश  एकादश रुद्राः शिवाय पर्यायाः सन्ति	अष्टौ	एकादश
268	राज्ञः दशरथस्य आहत्य कति मन्त्रिणः आसन्?	अष्टौ		अष्ट	दशरथस्य अष्टौ मन्त्रिणः आसन्	अष्टौ  दशरथस्य अष्टौ मुख्यमन्त्रिणः आसन्	अष्टौ	षड्-सप्त-आठ
269	दिवसे कति मुहूर्ताः व्यतीताः भवन्ति?	पञ्चदश		त्रयस्त्रिंशत्	दिवसे त्रिंशत् (30) मुहूर्ताः व्यतीताः भवन्ति	त्रिंशत्  पञ्चदश मुहूर्ताः दिनं, पञ्चदश रात्रिः च	त्रयस्त्रिंशत्	दिवसे त्रिंशत् मुहूर्ताः व्यतीताः भवन्ति
270	श्रीरामः खरेण सह युद्धे तस्य कति सैनिकान् नाशितवान्?	चतुर्दशसहस्रम्		अशीतिः	श्रीरामः खरेण सह युद्धे चतुर्दश सहस्राणि राक्षसान् नाशितवान्	चतुर्दशसहस्रम्	चतुर्दशसहस्राणि	द्वादशसहस्राणि
271	मल्लयुद्धे कति प्रकारकाणि मण्डलानि निर्दिष्टानि सन्ति?	चत्वारि		षट्	मल्लयुद्धे नव प्रकारकाणि मण्डलानि निर्दिष्टानि सन्ति	त्रीणि	चत्वारि	चत्वारि
272	धनुर्वेदस्य कति भेदा: स्वीक्रियन्ते?	चत्वारः		चत्वारः	"धनुर्वेदस्य चत्वारः भेदाः स्वीक्रियन्ते:

1 यायुधम्
2 धानुष्कम्
3 बाणम्"	चत्वारः  धनुर्वेदस्य चत्वारो भेदाः स्वीकृताः	चत्वारः	चत्वारः
273	हे वृक्षाः! हे लताः  हे पुष्पाणि! हे मृगाः, पक्षिणः! किं यूयं सीतां दृष्टवन्तः? यदि दृष्टवन्तः तर्हि वक्तुमर्हथ किं सा कुत्र अस्ति?' एषः प्रश्नः कस्य ?	श्रीरामस्य		रामस्य	"एषः प्रश्नः रामस्य

रामः वनवासकाले सीतायाः अपहरणानन्तरं तां मार्गमाणः वृक्षान्, लता"	"**रामस्य** 

**रामः दुःखितः सीतां न प्राप्य वने सर्वत्र पृच्छति**"	रामस्य	रामस्य
274	हे श्रीराम! अहं किम् अपराधं कृतवान् यत् माम् इत्थं मारितवन्? यदि अकथयिष्यत्  तर्हि अहं रावणम् भवतः चरणयोः अपातयिष्यं, श्रीरामं प्रति एवं कः उक्तवान्?	वली		विभीषणः	"वालिः

वालिः एव श्रीरामं प्रति एवम् उक्तवान् युद्धे श्रीरामेण मारितः वालिः मरणकाले एत"	वाली  रावणेन मित्रलाभेन धोका भवतः कृतः	रावणः	वाली
275	हे लक्ष्मण! अस्माभिः त्रिभ्यः दिवसेभ्यः एष समुद्रः मार्गं ददातु इति प्रार्थ्यते; किन्तु स न स्वीकुरुते। अहं एकेन बाणेन एनं शोषयिष्यामि; यतः बिना भयेन प्रीतिर्न भवति।' एतानि वाक्यानि कस्य?	श्रीरामस्य		रामस्य	रामस्य	रामस्य यतः सीतां विना तस्य भयं प्रीतिं च बाधते	रामस्य	श्रीरामस्य
276	हे मित्र जाम्बवन्! त्वं तावन्तं कालपर्यन्तं जीविष्यसि यावत् प्रलयः कलियुगः च न आगच्छेत् ।' जाम्बवते एतत् आशीर्वादं कः दत्तवान्?	श्रीरामः		रामः	श्रीरामः	"**श्रीरामः** 

रामः जाम्बवते तं दीर्घायुष्य-वरं दत्तवान् यतः तस्य भक्तिः, शौर्यं च प्रशंसनीयमासीत्"	रामः	श्रीरामः
277	यदि अहं अज्ञास्यं यत् इत्थं मया अनुजस्य वियोगः सहनीयः भविष्यति तर्हि अहं पितुः आदेशं न अन्वसरिष्यम्।' एष विलापः कस्य?	श्रीरामस्य		रामस्य	"एष विलापः रामस्य

रामः वनवासकाले लक्ष्मणवियोगानन्तरं विलपति यत् यदि ज्ञातं स्यात् य"	श्रीरामस्य  पितुः आदेशानुसरणे धर्मबुद्धिः कारणम्	रामस्य	रामस्य
278	हे श्रीराम! जानक्याः सीताया: आचरणं सर्वथा परिशुद्धमेव। पापं एतस्याः स्पर्शम् अपि न कृतवत्। अहं सहस्रवर्षाणि घोरं तपः अचरम्। यदि सीतायां कश्चन दोषः अस्ति तर्हि अहम् अस्य तपसः फलं न प्राप्नुयाम्।' एषा घोषणा केन कृता?	वाल्मीकिना		अग्निना	अगस्त्येन	**अग्निना**  यतः सीतायाः पवित्रतां साधयितुम् अग्निदेवः एवम् उक्तवान् |	अगस्त्येन	अग्निदेवेन
279	रावण! यथा मम पादं त्वं गृहीतवान् तथैव यदि श्रीरामस्य पादं अग्रहीष्यत् तर्हि तव कल्याणं अभविष्यत्।' रावणं प्रति एवं कः अपहसितवान्?	अङ्गदः		विभीषणः	विभीषणः	"**हनुमान्** 

यतो हनुमान् रावणं प्रति उक्तवान् यत् यदि सः सीतायाः अपहरणस्य स्थाने रामस्य पादौ गृहीतवान् तर्हि तस्य कल्याणं अभविष्यत् इति"	विभीषणः	हनुमान्
280	हे मातः पृथिवी! यदि श्रीरामात् अन्यस्य कस्यचन अपि मया स्वप्ने अपि विचारः कृतः भवेत् तर्हि त्वम् विष्फोटतु माम् गृहीत्वा क्रोडे स्थापयतु।' पृथिवीं प्रति एषा प्रार्थना केन कृता?	सीतया		सीतया	सीतया		सीतया	सीतया
281	हे कुलघातिनि कैकेयि! त्वं श्रीरामं वनं संप्रेष्य महापातकं कृतवती। त्वं मम पितृघातिनी असि। त्वं मामपि पापभागिनं कृतवान्। त्वं मातृसंज्ञाया योग्या नास्ति।' एते शब्दाः कस्य?	भरतस्य		भरतस्य	भरतस्य	"**दशरथस्य** 

कैकेय्याः दुष्कृत्यै क्रुद्धः दुःखितश्च दशरथः एवम् उक्तवान्"	भरतस्य	एते शब्दाः भरतस्य
282	रावणः यदि रसातलेऽपि गुहेत पितामहस्य ब्रह्मणः सविधे वा गच्छेत्, तथापि स मम हस्तेभ्यः न रक्षितः भविष्यति।' एते उद्गाराः कस्य?	श्रीरामस्य		रामस्य	एते उद्गाराः रामस्य	"**हनुमतः**

**कथम्?**

समुद्रं लङ्घित्वा लङ्कां प्राप्य हनुमान् एवम् उक्तवान् रावणस्य दुर्मदं शमयितुम्"	हनुमतः	श्रीरामस्य
283	यदि अद्य साक्षात् शिवः अपि मेघनादस्य रक्षणाय आगच्छेत्, तथापि अहं प्रतिजाने  यत् तं जीवितं न त्यक्ष्यामि।' एषः उद्गारः कस्य आसीत्?	लक्ष्मणस्य		लक्ष्मणस्य	लक्ष्मणस्य	"**रामस्य** 

**कथम्?**  अत्यन्तं क्रुद्धः रामः  कुम्भकर्णं निहत्य मेघनादं हन्तुम् उद्यतः आसीत् |"	लक्ष्मणस्य	एषः उद्गारः इन्द्रजितः आसीत्
284	अहं स्वभ्रातृणां शपथं कृत्वा कथयामि युध्ये पुत्रैः भृत्यजनैः बन्धुभिः च सह रावणं संहरिष्यामि।' एषा प्रतिज्ञा कस्य आसीत्?	श्रीरामस्य		विभीषणस्य	रामस्य	**सुग्रीवस्य**   सुग्रीवः रामं प्रति शपथं कृत्वा स्वसैन्यसहितं युद्धे योद्धव्यमिति उक्तवान्	विभीषणस्य	रामस्य
285	हे राम! त्वं शिवधनुः भग्नं कृतवान्। तं समाचारं श्रुत्वा अहं अन्यं उत्तमं धनुः संगृह्य त्वत्समीपं आगतोऽस्मि, यस्मिन् त्वं बाणं आरोपय।' श्रीरामाय एवं कः उक्तवान्?	परशुरामः		परशुरामः	परशुरामः	जनकः   यतः सीतास्वयंवरस्य आयोजनं जनकेन कृतम् आसीत्	परशुरामः	परशुरामः
286	हे रघुनन्दन! अहम् एकसहस्रवर्षाणि उपवासं कृतवान्। अद्य मम तस्य व्रतस्य समाप्तिदिनम् अस्ति, अतः अस्मिन् काले भवतः समीपे यत् अन्नं अस्ति तत् एव अहं ग्रहीष्यामि।' श्रीरामं प्रति एवं कः उक्तवान्?	दुर्वासाः		शबरी	जटायुः	"**कबन्धः**

**कथम्?** 

सः रावणेन शप्तः आसीत् येन तस्य शिरः,पादौ च नष्टौ कबन्धः केवलं  भुजाभ्याम् एव जीवति स्म तस्य भ"	एवम् उक्तवान् सुबाहुः	शबरी
