ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
65	...... तत् नेत्रयोः परं हितम्। कस्य विषये उक्तम् अस्ति?	रसाञ्जनस्य	मुद्गस्य / रसाञ्जनस्य / गृञ्जनस्य / आमलकस्य	आमलकस्य	आमलकस्य	आमलकस्य	"**आमलकस्य** 

नेत्ररोगेषु आमलकस्य विशेषेण उपयोगः तस्य हितकारकत्वात्"	रसाञ्जनस्य	आमलकस्य	नेत्रयोः परं हितम् यः विषयः उक्तः अस्ति, तत् गृञ्जनस्य विष	## आमलकस्य	रसाञ्जनस्य	आमलकस्य
66	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च कस्य पर्यायाः सन्ति?	रसाञ्जनस्य	रसाञ्जनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	शिलाजीतः	रसाञ्जनस्य	हरिद्रायाः	**रसाञ्जनस्य**	शिलाजीतः	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च शिलाजीतस्य पर्यायाः सन्ति	तार्क्ष्यशैलं = शिलाजीतः, रसगर्भः = मुक्ताशुक्त्याः, तार्क्ष्य	रसाञ्जनम्	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च हरिद्रायाः पर्यायाः सन्ति	"तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च पर्यायाः निम्नलिखिताः सन्ति:

1 रसाञ्जनम्
2 हरिद्रा
3 शिलाजीतः
4"
67	बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	सोमराज्याः / कालमेष्याः / शशिलेखायाः / सर्वेषाम्	कालमेष्याः	सर्वेषाम्	बाकुची शशिलेखायाः पर्यायः अस्ति	**सर्वेषाम्** | बाकुची इति नाम सोमराज्याः, कालमेष्याः, शशिलेखायाः च पर्यायः अस्ति |	सर्वेषाम्	बाकुची इति शब्दस्य पर्यायः शशिलेखायाः अस्ति	"बाकुची शब्दस्य पर्यायः ""सर्वेषाम्"" इति अस्ति"	सर्वेषाम्	बाकुची कालमेष्याः पर्यायः अस्ति	"बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति? सोमराज्याः

उत्तरम्: सोमराज्याः"
68	बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य	कालमेष्याः	अवल्गुजस्य	बाकुची अवल्गुजस्य पर्यायः नास्ति	"**अवल्गुजस्य** 

बकुची अवल्गुजस्य पर्यायः नास्ति"	"अवल्गुजस्य

बाकुची पूतिफल्याः, कालमेष्याः, भद्रवत्याः च पर्यायवाची शब्दाः सन्ति"	बाकुची-पर्यायः पूतिफल्यः अस्ति	भद्रवत्याः एव पर्यायः नास्ति अन्ये शब्दाः सन्ति	अवल्गुजस्य	अवल्गुजस्य	"अधोलिखितेषु कस्य पर्यायः नास्ति? पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य

उत्तरम्: पूतिफल्याः"
69	मेषलोचनः अधोलिखितेषु कस्य पर्यायः अस्ति?	चक्रमर्दस्य	कुष्ठस्य/ चक्रमर्दस्य / कासमर्दस्य / मेषश्रृङ्ग्याः	कासमर्दस्य	कासमर्दस्य	मेषश्रृङ्ग्याः	**कुष्ठस्य**	मेषश्रृङ्ग्याः	मेषलोचनः कुष्ठस्य पर्यायः अस्ति	मेषलोचनः अर्कः इति पर्यायः अस्ति अर्कः एकस्मिन् लोचने सर्व	मेषलोचनस्य पर्यायः मेषश्रृङ्गी एव	मेषलोचनः कुष्ठस्य पर्यायः अस्ति	मेषलोचनः कुष्ठस्य पर्यायः अस्ति
70	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	प्रपुन्नाटस्य / द्रद्रुघ्नस्य / एडगजस्य / सर्वेषाम्	प्रपुन्नाटस्य	प्रपुन्नाटस्य	सर्वेषाम्	**सर्वेषाम्** | चक्रमर्दः प्रपुन्नाटस्य, द्रद्रुघ्नस्य, एडगजस्य च  पर्यायः अस्ति |	सर्वेषाम्	चक्रमर्दः प्रपुन्नाटस्य पर्यायः अस्ति	चक्रमर्दः अधोलिखितेषु सर्वेषाम् पर्यायः अस्ति चक्रमर्दः अधोल	सर्वेषाम्	चक्रमर्दः प्रपुन्नाटस्य पर्यायः अस्ति	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति? एडगजस्य
71	अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति?	सोमराज्याः	विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः	विश्वायाः	घुणवल्लभायाः	सोमराज्यायाः	"**घुणवल्लभायाः** 

घुणवल्लभा विषस्य  पर्यायः न,  अपितु  विषमुष्टेः"	शुक्लकन्दायाः	अतिविषा विश्वायाः पर्यायः न अस्ति	विश्वायाः एव अतिविषा अधोलिखितेषु पर्यायः नास्ति	अतिविषः शुक्लकन्दायाः पर्यायः नास्ति	विश्वायाः	"अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति? विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः

विश्वायाः ="
72	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्रृंग्याः / अरुणयाः / भङ्गुरायाः / सर्वेषाम्	श्रृंग्याः	सर्वेषाम्	अतिविषा भङ्गुरायाः पर्यायः अस्ति	"**भङ्गुरायाः** 

भङ्गुरा अतिविषायाः पर्यायः अस्ति | श्रृङ्गा शतावरीविशेषस्य, अरुणा च पिप्पलीविशेषस्य पर्यायौ स्तः |"	श्रृंग्याः	अतिविषस्य पर्यायः श्रृंग्याः अस्ति	विषयस्य प्रकारेऽनुसारिणः अरुणयाः पर्यायः अस्ति अरुणः विष	सर्वेषाम्	अतिविषा भङ्गुरायाः पर्यायः अस्ति	"अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति? श्रृंग्याः

अतिविषा = श्रृंग्याः"
73	भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः?	२; द्वौ		द्वौ	चत्वारः	चत्वारः	त्रयः  लोध्रस्य कषाय-मधुर-तिक्त  रसत्वात्	भावप्रकाशेन लोध्रस्य द्वौ प्रकारौ उक्तौ	भावप्रकाशे लोध्रस्य त्रिविधाः प्रकाराः उक्ताः - लोध्र, लोध्रक, चूर्णलोध्र	लोध्रस्य भावप्रकाशे द्वादश प्रकाराः उक्ताः भवन्ति ते च सन्धिविग्र	पञ्च	त्रीणि	लोध्र-वृक्षस्य भावप्रकाशेन पञ्च प्रकाराः उक्ताः
74	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	लोध्रस्य	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	अर्जुनस्य	खदिरस्य	लोध्रस्य	**अर्जुनस्य**	लोध्रस्य	स्थूलवल्कलः अर्जुनस्य पर्यायः अस्ति	खदिरस्य	अर्जुनस्य	अर्जुनस्य	अर्जुनस्य
75	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?	पट्टिका-लोध्रस्य; पट्टिकालोध्रस्य		ताम्बूलस्य	तिलः	क्रमुकादीनां पर्यायपदानि क्रमशः जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च सन्ति	"**व्रण**स्य 

**कथम्?** एते पदार्थाः व्रणरोपणार्थं उपयुज्यन्ते"	ताम्बूलस्य	एते सर्वे औषधीनां पर्यायाः सन्ति, विशेषतः आयुर्वेदे उपयोगी:	एते संस्कृते शब्दाः वस्त्रपत्रस्य पर्यायाः अस्ति वस्त्रपत्रं अर्थ	गुडूची	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च क्रमुकस्य पर्यायाः सन्ति	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति? - जीर्णपत्रं = त्रिकटु, बृहत्पत्रं = त्रिकट
76	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	म्लेच्छकन्दस्य	लशुनं म्लेच्छकन्दस्य पर्यायः अस्ति	लशुनं अधस्तनेषु सर्वेषाम् पर्यायः अस्ति	"**सर्वेषाम्** 

लशुनं उग्रगन्धत्वात्, महौषधत्वात्, च म्लेच्छकन्दत्वात् च एतेषु सर्वेषु पर्यायत्वेन व्यवह्रियते"	"सर्वेषाम्

लशुनम् उग्रगन्धस्य, महौषधस्य, तथा म्लेच्छकन्दस्य पर्यायः अस्ति"	लशुनं उग्रगन्धस्य पर्यायः अस्ति	लशुनं उग्रगन्धस्य पर्यायः अस्ति लशुनं उग्रगन्धं विकीर्णं व	सर्वेषाम्	लशुनं अधस्तनेषु उग्रगन्धस्य पर्यायः अस्ति	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति? म्लेच्छकन्दस्य
77	लशुने कः रसः न अस्ति?	अम्लः; आम्लः		लवणः	लशुने मधुर-रसः न अस्ति	मधुर	कटुः  लशुनस्य कटुरसः प्रसिद्धः	"लशुने मधुरः रसः न अस्ति

लशुनस्य प्रमुखाः रसाः भवन्ति - कटुः, तीक्ष्णः, उष्"	लशुने कृत्रिमरसः न अस्ति	लशुने कः रसः न अस्ति? नाम्ना अम्लरसः नास्ति	लशुना लवणः नास्ति	लशुने मधुर-रसः नास्ति	लशुने तिक्त रसः अस्ति
81	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	उग्रगन्धस्य	रसोनकस्य	पलाण्डुः रसोनकस्य पर्यायः अस्ति	**रसोनकस्य**	उग्रगन्धस्य	पलाण्डुः यवनेष्टस्य पर्यायः अस्ति	पलाण्डुः अरिष्टस्य पर्यायः अस्ति	रसोनकस्य	पलाण्डुः अरिष्टस्य पर्यायः अस्ति	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति? यवनेष्टस्य
82	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	दुर्गन्धस्य	सर्वेषाम्	पलाण्डुः निम्नेषु सर्वेषाम् पर्यायः अस्ति	"**सर्वेषाम्** 

पलाण्डुः मुखदूषकः, दुर्गन्धः, यवनेष्टः च भवति"	"सर्वेषाम्

पलाण्डुः (प्याज/onion) एतेषां त्रयाणामपि पर्यायः अस्ति:
1 मुखदूषकः"	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	"मुखदूषकस्य 
This is because पलाण्डुः refers to a type of onion that is said to be bad for the mouth"	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति	पलाण्डुः मुखदूषकस्य पर्यायः अस्ति
83	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	भल्लातकस्य	चित्रकस्य / भल्लातकस्य / दन्त्याः / मञ्जिष्ठायाः	चित्रकस्य	चित्रकस्य	अरूष्करः दन्त्याः पर्यायः अस्ति	मञ्जिष्ठायाः	अरूष्करः चित्रकस्य पर्यायः अस्ति	अरूष्करः चित्रकस्य पर्यायः अस्ति	अरूष्करः चित्रकस्य पर्यायः अस्ति चित्रकः एकः प्रसिद्धः औष	चित्रक: मञ्जिष्ठायाः पर्यायः अस्ति	अरूष्करः दन्त्याः पर्यायः अस्ति	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति? चित्रकस्य
84	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति?	भल्लातकस्य; भल्लातकः		अरन्दः	अग्निमुखी, क्षीरवृक्षः, शोफकृत् सर्वेऽप्येते पर्यायाः	अग्निमुखी, क्षीरवृक्षः, शोफकृत् एरंडस्य पर्यायाः सन्ति	"**अर्कस्य** 

अर्कस्य अग्निमुखी, क्षीरवृक्षः, शोफकृत् इति पर्यायाः सन्ति यतः अस्य पत्राणि तीक्ष्णगुणयुक्तानि, क्षीरयुक्तः, शो"	अग्निमुखी, क्षीरवृक्षः, शोफकृत् इत्येते स्नुहीवृक्षस्य पर्यायाः सन्ति स्नु	"अग्निमुखी, क्षीरवृक्षः, शोफकृत् इत्येषां सर्वेषां पर्यायः ""पलाशः"" अस्ति"	अग्निमुखी = अग्निपर्णिका, क्षीरवृक्षः = न्यग्रोधः, शोफकृ	सर्वरोगहरः	अग्निमुखी, क्षीरवृक्षः, शोफकृत् इत्येते पर्यायाः क्षीरिवृक्षस्य सन्ति	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति? - पिप्पली, पिप्पली, पिप्पली
85	भल्लातकस्य कः भागः केश्यः (केशेभ्यः हितकरः) अस्ति?	वृन्तम्		तैलम्	फलम्	तैलम्	तैलम्  भल्लातकतैलेन केशाः वृद्धिं प्राप्नुवन्ति	भल्लातकस्य फलं केश्यं भवति तैलयुक्तं फलं केशवृद्धिं प्रोत्साहयति, केशाणां स्वास्थ	भल्लातकस्य कः भागः केश्यः अस्ति, तस्य पत्त्राणि केशेभ्यः हितकराणि सन्ति	भल्लातकस्य बीजं भागं केश्यः अस्ति यः भल्लातकस्य बीजं खादित	फलम्	भल्लातकस्य त्वचा केश्यः अस्ति	भल्लातकस्य केश्यः भागः अस्ति
86	मोहमदवाग्वह्निवर्धिनी निम्नेषु कस्य गुणः अस्ति?	भङ्गायाः	मद्यस्य / भङ्गायाः / आफूकस्य / धत्तूरस्य	धत्तूरस्य	मद्यस्य	मद्यस्य	धत्तूरस्य	धत्तूरस्य	मोहमदवाग्वह्निवर्धिनी धत्तूरस्य गुणः अस्ति	मोहमदवाग्वह्निवर्धिनी नाम एका औषधि ह्यास्ति ज्वरनाशिनी च तस	धत्तूरस्य	मोहमदवाग्वह्निवर्धिनी इति गुणः धत्तूरस्य अस्ति	"मोहमदवाग्वह्निवर्धिनी निम्नेषु कस्य गुणः अस्ति? मद्यस्य / भङ्गायाः / आफूकस्य / धत्तूरस्य

उत्तरम्: मद्यस्य"
87	आफूकस्य वर्णनं कस्य ग्रन्थे लभ्यते?	वाग्भट्टस्य ; भावप्रकाशस्य	वाग्भट्टस्य / शारंगधरस्य / भावप्रकाशस्य	वाग्भट्टस्य	भावप्रकाशस्य	आफूकस्य वर्णनं शारंगधरस्य ग्रन्थे लभ्यते	"**भावप्रकाशस्य**  

आयुर्वेदस्य वृहत्त्रयीषु अन्यतमः भावप्रकाशः आयुर्वेदस्य  विविधविषयान् विशदयति, यत्र आफूकस्य वर्णनमपि उपलभ्यते"	शारंगधरस्य	आफूकस्य वर्णनं वाग्भट्टस्य ग्रन्थे लभ्यते	"वर्णनं आफूकस्य ग्रन्थे ""शारंगधरस्य"" लभ्यते शारंगधरः एक"	भावप्रकाशस्य	शारंगधरस्य	आफूकस्य वर्णनं वाग्भट्टस्य ग्रन्थे लभ्यते
88	खाखसस्य कस्मात् भागात् आफूकः निष्पद्यते? 	फलस्य क्षीरात्		बीजः	मूलभागात्	आफूकः खाखसस्य मूलभागात् निष्पद्यते	फलतः  फलस्य शुष्कपरिपक्वत्वात् आफूकः निष्पद्यते	खसखसस्य बीजेभ्यः आफूकः निष्पद्यते	खाखसस्य आफूकः पित्त-प्रकोपात् निष्पद्यते	खाखसस्य आफूकः निष्पद्यते क्योंकि खाखस् एव जलं पिबति जलं पिब	"बीजात्  

बीजस्य शुष्कत्वात् आफूको निष्पद्यते

## 

I hope this helps! Let me know if you have any other questions"	खाखसस्य मूलात् आफूकः निष्पद्यते	खाखसस्य पादात् आफूकः निष्पद्यते
90	शीतशिवः एतेषु कस्य पर्यायः अस्ति?	सैन्धवस्य	धत्तूरस्य / सैन्धवस्य / भङ्गायाः/ अहिफेनस्य	भङ्गायाः	सैन्धवस्य	अहिफेनस्य	"**भङ्गायाः** 

भङ्गा शीतवीर्या भवति अतः भङ्गा शीतशिवः इति कथ्यते"	"अहिफेनस्य

अहिफेनः अपियोन इति अङ्ग्लभाषायां ज्ञायते शीतशिवः अस्य एकः पर्य"	शीतशिवः धत्तूरस्य पर्यायः अस्ति	शीतशिवः धत्तूरस्य पर्यायः अस्ति धत्तूरः एकः औषधः अस	शीतशिवः दत्तूरस्य पर्यायः अस्ति	शीतशिवः अहिफेनस्य पर्यायः अस्ति	शीतशिवः एतेषु कस्य पर्यायः अस्ति? अहिफेनस्य
91	भावप्रकाशः सैन्धवस्य वर्णनं कस्मिन् वर्गे कृतवान्?	हरीतक्यादौ;  हारीतक्यादिवर्गे		लवण-वर्गे	सैन्धवस्य वर्णनं भावप्रकाशः उपविषवर्गे कृतवान्	लवणवर्गे	**ओषधिवर्गे**	भावप्रकाशः सैन्धवस्य वर्णनं लवणवर्गे कृतवान्	"भावप्रकाशः सैन्धवस्य वर्णनं ""उपदेष्टृ वर्गे"" कृतवान्"	सैन्धवं भावप्रकाशः अस्ति इति निरूपितं विद्यते तत्र सैन्धवं	भावप्रकाशः वर्गे सप्तत्रिंशे 'सैन्धवस्य लक्षणं' इत्याख्ये वर्गे सैन्धवस्य वर्णनं कृतवान्	भावप्रकाशः सैन्धवस्य वर्णनं लवणवर्गे कृतवान्	भावप्रकाशः सैन्धवस्य वर्णनं काव्यशास्त्रे कृतवान्
94	उर्ध्वाधः कफवातानुलोमनं कस्य लवणस्य गुणः अस्ति?	बिडस्य	सैन्धवस्य / सामुद्रस्य / बिडस्य / सौवर्चलस्य	सैन्धवस्य	सैन्धवस्य	सौवर्चलस्य	"**सैन्धवस्य**

**कथम्?**

सैन्धवलवणस्य रुक्षोष्णगुणेन कफवातशमनं भवति तेन  उर्ध्वाधः कफवातानुलोमनं सम्भवति"	बिडस्य	सैन्धवस्य लवणस्य गुणः अस्ति	उर्ध्वाधः कफवातानुलोमनं सामुद्रस्य लवणस्य गुणः अस्ति सामु	सैन्धवस्य	सैन्धवस्य	सैन्धवस्य
95	कः पाशुलवणम् उच्यते?	औद्भिद्लवणम्	सामुद्रलवणम् / औद्भिद्लवणम् / बिडः / सौवर्चलः	सौवर्चलः	सामुद्रलवणम्	सौवर्चलः	"**सौवर्चलः** 

सौवर्चलः एव पाषाणलवणम् उच्यते"	सौवर्चलः पाशुलवणम् उच्यते	पाशुलवणम् बिडः उच्यते	सामुद्रलवणम् पाशुलवणं उच्यते	सामुद्रलवणम्	सामुद्रलवणम्	सामुद्रलवणम्
96	भावप्रकाशे कति प्रकाराणां लवणानां वर्णनं कृतम् अस्ति?	६; षट्		षट्	पञ्च	भावप्रकाशे पञ्च प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	"षट्  
कारणम् -  भावप्रकाशे सैन्धव, सौवर्चल, विड, सामुद्र, औभिदक आणि रोमक, एतेषां  षट् लवणानां वर्णनम् अस्ति"	भावप्रकाशे षट् प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	भावप्रकाशे सप्त प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	भावप्रकाशे लवणानां चतुःषष्टि प्रकाराणां वर्णनं कृतम् अस्ति	षड् |	भावप्रकाशे पञ्च प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	"भावप्रकाशे लवणानां वर्णनं प्रामुख्येन पांच प्रकारे केले आहे:

१ पंचभूत लवणे: भावप्रकाशे पंचभूत लवणांचे वर्ण"
97	धातुद्रावकः कः क्षारः अस्ति?	टङ्कणः		क्षारः	लवणम्	धातुद्रावकः क्षारः नास्ति	क्षारः	"धातुद्रावकः क्षारः पारदः अस्ति

पारदः (mercury) एकः प्रसिद्धः धातुद्रावकः क्षारः अस्ति"	धातुद्रावकः क्षारः भौतिक-धातु-प्रवर्तनस्य कारणः अस्ति	धातुद्रावकः क्षारः वह्निक्षारः अस्ति वह्निक्षारः अग्नेयध	तैलम्	यवक्षारः	धातुद्रावकः सोडियम क्षारः अस्ति
98	भावप्रकाशे कति क्षारसमूहानां वर्णनं कृतम्?	सर्वेषाम्	क्षारद्वयस्य / क्षारत्रयस्य / क्षाराष्टकस्य / सर्वेषाम्	क्षाराष्टकस्य	क्षारद्वयस्य	भावप्रकाशे क्षारद्वयस्य वर्णनं कृतम्	"**क्षाराष्टकस्य** 

भावप्रकाशे क्षाराष्टकस्य वर्णनं कृतम् |"	क्षाराष्टकस्य	भावप्रकाशे क्षारद्वयस्य वर्णनं कृतम्	भावप्रकाशे क्षारसमूहानां वर्णनं कृतम् क्षाराष्टकस्य वर्णनं कृतम	"भावप्रकाशे चतुर्णां क्षारसमूहानां वर्णनं कृतम् |  

* * *

 क्षारद्वयस्य | 
 क्षारत्रयस्य | 
 क्षाराष्टकस्य | 
 सर्वेषाम् | 
 
 क्षार"	क्षारत्रयस्य	भावप्रकाशे क्षारद्वयस्य वर्णनं कृतम्
101	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति?	कर्पूरस्य	कर्पूरस्य / मिश्र्याः / लवणस्य / पूतिकायाः	कर्पूरस्य	कर्पूरस्य	चन्द्रसंज्ञ मिश्र्याः पर्यायः अस्ति	"**कर्पूरस्य** 

चन्द्रः कर्पूरस्य पर्यायः अस्ति यतः उभयोः शीतलता, श्वेतवर्णता च दृश्यते"	लवणस्य	चन्द्रसंज्ञ कर्पूरस्य पर्यायः अस्ति	चन्द्रसंज्ञा पूतिकायाः पर्यायः अस्ति चन्द्रः चन्द्रस्य अस्ति इ	कपूर	मिश्र्याः	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति? - मिश्र्याः
102	कस्तूरी एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	वेदमुख्यायाः / मृगमदस्य / सहस्रभिदः / सर्वेषाम्	मृगमदस्य	मृगमदस्य	मृगमदस्य	"**मृगमदस्य** 

कस्तूरी मृगनाभेः मृगमदस्य वा पर्यायः अस्ति"	मृगमदस्य	कस्तूरी मृगमदस्य पर्यायः अस्ति	कस्तूरी एतेषु सर्वेषाम् पर्यायः अस्ति	**मृगमदस्य**	मृगमदस्य	कस्तूरी वेदमुख्यायः पर्यायः अस्ति
103	कस्तूर्याः कति प्रकाराः उक्ताः?	३; षट्		कस्तूर्याः त्रयो प्रकाराः उक्ताः	चत्वारः	चत्वारः	चत्वारः	आयुर्वेदीय ग्रन्थेषु कस्तूर्याः मुख्यतया द्वौ प्रकारौ उल्लिखितौ - ग्राम्	कस्तूर्याः द्वौ प्रकारौ ज्ञातौ - कस्तूरी (Musk) च तथा कस्तूरी-गन्धा (Musk-scented) च	तूर्याः एकः प्रकारः उक्तः तूर्या एवाद्यः प्रकारः	"त्रयः - षट् 

तत्त्वमेव जानीयात्"	कस्तूर्याः त्रिप्रकाराः उक्ताः	कस्तूर्याणां प्रामुख्येन पञ्च प्रकाराणि विद्यन्ते
105	भद्रश्री कस्य पर्यायः अस्ति?	चन्दनस्य	हरिद्रायाः / एलायाः / चन्दनस्य / कुङ्कुमस्य	कुङ्कुमस्य	कुङ्कुमस्य	हरिद्रायाः	हरिद्रायाः	हरिद्रायाः	भद्रश्री हरिद्रायाः पर्यायः अस्ति	हरिद्रायाः भद्रश्री पर्यायः अस्ति	एलायाः पर्यायः इति विकल्पः भद्रश्री  एलायाः इतर नामानि अपि गन्धं, इन्द्रियारिः, इति इत्यपि वर्तन्ते	हरिद्रायाः	भद्रश्री कुङ्कुमस्य पर्यायः अस्ति
106	कालीयकं कीदृशं चन्दनम् अस्ति?	पीतम्		श्यामम्	रक्तचन्दनम्	कालीयकं चन्दनम् कृष्णवर्णीयं चन्दनम् अस्ति	कृष्णम्  रक्तचन्दनस्य कृष्णवर्णत्वात्	कालीयकं कृष्णचन्दनम् अस्ति इदं चन्दनं गन्धयुक्तं, शीतलं च भवति आयुर्वेदे अ	कालीयकं चन्दनं विशेषतः काला, तीव्रगन्धयुक्तं च चन्दनं अस्ति एषः चन्दनः औषधीय गुणैः युक्तः अस्ति	कालीयकं एकदा विशेषणं चन्दनस्य अस्ति, यदि सहचरं अर्घ्यं करोति	कृष्णम्	कालीयकं चन्दनं श्रेष्ठं चन्दनम् अस्ति	कालीयकं चन्दनं सामान्य चन्दनम् अस्ति
107	पट्टरञ्जकः कस्य पर्यायः अस्ति?	पतङ्गस्य		हरिद्रा	पट्टरञ्जकः नीम्बवृक्षस्य पर्यायः अस्ति	पट्टरञ्जकः हरिद्रायाः पर्यायः अस्ति	मञ्जिष्ठा  रक्तवर्णत्वात्	"पट्टरञ्जकः हरितालस्य पर्यायः अस्ति

हरितालः एकः खनिज-पदार्थः यः आयुर्वेदे औषध"	"पट्टरञ्जकस्य पर्यायः ""तन्त्रमञ्जरी"" अस्ति"	पट्टरञ्जकः भारतीय आयुर्वेद चिकित्सा में एक प्रकार का औषधि है	योगः	पट्टरञ्जकस्य पर्यायः त्रिफला अस्ति	पट्टरञ्जकः = पट्ट्या रञ्जक
108	किं चन्दनं श्रेष्ठं भवति?	मलयगिरि; मलयजचंदनम्; मलयजम्		सत्यं	रक्तचन्दनम्	मलयजचंदनम्	स्वेतचन्दनम्  शीतवीर्यत्वात्	चन्दनस्य महत्त्वम् आयुर्वेदे अतीव प्रसिद्धम् श्वेतचन्दनं रक्तचन्दनं च उभ	चन्दनं तस्य सुगन्धः, औषधीय गुणाः च कारणात् श्रेष्ठं भवति	नाम, चन्दनं श्रेष्ठं न भवति अत्र लघु उत्तरं देयम्	"शीतलम् 

**शीतलता हि चन्दनस्य श्रेष्ठगुणः मन्यते** 
शीतलत्वात् तत् मनः शरीरञ्च प्रीणाति, तेजः शमयति, क्लान्तिं नाशयति इ"	चन्दनं श्रेष्ठं भवति	चंदनं श्रेष्ठं भवति
109	अगुरूः कस्य पर्यायः अस्ति?	सर्वेषााम्	प्रवरस्य / राजार्हस्य / कृमिजग्धस्य / सर्वेषाम्	राजार्हस्य	अगुरूः कृमिजग्धस्य पर्यायः अस्ति	अगुरूः राजार्हस्य पर्यायः अस्ति	"**सर्वेषाम्** | 

अगुरूः प्रवरस्य, राजार्हस्य, कृमिजग्धस्य च पर्यायः अस्ति"	राजार्हस्य	अगुरूः प्रवरस्य पर्यायः अस्ति	अगुरूः राजार्हस्य पर्यायः अस्ति	"कृपया आयुर्वेद सम्बन्धि प्रश्न पूछिये

अगुरू का पर्याय है **प्रवर** 

अगुरू शब्द का अर्थ है जो गुरु से श्रेष्ठ हो प्रवर शब्द का अर्थ है श्रेष्ठ, उत्कृष्ट, उत्तम"	अगुरूः कस्य पर्यायः अस्ति? इति प्रश्नस्य उत्तरम् अस्ति - प्रवरस्य	अगुरूः कृमिजग्धस्य पर्यायः अस्ति
110	कस्य वर्णस्य अगुरूः श्रेष्ठः अस्ति?	श्वेतः	श्वेतः / रक्तः / कृष्णः / पीतः	कृष्णः	श्वेतः	कृष्णः	"**श्वेतः**

**कारणम्:** श्वेतवर्णः सप्तरङ्गानां मेलनं भवति, अतः सः सर्वदोषशामकः"	कृष्णः	श्वेतः वर्णः अगुरूः श्रेष्ठः अस्ति	श्वेतः वर्णः अगुरूः श्रेष्ठः अस्ति	कृष्णः	श्वेतः	श्वेतः वर्णस्य अगुरूः श्रेष्ठः अस्ति
