ID	QUESTION	ANSWER	CHOICES
170	सीतायाः एकं नाम 'वैदेही' किमर्थं आसीत्?	विदेहस्य जनकस्य पुत्री अतः; सीतायाः एकं नाम वैदेही आसीत् यतः सा विदेहस्य राजकुमारी आसीत्; सीता जनकस्य पुत्री आसीत् जनकः विदेहदेशस्य राजा आसीत् अतः सीता वैदेही इति कथ्यते; वैदेहीत्वं सीतायाः विदेहराजकन्यात्वात्; विदेहराजपुत्रीत्वात्; विदेहराज्यस्य राजा जनकः सीतायाः पिता आसीत् अतः सीता वैदेही इति नाम्ना प्रसिद्धा आसीत्; विदेहस्य राज्ञः पुत्री इति वैदेही; विदेहराजतनया	
171	कार्त्तिकेयस्य नाम 'कार्त्तिकेयः' कथं प्राप्तम्?	कृत्तिकाभिः पालितः अतः; कृत्तिकाभिः पोषितः इति कारणात् कार्त्तिकेयः इति नाम; कार्त्तिकेयस्य नाम कार्त्तिकेयः कृत्तिकानां द्वारा पालनात् प्राप्तम्; कृत्तिकानां पालनात्; कृत्तिकाभिः; कृतिकाभिः पालितः इति कारणात् कार्त्तिकेयः	
172	गङ्गायाः एकं नाम 'त्रिपथगा' कुतः अस्ति?	त्रिषु लोकेषु प्रवहति अतः; त्रिलोकगमनात्; गङ्गा त्रिषु पथेषु गच्छति; त्रिपथो भावयन्तीति ततस्त्रिपथगा स्मृता; स्वर्गं पृथिवीं पातालं च गङ्गा प्रवहति इति; स्वर्गपृथिवीपाताललोकगमनात्; गङ्गायाः एकं नाम त्रिपथगा अस्ति यत सा स्वर्गे पृथिव्यां पाताले च प्रवहति; गङ्गा स्वर्गे पाताले च पृथ्व्यां च त्रिषु स्थानेषु प्रवहति अतः त्रिपथगा इति कथ्यते; स्वर्गमर्त्यपातालगमनात्; त्रिपथोभावयन्तीति	
173	श्रीरामः 'राघव' इति कुतः उक्तः?	रघोः वंशे जातः अतः; राघवः रघुवंशस्य पुत्रत्वात्; रघोः अपत्याद् राघव इति; रघुवंशात्   रघुवंशे जन्मं प्राप्तवान् इति राघवः; श्रीरामः राघव इति रघुवंशे जातत्वात्; श्रीरामः राघव इति उच्यते यतः सः रघुवंशस्य वंशजः आसीत् रघुः तस्य पूर्वजः आसीत; रघुवंशीयः; रघोः अपत्यं राघवः; श्रीरामः राघव इति उक्तः यतः सः रघुवंशस्य वंशजः आसीत् रघुः तस्य पूर्वजः आसीत; रघुकुलोत्पन्नः; रघुवंशजत्वात्	
174	महर्षेः अगस्त्यस्य ऋषेः नाम 'कुंभजः' कथं प्राप्तम्?	कुम्भात् जन्म प्राप्तवान् अतः; अगस्त्यः कुम्भजः इति कथ्यते यतः सः कुम्भे जातः;  अगस्त्यः कुम्भस्य जातः; अगस्त्यः कुंभे जातः; कुंभोद्भवत्वात्; कुम्भयोनेः; कुम्भे भवः कुंभजः  कुम्भात् प्रादुर्भावात् सः कुंभज इति प्रसिद्धः ; कुंभेजातः; महर्षेः अगस्त्यस्य ऋषेः नाम कुंभजः कथं प्राप्तम् कारणम् अस्ति यत् अगस्त्यः कुंभस्य गर्भात् उत्पन्नः	
175	महर्षेः अगस्त्यस्य एकं नाम 'सिंधुपः' कुतः आसीत्?	सिन्धुं (समुद्रं) पीतवान् अतः; महर्षेः अगस्त्यस्य सिंधुपः इति नाम तस्य समुद्रपानकारणात् आसीत् पौराणिककथान; महर्षिः अगस्त्यः सिंधुपः इति नाम्ना प्रसिद्धः आसीत् यतः सः समुद्रं पीतवान्; अगस्त्यः कदाचित् समुद्रम् एव पीतवान् आसीत्; समुद्रम् पीतवान् इति कारणात्; अगस्त्यः कदाचित् समुद्रम् एव पीतवान् आसीत् अतः तस्य पीताब्धिः सिंधुपः इत्यादीनि नामानि अभवन्; समुद्रपानात्; सागरपानात्; सिंधुं पीतवान्; सिन्धुपानात्; समुद्रात्; समुद्रं पीतवान्	
176	समुद्रस्य एकं नाम 'सागरः' कथं प्राप्तम्?	सगरपुत्रैः खातः अतः; सागरः इति नाम समुद्रस्य सगरपुत्रैः खनितत्वात् प्राप्तम्; सगरपुत्राणां खननेन समुद्रः उत्पन्नः अतः सागरः इति नाम प्राप्तम्; सगरपुत्राणां खननेन समुद्रः उत्पन्नः अतः सागरः इति कथ्यते	
177	शिवस्य एकं नाम 'पिनाकी' कुतः अस्ति?	पिनाकनामधेयस्य त्रिशूलस्य धारणात्; शिवस्य एकं नाम पिनाकी अस्ति यतः सः पिनाकं धनुः धारयति; पिनाकधारणात्; पिनाकधनुषः धारणात्; पिनाकी नाम शिवस्य त्रिशूलात् उत्पन्नम्; पिनाकी नाम शिवस्य त्रिशूलात् आगतम्; पिनक धनुषः आधारेण शिवस्य नाम पिनाकी अस्ति; धनुषः शिवस्य धनुषः नाम पिनाकः इति; पिनाकः शिवस्य शस्त्रम् अस्ति; पिनाकधरः; पिनाकधृत्त्वात्	
178	गरुडः 'वैनतेय' इति कुतः उच्यते?	विनतायाः पुत्रः अतः; गरुडः वैनतेय इति उच्यते यतः सः विनतायाः पुत्रः आसीत् विनता कश्यपऋषेः पत्नी; विनतापुत्रत्वात्; विनतायाः पुत्रत्वात्; विनातया  जातः इति; विनतायाः पुत्रः; विनतासुतः; वैनतेय इति गरुडस्य नाम उच्यते तस्य मातुः विनतायाः नाम्ना; गरुडः विनतायाः पुत्रः आसीत् अतः सः वैनतेयः इति उच्यते	
179	देवताः 'सुरः' इति कुतः उच्यन्ते?	वारुण्याः (सुरायाः) ग्रहणात्; सुरापानात्; सुरापानस्य कारणात्; अमृतपानात्	
180	राज्ञः जनकस्य पूर्वजस्य मिथेः नाम 'मिथिः' कथं प्राप्तम्?	राज्ञः निमेः मृतदेहस्य मथनात् उत्पन्नः अतः	
181	दैत्यानां नाम 'दैत्यः' कथं जातम्?	दितेः पुत्राः आसन् अतः; दितिपुत्राः तु दैत्याः; दितेः पुत्रा दैत्याः; दितिः पुत्राः  दितेः अपत्यत्वात्; दैत्यानां नाम दैत्यः दितिपुत्राणाम्; दितिसुताः; दितेः पुत्रत्वात्	
182	राज्ञः जनकस्य वंशस्य नाम 'मैथिलः' कथं जातम्?	राज्ञः मिथेः नामतः जातम्	
183	दानवाः 'दानवाः' इति कथं उच्यन्ते?	दनोः उत्पन्नाः अतः; दानवाः दानवाः इति दनुः अपत्यत्वात्; दनुप्रभवः; दनोः पुत्रत्वात्; दनुपुत्राः	
184	महर्षिः विश्वामित्रः श्रीरामं 'काकुत्स्थ' इति कथम् आचक्षते?	राज्ञः ककुत्स्थस्य वंशजः आसीत् अतः; महर्षिः विश्वामित्रः श्रीरामं काकुत्स्थ इति आचक्षते यतः रामः ककुत्स्थस्य वंशजः; श्रीरामस्य पूर्वजः ककुत्स्थः तेनैव काकुत्स्थः इति विशेषणम्; श्रीरामस्य पूर्वजः ककुत्स्थः तेनैव काकुत्स्थः	
185	यक्षानां नाम 'यक्षः' कथं जातम्?	ब्रह्मणा निर्मितस्य जलस्य यक्षणं (पूजनं) कृतवान् अतः	
186	महर्षेः अगस्त्यस्य नाम 'अगस्त्यः' कथं जातम्?	अगस्य(पर्वतस्य) स्तम्भनात्	
187	पार्वत्याः नाम 'पार्वती' किमर्थं आसीत्?	पर्वतस्य (हिमालयस्य) पुत्री आसीत् अतः; पर्वतस्य दुहितुः; पर्वतराजपुत्रीति हिमवान् पार्वत्याः पिता आसीत्; पर्वतात्मजा; पार्वती हिमवतः पुत्री आसीत् अतः तस्याः नाम पार्वती आसीत्; पर्वतजः; हिमवत्पुत्रीत्वात्; पर्वतराजपुत्री; पर्वतेश्वरस्य पुत्रीत्वात्; पर्वतराजपुत्रीत्वात्; हिमवत्पुत्री; पर्वतकन्या; शैलेन्द्रकन्या; पार्वती हिमालयस्य पुत्री आसीत् अतः तस्याः नाम पार्वती आसीत्; पार्वती हिमवान् पर्वतस्य पुत्री आसीत् अतः तस्याः नाम पार्वती आसीत्	
188	शिवस्य एकं नाम 'आशुतोषः' कथं जातम्?	शीघ्रं तुष्टः भवति अतः; शिवः क्षिप्रं तुष्यति इति कारणात्;  त्वरया तुष्टः; आशु शीघ्रं तोषः संतोषः; शिवः शीघ्रतोषणः; शिवः शीघ्रं तुष्यति; शिवः शीघ्रतोषणात्; शिवस्य नाम आशुतोषः तस्य सुलभतया सन्तोष्यत्वात्; शीघ्रप्रसन्नः; शिवस्य आशुतोषः इति नाम तस्य स्वभावात् जातम् आशु इति शीघ्रम् तोषः इति सन्तोषः	
189	अहल्याया:, श्रीरामः यस्याः उद्धारं कृतवान् , तस्या: नाम 'अहल्या' कथं जातम्?	हल्यायाः (विरूपतायाः) लेशः अपि नास्ति अतः	
190	वालिनः (वानरस्य) नाम 'वालि' कथं जातम्?	ऋक्षराजस्य केशेषु इन्द्रस्य वीर्यपतनात् उत्पन्नः अतः	
191	सुग्रीवस्य नाम 'सुग्रीवः' कथं अभवत्?	ऋक्षराजस्य ग्रीवायां सूर्यस्य विर्यपतनात् उत्पन्नः अतः	
192	कुशस्य च लवस्य नाम 'कुश:' तथा 'लव:' कथं अभवत्?	महर्षिः वाल्मीकिः कुशानां मुष्टिं तथा तेषां लवं स्वीकृत्य द्वयोः बालकयोः भूतबाधायाः निवारणाय रक्षाविधेः उपदेशं कृतवान् अतः	
193	गङ्गा 'जाह्नवी' इति कथं उच्यते?	जह्नुऋषेः जङ्घातः उत्पन्ना अतः; गङ्गा जाह्नवी इति जह्नुमुनिना स्वीकृतात्; जह्नोः अपत्यत्वात्; जह्नुना धृता इति हेतोः जाह्नवी	
194	रामायणे कति काण्डाः सन्ति?	सप्त	
195	रामायणमाहात्म्ये कति अध्यायाः सन्ति?	पञ्च	
196	रामायणे कति सर्गाः सन्ति?	पञ्चशतम्;  ५००	
197	रामायणे कति श्लोकाः विरचिताः सन्ति?	चतुर्विशतिसहस्रम्; २४०००; चतुर्विंशतिसहस्राणि	
198	लक्ष्मणः कति वर्षाणि यावत् निद्रां त्यक्तवान्, येन सः मेघनादस्य वधं कर्तुं शक्नुयात्?	द्वादश	
199	लङ्कां प्रति गमनाय समुद्रे निर्मितस्य सेतोः दैर्घं कियत् आसीत्?	शतं योजनानि; शतयोजनम्	
200	लक्ष्मणः एकस्मिन्नवसरे कति बाणान् विस्रष्टुं समर्थः?	पञ्चशतम्	
201	श्रीरामः समुद्रात् मार्गं दातुं विनयं कुर्वन् तस्य तटे कियन्ति दिनानि प्रतीक्षमाणः आसीत्?	त्रीणि; त्रीणि दिनानि	
202	लंकानगरी कियत् दूरं यावत् विस्तृता आसीत्?	त्रिंशद्योजनविस्तीर्णा; त्रिंशत्	
203	मन्दोदरीम् व्यतिरिक्ताः रावणस्य अन्याः कियत्यः पत्न्यः आसन्?	सहस्रम्	
204	राजा जनकः स्वकन्याभ्यं (सीता-उर्मीलाभ्याम्) दायविवाहे परिचारिकारूपेण कियत्यः कन्याः अदात्?	प्रत्येकस्यै शतमं; शतम्	
205	रानी कौसल्यायै स्वाश्रितानां पालनाय अयोध्यायाः शासनतः कियन्तः ग्रामाः लब्धाः आसन्?	सहस्रम्	
206	श्रीरामाय आहत्य कति वर्षाणि यावत् वनवासः प्राप्तवान् आसीत्?	चतुर्दश; चतुर्दश वर्षाणि	
207	रावणस्य कियन्तः भ्रातरः आसन्?	त्रयः	
208	महर्षेः विश्वामित्रस्य कियन्तः पुत्राः आसन्?	शतम्	
209	कार्तवीर्यार्जुनस्य कियन्तः भुजाः सन्ति इति मन्यन्ते?	सहस्रम्	
210	श्रीरामस्य कियन्तः भ्रातरः आसन्?	चत्वारः	
211	राज्ञ: दशरथस्य कति पत्नय: आसन् ?	तिस्रः	
212	राक्षसराजस्य रावणस्य कति शिरांसि आसन् ?	दश	
213	कौसल्यायाः कति पुत्राः आसन् ?	एकः	
214	सुमित्रायाः कति पुत्राः आसन् ?	द्वौ	
215	कैकेय्याः कति पुत्राः आसन् ?	एकः	
216	कुशनाभस्य कति कन्याः आसन् ?	शतम्	
217	श्रीरामस्य कति पुत्राः आसन् ?	द्वौ	
218	राज्ञ: जनकस्य कति भ्रातर: आसन् ?	एकः	
219	रामायणस्य बालकाण्डे कति सर्गाः सन्ति?	सप्तसप्ततिः; ७७	
220	रामायणस्य बालकाण्डे कति श्लोकाः सन्ति?	सप्तत्युत्तरद्विशताधिकद्विसहस्रम्	
221	ताटकायाः कति सहस्राणां गजानां सामर्थ्यं प्राप्तम् आसीत्?	एकम्; सहस्रम्; सहस्रस्य	
222	राज्ञः सगरस्य आहत्य कतिः पुत्राः आसन्?	एकाधिकषष्टीसहस्रम्; षष्टिसहस्रैकाधिकाः	
223	त्रेतायुगः आहत्य कति वर्षाणाम् अस्ति इति मन्यते?	षण्णवतिसहस्रोत्ररद्वादशलक्ष्यम्; १२९६००० वर्षाणाम्; १२९६०००	
224	संपातेः जटायोः (गृद्ध्रः)च  कियत् दूरपर्यन्तं दृष्टिसामर्थ्यमासीत्?	शतं योजनानि; शतयोजनं; शतयोजनान्तरम्	
225	जाम्बवान् सुग्रीवाय कति सैनिकान् दत्तवान्?	दशकोटिः	
226	जाम्बवतः कियद्दूरपर्यन्तं उत्प्लवनसामर्थ्यम् आसीत्?	नवतिः योजनानि; नवतिः	
227	इन्द्रजानुः (वानरः) कियत्यः वानरान् निधाय श्रीरामस्य सहाय्यार्थम् आगतः?	एकादशकोटिः; एकादशानां कोटीनाम्; एकादशकोटीभिः; एकादशकोटयः	
228	समुद्रमन्थनात् आहत्य कति रत्नानि प्राप्तानि?	चतुर्दश	
229	रावणस्य कतिः भुजाः आसन्?	विंशतिः	
230	समुद्रमन्थनसमये आहत्य कति अप्सरसः उत्पन्नाः?	षट्कोटिः	
231	परशुरामः आहत्य कतिवारं क्षत्रियाणां संहारं कृतवान् ?	एकविंशतिवारम्; एकविंशतिः	
232	शिवस्य जटातः मुक्त्वा गङ्गायाः कियत्यः धाराः अभवन् ?	सप्त	
233	वसूनां आहत्य कियती संख्या गण्यते ?	अष्टौ; अष्ट	
234	कुबेरसमतयाः कामनया रावणः किति सहस्रवर्षाणां  तपः अचरत् ?	दशसहस्रस्य; दश; दशसहस्रवर्षाणि	
235	श्रीरामस्य सहायतायै हनुमता सह कियन्तः वानराः आगच्छन् ?	दशवृन्दम्	
236	राज्ञः सगरस्य कति राज्ञः आसन् ?	द्वे	
237	राज्ञः सगरस्य कियतः पुत्रान् कपिलमुनिः भस्मीकृतवान् आसीत्?	षष्टिसहस्रम्	
238	प्रजापतीनां संख्या आहत्य कियती अस्ति?	दश	
239	वानरयूथपतिः गवाक्षः कियतीं सेनां नीत्वा सुग्रीवस्य समीपं आयातः ?	एकवृन्दम्	
240	अश्विनीकुमाराणां संख्या कियती अस्ति ?	द्वौ	
241	माता कौसल्या कियतां मासानां गर्भधारणं कृत्वा श्रीरामं प्रसूतवती ?	द्वादश	
242	त्रिशिराराक्षसस्य आगत्य कियन्ति शिरांसि आसन् ?	त्रीणि	
243	धूम्रः (ऋक्षः) कियतीं सेनां नीत्वा श्रीरामस्य सहायार्थं प्राप्तः ?	विंशतिवृन्दम्	
244	लोकपालाः कियन्तः सन्ति ?	अष्टौ	
245	नलः कियतीं सेनां नीत्वा श्रीरामस्य सहायार्थमागच्छत्?	शतोत्तरैकसहस्राधिकैकवृन्दम्	
246	अश्वमेधयज्ञः कियता कालेन समाप्तो भवति?	एकवर्षे; वर्षेण; त्र्यहः	
247	सप्तर्षीणाम् संख्या कियती ?	सप्त	
248	वानरयूथपतिः तारः कियतः वानरान् नीत्वा रामस्य सहायार्थं प्राप्तः?	पञ्चकोटिः; पञ्चकोटिभिः	
249	तानि कियन्तः अस्त्राः आसन्, यानि प्रजापतेः कृशाश्वस्य पुत्राः आसन् तथा यान् महर्षिः विश्वामित्रः श्रीरामाय अददात्?	शतम्	
250	ऋषेः वसिष्ठस्य कियन्तः पुत्राः आसन् ?	शतम्; शतपुत्राः	
251	गन्धमादनः (वानरः) एकस्मिन् उत्प्लवने कियत् दूरं गन्तुं समर्थः आसीत्?	पञ्चाशत् योजनानि	
252	सुषेणः (वानरः) एकस्मिन् उत्प्लवने कियद्दूरं गन्तुं समर्थः आसीत्?	अशीति योजनानि; अशीतियोजनानि	
253	अङ्गदः एकस्मिन् उत्प्लवने कियद्दूरं गन्तुं समर्थः आसीत्?	शतं योजनानि; शतयोजनम्; योजनशतम्	
254	श्रीरामस्य सहायार्थं आगतानां गोलाङ्गूल-जातीयानां वानराणां संख्या कियती आसीत्?	एककोटिः; कोटिः	
255	रामायणानुसारं सर्वतो महती संख्या का अस्ति?	महौघः	
256	देवताः कति वानरान् उत्पादितवन्तः?	दशकोटिः	
257	नक्षत्राणाम् आहत्य संख्या कियती अस्ति?	सप्तविंशतिः; २७	
258	बिन्दुसरोवरात् निर्गत्य गङ्गायाः का धारा भगीरथस्य पृष्ठतः गतवती?	सप्तमी	
259	राज्ञः दशरथस्य पटराज्ञ्यै कौसल्यायै विवाहसमये स्वगृहात स्त्रीधनरूपेण कति ग्रामाः प्राप्ताः?	सहस्रम्	
260	इन्द्रस्य उपाधिं कति अश्वमेधयज्ञैः प्राप्तुम् शक्यते?	शतम्; शतैः	
261	कुशस्य कतिः पत्न्यः आसन्?	एका	
262	लवस्य कतिः पत्न्यः आसन्?	द्वे	
263	भरतस्य कति पुत्राः आसन्?	द्वौ	
264	इक्ष्वाकोः (श्रीरामस्य पूर्वजस्य) कति पुत्राः आसन्?	शतम्	
265	विष्णोः अवतारेषु श्रीरामस्य अवतारः कतमः आसीत्?	सप्तमः	
266	रामायणानुसारं कति आदित्याः सन्ति?	द्वादश	
267	रामायणानुसारं कति रुद्राः सन्ति?	एकादश	
268	राज्ञः दशरथस्य आहत्य कति मन्त्रिणः आसन्?	अष्टौ; अष्ट	
269	दिवसे कति मुहूर्ताः व्यतीताः भवन्ति?	पञ्चदश	
270	श्रीरामः खरेण सह युद्धे तस्य कति सैनिकान् नाशितवान्?	चतुर्दशसहस्रम्; १४०००; चतुर्दशसहस्राणि	
271	मल्लयुद्धे कति प्रकारकाणि मण्डलानि निर्दिष्टानि सन्ति?	चत्वारि	
272	धनुर्वेदस्य कति भेदा: स्वीक्रियन्ते?	चत्वारः	
273	हे वृक्षाः! हे लताः  हे पुष्पाणि! हे मृगाः, पक्षिणः! किं यूयं सीतां दृष्टवन्तः? यदि दृष्टवन्तः तर्हि वक्तुमर्हथ किं सा कुत्र अस्ति?' एषः प्रश्नः कस्य ?	रामस्य	
274	हे श्रीराम! अहं किम् अपराधं कृतवान् यत् माम् इत्थं मारितवन्? यदि अकथयिष्यत्  तर्हि अहं रावणम् भवतः चरणयोः अपातयिष्यं, श्रीरामं प्रति एवं कः उक्तवान्?	वाली	
275	हे लक्ष्मण! अस्माभिः त्रिभ्यः दिवसेभ्यः एष समुद्रः मार्गं ददातु इति प्रार्थ्यते; किन्तु स न स्वीकुरुते। अहं एकेन बाणेन एनं शोषयिष्यामि; यतः बिना भयेन प्रीतिर्न भवति।' एतानि वाक्यानि कस्य?	रामस्य	
276	हे मित्र जाम्बवन्! त्वं तावन्तं कालपर्यन्तं जीविष्यसि यावत् प्रलयः कलियुगः च न आगच्छेत् ।' जाम्बवते एतत् आशीर्वादं कः दत्तवान्?	श्रीरामः; रामः	
277	यदि अहं अज्ञास्यं यत् इत्थं मया अनुजस्य वियोगः सहनीयः भविष्यति तर्हि अहं पितुः आदेशं न अन्वसरिष्यम्।' एष विलापः कस्य?	श्रीरामस्य; रामस्य 	
278	हे श्रीराम! जानक्याः सीताया: आचरणं सर्वथा परिशुद्धमेव। पापं एतस्याः स्पर्शम् अपि न कृतवत्। अहं सहस्रवर्षाणि घोरं तपः अचरम्। यदि सीतायां कश्चन दोषः अस्ति तर्हि अहम् अस्य तपसः फलं न प्राप्नुयाम्।' एषा घोषणा केन कृता?	वाल्मीकिना	
279	रावण! यथा मम पादं त्वं गृहीतवान् तथैव यदि श्रीरामस्य पादं अग्रहीष्यत् तर्हि तव कल्याणं अभविष्यत्।' रावणं प्रति एवं कः अपहसितवान्?	अङ्गदः	
280	हे मातः पृथिवी! यदि श्रीरामात् अन्यस्य कस्यचन अपि मया स्वप्ने अपि विचारः कृतः भवेत् तर्हि त्वम् विष्फोटतु माम् गृहीत्वा क्रोडे स्थापयतु।' पृथिवीं प्रति एषा प्रार्थना केन कृता?	सीतया	
281	हे कुलघातिनि कैकेयि! त्वं श्रीरामं वनं संप्रेष्य महापातकं कृतवती। त्वं मम पितृघातिनी असि। त्वं मामपि पापभागिनं कृतवान्। त्वं मातृसंज्ञाया योग्या नास्ति।' एते शब्दाः कस्य?	भरतस्य	
282	रावणः यदि रसातलेऽपि गुहेत पितामहस्य ब्रह्मणः सविधे वा गच्छेत्, तथापि स मम हस्तेभ्यः न रक्षितः भविष्यति।' एते उद्गाराः कस्य?	श्रीरामस्य; रामस्य	
283	यदि अद्य साक्षात् शिवः अपि मेघनादस्य रक्षणाय आगच्छेत्, तथापि अहं प्रतिजाने  यत् तं जीवितं न त्यक्ष्यामि।' एषः उद्गारः कस्य आसीत्?	लक्ष्मणस्य	
284	अहं स्वभ्रातृणां शपथं कृत्वा कथयामि युध्ये पुत्रैः भृत्यजनैः बन्धुभिः च सह रावणं संहरिष्यामि।' एषा प्रतिज्ञा कस्य आसीत्?	श्रीरामस्य; रामस्य	
285	हे राम! त्वं शिवधनुः भग्नं कृतवान्। तं समाचारं श्रुत्वा अहं अन्यं उत्तमं धनुः संगृह्य त्वत्समीपं आगतोऽस्मि, यस्मिन् त्वं बाणं आरोपय।' श्रीरामाय एवं कः उक्तवान्?	परशुरामः; जामदग्न्यः	
286	हे रघुनन्दन! अहम् एकसहस्रवर्षाणि उपवासं कृतवान्। अद्य मम तस्य व्रतस्य समाप्तिदिनम् अस्ति, अतः अस्मिन् काले भवतः समीपे यत् अन्नं अस्ति तत् एव अहं ग्रहीष्यामि।' श्रीरामं प्रति एवं कः उक्तवान्?	दुर्वासाः	
287	हे प्रभो! भवतः प्रति मम स्नेहः सदैव भवतु। भवति एव मम अचला भक्तिः भवतु। भवन्तम् अतिरिच्य अन्यत्र मम आन्तरिकः अनुरागः न भवतु।' श्रीरामाय एतां प्रार्थनां कः कृतवान्?	हनुमान्	
288	प्रिय हनुमन्! यावत् मम कथा लोके प्रचलिता भविष्यति तावत् त्वदीया कीर्तिः अपि  स्थिरा भविष्यति, तथा त्वदीये देहे प्राणाः अपि स्थिताः भविष्यन्ति।' हनुमन्तं प्रति एतद् कः उक्तवान्?	श्रीरामः; रामः	
289	विभीषण! रावणः बलपराक्रमसम्पन्नः महामनस्वी आसीत्। मृत्युना समन्वितं वैरं अपि समाप्तं भवति। रावणः यथा तव भ्राता तथैव मम अपि। त्वं एतस्य दाहसंस्कारं कुरु।' विभीषणं प्रति एतानि वचनानि कः उक्तवान् ?	श्रीरामः; रामः	
290	हे लङ्कानरेश! नायं वानरो गुप्तचर इव दृश्यते, अपि तु दूत इव दृश्यते। अतोऽस्य वधो न उचितः। त्वं तं किञ्चिद्दण्डं दत्त्वा विसर्जय।' रावणं प्रति एतत्परामर्श कः दत्तवान्?	विभीषणः	
291	अहं प्रचेतुः दशमः पुत्रः अस्मि।' एतद्वाक्यं कस्य ऋषेः आसीत्?	वाल्मीकेः	
292	भ्रातः! भरतः सेनया सह आगच्छति। मन्ये, ते अस्मान् आक्रंस्यन्ते। अस्माभि युद्धाय सिद्धैः भवितव्यम्।' एतत् कः कं प्रति उक्तवान्?	लक्ष्मणः श्रीरामं प्रति; लक्ष्मणः   रामं प्रति; लक्ष्मणः रामम् प्रति उक्तवान्; लक्ष्मणः रामम् प्रति एतत् उक्तवान्; लक्ष्मणः रामम्	
293	हे श्रीराम! त्वं वैष्णवधनुषः प्रत्यञ्चाम् आरोपितवान्, अतः अहं ज्ञातवान् अस्मि यत् त्वं देवेश्वरः विष्णुः एव।' एतत् श्रीरामं प्रति कः उक्तवान्?	परशुरामः; जामदग्न्यः	
294	हे राम! अहं कामरूपिणी राक्षसी रावणस्य भगिन्यस्मि।' एतत् परिचयं श्रीरामं प्रति कः प्रदत्तवान्?	शूर्पणखा	
295	महर्षे! एकस्य धनुषः भञ्जने किमर्थं त्वं अतिविकलः अभवः? अहो, बाल्ये मया न जाने कति धनूंषि भग्नानि। तदा त्वं तावन् क्रोधितः नासीत्।' एतत् वक्तव्यं कस्य?	लक्ष्मणस्य	
296	हे प्रभो राम। लक्ष्मणः मां प्रति बाणं क्षिपतु नाम, तव चरणयोः अप्रक्षालनं विना अहं त्वां पारम् न नेतुं शक्नोमि।' एताः वचः कस्य?	केवटस्य	
297	हे राजन्! श्रीरामं लक्ष्मणं च मह्यं देहि, येन यज्ञे विघ्नस्य उत्पादनं कुर्वतां राक्षसानां नाशनं शक्यं भवेत्।' एतम् आग्रहं राजादशरथं प्रति कः कृतवान्?	विश्वामित्रः	
298	हे राम! अहं कैकेय्यै दत्तस्य वरस्य कारणात् मोहं प्रपन्नोऽस्मि। मम वाक्यं मनुतां, मां बद्वा त्वं स्वयमेव अयोध्यायाः राजा भव।' एतं वचनं श्रीरामं प्रति कः उक्तवान्?	दशरथः	
299	यदि भरतः युवराज-पदम् स्वीकुर्यात्, तर्हि तेन कृतं श्राद्धादिक्रियाः मां न प्राप्नुयुः।' एतद्वाक्यं कः उक्तवान्?	दशरथः	
300	हे रावण! राजा मान्धाता तव युद्धमदं शमयिष्यति।' एतद्वाक्यं कः उक्तवान्?	नारदः	
301	हे श्रीराम ! अहं रिक्तं रथं गृहीत्वा अयोध्यां कथं गच्छेयम्? भवन्तं विना एते अश्वाः रथं कथं कर्षिष्यन्ति? अतः अहं अयोध्यां न प्रत्यागच्छामि।' एतत् कस्य वक्तव्यम्?	सुमन्त्रस्य	
302	हे अग्निदेवते ! यदि मया पत्युः सेवा कृता अस्ति, पातिव्रत्यधर्मस्य सत्यं हृदयेन पालनं कृतं तर्हि हनुमतः कृते त्वं शीतलः भव।' अग्निदेवाय एषा प्रार्थना केन कृता?	सीतया	
303	श्रीराम ! त्वं मधुरफलमूलसम्पन्नं चित्रकूटपर्वतं गच्छ। अहं तं त्वदर्थं उपयुक्तं निवासस्थानं मन्ये।' श्रीरामाय एतत् कः उक्तवान्?	भरद्वाजः	
304	रामायणे आहत्य कियतां वरप्रदानानां वर्णनं अस्ति?	द्व्यशीतिः	
305	रामायणे आहत्य कियतां शापानां वर्णनं अस्ति?	एकषष्टिः	
306	श्रीरामस्य सेनायाः कः वानरयोद्धा एतं वरं प्राप्तवान् यत् तस्य हस्तस्पर्शनमात्रेण शिलाः जले तरिष्यन्ति?	नलः	
307	रावणाय नरवानरविनिर्दिष्टान्यसमस्तेभ्यः अवध्यतायाः वरं कः दत्तवान्?	ब्रह्मा	
308	हनुमते युद्धे कदाचिदपि न श्रान्तिः भवति इति वरं कः दत्तवान्?	यमः	
309	हनुमन्ते केनापि शस्त्रेण अवध्यतायाः वरं कः दत्तवान्?	ब्रह्मा	
310	रावणः सिद्धिमंत्रं कस्याः देवतायाः प्राप्तवान्?	ब्रह्मणः	
311	सुमालिने रक्षसाय क: अजेयतायाः चिरजीवनस्य च वरं दत्तवान्?	ब्रह्मा	
312	क: विभीषणाय चिरञ्जीवित्वस्य वरं दत्तवान्?	ब्रह्मा	
313	क: हनूमत: इच्छायाः अधीनमेव मृत्योः वरं दत्तवान्?	इन्द्रः	
314	अहल्यायै पाषाणशिला भवितुं शापं क: दत्तवान्?	गौतमः	
315	एतेषु कस्मै इदं शापितं यत् अस्मरणे स: स्वबलं न अभिज्ञास्यति?	हनुमते	 अंगदाय / नलाय / जांबवते / हनुमते
316	हनूमते वरुणपाशात् जलमध्ये च अवध्यत्वस्य वरं क: दत्तवान्?	वरुणः	
317	इन्द्राय क: वृषणहीनः भवितुं शापं दत्तवान्?	गौतमः	
